paper_name,data_description,natural_language_query,answer,std_error,is_significant,method,treatment,outcome,control_variables,running_var,temporal_var,instrument_var,state_var,interaction_var,multirct_treatment,data_files,remark,reference,publication_year,domain
QRData,"The CSV file ihdp_0.csv contains data obtained from the Infant Health and Development Program (IHDP). The randomized study is designed to evaluate the effect of home visits from specialist doctors on the cognitive test scores of premature infants. The confounders x (x1-x25) correspond to collected measurements of the children and their mothers, including measurements on the child (birth weight, head circumference, weeks born preterm, birth order, first born, neonatal health index, sex, twin status), as well as behaviors engaged in during pregnancy (smoked cigarettes, drank alcohol, took drugs) and measurements on the mother at the time she gave birth (age, marital status, educational attainment, whether she worked during pregnancy, whether she received prenatal care) and the site (8 total) in which the family resided at the start of the intervention. There are 6 continuous covariates and 19 binary covariates.",Does home visit from specialist doctors lead to an improvement in cognitive scores?,4.02,0.11,1,ols,treatment,y,"x1, x2, x3, x4, x5, x6, x7, x8, x9, x10, x11, x12, x13, x14, x15, x16, x17, x18, x19, x20, x21, x22, x23, x24, x25",,,,,,,ihdp_0.csv,"This is ATE. The exact answer is hard to produce, but we are with 2% of the real answer. This is fine in my opinion. I have added the word ranomized because the original experiments were randomized trial.",Bayesian nonparametric modeling for causal inference,2024,causal inference
QRData,"The CSV file ihdp_1.csv contains data obtained from the Infant Health and Development Program (IHDP). The randomized study is designed to evaluate the effect of home visits from specialist doctors on the cognitive test scores of premature infants. The confounders x (x1-x25) correspond to collected measurements of the children and their mothers, including measurements on the child (birth weight, head circumference, weeks born preterm, birth order, first born, neonatal health index, sex, twin status), as well as behaviors engaged in during pregnancy (smoked cigarettes, drank alcohol, took drugs) and measurements on the mother at the time she gave birth (age, marital status, educational attainment, whether she worked during pregnancy, whether she received prenatal care) and the site (8 total) in which the family resided at the start of the intervention. There are 6 continuous covariates and 19 binary covariates.",What is the effect of home visits on the cognitive test scores of children who actually received the intervention?,4.05,0.123,1,ols,treatment,y,"x1, x2, x3, x4, x5, x6, x7, x8, x9, x10, x11, x12, x13, x14, x15, x16, x17, x18, x19, x20, x21, x22, x23, x24, x25",,,,,,,ihdp_1.csv,ATE,,2024,causal inference
QRData,"The CSV file ihdp_2.csv contains data obtained from the Infant Health and Development Program (IHDP). The randomized study is designed to evaluate the effect of home visits from specialist doctors on the cognitive test scores of premature infants. The confounders x (x1-x25) correspond to collected measurements of the children and their mothers, including measurements on the child (birth weight, head circumference, weeks born preterm, birth order, first born, neonatal health index, sex, twin status), as well as behaviors engaged in during pregnancy (smoked cigarettes, drank alcohol, took drugs) and measurements on the mother at the time she gave birth (age, marital status, educational attainment, whether she worked during pregnancy, whether she received prenatal care) and the site (8 total) in which the family resided at the start of the intervention. There are 6 continuous covariates and 19 binary covariates.",What is the effect of home visits on the cognitive test scores of children who actually received the intervention?,4.1,0.13,1,ols,treatment,y,"x1, x2, x3, x4, x5, x6, x7, x8, x9, x10, x11, x12, x13, x14, x15, x16, x17, x18, x19, x20, x21, x22, x23, x24, x25",,,,,,,ihdp_2.csv,ATE,,2024,causal inference
QRData,"The CSV file ihdp_3.csv contains data obtained from the Infant Health and Development Program (IHDP). The randomized study is designed to evaluate the effect of home visits from specialist doctors on the cognitive test scores of premature infants. The confounders x (x1-x25) correspond to collected measurements of the children and their mothers, including measurements on the child (birth weight, head circumference, weeks born preterm, birth order, first born, neonatal health index, sex, twin status), as well as behaviors engaged in during pregnancy (smoked cigarettes, drank alcohol, took drugs) and measurements on the mother at the time she gave birth (age, marital status, educational attainment, whether she worked during pregnancy, whether she received prenatal care) and the site (8 total) in which the family resided at the start of the intervention. There are 6 continuous covariates and 19 binary covariates.",What is the effect of home visits on the cognitive test scores of children who actually received the intervention?,4.27,0.162,1,ols,treatment,y,"x1, x2, x3, x4, x5, x6, x7, x8, x9, x10, x11, x12, x13, x14, x15, x16, x17, x18, x19, x20, x21, x22, x23, x24, x25",,,,,,,ihdp_3.csv,ATE,,2024,causal inference
QRData,"The CSV file ihdp_4.csv contains data obtained from the Infant Health and Development Program (IHDP). The randomized study is designed to evaluate the effect of home visits from specialist doctors on the cognitive test scores of premature infants. The confounders x (x1-x25) correspond to collected measurements of the children and their mothers, including measurements on the child (birth weight, head circumference, weeks born preterm, birth order, first born, neonatal health index, sex, twin status), as well as behaviors engaged in during pregnancy (smoked cigarettes, drank alcohol, took drugs) and measurements on the mother at the time she gave birth (age, marital status, educational attainment, whether she worked during pregnancy, whether she received prenatal care) and the site (8 total) in which the family resided at the start of the intervention. There are 6 continuous covariates and 19 binary covariates.",What is the effect of home visits on the cognitive test scores of children who actually received the intervention?,4.16,0.156,1,ols,treatment,y,"x1, x2, x3, x4, x5, x6, x7, x8, x9, x10, x11, x12, x13, x14, x15, x16, x17, x18, x19, x20, x21, x22, x23, x24, x25",,,,,,,ihdp_4.csv,ATE,,2024,causal inference
QRData,"The CSV file ihdp_5.csv contains data obtained from the Infant Health and Development Program (IHDP). The randomized study is designed to evaluate the effect of home visits from specialist doctors on the cognitive test scores of premature infants. The confounders x (x1-x25) correspond to collected measurements of the children and their mothers, including measurements on the child (birth weight, head circumference, weeks born preterm, birth order, first born, neonatal health index, sex, twin status), as well as behaviors engaged in during pregnancy (smoked cigarettes, drank alcohol, took drugs) and measurements on the mother at the time she gave birth (age, marital status, educational attainment, whether she worked during pregnancy, whether she received prenatal care) and the site (8 total) in which the family resided at the start of the intervention. There are 6 continuous covariates and 19 binary covariates.",What is the effect of home visits on the cognitive test scores of children who actually received the intervention?,4,0.131,1,ols,treatment,y,"x1, x2, x3, x4, x5, x6, x7, x8, x9, x10, x11, x12, x13, x14, x15, x16, x17, x18, x19, x20, x21, x22, x23, x24, x25",,,,,,,ihdp_5.csv,ATE,,2024,causal inference
QRData,"The CSV file ihdp_6.csv contains data obtained from the Infant Health and Development Program (IHDP). The randomized study is designed to evaluate the effect of home visits from specialist doctors on the cognitive test scores of premature infants. The confounders x (x1-x25) correspond to collected measurements of the children and their mothers, including measurements on the child (birth weight, head circumference, weeks born preterm, birth order, first born, neonatal health index, sex, twin status), as well as behaviors engaged in during pregnancy (smoked cigarettes, drank alcohol, took drugs) and measurements on the mother at the time she gave birth (age, marital status, educational attainment, whether she worked during pregnancy, whether she received prenatal care) and the site (8 total) in which the family resided at the start of the intervention. There are 6 continuous covariates and 19 binary covariates.",What is the effect of home visits on the cognitive test scores of children who actually received the intervention?,3.99,0.13,1,ols,treatment,y,"x1, x2, x3, x4, x5, x6, x7, x8, x9, x10, x11, x12, x13, x14, x15, x16, x17, x18, x19, x20, x21, x22, x23, x24, x25",,,,,,,ihdp_6.csv,ATE,,2024,causal inference
QRData,"The CSV file ihdp_7.csv contains data obtained from the Infant Health and Development Program (IHDP). The randomized study is designed to evaluate the effect of home visits from specialist doctors on the cognitive test scores of premature infants. The confounders x (x1-x25) correspond to collected measurements of the children and their mothers, including measurements on the child (birth weight, head circumference, weeks born preterm, birth order, first born, neonatal health index, sex, twin status), as well as behaviors engaged in during pregnancy (smoked cigarettes, drank alcohol, took drugs) and measurements on the mother at the time she gave birth (age, marital status, educational attainment, whether she worked during pregnancy, whether she received prenatal care) and the site (8 total) in which the family resided at the start of the intervention. There are 6 continuous covariates and 19 binary covariates.",What is the effect of home visits on the cognitive test scores of children who actually received the intervention?,3.85,0.153,1,ols,treatment,y,"x1, x2, x3, x4, x5, x6, x7, x8, x9, x10, x11, x12, x13, x14, x15, x16, x17, x18, x19, x20, x21, x22, x23, x24, x25",,,,,,,ihdp_7.csv,ATE,,2024,causal inference
QRData,"The CSV file ihdp_8.csv contains data obtained from the Infant Health and Development Program (IHDP). The randomized study is designed to evaluate the effect of home visits from specialist doctors on the cognitive test scores of premature infants. The confounders x (x1-x25) correspond to collected measurements of the children and their mothers, including measurements on the child (birth weight, head circumference, weeks born preterm, birth order, first born, neonatal health index, sex, twin status), as well as behaviors engaged in during pregnancy (smoked cigarettes, drank alcohol, took drugs) and measurements on the mother at the time she gave birth (age, marital status, educational attainment, whether she worked during pregnancy, whether she received prenatal care) and the site (8 total) in which the family resided at the start of the intervention. There are 6 continuous covariates and 19 binary covariates.",What is the effect of home visits on the cognitive test scores of children who actually received the intervention?,10.47,1.234,1,ols,treatment,y,"x1, x2, x3, x4, x5, x6, x7, x8, x9, x10, x11, x12, x13, x14, x15, x16, x17, x18, x19, x20, x21, x22, x23, x24, x25",,,,,,,ihdp_8.csv,ATE,,2024,causal inference
QRData,"The CSV file ihdp_9.csv contains data obtained from the Infant Health and Development Program (IHDP). The randomized study is designed to evaluate the effect of home visits from specialist doctors on the cognitive test scores of premature infants. The confounders x (x1-x25) correspond to collected measurements of the children and their mothers, including measurements on the child (birth weight, head circumference, weeks born preterm, birth order, first born, neonatal health index, sex, twin status), as well as behaviors engaged in during pregnancy (smoked cigarettes, drank alcohol, took drugs) and measurements on the mother at the time she gave birth (age, marital status, educational attainment, whether she worked during pregnancy, whether she received prenatal care) and the site (8 total) in which the family resided at the start of the intervention. There are 6 continuous covariates and 19 binary covariates.",What is the effect of home visits on the cognitive test scores of children who actually received the intervention?,4.59,0.4,1,ols,treatment,y,"x1, x2, x3, x4, x5, x6, x7, x8, x9, x10, x11, x12, x13, x14, x15, x16, x17, x18, x19, x20, x21, x22, x23, x24, x25",,,,,,,ihdp_9.csv,ATE,,2024,causal inference
QRData,"To estimate the impacts of online class format on exam outcomes, a randomized experiment was conducted. The dataset online_classroom.csv contains exam scores of students in online classes versus face-to-face classes. Each row of the dataset contains a student's exam outcome (the variable falsexam), their classroom format (online, face-to-face, or blended), and other variables like gender and ethnicity.",Is there any advantage to taking classes online in comparison to face-to-face or blended format in terms of exam performance? ,-4.91,1.68,1,ols,format_ol,false_exam,,,,,,,,online_classroom.csv,OLS or simple difference in means. I have added the word randomized. ,,2024,causal inference
QRData,"To estimate the impact of an additional year of education on hourly wage, we look at a sample size representing individuals with varying levels of education and their hourly wages. The dataset wage.csv contains the necessary data for our analysis. The columns in this dataset include 'wage', representing the total income; 'hours', representing the total hours worked; 'educ', representing the years of education. Other variables in the dataset are: feduc: father's education, meduc: mother's education, brthord: birth order in the family, sibs: number of siblings, urban: whether the person lives in an urban area or rural, south: whether the person is from the South, black: if the person's race is black, married: whether the person is married, age: age of the person, tenure: the tenure of the person in the company where they are working, exper: number of years of work experience, IQ: the person's IQ",Do more years of education lead to higher log hourly wages?,0.0529,0.007,1,ols,educ,lhwage,,,,,,,,wage.csv,Need to consider covariates as well. Need to compute log hourly wages,,2024,causal inference
