paper_name,data_description,natural_language_query,answer,std_error,is_significant,method,treatment,outcome,control_variables,running_var,temporal_var,instrument_var,state_var,is_rct,interaction_var,multirct_treatment,data_files,reference,publication_year,domain,license,data_source (link),other_source,remark,other_notes,changes_to_original_data,bibtex_paper,link_to_reproduced_results,Total Count: 82
Social Pressure and Voter Turnout: Evidence from a Large-Scale Field Experiment,"The randomized experiment aims to analyze the effect of different types of social pressures on voter behavior. A field experiment was conducted in Michigan ahead of the August 2006 primary election. Households were randomly assigned to a control group or one of four treatment groups: Civic Duty, Hawthorne, Self, Neighbors. Eleven days before the election, each treatment group received a different mailing: Civic Duty: Emphasized the recipient's responsibility as a citizen to vote. Hawthorne: Notified recipients that their voting behavior would be studied using public records, introducing mild social pressure. Self: Listed the voting history of all registered voters in the household and noted that an updated chart would be mailed after the election. Neighbors: Included both the household's and neighbors' voting records, implying public exposure of voting behavior. Control Group: Received no mailing. Variables in the Dataset: sex: Participant's sex (male or female); g2000, g2002, g2004: Voted in the 2000, 2002, and 2004 gubernatorial elections; p2000, p2002, p2004: Voted in the 2000, 2002, and 2004 primary elections; treatment: Assigned group (Civic Duty, Hawthorne, Neighbors, Self, or Control); cluster: Cluster identifier for the unit; voted: Indicator for voting in the 2006 primary election; hh_id: Household ID; hh_size: Number of individuals in the household; yob: Year of birth of the participant",Does the Hawthorn scheme lead to an increase in voter turnout?,0.026,0.003,1,ols,treatment,voted,"g2000, g2002, p2000, p2002, p2004",,,,,1,,Hawthorne,voter_turnout_data.csv,Table 3b,2008,political science,CC BY-NC-ND 3.0,https://isps.yale.edu/research/data/d001,,,,,"@article{GERBER_GREEN_LARIMER_2008,
title={Social Pressure and Voter Turnout: Evidence from a Large-Scale Field Experiment}, 
volume={102}, 
DOI={10.1017/S000305540808009X}, 
number={1}, 
journal={American Political Science Review}, 
author={GERBER, ALAN S. and GREEN, DONALD P. and LARIMER, CHRISTOPHER W.}, 
year={2008}, 
pages={33–48}} ",,
Social Pressure and Voter Turnout: Evidence from a Large-Scale Field Experiment,"The randomized experiment aims to analyze the effect of different types of social pressures on voter behavior. A field experiment was conducted in Michigan ahead of the August 2006 primary election. Households were randomly assigned to a control group or one of four treatment groups: Civic Duty, Hawthorne, Self, Neighbors. Eleven days before the election, each treatment group received a different mailing: Civic Duty: Emphasized the recipient's responsibility as a citizen to vote. Hawthorne: Notified recipients that their voting behavior would be studied using public records, introducing mild social pressure. Self: Listed the voting history of all registered voters in the household and noted that an updated chart would be mailed after the election. Neighbors: Included both the household's and neighbors' voting records, implying public exposure of voting behavior. Control Group: Received no mailing. Variables in the Dataset: sex: Participant's sex (male or female); g2000, g2002, g2004: Voted in the 2000, 2002, and 2004 gubernatorial elections; p2000, p2002, p2004: Voted in the 2000, 2002, and 2004 primary elections; treatment: Assigned group (Civic Duty, Hawthorne, Neighbors, Self, or Control); cluster: Cluster identifier for the unit; voted: Indicator for voting in the 2006 primary election; hh_id: Household ID; hh_size: Number of individuals in the household; yob: Year of birth of the participant",Does reminding citizens about their Civic Duties make them more likely to vote?,0.018,0.003,1,ols,treatment,voted,"g2000, g2002, p2000, p2002, p2004",,,,,1,,Civic Duty,voter_turnout_data.csv,Table 3c,2008,political science,CC BY-NC-ND 3.0,https://isps.yale.edu/research/data/d001,,,,,"@article{GERBER_GREEN_LARIMER_2008,
title={Social Pressure and Voter Turnout: Evidence from a Large-Scale Field Experiment}, 
volume={102}, 
DOI={10.1017/S000305540808009X}, 
number={1}, 
journal={American Political Science Review}, 
author={GERBER, ALAN S. and GREEN, DONALD P. and LARIMER, CHRISTOPHER W.}, 
year={2008}, 
pages={33–48}} ",,
Social Pressure and Voter Turnout: Evidence from a Large-Scale Field Experiment,"The randomized experiment aims to analyze the effect of different types of social pressures on voter behavior. A field experiment was conducted in Michigan ahead of the August 2006 primary election. Households were randomly assigned to a control group or one of four treatment groups: Civic Duty, Hawthorne, Self, Neighbors. Eleven days before the election, each treatment group received a different mailing: Civic Duty: Emphasized the recipient's responsibility as a citizen to vote. Hawthorne: Notified recipients that their voting behavior would be studied using public records, introducing mild social pressure. Self: Listed the voting history of all registered voters in the household and noted that an updated chart would be mailed after the election. Neighbors: Included both the household's and neighbors' voting records, implying public exposure of voting behavior. Control Group: Received no mailing. Variables in the Dataset: sex: Participant's sex (male or female); g2000, g2002, g2004: Voted in the 2000, 2002, and 2004 gubernatorial elections; p2000, p2002, p2004: Voted in the 2000, 2002, and 2004 primary elections; treatment: Assigned group (Civic Duty, Hawthorne, Neighbors, Self, or Control); cluster: Cluster identifier for the unit; voted: Indicator for voting in the 2006 primary election; hh_id: Household ID; hh_size: Number of individuals in the household; yob: Year of birth of the participant",How effective is the Neighbors treatment scheme in increasing voter turnout?,0.081,0.003,1,ols,treatment,voted,"g2000, g2002, p2000, p2002, p2004",,,,,1,,Neighbors,voter_turnout_data.csv,Table 3c,2008,political science,CC BY-NC-ND 3.0,https://isps.yale.edu/research/data/d001,,,,,"@article{GERBER_GREEN_LARIMER_2008,
title={Social Pressure and Voter Turnout: Evidence from a Large-Scale Field Experiment}, 
volume={102}, 
DOI={10.1017/S000305540808009X}, 
number={1}, 
journal={American Political Science Review}, 
author={GERBER, ALAN S. and GREEN, DONALD P. and LARIMER, CHRISTOPHER W.}, 
year={2008}, 
pages={33–48}} ",,
Social Pressure and Voter Turnout: Evidence from a Large-Scale Field Experiment,"The randomized experiment aims to analyze the effect of different types of social pressures on voter behavior. A field experiment was conducted in Michigan ahead of the August 2006 primary election. Households were randomly assigned to a control group or one of four treatment groups: Civic Duty, Hawthorne, Self, Neighbors. Eleven days before the election, each treatment group received a different mailing: Civic Duty: Emphasized the recipient's responsibility as a citizen to vote. Hawthorne: Notified recipients that their voting behavior would be studied using public records, introducing mild social pressure. Self: Listed the voting history of all registered voters in the household and noted that an updated chart would be mailed after the election. Neighbors: Included both the household's and neighbors' voting records, implying public exposure of voting behavior. Control Group: Received no mailing. Variables in the Dataset: sex: Participant's sex (male or female); g2000, g2002, g2004: Voted in the 2000, 2002, and 2004 gubernatorial elections; p2000, p2002, p2004: Voted in the 2000, 2002, and 2004 primary elections; treatment: Assigned group (Civic Duty, Hawthorne, Neighbors, Self, or Control); cluster: Cluster identifier for the unit; voted: Indicator for voting in the 2006 primary election; hh_id: Household ID; hh_size: Number of individuals in the household; yob: Year of birth of the participant",Is the Self treatment method effective in increasing voter turnout?,0.048,0.003,1,ols,treatment,voted,"g2000, g2002, p2000, p2002, p2004",,,,,1,,Self,voter_turnout_data.csv,Table 3c,2008,political science,CC BY-NC-ND 3.0,https://isps.yale.edu/research/data/d001,,,,,"@article{GERBER_GREEN_LARIMER_2008,
title={Social Pressure and Voter Turnout: Evidence from a Large-Scale Field Experiment}, 
volume={102}, 
DOI={10.1017/S000305540808009X}, 
number={1}, 
journal={American Political Science Review}, 
author={GERBER, ALAN S. and GREEN, DONALD P. and LARIMER, CHRISTOPHER W.}, 
year={2008}, 
pages={33–48}} ",,
Propensity Score Matching for methods for non-experimental causal studies,"The data originates from the National Supported Work (NSW) Demonstration, which was a temporary employment program created to assist disadvantaged workers lacking basic job skills in entering the labor market. The NSW program randomly assigned qualified applicants to either a treatment group, which received the benefits of the NSW program, or a control group, which did not. Participants in the treatment group were guaranteed a job for a duration of 9 to 18 months. Variables Measured: treat: whether the applicant received the training (1 if received training, 0 otherwise); age: measured in years; education: measured in years; black: indicating race (1 if Black, 0 otherwise); hispanic: indicating race (1 if Hispanic, 0 otherwise); married: indicating marital status (1 if married, 0 otherwise); nodegree: indicating high school diploma (1 if no degree, 0 otherwise); re74: real earnings in 1974; re75: real earnings in 1975; re78: real earnings in 1978",What is the effect of the training program on job earnings for 1978?,1672,638,1,ols,treat,re78,"age, education, black, hispanic, married, nodegree, re74, re75",,,,,1,,,lalonde_data.csv,"Table 2 (row A, NSW)",2002,economics,CC BY-NC 2.0,https://users.nber.org/~rdehejia/nswdata2.html,,,,Original data had separate files for treatment and control. We combine them together. ,"@article{dehejia_propensity_2002,
    author = {Dehejia, Rajeev H. and Wahba, Sadek},
    title = {Propensity Score-Matching Methods for Nonexperimental Causal Studies},
    journal = {The Review of Economics and Statistics},
    volume = {84},
    number = {1},
    pages = {151-161},
    year = {2002},
    month = {02},
    eprint = {https://direct.mit.edu/rest/article-pdf/84/1/151/1613304/003465302317331982.pdf},
}",,
Propensity Score Matching for methods for non-experimental causal studies,"The observational dataset merges information from two sources. The first is the National Supported Work (NSW) Demonstration, a job training program aimed at improving worker skills. Participants were randomly assigned to either a treatment group that received the training or a control group that did not. The second source is the Panel Study of Income Dynamics (PSID), a nationally representative observational survey of U.S. households. The PSID group did not take part in the NSW program but was selected based on similar background characteristics. Variables: age: Age in years; education: Number of years of schooling; black: Race indicator (1 if Black, 0 otherwise); hispanic: Ethnicity indicator (1 if Hispanic, 0 otherwise); married: Marital status (1 if married, 0 otherwise); nodegree: Education status (1 if no high school degree, 0 otherwise); re74: Earnings in 1974 (in U.S. dollars); re75: Earnings in 1975 (in U.S. dollars); re78: Earnings in 1978 (in U.S. dollars); u74: Employment status in 1974 (1 if unemployed, 0 otherwise); u75: Employment status in 1975 (1 if unemployed, 0 otherwise); treat: Treatment status (1 if assigned to the NSW program, 0 otherwise)",Does participating in the NSW training program lead to an increase in earnings?,1428,1126,0,matching,treat,re78,"age, education, black, hispanic, married, nodegree, re74, re75",,,,,0,,,lalonde_psid1.csv,"Table 4 (PSID, Dropping squares)",2002,economics,CC BY-NC 2.0,https://users.nber.org/~rdehejia/nswdata2.html,,"I could not reproduce the full results. This needs further review. If problematic, we can omit it. ",,,"""@article{dehejia_propensity_2002,
    author = {Dehejia, Rajeev H. and Wahba, Sadek},
    title = {Propensity Score-Matching Methods for Nonexperimental Causal Studies},
    journal = {The Review of Economics and Statistics},
    volume = {84},
    number = {1},
    pages = {151-161},
    year = {2002},
    month = {02},
    eprint = {https://direct.mit.edu/rest/article-pdf/84/1/151/1613304/003465302317331982.pdf},
}""",,
Can immigrants counteract employer discrimination? A factorial field experiment reveals the immutability of ethnic hierarchies,"The data comes from a randomized field experiment designed to assess whether a candidate's background influences their likelihood of receiving a job interview or offer. Researchers submitted fictitious job applications to restaurants and cafes across Sweden at random. The applications varied in terms of country of birth, gender, citizenship status, work experience, and religious activity. A positive response was defined as a job offer, interview invitation, or follow-up inquiry, while a negative response included any other reply or no response at all. Variables: name: Name of the candidate; stad: City; citizen: 1 if the candidate is a Swedish citizen, 0 otherwise; religious: 1 if the candidate is religious, 0 otherwise; experience: 1 if the candidate has work experience, 0 otherwise; poland: 1 if the candidate was born in Poland, 0 otherwise; iraq: 1 if the candidate was born in Iraq, 0 otherwise; somalia: 1 if the candidate was born in Somalia, 0 otherwise; skilledjob: 1 if the job is high-skilled, 0 otherwise; woman: 1 if the candidate is a woman, 0 otherwise; invited: 1 if the candidate received an interview or a job or a follow-up response, 0 otherwise; city1, city2, city3, city4, city5, city6, city7: Dummy variables for the seven cities; immigrant: 1 if the candidate is an immigrant (not born in Sweden), 0 otherwise; time: Proportion of the applicant's life spent living in Sweden (scaled between 0 and 1)",Does being an immigrant make it less likely to get an interview request?,-0.087,0.03,1,ols,immigrant,invited,"citizen, woman, religious, experience, skilledjob, time",,,,,1,,,vernby_2019.csv,Table 2 (2),2019,economics,CC0 1.0,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/HVRL0S,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/HVRL0S,,,,"@article{vernby_countering,
    doi = {10.1371/journal.pone.0218044},
    author = {Vernby, Kåre AND Dancygier, Rafaela},
    journal = {PLOS ONE},
    publisher = {Public Library of Science},
    title = {Can immigrants counteract employer discrimination? A factorial field experiment reveals the immutability of ethnic hierarchies},
    year = {2019},
    month = {07},
    volume = {14},
    url = {https://doi.org/10.1371/journal.pone.0218044},
    pages = {1-19},

}",,
Can immigrants counteract employer discrimination? A factorial field experiment reveals the immutability of ethnic hierarchies,"The data comes from a randomized field experiment designed to assess whether a candidate's background influences their likelihood of receiving a job interview or offer. Researchers submitted fictitious job applications to restaurants and cafes across Sweden at random. The applications varied in terms of country of birth, gender, citizenship status, work experience, and religious activity. A positive response was defined as a job offer, interview invitation, or follow-up inquiry, while a negative response included any other reply or no response at all. Variables: name: Name of the candidate; stad: City; citizen: 1 if the candidate is a Swedish citizen, 0 otherwise; religious: 1 if the candidate is religious, 0 otherwise; experience: 1 if the candidate has work experience, 0 otherwise; poland: 1 if the candidate was born in Poland, 0 otherwise; iraq: 1 if the candidate was born in Iraq, 0 otherwise; somalia: 1 if the candidate was born in Somalia, 0 otherwise; skilledjob: 1 if the job is high-skilled, 0 otherwise; woman: 1 if the candidate is a woman, 0 otherwise; invited: 1 if the candidate received an interview or a job or a follow-up response, 0 otherwise; city1, city2, city3, city4, city5, city6, city7: Dummy variables for the seven cities; immigrant: 1 if the candidate is an immigrant (not born in Sweden), 0 otherwise; time: Proportion of the applicant's life spent living in Sweden (scaled between 0 and 1)","How does being born in Somalia, compared to candidates from other countries, affect a candidate's chances of getting a job interview?",-0.144,0.031,1,ols,somalia,invited,"citizen, woman, religious, experience, skilledjob, time, poland, iraq",,,,,1,,,vernby_2019.csv,Table 2 (4),2019,economics,CC0 1.0,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/HVRL0S,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/HVRL0S,,,,"@article{vernby_countering,
    doi = {10.1371/journal.pone.0218044},
    author = {Vernby, Kåre AND Dancygier, Rafaela},
    journal = {PLOS ONE},
    publisher = {Public Library of Science},
    title = {Can immigrants counteract employer discrimination? A factorial field experiment reveals the immutability of ethnic hierarchies},
    year = {2019},
    month = {07},
    volume = {14},
    url = {https://doi.org/10.1371/journal.pone.0218044},
    pages = {1-19},

}",,
Using geographic variation in college proximity to estimate the return to schooling,"The National Longitudinal Survey of Young Men (NLSYM) was conducted to collect data on demographics, education, and employment outcomes. Participants were tracked over time to study long-term patterns. The dataset used here comes from the 1976 wave of the survey. Variables include: lwage: log of wages; educ: years of education; exper: years of work experience; black: 1 if the individual is Black, 0 otherwise; south: 1 if the individual lives in a southern state, 0 otherwise; married: 1 if married, 0 otherwise; smsa: 1 if living in a metropolitan area, 0 otherwise; nearc4: 1 if there is a four-year college in the county, 0 otherwise",What is the effect of education on earnings?,0.132,0.049,1,iv,educ,lwage,"exper, black, south, smsa",,,nearc4,,0,,,card_geographic.csv,Table 4(2),1993,economics,MIT,https://cran.r-project.org/web/packages/causaldata/causaldata.pdf,https://github.com/scunning1975/mixtape,,The version in R is slightly different from the original version used by Card. ,,"@techreport{card_geographic_1993,
 title = ""Using Geographic Variation in College Proximity to Estimate the Return to Schooling"",
 author = ""Card, David"",
 institution = ""National Bureau of Economic Research"",
 type = ""Working Paper"",
 series = ""Working Paper Series"",
 number = ""4483"",
 year = ""1993"",
 month = ""October"",
 doi = {10.3386/w4483},
 URL = ""http://www.nber.org/papers/w4483"",
}",,
Randomized experiments from non-random selection in U.S. House elections,"This dataset includes information on U.S. House of Representatives elections from 1946 to 1998. Most of the data come from the Historical Election Returns compiled by the ICPSR, with results from 1992 to 1998 obtained from the Office of the Clerk of the U.S. House of Representatives. Missing values were imputed using average electoral outcomes by state and year or by state and decade. The dataset includes both vote share data and candidate characteristics. Variable Information: demsharenext: Democratic vote share in the next election; demshareprev: Democratic vote share in the previous election; demwinprev: 1 if Democrats held the seat in the previous election, 0 otherwise; difdemshare: Difference in vote share between the Democratic and Republican candidates; difdemshare2 to difdemshare4: Squared, cubed, and fourth-power of the vote share difference; rdifdemshare to rdifdemshare4: Transformed vote share differences for observations above a set threshold; demofficeexp: Political experience of the Democratic candidate; othelectexp: Electoral experience of the opposing candidate; use: 1 if the observation is included in the analysis, 0 otherwise; right: 1 if the Democratic candidate's vote share is above the threshold, 0 otherwise",Does winning an election in a given period influence the party's subsequent electoral success?,0.078,0.011,1,rdd,right,demsharenext,"demofficeexp, demelectexp, othofficeexp, othelectexp",difdemshare,,,,0,,,lee_2008.csv,Table 2 (5),2008,political science,GPL,https://search.r-project.org/CRAN/refmans/RATest/html/00Index.html,ca,The treatment variable (called right) is already computed,,,"@article{lee_2008_randomized,
  author = {Lee, David S.},
  doi = {10.1016/j.jeconom.2007.05.004},
  journal = {Journal of Econometrics},
  pages = {675--697},
  title = {Randomized experiments from non-random selection in U.S. House elections},
  volume = {142},
  year = {2008}
}
",,
