id,economicsupport,emotionalsupport,caresupport,economicpoverty,healthpoverty,rightspoverty,spiritualpoverty,multidimensionalpoverty,gender,age,squareofage,maritalstatus,householdregistration,totalnumberofchildren,numberofboys,proportionofboys,region,socialsecurity,totalhouseholdincome,numberofpeoplelivingtogether
11001618,7.6009026,1,1,0,0,0,1,0,0,101,10201,0,1,3,2,0.6666667,1,0,10.463103,3
11001918,8.987197,1,1,0,0,0,1,0,0,71,5041,0,1,2,0,0.0,0,1,10.7009945,0
11002118,8.699514,1,1,0,1,0,0,0,0,80,6400,0,1,3,2,0.6666667,1,1,10.645425,0
11002618,0.0,1,1,0,0,0,1,0,1,81,6561,0,1,2,1,0.5,0,1,11.395132,3
11002718,0.0,1,0,0,0,0,0,0,1,77,5929,1,1,2,1,0.5,1,1,11.395132,3
11002818,0.0,1,0,0,0,0,0,0,1,67,4489,1,1,1,0,0.0,1,1,11.407565,1
11003008,6.9077554,1,0,0,0,0,0,0,0,77,5929,0,0,3,2,0.6666667,1,1,8.881836,0
11003518,0.0,1,1,0,0,0,0,0,0,85,7225,1,1,3,2,0.6666667,1,1,11.512905,2
11003718,0.0,1,1,0,0,0,0,0,0,79,6241,1,1,2,1,0.5,1,1,11.512905,2
11004218,8.294049,1,1,0,0,0,1,0,1,95,9025,0,1,2,1,0.5,1,1,10.596635,0
11004318,0.0,1,1,0,0,0,0,0,0,78,6084,0,1,3,2,0.6666667,1,1,11.512905,3
11004418,0.0,1,0,0,0,0,0,0,0,68,4624,1,1,1,0,0.0,1,1,11.407565,1
11004718,9.2103405,1,1,0,0,0,0,0,0,84,7056,0,1,3,2,0.6666667,1,1,11.395132,1
11004918,0.0,1,0,0,0,0,0,0,0,75,5625,1,1,2,1,0.5,1,1,11.512905,3
11005218,0.0,1,0,0,0,0,0,0,1,70,4900,1,1,2,1,0.5,1,1,11.512905,4
11005518,8.006368,1,1,0,0,0,0,0,0,86,7396,1,1,3,1,0.33333334,1,1,11.512905,4
11005818,9.903487,1,1,0,0,0,0,0,1,79,6241,1,1,3,2,0.6666667,1,1,11.512905,1
11006118,9.1049795,1,1,0,0,0,0,0,1,87,7569,1,1,4,2,0.5,1,1,11.472103,3
11006318,0.0,1,0,0,0,0,0,0,1,67,4489,1,1,1,1,1.0,1,1,11.289782,1
11007218,0.0,1,1,0,0,0,0,0,0,83,6889,0,1,3,2,0.6666667,1,1,10.555813,2
11007318,0.0,1,1,0,0,0,0,0,1,93,8649,0,1,5,3,0.6,1,1,10.778956,3
11010118,0.0,1,1,0,0,0,0,0,1,85,7225,0,1,2,0,0.0,0,1,11.512905,2
11011118,0.0,1,1,0,1,0,0,0,0,102,10404,0,1,5,3,0.6,1,1,11.0021,1
11011318,0.0,1,1,0,0,0,0,0,0,103,10609,0,1,3,2,0.6666667,1,1,11.0021,1
11011518,11.156251,1,0,0,0,1,0,0,0,102,10404,0,1,4,1,0.25,0,1,11.512905,1
11011918,0.0,0,0,0,0,0,0,0,0,101,10201,0,1,2,0,0.0,1,1,11.395132,1
11012018,0.0,1,0,0,0,0,0,0,1,103,10609,0,1,2,2,1.0,0,1,11.512905,2
11012418,9.2103405,0,0,0,0,0,0,0,1,66,4356,1,1,1,1,1.0,1,1,11.407565,2
11012718,0.0,0,1,0,0,0,0,0,1,73,5329,1,1,2,1,0.5,1,1,10.819778,0
11012818,0.0,0,0,0,0,0,0,0,0,67,4489,1,1,1,1,1.0,1,1,11.264464,2
11012918,0.0,0,0,0,0,0,0,0,1,65,4225,1,1,1,0,0.0,0,1,11.512905,2
11013018,0.0,0,0,0,0,0,0,0,0,87,7569,1,1,0,0,0.0,1,1,11.512905,1
11013518,0.0,1,1,0,0,0,0,0,0,81,6561,0,1,2,1,0.5,1,1,10.896739,0
11013618,0.0,0,0,0,1,0,0,0,0,84,7056,1,1,4,1,0.25,1,1,11.512905,1
11013818,0.0,0,0,0,0,0,0,0,0,80,6400,1,1,2,2,1.0,0,1,11.512905,0
11014018,0.0,1,0,0,0,0,1,0,1,84,7056,1,1,4,1,0.25,1,1,11.289782,0
11014118,0.0,0,1,0,0,0,0,0,0,82,6724,0,1,2,2,1.0,1,1,11.512905,0
11014218,0.0,0,0,0,0,0,0,0,1,68,4624,1,1,1,0,0.0,1,1,10.819778,0
11014318,0.0,0,0,0,0,0,1,0,1,67,4489,1,1,1,0,0.0,1,1,11.512905,4
11014418,0.0,0,0,0,0,0,0,0,1,70,4900,1,1,1,1,1.0,1,1,11.407565,0
11014518,0.0,0,0,0,0,0,0,0,1,67,4489,1,1,1,0,0.0,1,1,11.512905,3
11014818,9.903487,0,0,0,0,0,0,0,0,95,9025,0,1,5,2,0.4,1,1,11.512905,3
11014918,0.0,1,1,0,0,0,1,0,0,97,9409,0,1,0,0,0.0,1,1,11.0021,0
11015118,0.0,1,1,0,1,0,0,0,1,100,10000,0,1,4,2,0.5,1,1,11.512905,1
11015218,0.0,1,1,0,0,0,0,0,0,98,9604,0,1,4,2,0.5,0,1,11.156251,0
11015518,0.0,1,1,0,0,0,0,0,0,94,8836,0,1,3,1,0.33333334,1,1,10.961278,2
11015718,0.0,1,1,0,0,0,0,0,1,90,8100,0,1,2,1,0.5,1,1,11.407565,1
11016018,0.0,1,1,0,0,0,1,0,1,91,8281,0,1,5,3,0.6,1,1,11.395132,0
11016218,0.0,1,0,0,0,0,0,0,0,97,9409,0,1,3,1,0.33333334,0,1,11.309585,1
11016318,0.0,1,1,0,0,0,0,0,1,97,9409,0,1,7,3,0.42857143,1,1,11.512905,5
11016418,0.0,1,1,0,0,0,1,0,0,88,7744,0,1,3,1,0.33333334,1,1,11.512905,4
11016518,0.0,1,1,0,0,0,0,0,0,89,7921,0,1,3,3,1.0,1,1,11.512905,1
11016618,0.0,0,0,0,0,0,0,0,1,85,7225,1,1,2,1,0.5,0,1,11.512905,0
11016718,0.0,0,0,0,1,0,0,0,1,85,7225,1,1,2,2,1.0,1,1,0.0,0
11017018,0.0,0,0,0,0,0,0,0,0,66,4356,1,1,1,0,0.0,1,1,11.407565,1
11017118,9.392662,1,0,0,0,0,0,0,1,76,5776,1,1,2,0,0.0,1,1,11.512905,3
11017718,0.0,0,0,0,1,0,0,0,0,70,4900,1,1,1,0,0.0,1,0,11.407565,2
11017818,0.0,1,1,0,0,0,0,0,0,81,6561,0,1,2,2,1.0,0,0,8.853665,2
11017918,0.0,1,0,0,0,0,0,0,0,69,4761,1,1,1,1,1.0,1,1,11.512905,3
11018018,0.0,1,0,0,0,0,0,0,1,77,5929,1,1,1,1,1.0,1,1,11.512905,3
11018118,0.0,0,0,0,0,0,0,0,1,77,5929,1,1,2,0,0.0,1,1,11.512905,1
11018218,0.0,1,1,0,1,0,1,1,1,81,6561,1,1,4,2,0.5,1,1,11.09741,0
11018318,8.699514,1,0,1,1,0,0,1,0,68,4624,1,1,2,1,0.5,0,1,10.819778,3
11018418,0.0,1,1,1,1,0,0,1,0,85,7225,0,1,5,1,0.2,1,1,11.395132,2
11018518,8.517193,0,1,0,0,0,0,0,0,78,6084,1,1,2,0,0.0,1,1,11.512905,3
11018818,0.0,0,0,0,1,0,0,0,0,73,5329,1,1,2,1,0.5,1,1,11.512905,2
11018918,0.0,1,0,0,1,0,0,0,1,81,6561,1,1,1,1,1.0,1,1,11.512905,0
11019018,0.0,0,0,0,0,0,0,0,0,77,5929,1,1,1,1,1.0,0,1,11.512905,0
11019218,0.0,1,0,0,0,0,0,0,1,85,7225,0,1,2,0,0.0,1,1,11.156251,1
11019518,9.305651,0,0,0,0,0,0,0,0,78,6084,1,1,2,1,0.5,1,1,11.512905,0
11019818,0.0,0,0,0,0,0,0,0,0,68,4624,1,1,1,0,0.0,1,1,11.512905,1
11020018,0.0,1,0,0,0,0,0,0,0,66,4356,1,1,1,0,0.0,1,1,8.294049,0
11020118,0.0,1,0,0,0,0,0,0,0,100,10000,0,0,4,2,0.5,1,1,11.512905,0
11020218,8.630522,1,0,0,0,0,0,0,1,100,10000,0,1,5,3,0.6,1,1,11.512905,0
11020918,0.0,1,1,0,0,1,0,0,0,103,10609,0,1,2,1,0.5,1,1,11.512905,5
11021018,0.0,1,0,0,1,0,0,0,1,103,10609,1,1,4,0,0.0,0,1,11.512905,2
11021218,8.853665,1,1,0,0,0,0,0,1,101,10201,0,1,1,1,1.0,1,1,10.491274,2
11021418,0.0,1,1,0,0,0,1,0,0,102,10404,0,1,6,6,1.0,1,1,11.395132,2
11021718,0.0,1,0,0,0,0,0,0,1,103,10609,0,1,2,1,0.5,1,1,11.512905,5
11021918,0.0,1,0,0,0,0,0,0,0,96,9216,0,1,4,2,0.5,1,1,11.395132,0
11022118,7.6009026,1,0,0,0,0,1,0,0,90,8100,0,1,2,1,0.5,1,1,11.395132,0
11022318,0.0,1,0,0,0,0,0,0,1,91,8281,0,1,4,3,0.75,0,1,11.289782,0
11022518,10.515966,1,1,0,0,1,1,1,1,97,9409,0,1,5,2,0.4,1,1,11.512905,0
11023518,0.0,1,0,0,0,0,0,0,1,86,7396,0,1,2,1,0.5,1,1,10.819778,0
11023818,8.294049,1,0,0,0,1,0,0,1,83,6889,1,1,2,1,0.5,1,1,11.512905,0
11024118,0.0,1,0,0,0,0,0,0,1,81,6561,0,1,2,1,0.5,1,1,11.0021,0
11024518,8.294049,1,0,0,0,0,0,0,0,83,6889,0,1,2,1,0.5,1,1,11.512905,0
11024618,0.0,1,1,0,0,0,0,0,0,83,6889,0,1,2,1,0.5,0,1,11.512805,0
11024718,0.0,1,0,0,0,0,0,0,1,85,7225,0,1,2,1,0.5,1,0,11.512905,0
11024818,0.0,1,1,0,1,0,0,0,0,90,8100,0,1,4,3,0.75,1,1,11.512905,0
11024918,0.0,0,0,0,0,0,1,0,0,79,6241,1,1,2,1,0.5,1,1,0.0,2
11025118,0.0,1,1,0,0,0,0,0,1,76,5776,0,1,2,1,0.5,1,1,11.512905,0
11025318,0.0,1,0,0,0,0,0,0,1,79,6241,1,1,2,1,0.5,1,1,7.495542,0
11026418,0.0,1,1,0,1,0,0,0,0,75,5625,0,1,1,0,0.0,1,1,11.0021,0
11026618,0.0,1,0,0,0,0,0,0,0,78,6084,1,1,1,0,0.0,1,1,11.512905,0
11026818,0.0,1,0,0,0,0,1,0,0,72,5184,0,1,2,2,1.0,1,1,11.0021,0
11026918,0.0,0,0,0,0,0,1,0,0,78,6084,0,1,1,0,0.0,1,1,0.0,0
11027018,7.6009026,1,1,0,1,1,1,1,0,75,5625,0,1,3,1,0.33333334,1,1,11.395132,0
11027318,9.2103405,1,1,0,0,0,0,0,1,77,5929,0,1,1,1,1.0,1,1,11.395132,0
11027418,0.0,1,0,0,0,0,0,0,1,67,4489,1,1,0,1,0.0,1,1,11.512905,0
11030918,8.006368,1,0,0,0,0,0,0,1,83,6889,1,1,1,1,1.0,1,1,10.819778,1
11031318,0.0,1,1,0,0,1,0,0,0,91,8281,1,1,4,1,0.25,1,1,11.512905,4
11031418,6.55108,1,1,0,0,0,0,0,0,92,8464,0,1,5,1,0.2,1,1,11.0021,0
11031818,9.2103405,1,1,0,0,1,1,1,0,87,7569,0,1,0,0,0.0,1,1,10.896739,2
11031918,9.903487,1,0,0,0,0,0,0,0,73,5329,1,1,2,2,1.0,1,1,11.512905,1
11032018,9.852194,1,1,0,0,0,0,0,1,103,10609,0,1,4,3,0.75,0,1,11.512905,2
11032118,8.517193,1,1,0,0,0,0,0,1,101,10201,1,1,4,1,0.25,1,1,11.512905,4
11032218,10.165852,1,1,0,0,0,0,0,0,90,8100,0,1,6,3,0.5,1,1,10.819778,1
11032418,0.0,1,0,0,0,0,0,0,1,73,5329,1,1,1,0,0.0,1,1,11.512905,4
11032618,0.0,1,0,0,0,0,0,0,1,84,7056,1,1,4,0,0.0,1,1,11.512905,1
11032718,6.9077554,1,1,0,1,0,1,1,0,83,6889,0,1,3,0,0.0,1,1,10.385914,1
11032818,0.0,1,1,0,0,0,1,0,1,102,10404,0,0,4,3,0.75,1,1,11.395132,3
11033018,0.0,1,1,0,0,0,0,0,0,101,10201,0,1,4,3,0.75,1,1,0.0,0
11033118,9.546813,1,1,0,0,0,0,0,0,94,8836,0,1,5,4,0.8,1,1,11.395132,2
11033218,7.090077,1,0,0,1,0,0,0,0,86,7396,0,1,3,1,0.33333334,1,1,11.512905,1
11033318,9.2103405,1,1,0,0,0,0,0,0,81,6561,0,1,5,3,0.6,1,1,11.395132,2
11033418,9.903487,1,0,0,0,0,1,0,0,70,4900,1,1,1,0,0.0,1,1,11.395132,5
11033518,9.2103405,0,0,0,0,0,1,0,0,68,4624,1,1,1,1,1.0,0,1,0.0,1
11034618,8.987197,1,1,0,0,0,1,0,0,100,10000,0,1,6,2,0.33333334,1,0,11.395132,0
11034718,0.0,0,0,0,0,0,0,0,0,78,6084,1,1,1,0,0.0,0,1,11.512905,2
11034818,8.006368,0,1,0,0,0,1,0,0,95,9025,0,1,4,3,0.75,1,1,11.395132,2
11034918,9.392662,1,0,0,0,0,1,0,0,86,7396,1,1,3,1,0.33333334,1,1,9.21014,1
11035218,0.0,1,0,0,0,0,1,0,0,70,4900,1,1,2,0,0.0,1,1,11.512905,1
11035318,8.699514,1,0,0,0,0,0,0,1,81,6561,1,1,3,1,0.33333334,1,1,11.512905,1
11035718,6.9077554,1,0,0,0,0,0,0,1,79,6241,1,1,2,1,0.5,1,1,9.2103405,1
11035802,7.6009026,1,0,0,0,0,0,0,0,89,7921,1,0,3,2,0.6666667,1,1,9.615806,1
11035818,7.6009026,1,1,0,0,0,0,0,0,85,7225,0,1,5,1,0.2,1,1,11.512905,2
11036018,7.6009026,1,1,0,0,0,0,0,0,74,5476,1,1,4,3,0.75,1,1,11.472103,1
11036418,0.0,1,0,0,0,0,0,0,1,85,7225,0,1,5,3,0.6,1,1,9.2103405,0
11036918,0.0,1,1,0,0,0,1,0,0,83,6889,0,1,5,2,0.4,1,1,11.512905,3
11038418,9.903487,1,1,0,0,0,0,0,0,88,7744,0,0,4,2,0.5,1,1,10.819778,0
11038518,0.0,1,1,0,0,0,0,0,0,81,6561,0,0,5,2,0.4,1,1,10.819778,0
11038718,8.517193,0,0,0,0,0,0,0,1,69,4761,1,0,2,1,0.5,1,1,10.819778,1
11038818,0.0,1,0,0,0,0,0,0,1,66,4356,1,0,1,1,1.0,1,1,11.512905,4
11040118,0.0,1,1,0,0,0,0,0,0,102,10404,0,1,6,3,0.5,1,1,11.289782,2
11040318,0.0,0,0,0,0,0,0,0,1,70,4900,1,1,1,1,1.0,1,1,9.21014,2
11040418,0.0,1,1,0,0,1,0,0,1,82,6724,0,1,1,1,1.0,1,1,11.395132,3
11040618,0.0,1,0,0,0,0,0,0,0,74,5476,1,0,2,2,1.0,1,1,11.512905,3
11040818,8.36637,1,1,0,0,0,0,0,0,85,7225,0,0,6,3,0.5,1,1,11.407565,3
11040918,9.615806,1,1,0,0,0,0,0,0,95,9025,0,1,7,5,0.71428573,1,1,8.699514,0
11041118,7.9373746,1,1,0,0,0,0,0,0,92,8464,0,1,3,2,0.6666667,1,1,11.512905,2
11041218,8.006368,1,0,0,0,0,0,0,0,73,5329,1,0,2,1,0.5,1,1,11.512905,1
11041418,7.863267,1,1,1,0,0,0,0,1,93,8649,0,0,6,4,0.6666667,1,1,11.512905,3
11041518,6.684612,1,1,1,0,0,0,0,0,101,10201,0,0,12,3,0.25,1,1,10.308952,3
11041618,9.2103405,1,0,0,0,0,0,0,1,65,4225,1,0,2,1,0.5,1,1,11.512905,4
11041718,8.699514,1,0,0,0,0,0,0,1,76,5776,1,0,2,1,0.5,1,1,8.987197,4
11041818,7.824046,1,1,0,0,0,0,0,1,89,7921,0,0,4,3,0.75,1,1,9.1049795,0
11041918,9.903487,1,1,0,0,0,0,0,1,97,9409,0,1,6,4,0.6666667,1,1,11.512905,2
11042118,9.2103405,1,1,0,0,0,0,0,0,87,7569,0,1,3,2,0.6666667,1,1,9.2103405,5
11042218,0.0,0,0,0,0,0,0,0,0,66,4356,1,1,1,1,1.0,1,1,11.350407,1
11042318,0.0,1,1,0,0,0,0,0,0,78,6084,1,1,3,2,0.6666667,1,1,11.512905,3
11042618,7.6009026,1,1,0,0,1,0,0,0,84,7056,0,0,5,1,0.2,1,1,10.819778,3
11042718,0.0,0,0,0,0,0,0,0,0,73,5329,1,0,3,2,0.6666667,1,1,11.0021,1
11042818,8.779557,1,1,1,0,0,1,1,0,100,10000,0,1,5,2,0.4,1,1,10.961278,1
11043018,0.0,1,1,0,0,0,0,0,0,79,6241,0,1,4,3,0.75,1,1,11.156251,4
11043218,6.9077554,1,1,0,0,0,0,0,0,97,9409,0,0,4,2,0.5,1,1,10.819778,3
11043518,6.9077554,1,0,0,0,0,0,0,1,80,6400,1,1,2,0,0.0,1,1,11.225244,1
11043618,7.3132205,1,1,0,0,0,0,0,1,90,8100,0,1,3,1,0.33333334,1,1,11.472103,1
11043818,6.9077554,1,1,0,0,0,0,0,0,65,4225,1,1,1,1,1.0,1,1,11.512905,4
11043918,0.0,0,0,0,0,0,0,0,1,74,5476,1,1,2,2,1.0,1,1,11.512905,1
11044018,0.0,1,1,0,0,0,0,0,1,85,7225,1,1,3,2,0.6666667,1,1,11.512905,3
11044118,0.0,1,1,0,0,0,0,0,1,95,9025,0,1,4,1,0.25,1,1,11.512905,2
11044218,0.0,0,0,0,0,0,0,0,1,101,10201,0,1,2,1,0.5,1,1,11.512905,1
11044418,0.0,1,0,0,0,0,0,0,1,84,7056,1,1,3,1,0.33333334,1,1,11.512905,1
11044618,9.472705,1,1,0,0,0,0,0,0,102,10404,0,1,8,4,0.5,1,1,11.079061,1
11044718,9.2103405,1,0,0,0,0,0,0,1,65,4225,1,0,2,0,0.0,1,1,10.596635,2
11044818,9.2103405,1,0,0,0,0,0,0,1,77,5929,1,0,2,1,0.5,1,1,10.961278,1
11044918,8.006368,1,1,0,0,1,0,0,1,86,7396,0,1,3,2,0.6666667,1,1,11.0021,2
11045018,9.2103405,1,1,0,0,0,0,0,1,97,9409,0,0,6,3,0.5,1,1,10.385914,2
