"vtr_gen01","vtr_gen03","vtr_gen05","treated","four_weeks","two_weeks","three_days","control","democrat","republican","unenrolled","other_party","age","age_squared","contacted_4weeks","contacted_2weeks","contacted_3days","vote_prop","use","id"
1,0,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,6774
1,0,0,0,0,0,0,1,1,0,0,0,,,0,0,0,0.721448123455048,0,2571
1,1,0,0,0,0,0,1,1,0,0,0,,,0,0,0,0.951756477355957,0,3393
1,1,1,0,0,0,0,1,1,0,0,0,,,0,0,0,0.951756477355957,0,10348
1,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.699904203414917,0,6330
1,1,1,0,0,0,0,1,0,1,0,0,205.100692749023,42066.28125,0,0,0,0.951756477355957,0,8973
1,1,1,0,0,0,0,1,1,0,0,0,,,0,0,0,0.951756477355957,0,12375
1,1,1,0,0,0,0,1,1,0,0,0,,,0,0,0,0.951756477355957,0,2927
0,0,1,0,0,0,0,1,0,0,0,0,153.049499511719,23424.150390625,0,0,0,0.108324803411961,0,22711
1,1,1,0,0,0,0,1,0,0,1,0,,,0,0,0,0.951756477355957,0,17848
1,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,2873
0,1,0,0,0,0,0,1,0,1,0,0,205.100692749023,42066.28125,0,0,0,0.835838913917542,0,19279
1,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,8379
1,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,3315
1,1,0,0,0,0,0,1,0,1,0,0,,,0,0,0,0.699904203414917,0,5541
0,0,0,0,0,0,0,1,0,1,0,0,,,0,0,0,0.254888504743576,0,3929
1,1,0,1,0,0,1,0,0,1,0,0,,,0,0,1,0.877676427364349,0,3710
1,1,0,0,0,0,1,0,0,1,0,0,,,0,0,0,0.951756477355957,0,4391
1,1,1,0,0,0,0,1,1,0,0,0,,,0,0,0,0.951756477355957,0,15168
1,0,1,0,0,0,0,1,1,0,0,0,,,0,0,0,0.951756477355957,0,3960
0,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.835838913917542,0,11390
1,0,0,1,0,1,0,0,0,1,0,0,,,0,1,0,0.510150074958801,0,11233
1,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,18681
1,1,1,1,0,0,1,0,0,1,0,0,,,0,0,1,0.951756477355957,0,3249
1,1,0,0,0,0,0,1,0,0,1,0,,,0,0,0,0.951756477355957,0,4007
0,0,0,1,0,0,1,0,0,1,0,0,,,0,0,1,0.436241388320923,0,19589
1,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,1181
0,0,0,0,0,0,0,1,0,1,0,0,205.100692749023,42066.28125,0,0,0,0.108324803411961,0,1197
0,0,0,0,0,0,0,1,1,0,0,0,205.100692749023,42066.28125,0,0,0,0.254888504743576,0,14042
0,0,0,0,0,0,0,1,0,1,0,0,,,0,0,0,0.108324803411961,0,4771
1,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,14959
1,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,3609
1,1,1,1,0,1,0,0,0,1,0,0,,,0,1,0,0.951756477355957,0,2741
1,1,0,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,8821
1,1,1,1,0,1,0,0,0,1,0,0,,,0,1,0,0.951756477355957,0,8718
1,1,0,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,17158
0,0,0,0,0,0,0,1,0,1,0,0,,,0,0,0,0.254888504743576,0,19653
1,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,17204
1,0,0,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,1368
0,0,0,0,0,0,0,1,0,1,0,0,,,0,0,0,0.683966279029846,0,4071
0,1,0,0,0,0,0,1,0,0,1,0,,,0,0,0,0.683966279029846,0,13549
1,1,0,0,0,0,1,0,0,1,0,0,,,0,0,0,0.951756477355957,0,4777
1,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,7959
0,1,0,0,0,0,0,1,0,1,0,0,,,0,0,0,0.254888504743576,0,19024
1,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,8818
1,1,0,0,0,0,0,1,1,0,0,0,,,0,0,0,0.951756477355957,0,8539
1,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,16751
1,1,1,0,0,0,0,1,0,1,0,0,205.100692749023,42066.28125,0,0,0,0.951756477355957,0,5232
1,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,16820
1,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.877676427364349,0,8613
0,1,0,0,0,0,0,1,0,1,0,0,,,0,0,0,0.835838913917542,0,19886
0,0,0,0,0,0,0,1,0,1,0,0,205.100692749023,42066.28125,0,0,0,0.436241388320923,0,3018
1,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,4223
1,1,1,0,0,0,0,1,1,0,0,0,,,0,0,0,0.951756477355957,0,10308
0,0,0,0,0,0,1,0,0,1,0,0,108.030601501465,11670.6103515625,0,0,0,0.108324803411961,0,8452
1,1,1,0,0,0,0,1,1,0,0,0,,,0,0,0,0.951756477355957,0,12515
1,1,0,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,19000
1,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,11116
1,1,1,0,0,0,0,1,1,0,0,0,,,0,0,0,0.951756477355957,0,3831
1,1,1,0,0,0,0,1,1,0,0,0,,,0,0,0,0.951756477355957,0,19633
1,1,1,1,0,1,0,0,0,1,0,0,,,0,1,0,0.951756477355957,0,4255
0,0,0,0,0,0,0,1,0,1,0,0,,,0,0,0,0.108324803411961,0,18296
1,1,1,0,0,0,0,1,1,0,0,0,,,0,0,0,0.951756477355957,0,4257
1,0,0,0,0,0,1,0,1,0,0,0,,,0,0,0,0.951756477355957,0,8122
1,1,1,0,0,0,1,0,0,1,0,0,,,0,0,0,0.951756477355957,0,3509
1,1,0,1,1,0,0,0,0,1,0,0,,,1,0,0,0.951756477355957,0,9147
1,1,1,0,0,0,0,1,1,0,0,0,,,0,0,0,0.951756477355957,0,9654
1,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,9135
1,1,1,1,1,0,0,0,0,0,0,1,,,1,0,0,0.951756477355957,0,14215
1,1,0,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,9159
1,1,0,0,0,0,1,0,1,0,0,0,,,0,0,0,0.861222505569458,0,3390
1,1,1,0,0,0,1,0,1,0,0,0,,,0,0,0,0.951756477355957,0,4536
0,1,0,0,0,0,0,1,1,0,0,0,205.100692749023,42066.28125,0,0,0,0.835838913917542,0,16676
1,1,1,0,0,0,0,1,1,0,0,0,,,0,0,0,0.951756477355957,0,13967
0,0,0,0,0,0,0,1,0,1,0,0,,,0,0,0,0.254888504743576,0,14751
1,1,1,0,0,0,0,1,1,0,0,0,,,0,0,0,0.951756477355957,0,24
0,0,0,0,0,0,0,1,0,1,0,0,,,0,0,0,0.108324803411961,0,11266
1,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,1970
0,0,0,0,0,0,0,1,0,1,0,0,,,0,0,0,0.108324803411961,0,2187
1,1,1,0,0,0,0,1,1,0,0,0,205.100692749023,42066.28125,0,0,0,0.951756477355957,0,18576
1,1,1,0,0,0,0,1,0,0,1,0,,,0,0,0,0.951756477355957,0,2065
1,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,5151
1,1,0,0,0,0,0,1,0,1,0,0,205.100692749023,42066.28125,0,0,0,0.951756477355957,0,10511
1,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.877676427364349,0,14880
1,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,2622
1,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,8236
1,1,1,0,0,0,0,1,1,0,0,0,,,0,0,0,0.951756477355957,0,2202
0,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.683966279029846,0,18363
1,1,1,1,0,0,1,0,0,1,0,0,205.100692749023,42066.28125,0,0,1,0.951756477355957,0,4067
1,1,1,1,0,0,1,0,1,0,0,0,,,0,0,1,0.951756477355957,0,2435
1,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,5457
0,0,0,0,0,0,0,1,1,0,0,0,,,0,0,0,0.108324803411961,0,3833
1,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,5912
1,1,0,0,0,0,0,1,1,0,0,0,,,0,0,0,0.951756477355957,0,3616
1,1,1,1,1,0,0,0,1,0,0,0,,,1,0,0,0.951756477355957,0,16982
1,1,0,0,0,0,0,1,0,1,0,0,,,0,0,0,0.877676427364349,0,4404
0,1,1,1,0,1,0,0,1,0,0,0,,,0,1,0,0.683966279029846,0,5528
1,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,2335
0,1,1,1,0,1,0,0,1,0,0,0,205.100692749023,42066.28125,0,1,0,0.254888504743576,0,12206
1,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,1857
1,1,0,1,0,1,0,0,1,0,0,0,,,0,1,0,0.951756477355957,0,7648
1,1,0,1,1,0,0,0,0,1,0,0,,,1,0,0,0.877676427364349,0,10103
1,1,1,0,0,0,0,1,1,0,0,0,,,0,0,0,0.951756477355957,0,8724
1,0,0,1,0,0,1,0,0,0,1,0,,,0,0,1,0.510150074958801,0,10067
1,1,0,1,0,0,1,0,0,1,0,0,,,0,0,1,0.951756477355957,0,19548
0,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.835838913917542,0,16718
0,0,0,0,0,0,0,1,0,1,0,0,,,0,0,0,0.108324803411961,0,16631
1,1,1,0,1,0,0,0,1,0,0,0,,,0,0,0,0.951756477355957,0,9398
1,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,17638
0,1,0,1,1,0,0,0,0,1,0,0,,,1,0,0,0.835838913917542,0,8393
0,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.835838913917542,0,7164
1,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,18299
1,1,1,0,0,0,0,1,0,0,0,1,,,0,0,0,0.877676427364349,0,2592
1,1,0,0,0,0,0,1,0,0,1,0,,,0,0,0,0.951756477355957,0,2620
1,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,4475
1,1,0,0,0,0,0,1,1,0,0,0,205.100692749023,42066.28125,0,0,0,0.951756477355957,0,10183
1,1,1,0,0,0,0,1,0,0,1,0,,,0,0,0,0.951756477355957,0,5778
1,1,1,0,0,0,0,1,0,1,0,0,205.100692749023,42066.28125,0,0,0,0.951756477355957,0,8832
1,0,1,0,0,0,0,1,1,0,0,0,,,0,0,0,0.951756477355957,0,3314
0,0,0,0,0,0,0,1,0,1,0,0,,,0,0,0,0.254888504743576,0,2716
1,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,13683
1,1,1,1,1,0,0,0,0,1,0,0,205.100692749023,42066.28125,1,0,0,0.951756477355957,0,2730
1,1,0,0,0,0,0,1,0,1,0,0,,,0,0,0,0.877676427364349,0,18488
1,1,1,0,0,0,0,1,0,1,0,0,205.100692749023,42066.28125,0,0,0,0.951756477355957,0,10475
1,1,1,0,0,0,0,1,1,0,0,0,205.100692749023,42066.28125,0,0,0,0.951756477355957,0,22332
1,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,15366
1,1,1,1,0,1,0,0,0,1,0,0,,,0,1,0,0.951756477355957,0,11312
1,1,1,0,0,0,0,1,0,0,1,0,,,0,0,0,0.951756477355957,0,13782
1,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,5881
1,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,17265
0,0,0,0,0,0,0,1,1,0,0,0,,,0,0,0,0.108324803411961,0,2686
1,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,14437
1,1,1,1,1,0,0,0,1,0,0,0,,,1,0,0,0.877676427364349,0,2760
1,1,1,0,0,0,0,1,1,0,0,0,,,0,0,0,0.951756477355957,0,2862
1,1,1,1,1,0,0,0,0,1,0,0,,,1,0,0,0.951756477355957,0,2874
1,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,18217
1,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,18428
1,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,2901
1,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,13436
1,1,1,1,0,0,1,0,0,1,0,0,,,0,0,1,0.951756477355957,0,9410
0,0,0,0,0,0,0,1,0,1,0,0,,,0,0,0,0.835838913917542,0,2955
1,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,13921
1,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,1446
1,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,11422
1,1,1,1,0,1,0,0,0,1,0,0,,,0,1,0,0.951756477355957,0,10751
1,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,5796
0,0,0,0,0,0,0,1,0,1,0,0,205.100692749023,42066.28125,0,0,0,0.683966279029846,0,7680
1,1,0,1,0,1,0,0,1,0,0,0,,,0,1,0,0.951756477355957,0,8676
1,1,1,0,0,0,0,1,0,1,0,0,205.100692749023,42066.28125,0,0,0,0.951756477355957,0,8335
1,1,1,0,0,0,0,1,0,1,0,0,205.100692749023,42066.28125,0,0,0,0.951756477355957,0,12935
1,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,5256
1,1,1,0,0,0,0,1,0,1,0,0,205.100692749023,42066.28125,0,0,0,0.951756477355957,0,5874
1,1,1,0,0,0,0,1,1,0,0,0,,,0,0,0,0.951756477355957,0,12411
0,0,0,0,0,0,0,1,0,1,0,0,,,0,0,0,0.108324803411961,0,3228
1,1,0,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,2985
1,1,1,0,0,0,0,1,1,0,0,0,,,0,0,0,0.951756477355957,0,16842
1,1,0,1,1,0,0,0,0,1,0,0,205.100692749023,42066.28125,1,0,0,0.951756477355957,0,14043
1,1,1,0,0,0,0,1,1,0,0,0,,,0,0,0,0.951756477355957,0,3298
1,0,0,0,0,0,0,1,0,1,0,0,,,0,0,0,0.510150074958801,0,3300
1,1,1,0,0,0,0,1,0,1,0,0,205.100692749023,42066.28125,0,0,0,0.951756477355957,0,3306
1,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,17982
1,1,1,0,0,0,0,1,0,1,0,0,205.100692749023,42066.28125,0,0,0,0.951756477355957,0,4796
1,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.877676427364349,0,5611
1,1,0,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,3341
1,0,0,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,14560
1,1,1,1,1,0,0,0,0,1,0,0,,,1,0,0,0.877676427364349,0,14369
0,0,0,0,0,0,0,1,0,1,0,0,,,0,0,0,0.65586268901825,0,3463
1,1,1,1,1,0,0,0,0,1,0,0,205.100692749023,42066.28125,1,0,0,0.951756477355957,0,8702
1,0,0,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,3386
1,0,0,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,16608
1,1,1,0,0,0,0,1,1,0,0,0,,,0,0,0,0.951756477355957,0,7331
1,1,0,0,0,0,0,1,1,0,0,0,,,0,0,0,0.951756477355957,0,4999
1,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.877676427364349,0,5761
1,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,18574
1,1,1,0,1,0,0,0,0,1,0,0,,,0,0,0,0.951756477355957,0,1125
0,0,0,0,1,0,0,0,0,1,0,0,,,0,0,0,0.108324803411961,0,11318
1,1,1,0,0,0,0,1,1,0,0,0,,,0,0,0,0.951756477355957,0,3557
1,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,7833
0,1,1,0,0,0,0,1,1,0,0,0,,,0,0,0,0.683966279029846,0,14031
0,0,0,0,0,0,0,1,1,0,0,0,,,0,0,0,0.108324803411961,0,7928
1,1,1,0,0,0,0,1,0,0,1,0,,,0,0,0,0.951756477355957,0,3371
1,1,1,1,1,0,0,0,0,1,0,0,,,1,0,0,0.861222505569458,0,10893
1,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,17928
1,1,0,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,2670
0,0,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.436241388320923,0,16009
1,1,1,0,0,0,0,1,1,0,0,0,,,0,0,0,0.951756477355957,0,3654
1,1,1,0,0,0,0,1,1,0,0,0,,,0,0,0,0.951756477355957,0,14827
1,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,6798
0,1,0,0,0,0,0,1,0,1,0,0,,,0,0,0,0.835838913917542,0,759
0,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.835838913917542,0,3682
1,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,7741
0,1,0,0,0,0,0,1,0,1,0,0,,,0,0,0,0.436241388320923,0,8589
1,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,3699
1,0,0,0,0,0,0,1,1,0,0,0,,,0,0,0,0.699904203414917,0,12246
1,1,1,0,0,0,0,1,1,0,0,0,,,0,0,0,0.951756477355957,0,3737
1,1,1,1,0,0,1,0,0,0,1,0,,,0,0,1,0.951756477355957,0,10525
1,1,1,0,0,0,0,1,1,0,0,0,,,0,0,0,0.951756477355957,0,16941
1,1,1,0,0,0,0,1,1,0,0,0,,,0,0,0,0.951756477355957,0,14156
1,1,1,0,0,0,0,1,1,0,0,0,,,0,0,0,0.877676427364349,0,4813
0,1,0,0,0,0,0,1,0,1,0,0,,,0,0,0,0.683966279029846,0,5097
0,0,0,0,0,0,0,1,0,1,0,0,133.049102783203,17702.080078125,0,0,0,0.108324803411961,0,24890
1,1,1,1,1,0,0,0,0,1,0,0,,,1,0,0,0.951756477355957,0,12657
0,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.835838913917542,0,8439
0,1,1,0,0,1,0,0,1,0,0,0,,,0,0,0,0.683966279029846,0,3830
1,1,1,1,0,0,1,0,1,0,0,0,,,0,0,1,0.951756477355957,0,3796
0,0,0,1,0,1,0,0,0,1,0,0,,,0,1,0,0.835838913917542,0,13339
1,1,0,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,3860
0,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.835838913917542,0,18246
0,0,0,0,0,0,0,1,1,0,0,0,205.100692749023,42066.28125,0,0,0,0.254888504743576,0,18346
0,0,0,1,1,0,0,0,0,1,0,0,,,1,0,0,0.683966279029846,0,3923
0,1,1,1,1,0,0,0,1,0,0,0,,,1,0,0,0.683966279029846,0,3931
0,1,0,0,0,0,0,1,0,1,0,0,,,0,0,0,0.835838913917542,0,3932
1,0,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,13644
1,1,0,0,0,0,0,1,1,0,0,0,205.100692749023,42066.28125,0,0,0,0.951756477355957,0,6974
1,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,7372
1,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,15395
1,0,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.877676427364349,0,10326
1,1,1,0,0,0,0,1,0,1,0,0,,,0,0,0,0.951756477355957,0,6213
1,1,1,0,0,0,0,1,1,0,0,0,,,0,0,0,0.951756477355957,0,718
1,1,0,0,0,0,0,1,0,1,0,0,,,0,0,0,0.877676427364349,0,19099
