fip,age,race,year,sex,totcase,totpop,rate,totrate,id,ir,crack,alcohol,income,ur,poverty,black,perc1519,perc,repeal,aids,aidscapita,ac,acc,trend,tsq,blk,wht,male,female,lnr,t,younger,fa,pi,wm15,wf15,bm15,bf15
1.0,15.0,2.0,1985.0,2,5683.0,106187,6527.5,5351.9,14.0,100.628044,0.2174378,1.9,11566.0,8.616667,20.6,25.458817,8.461768,8.46176815032959,0.0,27.0,0.67950445,27.0,0.67950445,1.0,1.0,1.0,0.0,0.0,1.0,8.783779,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,15.0,2.0,1986.0,2,5344.0,106831,6351.2,5002.3,14.0,111.85746,0.2768753,1.9,12164.0,9.083334,23.8,25.421017,8.47358,8.473580360412598,0.0,34.0,0.85169166,61.0,1.5311961,2.0,4.0,1.0,0.0,0.0,1.0,8.756399,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,15.0,2.0,1987.0,2,4983.0,106496,5759.1,4679.0,14.0,123.08688,0.2113712,1.89,12826.0,7.65,21.3,25.372551,8.397089,8.397089004516602,0.0,79.0,1.9672137,140.0,3.4984097,3.0,9.0,1.0,0.0,0.0,1.0,8.658537,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1.0,15.0,2.0,1988.0,2,5276.0,105238,6139.6,5013.4,14.0,134.3163,0.5597811,1.89,13698.0,6.9166665,19.3,25.331026,8.280076,8.280076026916504,0.0,111.0,2.7581367,251.0,6.2565465,4.0,16.0,1.0,0.0,0.0,1.0,8.722515,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1.0,15.0,2.0,1989.0,2,5692.0,102956,5951.5,5528.6,14.0,145.54572,0.7218242,1.87,14865.0,6.616667,18.9,25.291948,8.088959,8.088958740234375,0.0,155.0,3.8459067,379.0,9.422949,5.0,25.0,1.0,0.0,0.0,1.0,8.691399,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1.0,15.0,2.0,1990.0,2,5735.0,100568,6181.8,5702.6,14.0,156.77515,0.5094361,1.92,15723.0,6.3333335,19.2,25.20746,7.8683624,7.8683624267578125,0.0,177.0,4.370311,522.0,12.941568,6.0,36.0,1.0,0.0,0.0,1.0,8.729364,6.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1.0,15.0,2.0,1991.0,2,5587.0,100595,5189.0,5554.0,14.0,176.99,0.8582038,1.76,16406.0,6.875,18.8,25.298647,7.5744863,7.574486255645752,0.0,243.0,5.9280496,686.0,16.902405,7.0,49.0,1.0,0.0,0.0,1.0,8.5542965,7.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1.0,15.0,2.0,1992.0,2,4596.0,102094,4227.5,4501.7,14.0,197.20488,0.8854371,1.79,17327.0,6.883333,17.3,25.451624,7.4390697,7.439069747924805,0.0,283.0,6.812688,858.0,20.956955,8.0,64.0,1.0,0.0,0.0,1.0,8.349366,8.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1.0,15.0,2.0,1993.0,2,4217.0,103057,3787.9,4091.9,14.0,217.41974,0.2541232,1.86,17764.0,6.625,17.4,25.577772,7.4111776,7.411177635192871,0.0,310.0,7.356078,1013.0,24.467127,9.0,81.0,1.0,0.0,0.0,1.0,8.239567,9.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1.0,15.0,2.0,1994.0,2,4173.0,104922,3890.5,3977.2,14.0,237.63461,0.1229931,1.87,18606.0,5.383333,16.4,25.722185,7.429225,7.429224967956543,0.0,349.0,8.192048,1185.0,28.288864,10.0,100.0,1.0,0.0,0.0,1.0,8.266293,10.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1.0,15.0,2.0,1995.0,2,4423.0,107608,4525.0,4110.3,14.0,257.8495,1.155848,1.81,19441.0,5.225,20.1,25.83404,7.4919477,7.491947650909424,0.0,363.0,8.448148,1305.0,30.808962,11.0,121.0,1.0,0.0,0.0,1.0,8.417373,11.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1.0,15.0,2.0,1996.0,2,3336.0,108985,3612.7,3061.0,14.0,278.06433,1.549224,1.86,20081.0,4.491667,14.0,25.875631,7.5468783,7.546878337860107,0.0,340.0,7.850196,1362.0,31.84647,12.0,144.0,1.0,0.0,0.0,1.0,8.192211,12.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1.0,15.0,2.0,1997.0,2,2744.0,109799,2984.5,2499.1,14.0,298.2792,1.590946,1.81,20930.0,4.4416666,15.7,25.992054,7.5384593,7.538459300994873,0.0,189.0,4.3269873,1241.0,28.817379,13.0,169.0,1.0,0.0,0.0,1.0,8.001187,13.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
