country_,year,d_EBRD,l_d_ln_cumfdigdp,l2_change_predX2a,d_postcomseats,d_polcon3,wartorn,d_eu,d_ln_gdpcap
1.0,1994-01-01,6.439394,0.61518574,100.0,0.0,0.0,0,0.0,0.043888867
1.0,1995-01-01,7.575756,0.039740086,105.610825,0.0,0.0,0,0.0,0.047042966
1.0,1996-01-01,5.303032,0.16705418,98.88132,-0.19999999,0.0,0,0.0,0.048448563
1.0,1997-01-01,0.0,0.15257978,95.21962,0.59800005,0.0,0,0.0,-0.047715724
1.0,1998-01-01,5.303032,0.41796517,101.649704,0.0,0.017282695,0,0.0,0.060398877
1.0,1999-01-01,-2.651516,-0.09779787,106.31674,0.0,0.0,0,0.0,0.04960823
1.0,2000-01-01,4.545456,-0.11607218,103.946846,0.0,0.0,0,0.0,0.035503983
1.0,2001-01-01,3.78788,0.19506073,103.73576,-0.13800007,7.843971e-05,0,0.0,0.03708458
1.0,2002-01-01,0.0,0.19490027,106.36319,0.0,0.0660921,0,0.0,0.022558868
1.0,2003-01-01,0.0,0.030771732,103.692116,0.0,0.0,0,0.0,0.030094087
1.0,2004-01-01,0.0,-0.046519995,96.67978,0.0,0.0,0,0.0,0.031900167
2.0,1994-01-01,12.499999,-0.31015515,100.0,0.0,0.07198252,1,1.0,0.019878715
2.0,1995-01-01,9.09091,-0.0533458,101.79608,0.037,0.0,0,0.0,0.025050014
2.0,1996-01-01,6.060604,-0.17958558,100.35131,0.0,-0.11697416,0,0.0,0.022960812
2.0,1997-01-01,3.78788,0.016260505,100.02142,0.0,0.0,0,0.0,0.015656054
2.0,1998-01-01,1.136364,0.405465,99.44324,0.0,-0.009300068,0,0.0,0.02915597
2.0,1999-01-01,4.924244,0.8001194,99.57471,0.048,0.0,0,0.0,0.015874058
2.0,2000-01-01,3.7878761,0.31977034,100.23928,0.0,0.0,0,0.0,0.025515765
2.0,2001-01-01,2.651516,0.17645645,104.91693,0.0,0.08862664,0,0.0,0.039010286
2.0,2002-01-01,1.136364,0.028987646,100.982346,0.0,-0.034334928,0,0.0,0.054580986
2.0,2003-01-01,1.136364,0.07431197,100.451,0.0,-0.05429171,0,0.0,0.060731113
2.0,2004-01-01,1.136364,0.007925987,99.29568,0.0,-0.068902805,0,0.0,0.047256947
3.0,1996-01-01,3.78788,2.6878474,103.67754,0.0,0.0,0,1.0,0.0009251535
3.0,1997-01-01,9.848484,0.74936056,104.033966,0.0,0.0,0,0.0,0.015602559
3.0,1998-01-01,5.303032,0.5387285,94.043175,0.0,0.0,0,0.0,0.029900491
3.0,1999-01-01,3.7878761,0.2810936,89.277405,0.0,0.0,0,0.0,0.02287823
3.0,2000-01-01,1.136364,0.12123966,92.63047,0.0,0.0,0,0.0,0.03728506
3.0,2001-01-01,3.409092,-0.104385376,113.97016,0.0161,0.0,0,0.0,0.11954516
3.0,2002-01-01,-0.757576,-0.01969099,98.540276,0.0,0.0,0,0.0,0.047889292
3.0,2003-01-01,3.78788,0.21056461,94.456795,-0.0161,0.0,0,0.0,-0.13220394
3.0,2004-01-01,0.0,0.33926296,99.34796,0.0,0.0,0,0.0,0.039728403
4.0,1994-01-01,0.0,0.24116206,100.0,0.0,0.0,0,0.0,-0.060874104
4.0,1995-01-01,10.227274,0.13353139,98.783264,0.21200001,0.0,0,1.0,-0.049583316
4.0,1996-01-01,-6.439396,-0.06453854,99.31086,0.0,0.0,0,0.0,0.014110386
4.0,1997-01-01,-2.651514,0.33647224,98.843475,0.0,0.0,0,0.0,0.05313897
4.0,1998-01-01,-3.787879,0.78411895,100.756836,0.0,0.0,0,0.0,0.0425601
