dv_c_t1,dv_c_t2,dv_p_t2,t2_year,t1_atlargeormulticandidate,t1_openseat,t2_3rdpartyinc,t2_demfrinc,t2_incumbent_has_switched_prty,t2_is_midterm,t2_opend,t2_openr,t2_openseat,t2_redist,t2_repfrinc,t2_specialelectiontoeelect,t2_missingdexp,t2_missingrexp,t2_dexp,t2_rexp,t2_icf,south
-0.1011365,,0.0,2008,0.0,0,,0,,0,,,,,0,,1,1,0.0,0.0,1.0,1.0
0.5,,0.0,2008,0.0,0,,0,,0,,,,,0,,1,1,0.0,0.0,1.0,1.0
-0.1518325,,0.0,2008,0.0,0,,0,,0,,,,,0,,1,1,0.0,0.0,1.0,0.0
-0.046629,,0.0,2008,0.0,0,,0,,0,,,,,0,,1,1,0.0,0.0,1.0,0.0
-0.1018787,,0.0,2008,0.0,0,,0,,0,,,,,0,,1,1,0.0,0.0,1.0,1.0
0.5,,0.0,2008,0.0,0,,0,,0,,,,,0,,1,1,0.0,0.0,1.0,0.0
-0.1967311,,0.0,2008,0.0,0,,0,,0,,,,,0,,1,1,0.0,0.0,1.0,1.0
0.5,,0.0,2008,0.0,0,,0,,0,,,,,0,,1,1,0.0,0.0,1.0,0.0
0.1601418,,0.0,2008,0.0,0,,0,,0,,,,,0,,1,1,0.0,0.0,1.0,0.0
-0.1078658,,0.0,2008,0.0,0,,0,,0,,,,,0,,1,1,0.0,0.0,1.0,0.0
-0.1148305,,0.0,2008,0.0,0,,0,,0,,,,,0,,1,1,0.0,0.0,1.0,0.0
-0.0432915,,0.0,2008,0.0,1,,0,,0,,,,,0,,1,1,0.0,0.0,1.0,0.0
-0.1764973,,0.0,2008,0.0,0,,0,,0,,,,,1,,1,1,0.0,0.0,1.0,1.0
0.2706693,,0.0,2008,0.0,0,,0,,0,,,,,0,,1,1,0.0,0.0,1.0,0.0
-0.0358075,,0.0,2008,0.0,0,,0,,0,,,,,0,,1,1,0.0,0.0,1.0,1.0
0.2224821,,0.0,2008,0.0,1,,0,,0,,,,,0,,1,1,0.0,0.0,1.0,0.0
0.249,,0.0,2008,0.0,0,,0,,0,,,,,0,,1,1,0.0,0.0,1.0,0.0
-0.2106394,,0.0,2008,0.0,0,,0,,0,,,,,1,,1,1,0.0,0.0,1.0,1.0
-0.1921384,,0.0,2008,0.0,0,,0,,0,,,,,1,,1,1,0.0,0.0,1.0,1.0
-0.133788,,0.0,2008,0.0,0,,0,,0,,,,,0,,1,1,0.0,0.0,1.0,0.0
0.0443704,,0.0,2008,0.0,1,,0,,0,,,,,0,,1,1,0.0,0.0,1.0,0.0
0.3346763,,0.0,2008,0.0,0,,0,,0,,,,,0,,1,1,0.0,0.0,1.0,0.0
0.0294576,,0.0,2008,0.0,0,,0,,0,,,,,0,,1,1,0.0,0.0,1.0,0.0
0.5,,0.0,2008,0.0,0,,0,,0,,,,,0,,1,1,0.0,0.0,1.0,0.0
-0.0679797,,0.0,2008,0.0,0,,0,,0,,,,,0,,1,1,0.0,0.0,1.0,0.0
0.2318382,,0.0,2008,0.0,0,,0,,0,,,,,0,,1,1,0.0,0.0,1.0,1.0
0.5,,0.0,2008,0.0,0,,0,,0,,,,,0,,1,1,0.0,0.0,1.0,0.0
0.2071813,,0.0,2008,0.0,0,,0,,0,,,,,0,,1,1,0.0,0.0,1.0,0.0
0.4055952,,0.0,2008,0.0,0,,0,,0,,,,,0,,1,1,0.0,0.0,1.0,0.0
-0.159,,0.0,2008,0.0,0,,0,,0,,,,,0,,1,1,0.0,0.0,1.0,1.0
-0.1746474,,0.0,2008,0.0,0,,0,,0,,,,,0,,1,1,0.0,0.0,1.0,1.0
0.0281113,,0.0,2008,0.0,0,,0,,0,,,,,0,,1,1,0.0,0.0,1.0,0.0
-0.1268287,,0.0,2008,0.0,0,,0,,0,,,,,0,,1,1,0.0,0.0,1.0,1.0
0.3122835,,0.0,2008,0.0,0,,0,,0,,,,,0,,1,1,0.0,0.0,1.0,0.0
0.1586965,,0.0,2008,0.0,0,,0,,0,,,,,0,,1,1,0.0,0.0,1.0,0.0
0.1877023,,0.0,2008,0.0,0,,0,,0,,,,,0,,1,1,0.0,0.0,1.0,0.0
0.1079849,,0.0,2008,0.0,0,,0,,0,,,,,0,,1,1,0.0,0.0,1.0,0.0
-0.164,,0.0,2008,0.0,0,,0,,0,,,,,0,,1,1,0.0,0.0,1.0,0.0
