villageid,snow,sow2,sow3,sow4,villagename,sow1,group,insuredpig,pig,sow0,edu_vil,male_vil,age_vil,goat,house_val,land,subsidy,town_loc,surname_vil,pop_regist,pop_migout,no_xnh,townid,towndummy1,towndummy2,towndummy3,towndummy4,towndummy5,towndummy6,towndummy7,towndummy8,towndummy9,towndummy10,towndummy11,towndummy12,towndummy13,towndummy14,towndummy15,towndummy16,towndummy17,towndummy18,towndummy19,towndummy20,towndummy21,towndummy22,towndummy23,towndummy24,towndummy25,towndummy26,snow_insured,groupd1,groupd2,groupd3,lhouse_val,snow_groupd2,snow_groupd3
100001.0,0.0,,,,½ðÃ÷¡¢ºÏÀí¡¢ÕÅ¼ÒÍå¡¢Èý½Ö,15.0,2,4,19,0,6.675676,0.5405405,48.567566,0.0,94516.13,0.18064517,2.0,1.0,11.0,5886.0,117.0,1.0,100.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,11.456536,0.0,0.0
100002.0,0.0,,,,,,1,4,59,0,7.046154,0.43076923,30.36923,2.0,59411.766,1.1470588,1.0,0.0,22.0,4772.0,187.0,18.0,100.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,10.992265,0.0,0.0
100003.0,0.0,,,,,,3,4,0,0,7.75,0.5625,32.8125,0.0,125000.0,0.3,3.0,0.0,21.0,8820.0,430.0,0.0,100.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,11.736077,0.0,0.0
100004.0,0.0,,,,,,1,0,50,0,8.777778,0.5555556,30.0,2.0,38333.332,0.2,0.0,0.0,24.0,2899.0,107.0,2.0,100.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,10.554101,0.0,0.0
100005.0,0.0,,,,,,1,0,6,0,9.030303,0.5,42.68182,0.0,98913.05,0.29565218,1.0,0.0,8.0,4076.0,129.0,0.0,100.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,11.502007,0.0,0.0
100006.0,0.0,,,,,,3,0,134,8,8.0,0.53571427,43.857143,0.0,78571.43,0.08571429,2.0,0.0,5.0,3490.0,206.0,0.0,100.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,11.271776,0.0,0.0
100007.0,0.0,,,,,,2,0,999,14,,,,,,,,,,,,,100.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,,0.0,0.0
100201.0,0.0,5.0,5.0,6.0,,,1,0,120,8,6.8373103,0.5032538,31.96204,0.0,105761.32,0.4925926,221.0,0.0,2.0,813.0,34.0,625.0,100.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,11.56895,0.0,0.0
100203.0,0.0,7.0,7.0,6.0,Ê¤Àû´å,10.0,3,7,209,0,6.6128345,0.4973262,32.055614,0.0,66771.66,0.5259842,226.0,0.0,4.0,973.0,42.0,678.0,100.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,11.109049,0.0,0.0
100204.0,0.0,10.0,36.0,47.0,Ë®ÑÍ´å,9.0,1,7,361,2,7.029359,0.52890694,30.17841,1.0,57295.918,1.0005102,333.0,0.0,6.0,1673.0,169.0,2028.0,100.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,10.956002,0.0,0.0
100205.0,0.0,5.0,5.0,4.0,ÐÒ¸£´å,7.0,1,4,254,1,6.71368,0.5217391,30.612938,0.0,78078.516,2.5747933,240.0,0.0,4.0,973.0,56.0,779.0,100.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,11.265483,0.0,0.0
100206.0,0.0,6.0,15.0,19.0,ºìÐÇ´å,5.0,1,3,293,6,6.290611,0.5290611,34.52906,0.0,20789.475,2.5784688,199.0,0.0,5.0,863.0,156.0,453.0,100.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,9.94225,0.0,0.0
100207.0,0.0,6.0,6.0,8.0,Ôº×Ó´å,7.0,3,5,250,14,6.6236787,0.5137421,33.247356,0.0,27519.686,3.390551,117.0,0.0,3.0,567.0,172.0,341.0,100.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,10.222693,0.0,0.0
100209.0,1.0,15.0,33.0,37.0,ÍâÕ¯´å,13.0,2,11,459,15,6.6151314,0.5252193,32.889256,0.0,32367.256,5.1190267,221.0,0.0,5.0,1096.0,221.0,766.0,100.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,0,1,0,10.384933,1.0,0.0
100210.0,0.0,13.0,17.0,20.0,ÎåÐÇ´å,12.0,2,12,460,4,6.7128954,0.49959448,30.886456,0.0,33730.65,2.5272446,300.0,0.0,5.0,1222.0,160.0,886.0,100.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,10.426191,0.0,0.0
100211.0,0.0,14.0,31.0,38.0,ÖÐÐÄ´å,42.0,1,13,702,74,6.68411,0.52045673,32.588013,0.0,39107.883,2.8004148,237.0,0.0,5.0,984.0,17.0,921.0,100.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,10.574105,0.0,0.0
100213.0,0.0,4.0,7.0,8.0,,,3,0,225,2,6.115,0.52,30.955,18.0,98688.05,1.1300292,105.0,0.0,3.0,1251.0,33.0,900.0,100.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,11.499729,0.0,0.0
100214.0,0.0,7.0,11.0,14.0,ÀèÃ÷´å,7.0,3,5,120,3,7.09948,0.4840386,31.417595,0.0,121549.81,0.11082411,245.0,0.0,6.0,3031.0,416.0,1929.0,100.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,11.708088,0.0,0.0
100215.0,0.0,16.0,43.0,59.0,,,3,12,221,5,6.285006,0.50103265,30.305246,2.0,71079.37,0.505873,570.0,0.0,4.0,2497.0,107.0,1777.0,100.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,11.171566,0.0,0.0
100216.0,0.0,7.0,15.0,20.0,½ðºÓ´å,21.0,2,3,236,0,6.3267813,0.5141278,32.071255,0.0,42545.453,1.1104546,367.0,0.0,4.0,1631.0,54.0,1195.0,100.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,10.658352,0.0,0.0
100217.0,0.0,5.0,12.0,15.0,ÓñÆÁ´å,5.0,1,1,179,1,6.1280394,0.51481766,30.337385,0.0,41588.234,0.41620916,283.0,0.0,6.0,2614.0,512.0,1489.0,100.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,10.635596,0.0,0.0
100218.0,0.0,3.0,5.0,6.0,½ð·á´å,2.0,1,0,127,0,5.206767,0.53759396,32.769424,0.0,87281.74,1.3099207,232.0,0.0,4.0,949.0,146.0,438.0,100.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,11.376908,0.0,0.0
100219.0,0.0,7.0,11.0,15.0,éªÄ¾´å,8.0,2,5,172,3,5.0860076,0.5096277,30.581514,0.0,22079.207,1.8673267,200.0,0.0,4.0,655.0,67.0,510.0,100.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,10.002437,0.0,0.0
