state,year,office,dist,type,dem_share,dem_win,dem_share_next,dem_win_next,state_type2,gov_dem,st_dem
AK,1958,G,,G,0.601984,1.0,0.5226972,1.0,,,
AK,1958,H,98.0,G,0.5744799,1.0,0.5679698,1.0,,,
AK,1958,S,2.0,G,0.84868777,1.0,0.6342492,1.0,,,
AK,1958,S,3.0,G,0.5262595,1.0,0.58140975,1.0,,,
AK,1960,H,98.0,G,0.5679698,1.0,0.5453568,1.0,D,1.0,1.0
AK,1960,S,2.0,G,0.6342492,1.0,0.75538695,1.0,D,1.0,1.0
AK,1962,G,,G,0.5226972,1.0,0.49171907,0.0,D,1.0,1.0
AK,1962,H,98.0,G,0.5453568,1.0,0.51517767,1.0,D,1.0,1.0
AK,1962,S,3.0,G,0.58140975,1.0,,,D,1.0,1.0
AK,1964,H,98.0,G,0.51517767,1.0,0.48351464,0.0,D,1.0,1.0
AK,1966,G,,G,0.49171907,0.0,0.53170043,1.0,,1.0,
AK,1966,H,98.0,G,0.48351464,0.0,0.45774123,0.0,,1.0,
AK,1966,S,2.0,G,0.75538695,1.0,0.40386242,0.0,,1.0,
AK,1968,H,98.0,G,0.45774123,0.0,0.5511338,1.0,,0.0,
AK,1970,G,,G,0.53170043,1.0,0.4987855,0.0,,0.0,
AK,1970,H,98.0,G,0.5511338,1.0,0.5623736,1.0,,0.0,
AK,1970,S,2.0,S,0.40386242,0.0,0.22697303,0.0,,0.0,
AK,1972,H,98.0,G,0.5623736,1.0,0.4859096,0.0,,1.0,
AK,1972,S,2.0,G,0.22697303,0.0,0.24170256,0.0,,1.0,
AK,1973,H,98.0,S,0.4859096,0.0,0.4616299,0.0,,1.0,
AK,1974,G,,G,0.4987855,0.0,0.34100696,0.0,,1.0,
AK,1974,H,98.0,G,0.4616299,0.0,0.2899861,0.0,,1.0,
AK,1974,S,3.0,G,0.58280355,1.0,0.46109268,0.0,,1.0,
AK,1976,H,98.0,G,0.2899861,0.0,0.4450144,0.0,,0.0,
AK,1978,G,,G,0.34100696,0.0,0.5543342,1.0,,0.0,
