state,year,tot_acc_all,DUI_1620,tot_acc_nt,tot_acc_dt,tot_acc_we,tot_acc_wd,nonDUI_1620,ur1620_r,mw2,mwdef,bac,pc_perinc,lpc_perinc,beertax,realbeertax,cpi,cpi2006,pop,pop1620,lpop
1.0,1991.0,224,61.55,130,94,108,116,162.45,19.28684,4.14,6.0794625,0,16506,9.711479,0.53,0.7782887,134.25,197.142,4099156.0,323864.0,15.226292
1.0,1992.0,191,64.75,108,83,93,98,126.25,22.594673,4.25,6.0644436,0,17537,9.772068,0.53,0.75627184,138.15834,197.142,4154014.0,316090.0,15.239586
1.0,1993.0,189,43.1,95,94,86,103,145.9,20.343714,4.25,5.897954,0,18082,9.802672,0.53,0.7355095,142.05833,197.142,4214202.0,315121.0,15.253971
1.0,1994.0,222,57.25,115,107,119,103,164.75,20.749817,4.25,5.752842,0,18938,9.848926,0.53,0.71741325,145.64166,197.142,4260229.0,316914.0,15.264833
1.0,1995.0,206,47.4,113,93,90,116,158.6,20.862038,4.25,5.5947037,1,19866,9.896765,0.53,0.69769245,149.75833,197.142,4296800.0,319559.0,15.273381
1.0,1996.0,225,62.75,122,103,102,123,162.25,14.385514,4.38,5.601873,1,20569,9.9315405,0.53,0.67785215,154.14166,197.142,4331102.0,324149.0,15.281333
1.0,1997.0,224,52.85,121,103,108,116,171.15,17.489305,4.88,6.1060114,1,21480,9.974877,0.53,0.6631529,157.55833,197.142,4367935.0,328526.0,15.289801
1.0,1998.0,207,43.8,102,105,90,117,163.2,13.066551,5.15,6.359087,1,22760,10.03276,0.53,0.6544303,159.65834,197.142,4404701.0,330397.0,15.2981825
1.0,1999.0,209,43.55,107,102,97,112,165.45,14.212352,5.15,6.2198157,1,23516,10.065436,0.53,0.64009756,163.23334,197.142,4430141.0,329695.0,15.303942
1.0,2000.0,190,39.05,84,106,78,112,150.95,12.911317,5.15,6.0114355,1,24649,10.112492,0.53,0.6186526,168.89166,197.142,4452173.0,328484.0,15.308903
1.0,2001.0,197,37.3,94,103,91,106,159.7,18.785961,5.15,5.8512034,1,25569,10.149136,0.53,0.60216266,173.51666,197.142,4467634.0,326411.0,15.312369
1.0,2002.0,184,42.35,95,89,87,97,141.65,16.644127,5.15,5.7727437,1,26093,10.169422,0.53,0.5940882,175.875,197.142,4480089.0,322602.0,15.315153
1.0,2003.0,179,41.75,111,68,99,80,137.25,18.204943,5.15,5.6464643,1,27045,10.205257,0.53,0.5810924,179.80833,197.142,4503491.0,322974.0,15.320363
1.0,2004.0,220,54.0,122,97,98,121,166.0,14.46134,5.15,5.503377,1,28802,10.2682,0.53,0.5663669,184.48334,197.142,4530729.0,324130.0,15.326393
1.0,2005.0,203,31.5,86,117,81,122,171.5,16.608782,5.15,5.3163047,1,30202,10.315663,0.53,0.54711485,190.975,197.142,4565917.0,328450.0,15.33413
1.0,2006.0,212,48.25,102,110,97,115,163.75,9.128005,5.15,5.1500087,1,31683,10.363536,0.53,0.5300009,197.14166,197.142,4628981.0,336131.0,15.347847
1.0,2007.0,180,56.85,100,80,91,89,123.15,15.466613,5.5,5.347419,1,32911,10.401563,0.53,0.51529676,202.76717,197.142,4672840.0,341180.0,15.357278
1.0,2008.0,155,30.6,80,75,66,89,124.4,17.769743,6.2,5.7913547,1,33910,10.431465,1.05,0.98079395,211.05258,197.142,4718206.0,345997.0,15.36694
1.0,2009.0,122,22.5,60,62,52,70,99.5,26.526388,6.9,6.488966,1,33027,10.405081,1.05,0.9874513,209.62967,197.142,4757938.0,350153.0,15.375325
1.0,2010.0,131,24.3,67,64,60,71,106.7,22.229748,7.25,6.6799116,1,34073,10.43626,1.05,0.9674355,213.96683,197.142,4785570.0,349409.0,15.381116
1.0,2011.0,130,30.55,72,58,60,70,99.45,27.410374,7.25,6.450545,1,35202,10.468858,1.05,0.93421686,221.575,197.142,4801627.0,341412.0,15.384465
1.0,2012.0,125,25.166666,58,67,54,71,99.833336,20.61935,7.25,6.317844,1,36036,10.492273,1.05,0.91499805,226.229,197.142,4817528.0,330796.0,15.387772
1.0,2013.0,93,21.35,41,52,45,48,71.65,20.594559,7.25,6.232577,1,36176,10.496151,1.05,0.90264904,229.324,197.142,4833722.0,324505.0,15.391128
2.0,1991.0,19,6.3,9,9,7,11,12.7,22.221018,4.64,6.8136973,0,23149,10.049706,0.35,0.51396424,134.25,197.142,570193.0,38707.0,13.25373
2.0,1992.0,16,6.1,11,5,10,6,9.9,20.206102,4.75,6.777908,0,23938,10.083222,0.35,0.4994248,138.15834,197.142,588736.0,40282.0,13.285733
2.0,1993.0,20,4.5,11,9,9,11,15.5,21.182198,4.75,6.5918307,0,24753,10.116702,0.35,0.48571384,142.05833,197.142,599432.0,41579.0,13.303738
2.0,1994.0,11,4.6,7,4,10,1,6.4,18.002787,4.75,6.429647,0,25404,10.142662,0.35,0.47376347,145.64166,197.142,603308.0,41939.0,13.310184
2.0,1995.0,13,4.2,8,5,8,5,8.8,19.83114,4.75,6.252904,0,26041,10.167427,0.35,0.4607403,149.75833,197.142,604412.0,42400.0,13.312012
2.0,1996.0,14,4.2,8,6,4,10,9.8,21.915642,4.88,6.241356,0,26565,10.18735,0.35,0.4476382,154.14166,197.142,608569.0,43499.0,13.318866
2.0,1997.0,16,4.8,10,6,7,9,11.2,16.991972,5.38,6.7316275,0,27812,10.233223,0.35,0.43793112,157.55833,197.142,612968.0,44564.0,13.326068
2.0,1998.0,15,3.3,6,9,6,9,11.7,14.497927,5.65,6.9764743,0,28751,10.266428,0.35,0.43217096,159.65834,197.142,619932.0,45702.0,13.337365
2.0,1999.0,15,4.55,9,6,5,10,10.45,16.342829,5.65,6.8236814,0,29442,10.290177,0.35,0.42270592,163.23334,197.142,624779.0,46977.0,13.345153
2.0,2000.0,26,10.85,17,9,12,14,15.15,19.28025,5.65,6.59507,0,31481,10.35714,0.35,0.40854415,168.89166,197.142,627963.0,47431.0,13.350237
2.0,2001.0,15,4.9,10,5,8,7,10.1,13.318406,5.65,6.4192815,1,32870,10.400315,0.35,0.3976546,173.51666,197.142,633714.0,50121.0,13.359353
2.0,2002.0,15,2.6,8,7,9,6,12.4,23.494724,5.65,6.3332043,1,33978,10.433469,0.35,0.3923224,175.875,197.142,642337.0,52297.0,13.372869
2.0,2003.0,18,2.15,8,9,8,9,15.85,21.5113,7.15,7.839266,1,35268,10.470732,1.07,1.1731489,179.80833,197.142,648414.0,53378.0,13.382285
2.0,2004.0,14,1.2,6,8,5,9,12.8,17.135406,7.15,7.64061,1,36577,10.5071745,1.07,1.14342,184.48334,197.142,659286.0,53803.0,13.398912
2.0,2005.0,10,2.3,6,4,4,6,7.7,18.908339,7.15,7.380889,1,38521,10.558959,1.07,1.1045526,190.975,197.142,666946.0,53676.0,13.410464
2.0,2006.0,14,3.35,8,6,3,11,10.65,13.7745495,7.15,7.1500125,1,40545,10.6101675,1.07,1.0700018,197.14166,197.142,675302.0,54022.0,13.422915
2.0,2007.0,19,4.9,11,8,8,11,14.1,16.078897,7.15,6.951645,1,43388,10.677938,1.07,1.0403161,202.76717,197.142,680300.0,53849.0,13.430289
2.0,2008.0,12,1.0,7,5,5,7,11.0,18.45663,7.15,6.67874,1,47271,10.763652,1.07,0.9994758,211.05258,197.142,687455.0,53716.0,13.440752
2.0,2009.0,10,4.0,6,4,4,6,6.0,12.631245,7.2,6.771095,1,46192,10.7405615,1.07,1.0062599,209.62967,197.142,698895.0,52992.0,13.457255
2.0,2010.0,6,1.0,4,2,3,3,5.0,19.907059,7.75,7.140595,1,47773,10.774216,1.07,0.9858628,213.96683,197.142,713868.0,52710.0,13.478454
2.0,2011.0,9,2.6,4,5,5,4,6.4,22.421793,7.75,6.89541,1,50552,10.830758,1.07,0.95201147,221.575,197.142,723375.0,52730.0,13.491683
2.0,2012.0,7,0.0,4,3,2,5,7.0,21.65607,7.75,6.753557,1,52269,10.864159,1.07,0.9324266,226.229,197.142,730307.0,51095.0,13.501221
2.0,2013.0,7,0.0,3,4,1,6,7.0,14.821799,7.75,6.66241,1,51259,10.844646,1.07,0.91984236,229.324,197.142,735132.0,50758.0,13.507806
4.0,1991.0,149,42.6,84,65,73,76,106.4,18.076767,4.14,6.0794625,0,17573,9.774119,0.16,0.23495509,134.25,197.142,3788576.0,267258.0,15.147501
4.0,1992.0,112,33.4,63,49,54,58,78.6,27.272575,4.25,6.0644436,0,18129,9.805268,0.16,0.22830847,138.15834,197.142,3915740.0,265410.0,15.180515
4.0,1993.0,134,40.35,88,46,64,70,93.65,15.917693,4.25,5.897954,0,18800,9.841612,0.16,0.22204061,142.05833,197.142,4065440.0,272342.0,15.218033
4.0,1994.0,146,33.9,80,64,67,77,112.1,22.218992,4.25,5.752842,0,19755,9.891162,0.16,0.21657759,145.64166,197.142,4245089.0,285907.0,15.261273
4.0,1995.0,174,42.7,102,68,73,97,131.3,17.601921,4.25,5.5947037,0,20594,9.932755,0.16,0.21062414,149.75833,197.142,4432499.0,302106.0,15.304474
4.0,1996.0,138,33.25,75,62,60,77,104.75,17.211224,4.38,5.601873,0,21572,9.979152,0.16,0.20463462,154.14166,197.142,4586940.0,317286.0,15.338724
4.0,1997.0,145,36.9,77,66,65,78,108.1,8.917267,4.88,6.1060114,0,22680,10.029239,0.16,0.20019709,157.55833,197.142,4736990.0,334383.0,15.370913
4.0,1998.0,159,40.15,71,87,74,84,118.85,13.790684,5.15,6.359087,0,24164,10.092619,0.16,0.19756387,159.65834,197.142,4883342.0,349082.0,15.4013405
4.0,1999.0,183,42.0,95,87,83,99,141.0,16.21193,5.15,6.2198157,0,24987,10.126111,0.16,0.19323699,163.23334,197.142,5023823.0,363033.0,15.429702
4.0,2000.0,157,42.55,84,73,72,85,114.45,8.786582,5.15,6.0114355,0,26553,10.186898,0.16,0.18676303,168.89166,197.142,5160586.0,374570.0,15.456561
4.0,2001.0,173,39.05,103,69,72,100,133.95,13.707328,5.15,5.8512034,1,27220,10.211707,0.16,0.18178496,173.51666,197.142,5273477.0,375919.0,15.478201
4.0,2002.0,184,46.1,95,89,88,96,137.9,19.068823,5.15,5.7727437,1,27590,10.225208,0.16,0.17934738,175.875,197.142,5396255.0,378441.0,15.501216
4.0,2003.0,154,40.9,84,67,80,71,113.1,17.846601,5.15,5.6464643,1,28446,10.255763,0.16,0.17542413,179.80833,197.142,5510364.0,384939.0,15.522141
4.0,2004.0,191,46.983337,105,86,92,99,144.01666,14.714679,5.15,5.503377,1,30222,10.316325,0.16,0.1709787,184.48334,197.142,5652404.0,397199.0,15.547591
4.0,2005.0,196,49.533333,108,86,96,98,146.46667,15.353566,5.15,5.3163047,1,32429,10.386808,0.16,0.16516674,190.975,197.142,5839077.0,412796.0,15.580083
4.0,2006.0,199,55.3,109,87,97,99,143.7,11.500631,5.15,5.1500087,1,34848,10.458751,0.16,0.16000028,197.14166,197.142,6029141.0,430991.0,15.612115
4.0,2007.0,156,41.083336,90,66,76,80,114.916664,10.603591,6.75,6.5627413,1,35929,10.4893,0.16,0.15556128,202.76717,197.142,6167681.0,444469.0,15.634833
4.0,2008.0,140,36.45,72,65,64,73,103.55,17.061342,6.9,6.4452176,1,36077,10.493411,0.16,0.14945433,211.05258,197.142,6280362.0,456157.0,15.652938
4.0,2009.0,87,16.2,49,37,40,46,70.8,24.881332,7.25,6.818116,1,34063,10.435967,0.16,0.15046878,209.62967,197.142,6343154.0,462745.0,15.662887
