person_id,hh_id,ward,title,age,landlinemobileboth,currentabsentvoter,latestvoterid,local2012,local2011,General2010,elect5,elect6,elect7,elect8,random,treatment,contact,vote_PCC2012
20006.0,3.0,1,6,,2,1,4,0,0,1,0,0,0,0,0.601729989,1,,1
20003.0,3.0,1,5,,1,1,9,0,0,1,0,0,0,0,0.193049997,2,,1
19802.0,5.0,1,5,,2,1,9,1,1,1,0,0,0,0,0.772710025,4,1.0,1
19800.0,5.0,1,6,,2,1,1,1,1,1,0,0,0,0,0.537909985,2,,1
20000.0,9.0,1,1,56.0,2,1,9,0,0,1,1,0,0,0,0.689170003,1,,3
19998.0,9.0,1,1,,1,1,9,0,0,1,1,0,0,0,0.077799998,2,,3
19234.0,12.0,1,5,,2,2,14,1,1,1,1,0,1,0,0.68987,1,,3
19232.0,12.0,1,6,,2,2,2,1,1,1,1,0,1,0,0.538259983,2,,3
19147.0,13.0,1,5,65.0,2,1,4,0,1,1,0,0,1,0,0.624930024,1,,1
19150.0,13.0,1,6,65.0,2,1,14,0,0,1,0,0,0,1,0.164829999,2,,1
19378.0,16.0,1,6,37.0,2,1,1,1,1,0,1,0,1,1,0.961260021,3,0.0,1
19380.0,16.0,1,5,49.0,2,1,2,1,1,1,1,0,1,1,0.931940019,2,,1
19250.0,19.0,1,6,54.0,2,1,9,1,1,1,0,0,0,1,0.76639998,4,1.0,1
19252.0,19.0,1,5,54.0,2,1,2,0,0,1,0,0,0,0,0.629000008,2,,1
19242.0,20.0,1,6,66.0,2,1,9,1,0,1,0,0,1,0,0.459989995,1,,1
19241.0,20.0,1,5,,2,1,14,1,0,1,0,0,1,0,0.319299996,2,,1
19393.0,24.0,1,6,51.0,2,1,15,0,0,1,0,0,1,1,0.590879977,1,,1
19391.0,24.0,1,5,50.0,2,1,2,1,1,1,1,0,1,1,0.372530013,2,,1
19118.0,25.0,1,6,,2,1,2,0,0,1,0,0,0,0,0.825810015,4,1.0,1
19114.0,25.0,1,5,,2,1,2,0,0,0,0,0,0,0,0.813459992,2,,1
19120.0,30.0,1,6,68.0,2,1,15,1,1,1,0,0,1,1,0.22992,1,,1
19124.0,30.0,1,5,69.0,2,1,9,1,1,1,0,0,1,1,0.227540001,2,,1
18951.0,31.0,1,6,71.0,2,1,2,1,1,1,0,0,1,1,0.336659998,1,,1
18949.0,31.0,1,5,73.0,2,1,2,1,1,1,1,0,1,1,0.00077,2,,3
19404.0,32.0,1,6,49.0,2,1,4,0,0,1,0,0,0,1,0.946439981,3,0.0,1
19406.0,32.0,1,5,47.0,2,1,6,0,0,1,0,0,1,1,0.471179992,2,,1
19402.0,33.0,1,6,,2,1,2,1,1,1,1,0,0,0,0.800369978,4,1.0,1
19400.0,33.0,1,5,,2,1,2,1,1,1,1,0,0,1,0.44027999,2,,1
19093.0,34.0,1,5,,2,1,15,1,1,1,1,0,1,1,0.158979997,1,,1
19408.0,34.0,1,5,,2,1,9,1,1,1,1,0,1,1,0.104489997,2,,1
19384.0,38.0,1,5,,2,1,14,0,0,1,0,0,0,0,0.179739997,1,,1
19385.0,38.0,1,5,,2,1,14,0,0,0,0,0,0,0,0.123889998,2,,1
19493.0,40.0,1,6,53.0,2,1,14,0,0,0,0,0,0,0,0.779950023,4,1.0,1
19495.0,40.0,1,5,68.0,2,1,2,0,1,0,0,0,0,0,0.378039986,2,,1
19239.0,41.0,1,5,,2,2,9,1,1,1,0,0,1,1,0.666660011,1,,1
19240.0,41.0,1,6,,2,2,9,1,1,1,0,0,1,1,0.361799985,2,,1
22390.0,44.0,1,5,,2,2,14,0,0,0,0,0,1,1,0.61747998,1,,1
22388.0,44.0,1,6,,2,2,14,0,0,1,1,0,1,1,0.185969993,2,,1
22294.0,45.0,1,6,76.0,2,1,2,1,1,1,1,0,1,0,0.741659999,4,1.0,1
22292.0,45.0,1,5,81.0,2,1,2,0,1,1,1,0,1,0,0.314709991,2,,1
22439.0,46.0,1,6,,2,1,9,1,1,1,1,0,1,1,0.618340015,1,,1
22438.0,46.0,1,5,,2,1,9,1,1,1,1,0,1,1,0.593779981,2,,1
22399.0,47.0,1,5,,2,1,2,0,0,1,0,0,0,0,0.32198,1,,1
22397.0,47.0,1,5,31.0,2,1,9,0,0,1,0,0,0,0,0.216209993,2,,1
22434.0,49.0,1,6,76.0,2,1,17,0,1,1,0,0,0,1,0.343510002,1,,1
22435.0,49.0,1,5,79.0,1,1,9,1,1,1,1,0,1,1,0.081349999,2,,1
22433.0,50.0,1,5,,2,1,17,0,0,1,0,0,1,0,0.988520026,3,0.0,1
22430.0,50.0,1,6,,2,1,2,0,0,0,0,0,1,0,0.311560005,2,,1
18991.0,51.0,1,5,,2,1,14,0,1,1,0,0,1,0,0.988950014,3,0.0,1
19294.0,51.0,1,6,,2,1,1,0,1,1,0,0,1,0,0.59999001,2,,1
19274.0,52.0,1,5,65.0,2,2,14,1,1,1,1,0,1,0,0.53004998,1,,3
19273.0,52.0,1,6,67.0,2,2,14,1,1,1,1,0,1,1,0.301789999,2,,3
