"","geoid","geoname","distname","district","State_FIPS","state.y","year.x","general2p","general2palt","minorityprimarymargin","incumbentrunning","incumbentwins","womanwins","party","Dem_2pyShare","Total.x","uniquedist_noyear","uniquedist","pctWhite","pctBlack","RDDBlack","pctLatino","RDDLatino","pctAsian","RDDAsian","uncontestedgen","Upper.x","mmd2keep"
"1","62000US25195","12th Suffolk District (2018), Massachusetts","195",NA,25,"MA",2018,NA,1,-0.0607463118310674,1,1,0,"Democratic",NA,31095,"MA 0 TWELFTH SUFFOLK","2018 MA 0 Twelfth Suffolk",0.229940504904325,0.606849975880367,1,0.0951921530792732,0,0.0345714745135874,0,1,0,NA
"2","62000US25099","17th Essex District (2018), Massachusetts","99",NA,25,"MA",2020,NA,1,NA,1,1,0,"Democratic",NA,24255,"MA 0 SEVENTEENTH ESSEX","2020 MA 0 Seventeenth Essex",0.41991341991342,0.0138115852401567,NA,0.519480519480519,NA,0.0373118944547516,NA,1,0,NA
"3","62000US25134","17th Middlesex District (2018), Massachusetts","134",NA,25,"MA",2020,NA,1,0.118936341659952,1,0,1,"Democratic",NA,28940,"MA 0 SEVENTEENTH MIDDLESEX","2020 MA 0 Seventeenth Middlesex",0.629578438147892,0.0497581202487906,0,0.144436765722184,0,0.155666897028334,1,1,0,NA
"4","62000US25114","18th Essex District (2018), Massachusetts","114",NA,25,"MA",2020,0.376326175906145,0.376326175906145,-0.334687246141349,1,0,0,"Republican",NA,32590,"MA 0 EIGHTEENTH ESSEX","2020 MA 0 Eighteenth Essex",0.854096348573182,0.0162626572568272,0,0.0257747775391224,0,0.0880638232586683,1,NA,0,NA
"5","62000US25144","27th Middlesex District (2018), Massachusetts","144",NA,25,"MA",2020,NA,1,0.238900048486528,0,0,1,"Democratic",NA,34440,"MA 0 TWENTYSEVENTH MIDDLESEX","2020 MA 0 Twenty-Seventh Middlesex",0.829123112659698,0.0345528455284553,0,0.0499419279907085,0,0.0611207897793264,1,1,0,NA
"6","62000US25145","28th Middlesex District (2018), Massachusetts","145",NA,25,"MA",2018,NA,1,-0.0368387234953952,1,1,0,"Democratic",NA,24765,"MA 0 TWENTYEIGHTH MIDDLESEX","2018 MA 0 Twenty-Eighth Middlesex",0.578033515041389,0.171815061578841,1,0.160306884716334,0,0.0688471633353523,0,1,0,NA
"7","62000US25185","2nd Suffolk District (2018), Massachusetts","185",NA,25,"MA",2020,NA,1,-0.151207464324918,1,1,0,"Democratic",NA,27550,"MA 0 SECOND SUFFOLK","2020 MA 0 Second Suffolk",0.614882032667877,0.0660617059891107,0,0.260617059891107,1,0.0439201451905626,0,1,0,NA
"8","62000US25152","35th Middlesex District (2018), Massachusetts","152",NA,25,"MA",2020,NA,1,-0.112523839796567,1,1,0,"Democratic",NA,28065,"MA 0 THIRTYFIFTH MIDDLESEX","2020 MA 0 Thirty-Fifth Middlesex",0.720114021022626,0.100659184037057,0,0.0582576162479957,0,0.10083734188491,0,1,0,NA
"9","62000US25117","3rd Hampshire District (2018), Massachusetts","117",NA,25,"MA",2018,NA,1,-0.250291036088475,0,0,1,"Democratic",NA,36615,"MA 0 THIRD HAMPSHIRE","2018 MA 0 Third Hampshire",0.797760480677318,0.0374163594155401,0,0.0596749965860986,0,0.074559606718558,1,1,0,NA
"10","62000US25122","5th Middlesex District (2018), Massachusetts","122",NA,25,"MA",2020,NA,1,-0.59310113864702,1,1,0,"Democratic",NA,31220,"MA 0 FIFTH MIDDLESEX","2020 MA 0 Fifth Middlesex",0.892696989109545,0.0148942985265855,0,0.0309096732863549,0,0.0544202434336963,1,1,0,NA
"11","62000US25162","6th Norfolk District (2018), Massachusetts","162",NA,25,"MA",2020,NA,1,-0.287563062075016,1,1,0,"Democratic",NA,31650,"MA 0 SIXTH NORFOLK","2020 MA 0 Sixth Norfolk",0.806477093206951,0.0813586097946288,1,0.0380726698262243,0,0.0571879936808847,0,1,0,NA
"12","62000US25110","9th Hampden District (2018), Massachusetts","110",NA,25,"MA",2020,NA,1,NA,0,0,0,"Democratic",NA,29415,"MA 0 NINTH HAMPDEN","2020 MA 0 Ninth Hampden",0.529151793302737,0.136834948155703,NA,0.308176100628931,NA,0.0111847696753357,NA,1,0,NA
"13","62000US25110","9th Hampden District (2018), Massachusetts","110",NA,25,"MA",2018,NA,1,0.631284916201117,1,1,0,"Democratic",NA,29415,"MA 0 NINTH HAMPDEN","2018 MA 0 Ninth Hampden",0.529151793302737,0.136834948155703,0,0.308176100628931,1,0.0111847696753357,0,1,0,NA
"14","62000US36104","Assembly District 104 (2018), New York","104","104",36,"NY",2018,0.600701305206913,0.600701305206913,-0.054916067146283,0,0,0,"Democratic",0.662758366553884,85125,"NY 0 104","2018 NY 0 104",0.610102790014684,0.198002936857562,0,0.155066079295154,1,0.0111600587371512,0,NA,0,NA
"15","62000US32012","Assembly District 12 (2018), Nevada","12","12",32,"NV",2018,0.55541958041958,0.55541958041958,0.209782608695652,0,0,1,"Democratic",0.562293664518158,48245,"NV 0 12","2018 NV 0 12",0.463571354544512,0.110166856669085,0,0.252875945693854,1,0.136594465747746,0,NA,0,NA
"16","62000US55012","Assembly District 12 (2018), Wisconsin","12","12",55,"WI",2018,NA,1,0.186120882635114,1,0,1,"Democratic",0.81635922750498,40810,"WI 0 12","2018 WI 0 12",0.329453565302622,0.553908355795148,1,0.0447194315118843,0,0.045577064444989,0,1,0,NA
"17","62000US36124","Assembly District 124 (2018), New York","124","124",36,"NY",2018,0.379988166458484,0.379988166458484,-0.0769230769230769,1,0,0,"Democratic",0.39697921792785,101120,"NY 0 124","2018 NY 0 124",0.918364319620253,0.0398041930379747,1,0.0192345727848101,0,0.00657634493670886,0,NA,0,NA
"18","62000US32013","Assembly District 13 (2018), Nevada","13","13",32,"NV",2018,NA,1,-0.455124653739612,0,0,0,"Republican",0.418824317534751,49990,"NV 0 13","2018 NV 0 13",0.660232046409282,0.099619923984797,1,0.134426885377075,0,0.0674134826965393,0,1,0,NA
"19","62000US36134","Assembly District 134 (2018), New York","134","134",36,"NY",2020,0.399685481259925,0.399685481259925,0.576653459311186,0,0,1,"Democratic",0.423569023569024,101830,"NY 0 134","2020 NY 0 134",0.880879897868997,0.0482667190415398,1,0.0454188353137582,0,0.0135519984287538,0,NA,0,NA
"20","62000US32014","Assembly District 14 (2018), Nevada","14","14",32,"NV",2020,NA,1,-0.482123510292524,1,1,1,"Democratic",0.710238971735197,36335,"NV 0 14","2020 NV 0 14",0.380624741984313,0.149442686115316,1,0.38089995871749,0,0.0604100729324343,0,1,0,NA
"21","62000US36149","Assembly District 149 (2018), New York","149","149",36,"NY",2020,0.659617751641138,0.659617751641138,0.226479915433404,0,0,0,"Democratic",0.610669715156711,97320,"NY 0 149","2020 NY 0 149",0.778360049321825,0.0870324702013975,0,0.100801479654747,1,0.0161323468968352,0,NA,0,NA
"22","62000US32015","Assembly District 15 (2018), Nevada","15","15",32,"NV",2018,0.664510166358595,0.664510166358595,NA,0,0,0,"Democratic",0.666397648008301,38160,"NV 0 15","2018 NV 0 15",0.462002096436059,0.115697064989518,NA,0.317348008385744,NA,0.0639412997903564,NA,NA,0,NA
"23","62000US32016","Assembly District 16 (2018), Nevada","16","16",32,"NV",2020,0.653489034463116,0.653489034463116,0.261896610749743,0,0,1,"Democratic",0.669383392344178,37405,"NV 0 16","2020 NV 0 16",0.454484694559551,0.164149177917391,0,0.247159470659003,1,0.0860847480283385,0,NA,0,NA
"24","62000US32018","Assembly District 18 (2018), Nevada","18","18",32,"NV",2020,0.614184613043147,0.614184613043147,-0.0206583427922815,0,0,1,"Democratic",0.628242487937706,44940,"NV 0 18","2020 NV 0 18",0.475967957276368,0.0941255006675567,0,0.300400534045394,1,0.088785046728972,0,NA,0,NA
"25","62000US55018","Assembly District 18 (2018), Wisconsin","18","18",55,"WI",2018,NA,1,-0.499531103469834,1,1,0,"Democratic",0.899576388249378,36970,"WI 0 18","2018 WI 0 18",0.302001622937517,0.588855829050582,1,0.052745469299432,0,0.0262374898566405,0,1,0,NA
"26","62000US32002","Assembly District 2 (2018), Nevada","2","2",32,"NV",2020,0.44667035092567,0.44667035092567,0.0422613531047266,0,0,1,"Democratic",0.485894319344933,49870,"NV 0 2","2020 NV 0 2",0.679967916583116,0.0564467615801083,0,0.10246641267295,0,0.128333667535593,1,NA,0,NA
"27","62000US36020","Assembly District 20 (2018), New York","20","20",36,"NY",2018,0.463305973752359,0.463305973752359,0.0358306188925082,1,0,0,"Democratic",0.483342545600724,93370,"NY 0 20","2018 NY 0 20",0.819963585734176,0.0427867623433651,0,0.102977401735033,1,0.0285851986719503,0,NA,0,NA
"28","62000US32021","Assembly District 21 (2018), Nevada","21","21",32,"NV",2020,0.519676496695927,0.519676496695927,0.412429378531073,0,0,1,"Democratic",0.527330809275911,48950,"NV 0 21","2020 NV 0 21",0.639632277834525,0.0556690500510725,0,0.159346271705822,1,0.107048008171604,0,NA,0,NA
"29","62000US36024","Assembly District 24 (2018), New York","24","24",36,"NY",2020,NA,1,-0.208946507825274,1,1,0,"Democratic",0.7811908650232,84740,"NY 0 24","2020 NY 0 24",0.274014632995044,0.154767524191645,0,0.18379749822988,0,0.360396506962473,0,1,0,NA
"30","62000US32029","Assembly District 29 (2018), Nevada","29","29",32,"NV",2018,0.526014487109588,0.526014487109588,-0.730854605993341,1,1,1,"Democratic",0.496608441992057,52370,"NV 0 29","2018 NV 0 29",0.693049455795303,0.0620584303990834,1,0.154000381898033,0,0.0600534657246515,0,NA,0,NA
"31","62000US36034","Assembly District 34 (2018), New York","34","34",36,"NY",2020,0.783275428297592,0.783275428297592,0.173996952767903,1,0,1,"Democratic",0.83438011122015,52570,"NY 0 34","2020 NY 0 34",0.198592353053072,0.0357618413543846,0,0.486874643332699,1,0.26621647327373,0,NA,0,NA
