,country,ccode,y_us,y_ch,y_fr,y_ge,y_in,y_ja,y_ru,y_uk,y_ownc,x,x_imputed,z_ratio,z_death,usaid,usaid_imputed,gdppc,wbgi,fhscore,africa,trade_i,trade_e,unvote_key
0,United States,2.0,,-1.1443648,0.34239274,0.8333763,0.037839763,0.8939008,-1.072711,0.8540762,-0.29046604,,-7.035221,-0.6931472,-9.688584,,-7.035221,10.656819,1.2657069,1.0,0.0,,,
1,Canada,20.0,0.15925771,-0.8060076,0.9012016,1.4546669,-0.004476294,0.97699493,-0.532753,1.0684837,0.44023132,,-6.2391543,-1.609438,-11.175125,,-6.2391543,10.463367,1.589032,1.0,0.0,-1.7462345032253128,-1.4563677899924914,
2,Cuba,40.0,,,,,,,,,,,-7.918584,-2.5913174,-11.252477,0.021097178,0.021097178,,-0.6811747,7.0,0.0,-17.422176393260884,-7.608750975270628,0.080303
3,Haiti,41.0,1.6247115,0.49263954,0.37322602,-0.44712672,-0.9939911,0.30772614,-0.6146963,-0.62878096,-1.1188589,1.5680226,1.5680226,0.93609333,-6.62741,2.709334,2.709334,6.925553,-1.4237709,5.6666665,0.0,-8.28523074972865,-7.098801787263037,0.43123534
4,Dominican Republic,42.0,0.8474353,,,,-0.17744222,,,,-0.06617041,-0.48324,-0.48324,-0.077961594,-7.729483,1.3108598,1.3108598,8.738846,-0.3813673,2.0,0.0,-5.782735032267385,-5.230682015863175,0.47051266
5,Jamaica,51.0,,,,,,,,,,-1.6779584,-1.6779584,0.62860864,-6.873602,2.721847,2.721847,8.863106,-0.050009456,3.0,0.0,-8.433072659368001,-6.344539781301088,0.22470866
6,Trinidad and Tobago,52.0,0.8488804,0.8739432,0.7408626,1.0074329,0.5700146,0.6783321,-0.397497,0.8548494,-0.814855,,-6.4378943,0.20294087,-7.3599567,-0.46917018,-0.46917018,9.930292,0.1695234,2.3333333,0.0,-5.527730572220557,-6.514142481926232,0.27016333
7,St. Kitts-Nevis,60.0,0.030699708,1.0671585,0.26496625,0.1691316,0.15368022,0.7666153,0.5788036,0.028477762,,,-7.0212607,,,,-7.0212607,9.489343,0.84830856,1.3333334,0.0,-10.469848850147198,-9.510741905827011,0.36993
8,Mexico,70.0,0.042561986,0.3734436,0.67446834,0.54247034,-0.09632743,0.7015454,0.09865737,0.3527381,-0.24958539,-4.6457496,-4.6457496,-1.2039728,,0.04751763,0.04751763,9.446421,-0.06153107,2.3333333,0.0,-2.243592038345273,-1.995652970473416,0.42972
9,Belize,80.0,-0.2876821,-0.0893451,0.17858073,0.24334626,-0.5825286,0.09185872,-0.07955882,-0.30433375,-0.8531864,-0.424236,-0.424236,0.8219801,-7.1355276,1.8853056,1.8853056,8.746169,-0.01765378,2.0,0.0,-9.527554975965081,-8.587739775189943,0.28298366
10,Guatemala,90.0,0.44994947,0.13337636,-0.3097645,-0.38225752,-0.7871956,0.16221891,-0.8574373,-0.19207565,-0.63842136,-1.8238742,-1.8238742,-0.6443571,-8.974857,1.8049515,1.8049515,8.316846,-0.61449134,4.0,0.0,-6.144151897111144,-5.766154510243477,0.5151517
