income_centered,education,age,participation,support
0.006571003,3.5,23.666666,0,1
0.011074998,1.5,42,0,1
0.002424,4,43,0,1
0.007649996,6,21,0,0.5
0.010000998,2,33,0,1
0.018976999,6,64,0,1
0.012900003,5.5,37.5,0,0.5
0.006392003,2,19,0,0
0.011972001,4,17.4,0,0.5
0.009072999,5,33.599998,0,0
0.004358998,3.3333333,29,0,1
0.013053003,6,37,0,1
0.002562,6,23,0,1
0.003285001,5,43,0,0.5
0.004871997,3,15.333333,0,1
0.016988,5.5,53,0,0.5
0.001843998,,8.5,0,1
0.009639001,3,29,0,1
0.011452998,2.5,18.333334,0,1
0.012044,4,34,0,0.5
0.016884001,3,23.666666,0,1
0.016691001,1,46.5,0,0.5
0.001800002,,19,0,1
0.018477002,6,11,0,0.5
0.013495001,4.6666665,22.5,0,1
0.002009,4.6666665,32,0,1
0.008416998,2,17,0,1
0.013059999,6,21,0,0.5
0.007759,3.5,49,0,0.5
0.007722999,2,34.5,0,0
0.008447001,3,66,0,0.5
0.008447001,3,66,0,0.5
0.009679996,3,11.666667,0,1
0.010059002,3.5,60,0,0
0.011446001,2,15,0,1
0.007334,2,15,0,0.5
0.009391003,5,45.333332,0,0
0.009864999,2,23,0,1
0.003864,4.5,21.666666,0,1
0.004692002,2,41,0,0.5
0.015010001,2.6666667,17,0,1
0.002754996,3,20,0,1
0.008925001,6,22.25,0,0
0.003661999,2.3333333,31,0,1
0.012351999,1.5,19,0,1
0.018666001,4.3333335,35.333332,0,1
0.000392,4.5,39,0,0.5
0.004123999,4.5,39,0,0.5
0.005029994,5,13.75,0,1
0.014595,3.5,14,0,0.5
0.018976999,6,31,0,1
0.015990006,6,23.142857,0,1
0.009993,4.5,14,0,0.5
0.017837999,4.5,42.5,0,1
0.008969002,3,10.6,0,1
0.011469999,6,45.333332,0,1
0.014011997,3,39.666668,0,0
0.007152,3.5,15.2,0,0.5
0.009752999,4,26.25,0,1
0.010509999,,41,0,1
0.004501002,2.5,22.200001,0,0.5
0.006571003,4.5,20.333334,0,0.5
0.014120997,6,12.5,0,1
0.004144999,6,14.666667,0,1
0.010619001,,14.5,0,0
0.016215997,3,22.666666,0,1
0.015497001,1,32,0,0.5
0.006987001,3,56.5,0,1
0.013053003,4,60,0,0
0.013414997,6,11,0,1
0.019719997,5,40,0,0.5
0.004871997,3,14.333333,0,1
0.018474,5.5,13.333333,0,1
0.008794999,5,54,0,1
0.003202001,3.5,11.25,0,0.5
0.007566998,1,30,0,1
0.012989001,4,35.5,0,1
0.005949998,4,33.5,0,1
0.011462001,4,19.666666,0,1
0.016136998,1.5,27.666666,0,1
0.005459996,3,36,0,1
0.000345,3.6666667,22.142857,0,1
0.010811004,2,35,0,0
0.008689002,3,17.75,0,0.5
0.018427001,6,30.6,0,0.5
0.011388998,2.5,27.75,0,1
0.016441999,3,27,0,0.5
0.009671001,5,60,0,1
0.014783003,5,30.666666,0,1
0.016367005,6,12,0,1
0.004902001,4,13.25,0,0.5
0.007960001,3,46,0,1
0.004691999,4,37.333332,0,0.5
0.009447004,3.5,19,0,0.5
0.005981998,4.5,18.4,0,0.5
