codi,year,spp,postp,treatment_postp,intensity_postp,yrrate,pop_thou,urate
80018,2000.0,26.493828,0.0,0.0,0.0,44.77011,8.636,2.2232516
80018,2004.0,17.977325,1.0,1.0,406.0,6.677019,10.549,3.4884822
80023,2000.0,11.111111,0.0,0.0,0.0,,,
80023,2004.0,11.428572,1.0,0.0,0.0,,,
80039,2000.0,27.085222,0.0,0.0,0.0,22.70152,8.673,1.7525654
80039,2004.0,17.39535,1.0,0.0,0.0,10.22449,8.976,1.8716577
80044,2000.0,8.805032,0.0,0.0,0.0,,,
80044,2004.0,2.5906737,1.0,0.0,0.0,,,
80057,2000.0,23.450705,0.0,0.0,0.0,,6.12,1.5196079
80057,2004.0,15.475,1.0,0.0,0.0,7.353464,7.586,2.0300553
80060,2000.0,22.637264,0.0,0.0,0.0,13.27913,12.972,2.3126736
80060,2004.0,15.5812235,1.0,0.0,0.0,11.00977,14.069,3.1985216
80076,2000.0,15.09324,0.0,0.0,0.0,15.86745,6.667,1.8449078
80076,2004.0,9.393525,1.0,0.0,0.0,8.913043,7.778,2.867061
80082,2000.0,11.538462,0.0,0.0,0.0,,,
80082,2004.0,11.627907,1.0,0.0,0.0,,,
80095,2000.0,20.451012,0.0,0.0,0.0,18.05383,9.935,1.8922999
80095,2004.0,15.685973,1.0,0.0,0.0,7.018498,11.286,2.4543684
80109,2000.0,13.452728,0.0,0.0,0.0,,,
80109,2004.0,7.8252363,1.0,0.0,0.0,,5.128,2.827613
80116,2000.0,11.445783,0.0,0.0,0.0,,,
80116,2004.0,4.5380874,1.0,0.0,0.0,,,
80121,2000.0,8.838384,0.0,0.0,0.0,,,
80121,2004.0,5.878084,1.0,0.0,0.0,,,
80137,2000.0,16.90962,0.0,0.0,0.0,,,
80137,2004.0,9.917356,1.0,0.0,0.0,,,
80142,2000.0,14.893617,0.0,0.0,0.0,,,
80142,2004.0,8.092105,1.0,0.0,0.0,,,
80155,2000.0,25.494026,0.0,0.0,0.0,11.16096,208.928,3.8496516
80155,2004.0,16.77097,1.0,1.0,201.0,10.41814,218.242,3.7971609
80168,2000.0,12.003454,0.0,0.0,0.0,,,
80168,2004.0,6.3492064,1.0,0.0,0.0,,,
80174,2000.0,12.703191,0.0,0.0,0.0,,,
80174,2004.0,8.579739,1.0,0.0,0.0,,,
80180,2000.0,13.086693,0.0,0.0,0.0,,,
80180,2004.0,7.988588,1.0,0.0,0.0,,,
80207,2000.0,20.639269,0.0,0.0,0.0,,,
80207,2004.0,13.765822,1.0,0.0,0.0,,5.803,1.4475272
80214,2000.0,12.5,0.0,0.0,0.0,,,
80214,2004.0,12.5,1.0,0.0,0.0,,,
80229,2000.0,14.109207,0.0,0.0,0.0,11.35834,14.78,2.2733424
80229,2004.0,9.144073,1.0,0.0,0.0,13.06106,16.49,3.2929049
80235,2000.0,25.623322,0.0,0.0,0.0,,5.871,2.1972406
80235,2004.0,15.867254,1.0,0.0,0.0,9.99122,7.694,2.7034051
80240,2000.0,18.390804,0.0,0.0,0.0,,,
80240,2004.0,7.5,1.0,0.0,0.0,,,
80253,2000.0,20.955883,0.0,0.0,0.0,,,
80253,2004.0,12.270642,1.0,0.0,0.0,,,
80266,2000.0,19.67213,0.0,0.0,0.0,,,
80266,2004.0,11.188811,1.0,0.0,0.0,,,
80272,2000.0,13.109756,0.0,0.0,0.0,,,
80272,2004.0,10.447762,1.0,0.0,0.0,,,
80288,2000.0,27.436823,0.0,0.0,0.0,,,
80288,2004.0,17.716536,1.0,0.0,0.0,,,
80291,2000.0,24.637682,0.0,0.0,0.0,,,
80291,2004.0,14.691753,1.0,0.0,0.0,,,
80305,2000.0,23.096554,0.0,0.0,0.0,,5.142,1.0890704
80305,2004.0,15.220012,1.0,0.0,0.0,12.65602,6.618,1.9643397
80312,2000.0,17.462166,0.0,0.0,0.0,,,
80312,2004.0,10.43038,1.0,0.0,0.0,,,
80327,2000.0,18.406073,0.0,0.0,0.0,,,
80327,2004.0,13.157895,1.0,0.0,0.0,,,
80333,2000.0,19.750675,0.0,0.0,0.0,15.05929,13.044,2.2692425
80333,2004.0,14.12954,1.0,0.0,0.0,8.553175,16.03,2.595134
80348,2000.0,12.850468,0.0,0.0,0.0,,,
80348,2004.0,9.84556,1.0,0.0,0.0,,,
80351,2000.0,22.225634,0.0,0.0,0.0,-2.854188,14.211,3.3284075
80351,2004.0,15.346535,1.0,0.0,0.0,9.505428,17.811,3.480995
80364,2000.0,11.607142,0.0,0.0,0.0,,,
80364,2004.0,4.6875,1.0,0.0,0.0,,,
80370,2000.0,10.14218,0.0,0.0,0.0,,,
80370,2004.0,4.9732213,1.0,0.0,0.0,,,
80386,2000.0,8.823529,0.0,0.0,0.0,,,
80386,2004.0,6.6361556,1.0,0.0,0.0,,,
80399,2000.0,5.298013,0.0,0.0,0.0,,,
80399,2004.0,2.3474178,1.0,0.0,0.0,,,
80403,2000.0,22.96767,0.0,0.0,0.0,0.9896249,10.779,2.5512571
80403,2004.0,15.627645,1.0,0.0,0.0,8.091254,13.007,3.7287614
80410,2000.0,24.302485,0.0,0.0,0.0,15.00739,13.24,2.8323262
