,statedisdec,demsharenext,demshareprev,use,demwinprev,difdemshare,difdemshare2,difdemshare3,difdemshare4,demofficeexp,demelectexp,othofficeexp,othelectexp,right,rdifdemshare,rdifdemshare2,rdifdemshare3,rdifdemshare4,difdemsharenext
1,1011,0.580962,0.46925592,1.0,0.0,0.104869485,0.010997609,0.001153314,0.000120947,0.0,0.0,1.0,1.0,1.0,0.104869485,0.010997609,0.001153314,0.000120947,0.11170608
4,1012,0.46105853,0.5396804,1.0,1.0,0.1392521,0.019391146,0.002700258,0.000376017,1.0,1.0,0.0,0.0,1.0,0.1392521,0.019391146,0.002700258,0.000376017,-0.078621894
5,1012,0.5434108,0.56962603,1.0,1.0,-0.07360193,0.005417245,-0.00039872,2.9346536e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.026215255
6,1012,0.5845801,0.46105853,1.0,0.0,0.08682153,0.007537977,0.000654459,5.6821103e-05,0.0,0.0,1.0,1.0,1.0,0.08682153,0.007537977,0.000654459,5.6821103e-05,0.123521596
9,1013,0.58028644,0.5748416,1.0,1.0,0.39935827,0.15948702,0.063692465,0.025436113,3.0,3.0,0.0,1.0,1.0,0.39935827,0.15948702,0.063692465,0.025436113,0.005444825
10,1013,0.6243524,0.69967914,1.0,1.0,0.16807723,0.028249955,0.004748175,0.00079806,4.0,4.0,0.0,0.0,1.0,0.16807723,0.028249955,0.004748175,0.00079806,-0.07532674
11,1013,0.487293,0.58028644,1.0,1.0,0.25156257,0.06328373,0.015919816,0.00400483,5.0,5.0,0.0,0.0,1.0,0.25156257,0.06328373,0.015919816,0.00400483,-0.09299344
14,1014,0.5709645,0.5690892,1.0,1.0,0.26750273,0.07155771,0.019141883,0.005120506,2.0,2.0,0.0,0.0,1.0,0.26750273,0.07155771,0.019141883,0.005120506,0.001875341
15,1014,0.59550136,0.62668604,1.0,1.0,0.15275466,0.023333987,0.003564376,0.000544475,3.0,3.0,0.0,0.0,1.0,0.15275466,0.023333987,0.003564376,0.000544475,-0.031184673
16,1014,0.6304118,0.5709645,1.0,1.0,0.20239127,0.040962227,0.008290397,0.001677904,4.0,4.0,0.0,0.0,1.0,0.20239127,0.040962227,0.008290397,0.001677904,0.05944729
19,1015,0.7418852,0.6813068,1.0,1.0,0.2378197,0.05655821,0.013450657,0.003198831,1.0,1.0,0.0,1.0,1.0,0.2378197,0.05655821,0.013450657,0.003198831,0.060578406
20,1015,0.77244276,0.61725754,1.0,1.0,0.48799968,0.23814368,0.116214044,0.056712415,2.0,2.0,0.0,2.0,1.0,0.48799968,0.23814368,0.116214044,0.056712415,0.15518522
21,1015,0.71402943,0.7418852,1.0,1.0,0.5448855,0.2969002,0.16177663,0.08814974,3.0,3.0,0.0,0.0,1.0,0.5448855,0.2969002,0.16177663,0.08814974,-0.027855754
24,1016,0.73545104,0.6712234,1.0,1.0,0.4858052,0.2360067,0.11465329,0.055699166,6.0,6.0,0.0,0.0,1.0,0.4858052,0.2360067,0.11465329,0.055699166,0.06422764
25,1016,0.5805223,0.73389024,1.0,1.0,0.48599952,0.23619553,0.11479092,0.05578833,7.0,7.0,0.0,0.0,1.0,0.48599952,0.23619553,0.11479092,0.05578833,-0.15336794
28,1021,0.49177942,0.44708145,1.0,0.0,0.0329448,0.00108536,3.575696e-05,1.1780057e-06,0.0,1.0,1.0,1.0,1.0,0.0329448,0.00108536,3.575696e-05,1.1780057e-06,0.04469797
31,1022,0.40950862,0.44514492,1.0,0.0,-0.013780028,0.000189889,-2.62e-06,3.6057894e-08,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,-0.035636306
32,1022,0.532891,0.49310997,1.0,0.0,-0.18098274,0.032754753,-0.005928045,0.001072874,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.039781004
33,1022,0.49878392,0.40950862,1.0,0.0,0.06578198,0.004327269,0.000284656,1.8725257e-05,0.0,0.0,4.0,5.0,1.0,0.06578198,0.004327269,0.000284656,1.8725257e-05,0.0892753
36,1023,0.5621175,0.5080225,1.0,1.0,0.26531625,0.07039271,0.01867633,0.004955134,0.0,0.0,0.0,0.0,1.0,0.26531625,0.07039271,0.01867633,0.004955134,0.05409503
37,1023,0.5405338,0.6326581,1.0,1.0,0.13008046,0.016920926,0.002201082,0.000286318,1.0,2.0,0.0,0.0,1.0,0.13008046,0.016920926,0.002201082,0.000286318,-0.09212434
38,1023,0.46743682,0.5621175,1.0,1.0,0.08705807,0.007579107,0.000659822,5.7442863e-05,1.0,1.0,0.0,0.0,1.0,0.08705807,0.007579107,0.000659822,5.7442863e-05,-0.0946807
41,1024,0.6506813,0.34061274,1.0,0.0,0.19812366,0.039252985,0.007776945,0.001540797,0.0,0.0,0.0,0.0,1.0,0.19812366,0.039252985,0.007776945,0.001540797,0.31006858
42,1024,0.6992224,0.590234,1.0,1.0,0.30983108,0.0959953,0.029742328,0.009215098,1.0,1.0,0.0,0.0,1.0,0.30983108,0.0959953,0.029742328,0.009215098,0.108988404
43,1024,0.53374416,0.6506813,1.0,1.0,0.39844477,0.15875824,0.06325639,0.025204178,2.0,2.0,0.0,0.0,1.0,0.39844477,0.15875824,0.06325639,0.025204178,-0.11693716
46,1025,0.67384547,0.5576834,1.0,1.0,0.09196371,0.008457324,0.000777767,7.152632e-05,2.0,2.0,0.0,0.0,1.0,0.09196371,0.008457324,0.000777767,7.152632e-05,0.11616206
47,1025,0.63618165,0.5437387,1.0,1.0,0.3476909,0.12088897,0.042031996,0.014614143,3.0,3.0,0.0,0.0,1.0,0.3476909,0.12088897,0.042031996,0.014614143,0.09244293
48,1025,0.59705013,0.67384547,1.0,1.0,0.2723633,0.07418177,0.020204391,0.005502935,4.0,4.0,0.0,0.0,1.0,0.2723633,0.07418177,0.020204391,0.005502935,-0.07679534
51,1026,0.51590836,0.50798285,1.0,1.0,0.000112861,1.27376945e-08,1.437594e-12,1.6224886e-16,7.0,7.0,0.0,1.0,1.0,0.000112861,1.27376945e-08,1.437594e-12,1.6224886e-16,0.00792551
