year,deaths_drugod,crude_drugod,ageadjust_drugod,statefips,pop,unemp_rate,welf_fs_4p_benefit,ssi_total,pov_rate,state_min_wage,expansion,exp_st,neighbor_st
2011.0,931.0,36.9,37.6,1.0,4801627.0,8.5,913.0,674.0,15.4,7.25,0.0,0.0,
1985.0,44.0,,2.3,1.0,3972523.0,8.600000381469727,411.0,325.0,20.6,3.35,0.0,0.0,
2016.0,1183.0,46.9,48.3,1.0,,,,,,,0.0,0.0,
2012.0,966.0,38.4,39.6,1.0,4817528.0,7.099999904632568,913.0,,16.2,7.25,0.0,0.0,
2000.0,534.0,23.2,23.3,1.0,4452173.0,4.099999904632568,620.0,513.0,13.3,5.15,0.0,0.0,
2010.0,945.0,37.6,38.7,1.0,4785570.0,9.199999809265137,913.0,674.0,17.3,7.25,0.0,0.0,
1987.0,57.0,,3.0,1.0,4015264.0,7.599999904632568,418.0,340.0,21.3,3.35,0.0,0.0,
2009.0,991.0,39.7,40.4,1.0,4757938.0,9.699999809265137,833.0,674.0,16.6,7.25,0.0,0.0,
1997.0,93.0,,4.2,1.0,4320281.0,4.400000095367432,594.0,484.0,15.7,4.75,0.0,0.0,
1999.0,483.0,21.1,21.2,1.0,4369862.0,4.300000190734863,613.0,500.0,15.2,5.15,0.0,0.0,
2004.0,544.0,23.0,23.3,1.0,4530729.0,5.0,716.0,564.0,16.9,5.15,0.0,0.0,
1995.0,76.0,,3.5,1.0,4262731.0,5.199999809265137,580.0,458.0,20.1,4.25,0.0,0.0,
2015.0,1158.0,46.0,47.0,1.0,,,,,,,0.0,0.0,
1980.0,27.0,,1.7,1.0,3893888.0,8.399999618530273,357.0,238.0,21.2,3.1,0.0,0.0,
1996.0,77.0,,3.5,1.0,4290403.0,4.5,591.0,470.0,14.0,4.25,0.0,0.0,
1992.0,60.0,,2.9,1.0,4139269.0,6.900000095367432,538.0,422.0,17.3,4.25,0.0,0.0,
2013.0,1016.0,40.4,41.0,1.0,4833722.0,6.5,913.0,,16.7,7.25,0.0,0.0,
1984.0,43.0,,2.3,1.0,3951820.0,10.199999809265137,400.0,314.0,19.1,3.35,0.0,0.0,
2002.0,509.0,21.9,22.1,1.0,4480089.0,5.400000095367432,646.0,545.0,14.5,5.15,0.0,0.0,
1989.0,63.0,,3.1,1.0,4030222.0,6.599999904632568,447.0,368.0,18.9,3.35,0.0,0.0,
2007.0,832.0,33.9,34.3,1.0,4672840.0,3.4000000953674316,763.0,623.0,14.5,5.85,0.0,0.0,
1981.0,33.0,,1.8,1.0,3918531.0,9.699999809265137,381.0,265.0,24.1,3.35,0.0,0.0,
1983.0,41.0,,2.2,1.0,3934102.0,12.800000190734863,400.0,304.0,23.0,3.35,0.0,0.0,
1994.0,59.0,,2.8,1.0,4232965.0,5.400000095367432,569.0,446.0,16.4,4.25,0.0,0.0,
1998.0,115.0,,5.1,1.0,4351037.0,3.9000000953674316,602.0,494.0,14.5,5.15,0.0,0.0,
1982.0,29.0,,1.6,1.0,3925266.0,13.199999809265137,381.0,284.0,21.6,3.35,0.0,0.0,
1993.0,59.0,,2.8,1.0,4193114.0,6.599999904632568,564.0,434.0,17.4,4.25,0.0,0.0,
1979.0,38.0,,2.3,1.0,,,,,,,0.0,0.0,
2001.0,522.0,22.5,22.7,1.0,4467634.0,4.699999809265137,628.0,531.0,15.9,5.15,0.0,0.0,
