year,cc,qxfemale,invertedplc,exfemale,qxmale,exmale,country,rgdpe,pop,hc,rpcgdp,qxall
1950.0,AUS,0.12208,1.999,14.8,0.19257,12.26,Australia,96788.3,8.31187,2.66941,11644.6,0.157325
1951.0,AUS,0.12142,1.80064,14.7,0.19772,12.12,Australia,90027.6,8.55645,2.68243,10521.6,0.15957
1952.0,AUS,0.12088,1.76394,14.91,0.19856,12.22,Australia,89120.6,8.73803,2.6955,10199.2,0.15972
1953.0,AUS,0.11432,1.80128,15.15,0.18689,12.49,Australia,98327.9,8.90564,2.70864,11041.1,0.150605
1954.0,AUS,0.1141,1.76687,15.13,0.18725,12.32,Australia,104491.0,9.11285,2.72185,11466.3,0.150675
1955.0,AUS,0.11412,1.7391,15.3,0.19351,12.37,Australia,108197.0,9.32706,2.73512,11600.3,0.15381499999999998
1956.0,AUS,0.11524,1.777,15.01,0.1905,12.15,Australia,110975.0,9.55179,2.7469,11618.2,0.15287
1957.0,AUS,0.11253,1.71276,15.39,0.18991,12.46,Australia,110921.0,9.76489,2.75874,11359.2,0.15122
1958.0,AUS,0.1044,1.59916,15.77,0.18536,12.69,Australia,117959.0,9.96868,2.77063,11833.0,0.14488
1959.0,AUS,0.10709,1.59488,15.52,0.19757,12.24,Australia,126596.0,10.1863,2.78256,12428.1,0.15233
1960.0,AUS,0.10784,1.56211,15.76,0.19053,12.51,Australia,128030.0,10.4171,2.79455,12290.4,0.149185
1961.0,AUS,0.10392,1.57537,15.92,0.1872,12.59,Australia,131819.0,10.6559,2.80676,12370.5,0.14556
1962.0,AUS,0.10321,1.55006,15.77,0.1892,12.44,Australia,139235.0,10.8531,2.81902,12829.0,0.146205
1963.0,AUS,0.10117,1.54025,15.91,0.19315,12.42,Australia,151180.0,11.0607,2.83134,13668.2,0.14715999999999999
1964.0,AUS,0.10366,1.52826,15.62,0.19473,12.15,Australia,157606.0,11.2787,2.8437,13973.7,0.149195
1965.0,AUS,0.1034,1.51073,15.87,0.1942,12.3,Australia,160406.0,11.501,2.85612,13947.1,0.14880000000000002
1966.0,AUS,0.10758,1.5123,15.61,0.19873,12.07,Australia,170950.0,11.7179,2.87747,14588.8,0.15315499999999999
1967.0,AUS,0.10088,1.56306,16.05,0.19808,12.3,Australia,177936.0,11.9362,2.89898,14907.3,0.14948
1968.0,AUS,0.10596,1.51867,15.65,0.19955,11.96,Australia,191941.0,12.1669,2.92065,15775.7,0.152755
1969.0,AUS,0.10471,1.55371,16.08,0.19936,12.28,Australia,206599.0,12.4461,2.94248,16599.6,0.152035
1970.0,AUS,0.10586,1.48996,15.73,0.20388,11.98,Australia,213211.0,12.7284,2.96448,16750.9,0.15487
1971.0,AUS,0.09681,1.47687,16.15,0.18645,12.47,Australia,220372.0,12.9878,2.99286,16967.6,0.14163
1972.0,AUS,0.09456,1.48567,16.48,0.18085,12.61,Australia,231515.0,13.2369,3.02152,17490.2,0.13770500000000002
1973.0,AUS,0.09084,1.45788,16.58,0.18267,12.67,Australia,251226.0,13.4722,3.05045,18647.8,0.13675500000000002
1974.0,AUS,0.09598,1.44543,16.42,0.18108,12.53,Australia,244552.0,13.6903,3.07966,17863.2,0.13853
1975.0,AUS,0.08989,1.49261,17.07,0.17081,13.12,Australia,245592.0,13.8897,3.10915,17681.6,0.13035
1976.0,AUS,0.08882,1.47483,16.93,0.17351,12.88,Australia,255756.0,14.068,3.13817,18180.0,0.131165
1977.0,AUS,0.08313,1.4995,17.43,0.16705,13.38,Australia,257571.0,14.2279,3.16746,18103.2,0.12509
1978.0,AUS,0.08109,1.47985,17.67,0.16317,13.5,Australia,270855.0,14.3796,3.19703,18836.1,0.12213
1979.0,AUS,0.07777,1.4771,17.98,0.15734,13.77,Australia,280526.0,14.5368,3.22687,19297.6,0.117555
1980.0,AUS,0.0768,1.48757,17.99,0.15617,13.74,Australia,289872.0,14.7099,3.25699,19705.9,0.116485
1981.0,AUS,0.07584,1.47125,18.18,0.1507,13.86,Australia,304014.0,14.9016,3.25701,20401.4,0.11327000000000001
1982.0,AUS,0.0774,1.48996,17.94,0.15355,13.7,Australia,296617.0,15.1097,3.25703,19630.9,0.115475
1983.0,AUS,0.07329,1.51256,18.45,0.14325,14.26,Australia,314047.0,15.3328,3.25705,20482.0,0.10826999999999999
1984.0,AUS,0.07208,1.50302,18.59,0.13568,14.5,Australia,326957.0,15.5679,3.25708,21001.9,0.10388
1985.0,AUS,0.07168,1.55586,18.13,0.13948,14.21,Australia,336513.0,15.8121,3.2571,21282.0,0.10558
1986.0,AUS,0.07347,1.60606,18.55,0.13376,14.66,Australia,343363.0,16.0665,3.25985,21371.4,0.10361499999999998
1987.0,AUS,0.06801,1.82781,18.66,0.13219,14.66,Australia,370375.0,16.3304,3.26261,22680.1,0.1001
1988.0,AUS,0.06769,2.22549,18.75,0.12852,14.75,Australia,397921.0,16.5961,3.26537,23976.8,0.098105
1989.0,AUS,0.06726,1.79936,18.59,0.12939,14.64,Australia,414880.0,16.8537,3.26813,24616.5,0.098325
1990.0,AUS,0.06519,1.81833,19.04,0.12374,15.19,Australia,411221.0,17.0962,3.2709,24053.4,0.094465
1991.0,AUS,0.06344,1.82237,19.31,0.11799,15.44,Australia,412705.0,17.3206,3.27444,23827.4,0.09071499999999999
1992.0,AUS,0.06162,1.83612,19.23,0.11856,15.36,Australia,429406.0,17.5295,3.27798,24496.2,0.09009
1993.0,AUS,0.05946,1.90662,19.58,0.11295,15.7,Australia,447859.0,17.7274,3.28153,25263.6,0.086205
1994.0,AUS,0.06015,2.24378,19.45,0.11287,15.59,Australia,472789.0,17.9218,3.28508,26380.7,0.08651
1995.0,AUS,0.05799,1.89127,19.74,0.10685,15.99,Australia,497592.0,18.1184,3.28864,27463.3,0.08242
1996.0,AUS,0.05533,1.84104,19.78,0.10388,16.0,Australia,520376.0,18.3196,3.29254,28405.4,0.079605
1997.0,AUS,0.05512,1.89767,19.91,0.10008,16.31,Australia,545993.0,18.5252,3.29644,29473.1,0.0776
1998.0,AUS,0.05068,1.92421,20.34,0.0949,16.64,Australia,570333.0,18.7349,3.30034,30442.3,0.07279
1999.0,AUS,0.0484,2.15607,20.48,0.09027,16.88,Australia,599694.0,18.9479,3.30425,31649.7,0.06933500000000001
2000.0,AUS,0.0486,2.12994,20.67,0.08525,17.17,Australia,609590.0,19.1644,3.30817,31808.6,0.066925
2001.0,AUS,0.04652,1.92507,20.85,0.08223,17.45,Australia,632604.0,19.3822,3.31305,32638.4,0.064375
2002.0,AUS,0.0472,1.93721,20.75,0.07997,17.43,Australia,652606.0,19.6041,3.31795,33289.4,0.063585
2003.0,AUS,0.04492,1.99502,21.09,0.07822,17.77,Australia,680181.0,19.8401,3.32285,34283.1,0.06157
2004.0,AUS,0.04473,2.07759,21.26,0.07449,18.0,Australia,701684.0,20.1038,3.32776,34903.0,0.059609999999999996
2005.0,AUS,0.0414,2.10375,21.6,0.07242,18.47,Australia,724453.0,20.4035,3.33267,35506.3,0.05691
2006.0,AUS,0.03939,2.27389,21.66,0.06914,18.58,Australia,748248.0,20.7443,3.34377,36070.1,0.054264999999999994
2007.0,AUS,0.04037,2.28041,21.67,0.06955,18.66,Australia,771516.0,21.12,3.35489,36530.1,0.05496
2008.0,AUS,0.03982,2.12994,21.54,0.06816,18.59,Australia,778926.0,21.5138,3.36606,36205.8,0.053989999999999996
2009.0,AUS,0.03845,2.07991,21.99,0.06478,19.05,Australia,790209.0,21.9023,3.37726,36078.8,0.051615
1950.0,CAN,0.12417,1.81566,14.99,0.16712,13.3,Canada,135857.0,13.9901,2.45929,9710.96,0.145645
1951.0,CAN,0.11812,1.80645,14.99,0.16284,13.36,Canada,140928.0,14.3088,2.47692,9849.0,0.14048
1952.0,CAN,0.11288,1.7837,15.47,0.16447,13.52,Canada,154104.0,14.7631,2.49468,10438.5,0.138675
1953.0,CAN,0.11442,1.7776,15.41,0.16248,13.52,Canada,161855.0,15.1602,2.51256,10676.3,0.13845000000000002
1954.0,CAN,0.10885,1.7722,15.82,0.16123,13.7,Canada,160896.0,15.6124,2.53057,10305.6,0.13504
1955.0,CAN,0.10703,1.81169,15.78,0.16493,13.48,Canada,176321.0,16.0259,2.54872,11002.3,0.13598
1956.0,CAN,0.10559,1.77519,15.78,0.16446,13.5,Canada,191497.0,16.42,2.5665,11662.4,0.135025
1957.0,CAN,0.10993,1.75188,15.85,0.17033,13.41,Canada,195052.0,16.9842,2.58069,11484.3,0.14013
1958.0,CAN,0.1043,1.7326,16.08,0.16599,13.6,Canada,198639.0,17.4354,2.59496,11392.9,0.13514500000000002
1959.0,CAN,0.10432,1.7148,15.88,0.16581,13.43,Canada,207771.0,17.8448,2.6093,11643.2,0.135065
1960.0,CAN,0.10152,1.70126,16.18,0.1619,13.57,Canada,214454.0,18.2389,2.62373,11758.0,0.13171
1961.0,CAN,0.10196,1.69396,16.31,0.16389,13.59,Canada,222060.0,18.6066,2.63465,11934.5,0.13292500000000002
1962.0,CAN,0.0986,1.65402,16.41,0.16163,13.64,Canada,235934.0,18.9569,2.64563,12445.8,0.13011499999999998
1963.0,CAN,0.09815,1.63735,16.33,0.16306,13.54,Canada,247613.0,19.3134,2.65665,12820.8,0.130605
1964.0,CAN,0.09554,1.65147,16.72,0.16231,13.68,Canada,264888.0,19.681,2.66771,13459.0,0.128925
1965.0,CAN,0.09283,1.65062,16.7,0.16369,13.56,Canada,282778.0,20.0405,2.67882,14110.3,0.12825999999999999
1966.0,CAN,0.09312,1.62422,16.9,0.16599,13.63,Canada,301329.0,20.4173,2.69551,14758.5,0.129555
1967.0,CAN,0.09028,1.60901,17.15,0.16562,13.73,Canada,310164.0,20.7881,2.7123,14920.3,0.12795
1968.0,CAN,0.08955,1.61275,17.14,0.16905,13.61,Canada,324376.0,21.1109,2.7292,15365.4,0.1293
1969.0,CAN,0.08833,1.5988,17.32,0.16872,13.69,Canada,340907.0,21.4154,2.7462,15918.8,0.128525
1970.0,CAN,0.08765,1.57208,17.5,0.16639,13.76,Canada,348874.0,21.7169,2.7633,16064.7,0.12702000000000002
1971.0,CAN,0.08305,1.54585,17.63,0.1596,13.89,Canada,366836.0,22.0484,2.78441,16637.7,0.12132499999999999
1972.0,CAN,0.08367,1.57045,17.58,0.16361,13.78,Canada,388952.0,22.3441,2.80568,17407.4,0.12364
1973.0,CAN,0.08069,1.58685,17.74,0.15906,13.87,Canada,422344.0,22.6147,2.82711,18675.7,0.11987500000000001
1974.0,CAN,0.08256,1.59809,17.72,0.15995,13.84,Canada,446767.0,22.8767,2.84871,19529.4,0.121255
1975.0,CAN,0.08193,1.6215,17.96,0.15704,13.97,Canada,450870.0,23.1423,2.87047,19482.6,0.11948500000000001
1976.0,CAN,0.07989,1.57637,18.09,0.15356,14.02,Canada,479135.0,23.4161,2.88929,20461.8,0.116725
1977.0,CAN,0.07772,1.56948,18.39,0.15249,14.23,Canada,490084.0,23.6952,2.90824,20682.8,0.11510499999999999
1978.0,CAN,0.07605,1.57937,18.57,0.14999,14.35,Canada,504809.0,23.9756,2.92731,21055.1,0.11302000000000001
1979.0,CAN,0.07491,1.61996,18.8,0.14752,14.54,Canada,530998.0,24.2506,2.94651,21896.2,0.11121500000000001
