Outcome,Nuclear,Wind,Dist_nuclear,Dist_wind,Region,Urban_rural,Health,Job,Landscape,Supply,Trust_reg,Trust_health,Trust_plant,Env,Gender,Age,Income,Education,Race,Religion,PID,AC1,AC2,AC3,AC
-80,10,90,176.082164134011,95.8647295165238,Western,0,4,4,1,4,1,2,1,2,Male,1946 to 1964,"Less than $40,000",College (no degree),Caucasian,Other Christians,Democrat,1,1,1,1
-60,20,80,145.709675088364,50.1741698719064,Western,0,3,4,3,4,2,4,2,2,Female,1965 to 1996,"$40,000 to $69,999",4 yrs college,Latin or Hispanic,Catholic,Independent,1,2,2,3
-6,47,53,127.386434203304,34.8719736363821,Eastern,0,4,3,3,4,2,4,2,2,Female,After 1996,"$105,000 to $159,999",High,Caucasian,Not religious,Independent,2,2,1,1
-26,37,63,163.030235880594,71.2551427204201,Western,0,4,4,4,4,2,2,2,2,Male,1965 to 1996,"$40,000 to $69,999",4 yrs college,Caucasian,Not religious,Democrat,1,2,2,3
24,62,38,160.192906520265,72.3130435127626,Western,0,2,3,2,4,3,3,2,1,Male,Before 1946,"Less than $40,000",4 yrs college,Caucasian,Jewish,Republican,1,2,2,3
-72,14,86,156.020295055705,74.6480202201442,Western,0,4,2,2,3,2,1,1,2,Female,1965 to 1996,"$70,000 to $104,999",College (no degree),Caucasian,Catholic,Independent,1,2,2,3
-40,30,70,175.205935309115,64.5383278312901,Western,0,4,3,1,2,1,2,2,2,Female,1965 to 1996,"$40,000 to $69,999",High,Caucasian,Not religious,Independent,1,2,2,3
-12,44,56,171.505434495101,41.606716623894,Western,0,4,4,1,3,3,3,3,2,Male,1965 to 1996,"Less than $40,000",College (no degree),Caucasian,Buddhist,Independent,1,2,2,3
76,88,12,156.056426604351,61.3095449365209,Western,0,2,2,2,4,4,3,4,2,Male,1965 to 1996,"$105,000 to $159,999",Grad school,Caucasian,Catholic,Independent,1,1,2,2
-6,47,53,172.447399246593,91.4580506505026,Western,0,4,2,3,3,2,4,3,1,Female,1965 to 1996,"$70,000 to $104,999",4 yrs college,Caucasian,Other Christians,Independent,3,3,1,0
20,60,40,66.3204971357749,34.0836477238813,Eastern,0,1,3,1,3,3,2,3,1,Female,After 1996,"$70,000 to $104,999",Grad school,Caucasian,Not religious,Republican,1,1,1,1
68,84,16,158.98497153453,59.2313471742502,Western,0,2,4,1,4,3,2,3,2,Male,1965 to 1996,"$40,000 to $69,999",College (no degree),Native Hawaiian or Pacific Islander,Other Christians,Independent,1,2,2,3
-60,20,80,160.918349569804,64.0775264682216,Western,0,3,4,1,4,1,4,1,2,Male,1946 to 1964,"Less than $40,000",4 yrs college,Caucasian,Not religious,Democrat,1,3,2,2
0,50,50,160.918349569804,64.0775264682216,Western,0,2,3,3,3,1,2,1,2,Female,After 1996,"Less than $40,000",High,Asian,Catholic,Democrat,1,3,1,1
-20,40,60,168.798407890208,69.8549950437337,Western,0,4,3,1,4,3,4,2,2,Female,1965 to 1996,"$105,000 to $159,999",Grad school,Latin or Hispanic,Catholic,Independent,1,2,2,3
-40,30,70,168.137850229831,79.7622835455743,Western,0,4,4,1,4,2,4,3,2,Female,1946 to 1964,"Less than $40,000",College (no degree),Caucasian,Not religious,Democrat,1,1,2,2
-12,44,56,153.084860086042,62.2544198030429,Western,0,4,4,1,4,4,4,4,2,Male,1965 to 1996,"$160,000 or higher",4 yrs college,Caucasian,Other Christians,Democrat,1,2,2,3
-20,40,60,154.664340556823,49.1579914341285,Western,0,4,4,2,4,2,3,3,2,Female,1965 to 1996,"Less than $40,000",High,Caucasian,Other Christians,Republican,1,2,2,3
-20,40,60,196.443501388515,117.87922854012,Western,0,4,3,3,4,3,3,2,2,Male,1946 to 1964,"$70,000 to $104,999",4 yrs college,Caucasian,Other Christians,Democrat,1,2,1,2
-16,42,58,150.103353404061,49.9400598747611,Western,0,2,4,2,2,2,2,3,2,Female,1965 to 1996,"$40,000 to $69,999",4 yrs college,African-American,Not religious,Independent,1,2,1,2
2,51,49,152.225144315411,55.1637983576171,Western,0,1,3,3,4,3,3,3,2,Female,1965 to 1996,"$105,000 to $159,999",4 yrs college,Asian,Other Christians,Republican,1,2,2,3
-20,40,60,158.851853651326,28.2833980129217,Western,1,4,4,2,4,2,2,2,2,Female,1946 to 1964,"Less than $40,000",High (incomplete),Caucasian,Protestant,Republican,1,2,2,3
62,81,19,162.161602409533,65.2356149962335,Western,0,3,4,3,4,3,4,4,2,Male,1965 to 1996,"$105,000 to $159,999",Grad school,Caucasian,Muslim,Democrat,1,2,2,3
40,70,30,169.705449406397,87.2282397439233,Western,0,4,4,2,4,1,2,1,2,Female,1965 to 1996,"Less than $40,000",High,Caucasian,Other Christians,Independent,1,1,1,1
-100,0,100,171.505434495101,41.606716623894,Western,0,4,4,3,4,2,2,1,2,Male,1965 to 1996,"$70,000 to $104,999",College (no degree),Latin or Hispanic,Protestant,Independent,1,2,1,2
-46,27,73,155.33299557658,65.6797648157114,Western,0,4,3,2,4,3,4,2,2,Female,1965 to 1996,"$160,000 or higher",Grad school,Latin or Hispanic,Other Christians,Independent,1,1,2,2
-2,49,51,160.991607838916,12.1871457795268,Eastern,1,2,4,2,4,2,2,2,1,Male,1965 to 1996,"Less than $40,000",High,Caucasian,Other Christians,Republican,1,2,2,3
-10,45,55,155.579989094842,69.9973567842287,Western,0,4,4,4,4,4,4,4,2,Male,1965 to 1996,"Less than $40,000",Grad school,Native American,Protestant,Republican,3,3,2,1
-2,49,51,154.664340556823,49.1579914341285,Western,0,3,3,4,2,3,3,2,2,Male,1965 to 1996,"$70,000 to $104,999",College (no degree),Caucasian,Other Christians,Republican,1,1,1,1
-84,8,92,152.791146688842,30.4009991353685,Western,0,4,3,1,3,1,3,2,2,Female,1946 to 1964,"Less than $40,000",College (no degree),Caucasian,Not religious,Democrat,1,2,2,3
-60,20,80,163.375803190704,65.3172484690425,Western,0,4,4,2,4,4,4,4,2,Female,1946 to 1964,"$40,000 to $69,999",4 yrs college,Caucasian,Not religious,Democrat,1,2,2,3
-66,17,83,158.004007746906,52.7782019897556,Western,0,4,3,1,2,1,4,2,2,Female,1946 to 1964,"$40,000 to $69,999",4 yrs college,Other/Unknown,Other faiths,Independent,1,2,2,3
-60,20,80,191.156423882729,112.106375692073,Western,0,4,4,1,4,3,4,2,2,Male,1965 to 1996,"Less than $40,000",High,Caucasian,Not religious,Democrat,1,2,2,3
