year,policy_year,share_detained_sheriff,share_detained_crime0,share_detained_crime1,share_detained_crime2,share_detained_crime3,no_287g,no_detention_contract,no_ice_alerts,ice_interrogation_limits,sanctuary_2018,in_287g_2018,enforcement_scale_2018,large_county,county_id,election_id,rv,treat,rv2,rv3,rv4,rv5,treat_rv,treat_rv2,treat_rv3,all_sheriff_per1k_fb,all_sheriff_per1k_pop,log_all_sheriff,detained_sheriff_per1k_fb,detained_sheriff_per1k_pop,log_detained_sheriff,sub_per_fb,rem_per1k_fb,miss_share_detained_sheriff,pre_share_detained_sheriff,pre_all_sheriff_per1k_fb,pre_all_sheriff_per1k_pop,pre_log_all_sheriff,pre_detained_sheriff_per1k_fb,pre_detained_sheriff_per1k_pop,pre_log_detained_sheriff,pre_year
2006,2007.0,,,,,,,,,,,,,1.0,1.0,1.0,16.390114,1.0,268.63583,4402.9717,72165.21,1182796.0,16.390114,268.63583,4402.9717,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,2006.0
2007,2008.0,,,,,,,,,,,,,1.0,1.0,1.0,16.390114,1.0,268.63583,4402.9717,72165.21,1182796.0,16.390114,268.63583,4402.9717,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,2006.0
2008,2009.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,16.390114,1.0,268.63583,4402.9717,72165.21,1182796.0,16.390114,268.63583,4402.9717,2.0975354,0.03563506,1.609438,2.0975354,0.03563506,1.609438,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2006.0
2009,2010.0,0.6818182,,,,,,,,,,,,1.0,1.0,1.0,16.390114,1.0,268.63583,4402.9717,72165.21,1182796.0,16.390114,268.63583,4402.9717,11.536445,0.19599284,3.1354942,7.865758,0.13363148,2.7725887,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2006.0
2014,2015.0,0.0,,,,,1.0,1.0,0.0,0.0,,,,1.0,1.0,2.0,-19.463419,0.0,378.82468,-7373.2236,143508.14,-2793159.0,0.0,0.0,0.0,1.5731516,0.026726296,1.3862944,0.0,0.0,0.0,3530.152,20.975353,0.0,0.1,5.2438383,0.08908765,2.3978953,0.52438384,0.008908765,0.6931472,2014.0
2015,2016.0,,,,,,,,,,,,,1.0,1.0,2.0,-19.463419,0.0,378.82468,-7373.2236,143508.14,-2793159.0,0.0,0.0,0.0,,,,,,,1784.4783,15.731516,,0.1,5.2438383,0.08908765,2.3978953,0.52438384,0.008908765,0.6931472,2014.0
2016,2017.0,,,,,,,,,,,,,1.0,1.0,2.0,-19.463419,0.0,378.82468,-7373.2236,143508.14,-2793159.0,0.0,0.0,0.0,,,,,,,,,,0.1,5.2438383,0.08908765,2.3978953,0.52438384,0.008908765,0.6931472,2014.0
2017,2018.0,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,2.0,-19.463419,0.0,378.82468,-7373.2236,143508.14,-2793159.0,0.0,0.0,0.0,,,,,,,,,,0.1,5.2438383,0.08908765,2.3978953,0.52438384,0.008908765,0.6931472,2014.0
2006,2007.0,0.0,,0.0,,,,,,,,,,1.0,2.0,3.0,17.650658,1.0,311.54572,5498.987,97060.734,1713185.8,17.650658,311.54572,5498.987,0.59276825,0.009665664,0.6931472,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2006.0
2007,2008.0,0.6666667,1.0,0.5555556,,0.0,,,,,,,,1.0,2.0,3.0,17.650658,1.0,311.54572,5498.987,97060.734,1713185.8,17.650658,311.54572,5498.987,8.891523,0.14498498,2.7725887,5.9276824,0.09665665,2.3978953,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2006.0
2008,2009.0,0.8815789,0.8611111,0.93333334,0.8,0.9,,,,,,,,1.0,2.0,3.0,17.650658,1.0,311.54572,5498.987,97060.734,1713185.8,17.650658,311.54572,5498.987,45.050385,0.73459053,4.3438053,39.71547,0.6475995,4.2195077,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2006.0
2009,2010.0,0.6818182,0.56,0.8,0.0,0.9230769,,,,,,,,1.0,2.0,3.0,17.650658,1.0,311.54572,5498.987,97060.734,1713185.8,17.650658,311.54572,5498.987,26.081802,0.42528924,3.8066626,17.783047,0.28996995,3.4339871,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2006.0
2010,2011.0,0.5205479,0.42553192,0.8,0.5,0.68421054,,,,,,,,1.0,2.0,4.0,-26.512175,0.0,702.8954,-18635.285,494061.94,-13098657.0,0.0,0.0,0.0,43.27208,0.7055935,4.304065,22.525192,0.36729527,3.6635616,,,0.0,0.6818182,26.081802,0.42528924,3.8066626,17.783047,0.28996995,3.4339871,2010.0
2011,2012.0,0.6721311,0.61702126,0.5,1.0,0.9,,,,,,,,1.0,2.0,4.0,-26.512175,0.0,702.8954,-18635.285,494061.94,-13098657.0,0.0,0.0,0.0,36.158863,0.58960557,4.1271343,24.303497,0.39629224,3.7376697,,,0.0,0.6818182,26.081802,0.42528924,3.8066626,17.783047,0.28996995,3.4339871,2010.0
2012,2013.0,0.6296296,0.51428574,0.8333333,1.0,0.8333333,,,,,,,,1.0,2.0,4.0,-26.512175,0.0,702.8954,-18635.285,494061.94,-13098657.0,0.0,0.0,0.0,32.009483,0.5219459,4.0073333,20.15412,0.3286326,3.5553482,,,0.0,0.6818182,26.081802,0.42528924,3.8066626,17.783047,0.28996995,3.4339871,2010.0
2013,2014.0,0.6666667,0.4,1.0,1.0,0.8947368,,,,,,,,1.0,2.0,4.0,-26.512175,0.0,702.8954,-18635.285,494061.94,-13098657.0,0.0,0.0,0.0,30.23118,0.4929489,3.9512436,20.15412,0.3286326,3.5553482,2441.6123,20.15412,0.0,0.6818182,26.081802,0.42528924,3.8066626,17.783047,0.28996995,3.4339871,2010.0
2006,2007.0,,,,,,,,,,,,,1.0,3.0,5.0,-2.8195648,0.0,7.949946,-22.415388,63.201637,-178.20111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,2006.0
2007,2008.0,,,,,,,,,,,,,1.0,3.0,5.0,-2.8195648,0.0,7.949946,-22.415388,63.201637,-178.20111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,2006.0
2008,2009.0,1.0,,,,,,,,,,,,1.0,3.0,5.0,-2.8195648,0.0,7.949946,-22.415388,63.201637,-178.20111,0.0,0.0,0.0,0.19364834,0.0045314003,1.3862944,0.19364834,0.0045314003,1.3862944,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2006.0
2009,2010.0,0.3846154,,,,,,,,,,,,1.0,3.0,5.0,-2.8195648,0.0,7.949946,-22.415388,63.201637,-178.20111,0.0,0.0,0.0,1.6782856,0.039272137,3.295837,0.64549446,0.015104668,2.3978953,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2006.0
2010,2011.0,0.08421053,,,,,,,,,,,,1.0,3.0,6.0,-19.694853,0.0,387.88724,-7639.382,150456.5,-2963218.8,0.0,0.0,0.0,6.1321974,0.14349434,4.564348,0.51639557,0.012083734,2.1972246,,,0.0,0.3846154,1.6782856,0.039272137,3.295837,0.64549446,0.015104668,2.3978953,2010.0
2011,2012.0,0.0,,,,,,,,,,,,1.0,3.0,6.0,-19.694853,0.0,387.88724,-7639.382,150456.5,-2963218.8,0.0,0.0,0.0,5.228505,0.12234781,4.406719,0.0,0.0,0.0,,,0.0,0.3846154,1.6782856,0.039272137,3.295837,0.64549446,0.015104668,2.3978953,2010.0
2012,2013.0,0.071428575,,,,,,,,,,,,1.0,3.0,6.0,-19.694853,0.0,387.88724,-7639.382,150456.5,-2963218.8,0.0,0.0,0.0,1.8073845,0.042293068,3.3672957,0.12909889,0.0030209336,1.0986123,,,0.0,0.3846154,1.6782856,0.039272137,3.295837,0.64549446,0.015104668,2.3978953,2010.0
2013,2014.0,0.11111111,,,,,,,,,,,,1.0,3.0,6.0,-19.694853,0.0,387.88724,-7639.382,150456.5,-2963218.8,0.0,0.0,0.0,0.580945,0.013594201,2.3025851,0.064549446,0.0015104668,0.6931472,3564.9368,42.73173,0.0,0.3846154,1.6782856,0.039272137,3.295837,0.64549446,0.015104668,2.3978953,2010.0
2014,2015.0,0.25,,,,,1.0,1.0,0.0,0.0,,,,1.0,3.0,7.0,-6.3179665,0.0,39.9167,-252.19237,1593.3429,-10066.6875,0.0,0.0,0.0,0.25819778,0.006041867,1.609438,0.064549446,0.0015104668,0.6931472,2855.2156,33.69481,0.0,0.11111111,0.580945,0.013594201,2.3025851,0.064549446,0.0015104668,0.6931472,2014.0
2015,2016.0,,,,,,,,,,,,,1.0,3.0,7.0,-6.3179665,0.0,39.9167,-252.19237,1593.3429,-10066.6875,0.0,0.0,0.0,,,,,,,1203.6534,16.008263,,0.11111111,0.580945,0.013594201,2.3025851,0.064549446,0.0015104668,0.6931472,2014.0
2016,2017.0,,,,,,,,,,,,,1.0,3.0,7.0,-6.3179665,0.0,39.9167,-252.19237,1593.3429,-10066.6875,0.0,0.0,0.0,,,,,,,,,,0.11111111,0.580945,0.013594201,2.3025851,0.064549446,0.0015104668,0.6931472,2014.0
2017,2018.0,,,,,,,,,,0.0,0.0,0.0,1.0,3.0,7.0,-6.3179665,0.0,39.9167,-252.19237,1593.3429,-10066.6875,0.0,0.0,0.0,,,,,,,,,,0.11111111,0.580945,0.013594201,2.3025851,0.064549446,0.0015104668,0.6931472,2014.0
2006,2007.0,,,,,,,,,,,,,1.0,4.0,8.0,-11.327576,0.0,128.31396,-1453.4862,16464.475,-186502.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,2006.0
2007,2008.0,,,,,,,,,,,,,1.0,4.0,8.0,-11.327576,0.0,128.31396,-1453.4862,16464.475,-186502.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,2006.0
2008,2009.0,0.5,,,,,,,,,,,,1.0,4.0,8.0,-11.327576,0.0,128.31396,-1453.4862,16464.475,-186502.6,0.0,0.0,0.0,0.54664725,0.021684134,1.9459101,0.27332363,0.010842067,1.3862944,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2006.0
2009,2010.0,0.7070707,,,,,,,,,,,,1.0,4.0,8.0,-11.327576,0.0,128.31396,-1453.4862,16464.475,-186502.6,0.0,0.0,0.0,18.039358,0.7155764,5.293305,12.755102,0.50596315,4.94876,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2006.0
2010,2011.0,0.48704663,,,,,,,,,,,,1.0,4.0,9.0,-16.872578,0.0,284.68387,-4803.3506,81044.91,-1367436.5,0.0,0.0,0.0,17.583818,0.6975063,5.267858,8.56414,0.3397181,4.553877,,,0.0,0.7070707,18.039358,0.7155764,5.293305,12.755102,0.50596315,4.94876,2010.0
2011,2012.0,0.45794392,,,,,,,,,,,,1.0,4.0,9.0,-16.872578,0.0,284.68387,-4803.3506,81044.91,-1367436.5,0.0,0.0,0.0,9.748542,0.3867004,4.6821313,4.464286,0.1770871,3.912023,,,0.0,0.7070707,18.039358,0.7155764,5.293305,12.755102,0.50596315,4.94876,2010.0
2012,2013.0,0.116883114,,,,,,,,,,,,1.0,4.0,9.0,-16.872578,0.0,284.68387,-4803.3506,81044.91,-1367436.5,0.0,0.0,0.0,7.015306,0.27827972,4.356709,0.81997085,0.032526202,2.3025851,,,0.0,0.7070707,18.039358,0.7155764,5.293305,12.755102,0.50596315,4.94876,2010.0
2013,2014.0,0.12765957,,,,,,,,,,,,1.0,4.0,9.0,-16.872578,0.0,284.68387,-4803.3506,81044.91,-1367436.5,0.0,0.0,0.0,4.28207,0.16985905,3.871201,0.54664725,0.021684134,1.9459101,1193.422,19.22376,0.0,0.7070707,18.039358,0.7155764,5.293305,12.755102,0.50596315,4.94876,2010.0
2014,2015.0,0.12903225,,,,,1.0,1.0,0.0,0.0,,,,1.0,4.0,10.0,-14.972561,0.0,224.17758,-3356.5125,50255.586,-752454.8,0.0,0.0,0.0,2.824344,0.11203469,3.465736,0.3644315,0.01445609,1.609438,1450.2551,24.599125,0.0,0.12765957,4.28207,0.16985905,3.871201,0.54664725,0.021684134,1.9459101,2014.0
2015,2016.0,,,,,,,,,,,,,1.0,4.0,10.0,-14.972561,0.0,224.17758,-3356.5125,50255.586,-752454.8,0.0,0.0,0.0,,,,,,,1010.02185,17.583818,,0.12765957,4.28207,0.16985905,3.871201,0.54664725,0.021684134,1.9459101,2014.0
2016,2017.0,,,,,,,,,,,,,1.0,4.0,10.0,-14.972561,0.0,224.17758,-3356.5125,50255.586,-752454.8,0.0,0.0,0.0,,,,,,,,,,0.12765957,4.28207,0.16985905,3.871201,0.54664725,0.021684134,1.9459101,2014.0
2017,2018.0,,,,,,,,,,0.0,0.0,0.0,1.0,4.0,10.0,-14.972561,0.0,224.17758,-3356.5125,50255.586,-752454.8,0.0,0.0,0.0,,,,,,,,,,0.12765957,4.28207,0.16985905,3.871201,0.54664725,0.021684134,1.9459101,2014.0
2006,2007.0,,,,,,,,,,,,,1.0,5.0,11.0,-15.942787,0.0,254.17247,-4052.2175,64603.64,-1029962.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,2006.0
2007,2008.0,,,,,,,,,,,,,1.0,5.0,11.0,-15.942787,0.0,254.17247,-4052.2175,64603.64,-1029962.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,2006.0
2008,2009.0,1.0,,,,1.0,,,,,,,,1.0,5.0,11.0,-15.942787,0.0,254.17247,-4052.2175,64603.64,-1029962.1,0.0,0.0,0.0,0.2189861,0.005001963,1.0986123,0.2189861,0.005001963,1.0986123,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2006.0
2009,2010.0,0.8767123,0.6923077,1.0,1.0,0.969697,,,,,,,,1.0,5.0,11.0,-15.942787,0.0,254.17247,-4052.2175,64603.64,-1029962.1,0.0,0.0,0.0,7.9929924,0.18257166,4.304065,7.007555,0.16006282,4.1743875,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2006.0
2010,2011.0,0.67021275,0.4680851,0.42857143,1.0,0.9444444,,,,,,,,1.0,5.0,12.0,-13.222523,0.0,174.83511,-2311.7612,30567.314,-404177.0,0.0,0.0,0.0,10.292346,0.23509227,4.553877,6.8980618,0.15756184,4.158883,,,0.0,0.8767123,7.9929924,0.18257166,4.304065,7.007555,0.16006282,4.1743875,2010.0
2011,2012.0,0.6179775,0.34146342,0.5,0.8333333,0.9166667,,,,,,,,1.0,5.0,12.0,-13.222523,0.0,174.83511,-2311.7612,30567.314,-404177.0,0.0,0.0,0.0,9.744882,0.22258736,4.4998097,6.0221176,0.13755399,4.0253515,,,0.0,0.8767123,7.9929924,0.18257166,4.304065,7.007555,0.16006282,4.1743875,2010.0
2012,2013.0,0.61904764,0.20833333,0.6363636,1.0,0.95,,,,,,,,1.0,5.0,12.0,-13.222523,0.0,174.83511,-2311.7612,30567.314,-404177.0,0.0,0.0,0.0,6.8980618,0.15756184,4.158883,4.270229,0.097538285,3.6888795,,,0.0,0.8767123,7.9929924,0.18257166,4.304065,7.007555,0.16006282,4.1743875,2010.0
2013,2014.0,0.6486486,0.2777778,1.0,1.0,1.0,,,,,,,,1.0,5.0,12.0,-13.222523,0.0,174.83511,-2311.7612,30567.314,-404177.0,0.0,0.0,0.0,4.051243,0.09253632,3.637586,2.6278331,0.060023557,3.218876,3024.0884,21.57013,0.0,0.8767123,7.9929924,0.18257166,4.304065,7.007555,0.16006282,4.1743875,2010.0
2014,2015.0,0.5,0.2,1.0,,1.0,1.0,1.0,0.0,0.0,,,,1.0,6.0,13.0,19.450531,1.0,378.32315,7358.5864,143128.4,2783923.5,19.450531,378.32315,7358.5864,1.8005852,0.03579258,2.1972246,0.9002926,0.01789629,1.609438,4748.8184,68.64731,0.0,0.5,2.7008777,0.053688873,2.5649493,1.3504388,0.026844436,1.9459101,2014.0
