state,year,policy,fatalities,employment,rate,union,trtraut,pctttu,mlc,pctmlc,manuf,pctmanufacturing,ST,RTW,lr
AK,1990,0.6625711,,238.9,,23.2,47.9,20.05023,24.3,10.17162,14.4,6.027627,AK,0,
AK,1991,0.8656725,,242.8,,21.6,48.5,19.97529,23.5,9.678748,15.6,6.425041,AK,0,
AK,1992,0.9301738,91,246.6,36.90187,20.9,49.7,20.1541,22.2,9.002433,15.5,6.285482,AK,0,3.608262
AK,1993,0.8961689,66,252.8,26.1076,20.4,50.8,20.09494,23.3,9.216772,14.9,5.893987,AK,0,3.262226
AK,1994,0.3452235,60,259.8,23.09469,19.4,54.3,20.90069,24.5,9.430331,14.7,5.658199,AK,0,3.139603
AK,1995,0.530579,78,263.4,29.61276,23.2,55.5,21.07062,25.4,9.643128,15.3,5.808656,AK,0,3.388205
AK,1996,0.8114365,63,265,23.77358,22.4,55.7,21.01887,24.8,9.358491,14.4,5.433962,AK,0,3.168575
AK,1997,0.8529179,51,269.4,18.93096,20,57.2,21.23237,25.3,9.39124,13.4,4.974016,AK,0,2.940799
AK,1998,0.592526,43,274.3,15.67627,20.4,58.7,21.39993,25.6,9.332848,12.5,4.557055,AK,0,2.752148
AK,1999,0.7634985,42,278.6,15.07538,20.4,60,21.53625,24.2,8.686289,12.9,4.630294,AK,0,2.713063
AK,2000,0.5364721,53,284.9,18.60302,21.9,60.5,21.23552,25.5,8.950509,12.3,4.317304,AK,0,2.923324
AK,2001,0.6632723,64,292.1,21.91031,22.1,60.6,20.74632,26.7,9.140705,12.2,4.176652,AK,0,3.086957
AK,2002,0.6332819,42,295.7,14.20358,24.5,61.3,20.73047,26.8,9.06324,11.1,3.753804,AK,0,2.653494
AK,2003,0.4651836,28,299.5,9.348915,22.5,60.6,20.23372,27.1,9.048414,11.8,3.9399,AK,0,2.23526
AK,2004,0.4451108,42,304.8,13.77953,20.3,62.2,20.40682,28.2,9.251968,12.2,4.002625,AK,0,2.623184
AK,2005,0.3840335,29,311.1,9.321761,22.9,63.3,20.34715,29.6,9.514626,12.8,4.114433,AK,0,2.232352
AK,2006,0.3161553,45,315,14.28571,22.4,63.7,20.22222,30.2,9.587301,13.1,4.15873,AK,0,2.65926
AK,2007,0.1928186,30,317.5,9.448819,23.9,64.2,20.22047,31.3,9.858268,13.2,4.15748,AK,0,2.24589
AK,2008,0.2244063,33,322.6,10.22939,23.7,64.1,19.86981,32.7,10.13639,12.8,3.967762,AK,0,2.325265
AK,2009,0.0883215,17,320.5,5.304212,22.4,62.8,19.59438,31.1,9.703588,13.1,4.087364,AK,0,1.668501
AK,2010,0.1216211,39,326.2,11.95586,23.2,62.7,19.22134,32.2,9.871244,12.8,3.923973,AK,0,2.481221
AK,2011,0.0576219,39,329.8,11.82535,22.2,63.5,19.25409,31.9,9.672529,14.3,4.335961,AK,0,2.470245
AK,2012,0.0469336,31,334.2,9.275883,22.5,63.3,18.94075,33.8,10.1137,13.8,4.129264,AK,0,2.227418
AK,2013,0.0919948,32,337.2,9.489917,23,64.2,19.03915,34.2,10.14235,14.4,4.270463,AK,0,2.25023
AK,2014,-0.0912254,30,337.9,8.878366,22.7,64.8,19.17727,35.1,10.38769,14.3,4.232021,AK,0,2.183618
AK,2015,,14,338.3,4.138339,19.7,65.6,19.39107,34.7,10.25717,14.4,4.256577,AK,0,1.420294
AK,2016,,35,331.8,10.54852,18.50085,65.1,19.62025,29.8,8.981314,13.4,4.038578,AK,0,2.355986
AL,1990,-1.998652,,1640.3,,12.5,319.1,19.45376,104.8,6.389075,363.7,22.17277,AL,1,
AL,1991,-1.882359,,1646,,13.5,321.6,19.53827,98,5.953827,355.3,21.58566,AL,1,
AL,1992,-1.838788,145,1686.7,8.596668,14,328.1,19.45218,93.4,5.53744,356.2,21.11816,AL,1,2.151375
AL,1993,-1.995697,138,1721.8,8.014868,14.9,339.4,19.71193,97.4,5.656871,358.3,20.80962,AL,1,2.081298
AL,1994,-1.794209,153,1765.8,8.664628,14.2,350.6,19.85502,102.9,5.827387,364.6,20.64787,AL,1,2.159249
AL,1995,-1.757637,150,1807.5,8.298756,13.8,361.8,20.0166,107.8,5.964039,370.3,20.48686,AL,1,2.116106
AL,1996,-1.743837,155,1833.8,8.452394,11.6,368,20.06762,114.5,6.243865,360.3,19.64773,AL,1,2.13445
AL,1997,-1.662644,139,1867,7.445099,10.3,374,20.03214,114.9,6.154258,362.4,19.41082,AL,1,2.007556
AL,1998,-1.636053,135,1900.4,7.103767,9.8,379.7,19.98,117.4,6.177647,364.8,19.19596,AL,1,1.960625
AL,1999,-1.673042,123,1920.9,6.403248,11,385.6,20.07392,118.7,6.179395,356.6,18.56421,AL,1,1.856805
AL,2000,-1.798581,103,1932.8,5.329056,9.8,385,19.91929,120.6,6.239652,351.5,18.18605,AL,1,1.673174
AL,2001,-1.696461,138,1906.8,7.237256,10,378.9,19.87099,118.4,6.209356,322.7,16.92364,AL,1,1.979242
AL,2002,-1.833257,102,1881.3,5.421783,9.1,370,19.66725,113.3,6.022431,306.2,16.27598,AL,1,1.690425
AL,2003,-1.884721,124,1870.8,6.628181,8.1,373,19.93799,111.7,5.970708,291.2,15.56553,AL,1,1.89133
AL,2004,-1.782161,133,1907.4,6.972843,9.8,376.8,19.75464,115.1,6.034392,292,15.3088,AL,1,1.942023
AL,2005,-1.77276,128,1951.2,6.560066,10.2,383.7,19.66482,118.7,6.083436,299.8,15.3649,AL,1,1.881001
AL,2006,-1.868819,100,1984,5.040323,8.8,388,19.55645,123.6,6.229839,302.5,15.24698,AL,1,1.61747
AL,2007,-1.886369,108,2005,5.386534,9.6,394.7,19.68579,125.5,6.259352,295,14.71322,AL,1,1.683902
AL,2008,-1.905825,107,1990.9,5.374454,9.8,389.4,19.55899,120.8,6.067607,283.5,14.23979,AL,1,1.681657
AL,2009,-1.802563,75,1873,4.004271,10.9,363.4,19.40203,101.1,5.397758,241.2,12.87774,AL,1,1.387362
AL,2010,-1.788477,92,1871.4,4.916106,10.2,361,19.29037,99.4,5.311532,236.1,12.61622,AL,1,1.592517
AL,2011,-1.788759,75,1870.6,4.009409,10,365.3,19.52849,92.5,4.944937,238.1,12.72854,AL,1,1.388644
AL,2012,-1.789,84,1884.9,4.45647,9.3,364.9,19.35912,92,4.880896,244.6,12.97682,AL,1,1.494357
AL,2013,-2.008307,78,1904,4.096639,10.8,369.3,19.39601,91.2,4.789916,249.7,13.1145,AL,1,1.410167
AL,2014,-1.960015,75,1925.5,3.895092,10.8,372.5,19.34562,92,4.77798,253.7,13.1758,AL,1,1.359717
AL,2015,,70,1954.2,3.582028,10.3,379,19.39412,92.9,4.753863,258.2,13.21257,AL,1,1.275929
AL,2016,,100,1977.9,5.055867,8.126339,380.3,19.22746,92.3,4.666565,260.9,13.19076,AL,1,1.620549
AR,1990,-1.85603,,928.4,,10.5,195,21.00388,45.9,4.94399,220.3,23.729,AR,1,
AR,1991,-1.650377,,940.4,,10.4,197.2,20.9698,43.3,4.604424,221.1,23.51127,AR,1,
