,v2x_polyarchy,ipema_any_demo_assist_dum_2l,ipema_any_demo_assdiv_2l,iany_demo_all_max_dum_2l,iany_demo_all_maxdiv_2l,iwdi_pop_3l,iwdi_oda_3l,iwdi_gdppc_3l,iunhcr_ref_idp_3l,iwdi_literacy_3l,iwdi_fuel_3l,country
0,0.112,0.0,0.0,0.0,0.025641026,933045.0,100820000.0,176.25958,15724.5,35.632393,0.27770302,Guinea-Bissau
1,0.142,0.0,0.0,0.0,0.0,953790.0,114900000.0,223.46954,15724.5,35.632393,0.27770302,Guinea-Bissau
2,0.161,0.0,0.0,0.0,0.0,975261.0,126350000.0,250.15047,3004.0,35.632393,0.27770302,Guinea-Bissau
3,0.226,0.0,0.051282052,0.0,0.025641026,997522.0,112820000.0,257.78918,4631.0,35.632393,0.27770302,Guinea-Bissau
4,0.4,0.0,0.05,0.0,0.05,1020350.0,107300000.0,221.79982,12163.0,35.632393,0.27770302,Guinea-Bissau
5,0.4,0.0,0.05,0.0,0.05,1043423.0,94530000.0,227.02281,20735.0,35.632393,0.27770302,Guinea-Bissau
6,0.4,0.0,0.0,0.0,0.0,1066346.0,174360000.0,220.96022,23909.0,35.632393,0.27770302,Guinea-Bissau
7,0.377,0.0,0.0,0.0,0.0,1088854.0,117600000.0,233.2424,15350.0,35.632393,0.0,Guinea-Bissau
8,0.382,0.0,0.0,0.0,0.025,1110833.0,180770000.0,243.43874,15401.0,35.632393,0.27770302,Guinea-Bissau
9,0.412,0.0,0.025,0.0,0.05,1132510.0,124530000.0,237.12903,15982.0,35.632393,0.27770302,Guinea-Bissau
10,0.417,0.0,0.05,0.0,0.025,1154371.0,96010000.0,178.84853,202154.0,35.632393,0.27770302,Guinea-Bissau
11,0.444,0.0,0.025,0.0,0.025,1177131.0,52600000.0,190.67262,7120.0,35.632393,0.27770302,Guinea-Bissau
12,0.388,0.0,0.025,0.0,0.025,1201301.0,81070000.0,308.14413,7587.0,41.35777,0.27770302,Guinea-Bissau
13,0.356,0.0,0.025,0.0,0.05,1227106.0,60690000.0,319.6775,7332.0,35.632393,0.27770302,Guinea-Bissau
14,0.443,0.0,0.05,0.0,0.05,1254453.0,59880000.0,331.49387,7639.0,35.632393,0.27770302,Guinea-Bissau
15,0.49,0.0,0.125,0.0,0.125,1283305.0,145370000.0,371.21982,7551.0,35.632393,0.27770302,Guinea-Bissau
16,0.49,0.0,0.15,0.0,0.125,1313492.0,77850000.0,404.34915,7536.0,35.632393,0.80989194,Guinea-Bissau
17,0.433,0.0,0.125,0.0,0.1,1344930.0,66760004.0,436.30203,7616.0,35.632393,0.27770302,Guinea-Bissau
18,0.478,0.0,0.1,0.0,0.1,1377581.0,88200000.0,429.62225,7804.0,35.632393,0.27770302,Guinea-Bissau
19,0.462,0.0,0.1,0.0,0.1,1411543.0,125570000.0,493.0705,7860.0,35.632393,0.27770302,Guinea-Bissau
20,0.476,0.0,0.1,0.0,0.125,1446936.0,135690000.0,597.5764,7884.0,35.632393,0.27770302,Guinea-Bissau
21,0.329,0.0,0.1,0.0,0.1,1483921.0,149400000.0,557.17163,7898.0,35.632393,0.27770302,Guinea-Bissau
22,0.302,0.0,0.12195122,0.0,0.12195122,1522599.0,129000000.0,557.63214,7679.0,35.632393,0.27770302,Guinea-Bissau
23,0.477,0.0,0.09756097,0.0,0.09756097,1562989.0,120640000.0,702.74286,7800.0,35.632393,0.27770302,Guinea-Bissau
24,0.551,0.0,0.12195122,0.0,0.09756097,1604979.0,80320000.0,616.4117,7784.0,35.632393,0.27770302,Guinea-Bissau
25,0.534,0.0,0.14634146,0.0,0.12195122,1648257.0,105630000.0,634.4824,8535.0,35.632393,0.27770302,Guinea-Bissau
26,0.501,0.0,0.12195122,0.0,0.12195122,1692439.0,110250000.0,622.4817,8684.0,45.58116,0.27770302,Guinea-Bissau
27,0.532,0.0,0.14634146,0.0,0.14634146,1737202.0,95040000.0,603.1585,8684.0,35.632393,0.27770302,Guinea-Bissau
28,,0.0,0.0,0.0,0.025641026,,,,,,,
29,,0.0,0.0,0.0,0.0,,,,,,,
30,,0.0,0.0,0.0,0.0,,,,,,,
31,,0.0,0.051282052,0.0,0.025641026,,,,,,,
32,,0.0,0.05,0.0,0.05,,,,,,,
33,,0.0,0.05,0.0,0.05,,,,,,,
34,,0.0,0.0,0.0,0.0,,,,,,,
35,,0.0,0.0,0.0,0.0,,,,,,,
36,,0.0,0.0,0.0,0.025,,,,,,,
37,,0.0,0.025,0.0,0.05,,,,,,,
38,,0.0,0.05,0.0,0.025,,,,,,,
39,,0.0,0.025,0.0,0.025,,,,,,,
40,,0.0,0.025,0.0,0.025,,,,,,,
41,,0.0,0.025,0.0,0.05,,,,,,,
42,,0.0,0.05,0.0,0.05,,,,,,,
43,,0.0,0.125,0.0,0.125,,,,,,,
44,,0.0,0.15,0.0,0.125,,,,,,,
45,,0.0,0.125,0.0,0.1,,,,,,,
46,,0.0,0.1,0.0,0.1,,,,,,,
47,,0.0,0.1,0.0,0.1,,,,,,,
48,,0.0,0.1,0.0,0.125,,,,,,,
49,,0.0,0.1,0.0,0.1,,,,,,,
50,,0.0,0.12195122,0.0,0.12195122,,,,,,,
51,,0.0,0.09756097,0.0,0.09756097,,,,,,,
52,,0.0,0.12195122,0.0,0.09756097,,,,,,,
53,,0.0,0.14634146,0.0,0.12195122,,,,,,,
54,,0.0,0.12195122,0.0,0.12195122,,,,,,,
55,,0.0,0.14634146,0.0,0.14634146,,,,,,,
56,0.2,0.0,0.0,0.0,0.025641026,8171522.0,435380000.0,265.43903,50.0,26.482334,0.8202935,Mali
57,0.365,0.0,0.0,0.0,0.0,8296915.0,447180000.0,262.96786,50.0,26.482334,0.8202935,Mali
58,0.595,0.0,0.0,0.0,0.0,8449913.0,479170016.0,317.3893,13411.0,26.482334,0.8202935,Mali
59,0.595,0.0,0.051282052,0.0,0.025641026,8635527.0,449680000.0,315.45633,13120.0,26.482334,0.8202935,Mali
60,0.595,0.0,0.05,0.0,0.05,8850334.0,429690016.0,319.83804,13109.0,26.482334,0.8202935,Mali
61,0.595,0.0,0.05,0.0,0.05,9087176.0,369960000.0,310.13824,15224.0,26.482334,0.8202935,Mali
62,0.512,0.0,0.0,0.0,0.0,9334880.0,440149984.0,223.01802,18800.0,26.482334,0.8202935,Mali
63,0.48,0.0,0.0,0.0,0.0,9585653.0,540409980.0,282.34125,17916.0,26.482334,0.8202935,Mali
64,0.48,0.0,0.0,0.0,0.025,9837571.0,490170016.0,282.633,18234.0,26.482334,0.0,Mali
65,0.48,0.0,0.025,0.0,0.05,10094368.0,429329984.0,267.18915,12552.0,26.482334,0.0027279968,Mali
66,0.48,0.0,0.05,0.0,0.025,10360561.0,346820000.0,281.87262,13598.0,19.04497,0.02667249,Mali
67,0.56,0.0,0.025,0.0,0.025,10642936.0,354390016.0,323.16864,8302.0,26.482334,0.0052005197,Mali
68,0.612,0.0,0.025,0.0,0.025,10946445.0,288040000.0,269.87112,8412.0,26.482334,7.2039635e-05,Mali
69,0.612,0.0,0.025,0.0,0.05,11271600.0,351740000.0,307.43692,8439.0,26.482334,4.217277,Mali
70,0.612,0.0,0.05,0.0,0.05,11616887.0,420480000.0,334.83652,9095.0,26.482334,3.5796342,Mali
71,0.614,0.0,0.125,0.0,0.125,11982695.0,556229950.0,392.52475,10009.0,24.0,1.300219,Mali
72,0.607,0.0,0.15,0.0,0.125,12369070.0,585299970.0,440.16846,11256.0,26.482334,0.76755774,Mali
73,0.617,0.0,0.125,0.0,0.1,12775516.0,724590020.0,488.82812,11233.0,26.482334,1.5733051,Mali
74,0.641,0.0,0.1,0.0,0.1,13203378.0,869200000.0,522.57837,10585.0,26.17655,2.2538128,Mali
75,0.645,0.0,0.1,0.0,0.1,13651464.0,1021009980.0,596.6902,9203.0,26.482334,1.9170274,Mali
76,0.629,0.0,0.1,0.0,0.125,14113577.0,967750020.0,690.88245,9578.0,26.482334,5.9883876,Mali
77,0.337,0.0,0.1,0.0,0.1,14581429.0,984659970.0,698.2184,13538.0,26.482334,0.8202935,Mali
78,0.329,0.0,0.12195122,0.0,0.12195122,15049353.0,1091459970.0,709.582,13558.0,31.09975,0.12720421,Mali
79,0.513,0.0,0.09756097,0.0,0.09756097,15514591.0,1267619970.0,836.5098,15624.0,33.56094,0.15470569,Mali
80,0.56,1.0,0.09756097,1.0,0.07317073,15979499.0,995580030.0,778.66943,241858.0,26.482334,0.29540804,Mali
81,0.535,1.0,0.12195122,1.0,0.09756097,16449864.0,1397560060.0,805.25964,269138.0,26.482334,0.8202935,Mali
82,0.502,1.0,0.09756097,1.0,0.09756097,16934220.0,1235840000.0,847.1504,115011.0,26.482334,0.8202935,Mali
83,0.509,1.0,0.12195122,1.0,0.12195122,17438778.0,1201600000.0,751.1706,77837.0,33.06889,0.8202935,Mali
84,0.502,0.0,0.0,0.0,0.025641026,7086627.0,599750020.0,890.55835,5203.0,26.86885,13.628707,Senegal
85,0.541,0.0,0.0,0.0,0.0,7303517.0,710789950.0,851.6162,53345.0,43.50004,11.253436,Senegal
86,0.656,0.0,0.0,0.0,0.0,7526307.0,811729980.0,961.574,58113.0,43.50004,12.327911,Senegal
87,0.604,0.0,0.051282052,0.0,0.025641026,7755496.0,627520000.0,916.9308,71908.0,43.50004,15.991593,Senegal
88,0.667,0.0,0.05,0.0,0.05,7990096.0,662380030.0,951.4285,71620.0,43.50004,11.753529,Senegal
89,0.653,0.0,0.05,0.0,0.05,8226760.0,493120000.0,873.8831,73002.0,43.50004,14.4337,Senegal
90,0.653,0.0,0.0,0.0,0.0,8461068.0,635489980.0,580.11774,72994.0,43.50004,16.427334,Senegal
91,0.662,0.0,0.0,0.0,0.0,8690164.0,652340030.0,710.7245,66769.0,43.50004,13.628707,Senegal
92,0.668,0.0,0.0,0.0,0.025,8912861.0,573880000.0,719.54333,65044.0,43.50004,22.462574,Senegal
93,0.673,0.0,0.025,0.0,0.05,9130877.0,424529984.0,647.82935,57229.0,43.50004,26.57138,Senegal
