year,state,yearstate,fips,yearx,tl_onset,house_delay,sen_delay,comb_delay,repeal,standardpoors,sp25,moodys,m25,fitch,f19,grants,igr,gopshare,totalrevenue,total_general_revenue,totalexp,deficit,general_revenue_from_taxes,fullfaithandcredit,nonguaranteeddebt,totallongtermdebt,squire_score,debtlimit,bsf_deposit,bsf_withdrawal,bsf_size,tel,income,unemployment,schoolagepopulation,over65population,gsp,popgrowth,population,populationdensity,exp_highways,exp_welfare,exp_education,handh,govdem,dividedgov,demcontrol,termlimits_governor,termlimits_house,termlimits_senate,termlimits_e,seats_house,seats_senate,initiatives,cpi,v57,grants_total,emptot,empwagesalary,emppriv,totempgovt,fedempciv,fedempmil,govtempsandl,totalexpipolated,highwaysipolated,welfareipolated,educationipolated,handhipolated,exp_real,exp_highways_real,exp_welfare_real,exp_education_real,handh_real,income_real,grants_real,igr_real,gsp_real,totallongtermdebt_i,nonguaranteeddebt_i,total_debt_real,nong_debt_real,exp_real_pc,exp_highways_real_pc,exp_welfare_real_pc,exp_education_real_pc,exp_handh_real_pc,income_real_pc,grants_real_pc,gsp_real_inc,fedempciv_pc,fedempmil_pc,govtempsandl_pc,exp_inc,total_debt_real_pc,nong_debt_real_pc,_Iyear_1980,_Iyear_1981,_Iyear_1982,_Iyear_1983,_Iyear_1984,_Iyear_1985,_Iyear_1986,_Iyear_1987,_Iyear_1988,_Iyear_1989,_Iyear_1990,_Iyear_1991,_Iyear_1992,_Iyear_1993,_Iyear_1994,_Iyear_1995,_Iyear_1996,_Iyear_1997,_Iyear_1998,_Iyear_1999,_Iyear_2000,_Iyear_2001,_Iyear_2002,_Iyear_2003,_Iyear_2004,_Iyear_2005,_Iyear_2006,_Iyear_2007,_Ifips_4,_Ifips_5,_Ifips_6,_Ifips_8,_Ifips_9,_Ifips_10,_Ifips_12,_Ifips_13,_Ifips_16,_Ifips_17,_Ifips_18,_Ifips_19,_Ifips_20,_Ifips_21,_Ifips_22,_Ifips_23,_Ifips_24,_Ifips_25,_Ifips_26,_Ifips_27,_Ifips_28,_Ifips_29,_Ifips_30,_Ifips_32,_Ifips_33,_Ifips_34,_Ifips_35,_Ifips_36,_Ifips_37,_Ifips_38,_Ifips_39,_Ifips_40,_Ifips_41,_Ifips_42,_Ifips_44,_Ifips_45,_Ifips_46,_Ifips_47,_Ifips_48,_Ifips_49,_Ifips_50,_Ifips_51,_Ifips_53,_Ifips_54,_Ifips_55,_Ifips_56
1979,Alabama,Alabama1979,1,1,0,0,0,0,0,.,,.,,.,,1367631000.0,1072439000.0,0.5863003,3770.6,4770.7,3558.0,212.6,2349.5,1158.6,2660.9,3819.5,0.085,1,0,0,0,0,7137,6.8,0.2259506,0.1118299,33535,0.0089806,3866248,76.19,414.0,434.0,1537.0,288.0,1.0,0,1,1,0,0,0,105,35,0,2.6,1470.0,1368.0,1738786,1498251,1318942,337638,63579,51120,222939,3558.0,414.0,434.0,1537.0,288.0,9250.8,1076.3999,1128.3999,3996.2,748.8,18556.2,3555840500.0,2788341200.0,87191.0,3819.5,2660.89990234375,9930.699,6918.3394,239.27074,27.840942,29.185917,103.36119,19.367615,479.95367,91971350.0,2255.1838,1644.4625,1322.2122,5766.288,0.4985288,256.85623,178.94194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Alabama,Alabama1980,1,2,0,0,0,0,0,.,,.,,.,,1583543000.0,1232153000.0,0.4700247,4153.59,5306.1,4002.0,151.59,2528.4,1208.6,2681.6,3890.2,0.085,1,0,0,0,0,7836,8.4,0.2223998,0.1129976,36006,0.0071491,3893888,76.74,408.0,544.0,1665.0,340.0,1.0,0,1,1,0,0,0,105,35,0,2.29,1532.0,1584.0,1735992,1491762,1304475,348146,65816,55481,226849,4002.0,408.0,544.0,1665.0,340.0,9164.58,934.32,1245.76,3812.8499,778.6,17944.44,3626313500.0,2821630200.0,82453.74,3890.2,2681.60009765625,8908.558,6140.8643,235.35808,23.994528,31.992702,97.91884,19.995438,460.83606,93128344.0,2117.517,1690.2386,1424.8228,5825.771,0.5107198,228.7831,157.70522,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,Alabama,Alabama1981,1,3,0,0,0,0,0,.,,.,,.,,1493313000.0,1238662000.0,0.4700247,5105.41,6310.5,3927.0,1178.41,2875.8,1290.1,3105.8,4395.9,0.085,1,0,0,0,0,8678,9.7,0.2148764,0.114839,40084,0.0063286,3918531,77.22,527.0,523.0,1803.0,372.0,1.0,0,1,1,0,0,0,105,35,0,2.08,1719.0,1493.0,1724213,1483095,1302442,342207,63899,56723,221585,3927.0,527.0,523.0,1803.0,372.0,8168.1597,1096.1599,1087.84,3750.2397,773.75995,18050.24,3106091000.0,2576416800.0,83374.72,4395.9,3105.800048828125,9143.472,6460.064,208.44954,27.973745,27.761423,95.705246,19.746174,460.63794,79266720.0,2127.7034,1630.6876,1447.5577,5654.798,0.4525236,233.33926,164.85933,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,Alabama,Alabama1982,1,4,0,0,0,0,0,.,,.,,.,,1429024000.0,1151110000.0,0.4700247,4819.76,6221.5,5987.0,-1167.24,2969,1760.4,3326.3,5086.7,0.085,1,0,0,0,0,9168,13.2,0.2096673,0.1169347,41478,0.0017188,3925266,77.35,567.0,542.0,2386.0,768.0,1.0,0,1,1,0,0,0,105,35,0,1.96,1759.0,1429.0,1692494,1448265,1273327,343360,63916,59239,220205,5987.0,567.0,542.0,2386.0,768.0,11734.5205,1111.3201,1062.3201,4676.56,1505.28,17969.281,2800887000.0,2256175600.0,81296.88,5086.7,3326.300048828125,9969.933,6519.5483,298.94843,28.311968,27.063644,119.13995,38.348484,457.78506,71355340.0,2071.118,1628.3228,1509.1716,5609.9385,0.6530323,253.9938,166.09189,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,Alabama,Alabama1983,1,5,0,0,0,0,0,.,,.,,.,,1469539000.0,1200725000.0,0.4700247,5250.16,6594.3,6605.0,-1354.84,3192.5,1845.3,4002.2,5847.5,0.085,1,0,0,0,0,9784,12.8,0.2051294,0.1184514,45248,0.0022511,3934102,77.53,640.0,560.0,2566.0,943.0,1.0,0,1,1,0,0,0,105,35,0,1.9,1559.0,1470.0,1722047,1465476,1297438,344644,63966,59658,221020,6605.0,640.0,560.0,2566.0,943.0,12549.5,1216.0,1064.0,4875.4,1791.7,18589.6,2792124200.0,2281377500.0,85971.195,5847.5,4002.199951171875,11110.25,7604.1797,318.99274,30.909214,27.045563,123.92663,45.542793,472.5246,70972340.0,2185.2812,1625.9365,1516.4325,5618.0547,0.6750818,282.40878,193.28883,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,Alabama,Alabama1984,1,6,0,0,0,0,0,.,,.,,.,,1532189000.0,1270346000.0,0.5596929,6194.9,7703.8,6940.0,-745.1,3653.5,2190.1,4784.3,6974.4,0.085,1,0,0,0,0,10803,10.2,0.2024384,0.1201978,49713,0.0045037,3951820,77.88,885.0,591.0,2599.0,1042.0,1.0,0,1,1,0,0,0,105,35,0,1.82,1721.0,1532.0,1786763,1525293,1362910,347855,63779,60445,223631,6940.0,885.0,591.0,2599.0,1042.0,12630.801,1610.7001,1075.62,4730.18,1896.4401,19661.46,2788584000.0,2312029700.0,90477.664,6974.4,4784.2998046875,12693.408,8707.426,319.61984,40.75844,27.218346,119.69624,47.98903,497.52927,70564550.0,2289.5188,1613.9146,1529.5485,5658.937,0.64241415,321.2041,220.33963,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,Alabama,Alabama1985,1,7,0,0,0,0,0,.,,.,,.,,1719040000.0,1514688000.0,0.5596929,6618.33,8085.1,7879.0,-1260.67,3997.9,2272.0,5374.0,7646.0,0.085,1,0,0,0,0,11566,8.6,0.2008799,0.1215852,53688,0.0052389,3972523,78.29,815.0,669.0,2929.0,1141.0,1.0,0,1,1,0,0,0,105,35,0,1.76,1802.0,1719.0,1830870,1563042,1407209,351209,64630,60021,226558,7879.0,815.0,669.0,2929.0,1141.0,13867.04,1434.4,1177.44,5155.04,2008.16,20356.16,3025510400.0,2665851000.0,94490.88,7646.0,5374.0,13456.96,9458.24,349.07388,36.108036,29.6396,129.76741,50.55125,512.42395,76160930.0,2378.6113,1626.9258,1510.9038,5703.126,0.6812208,338.75098,238.09152,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,Alabama,Alabama1986,1,8,0,0,0,0,0,.,,.,,.,,1758540000.0,1520193000.0,0.5596929,6800.98,8559,8615.0,-1814.02,4140.5,4123.0,4780.0,8903.0,0.158,1,0,0,0,0,12164,9.1,0.2001719,0.1230093,56046,0.0047944,3991569,78.66,825.0,749.0,3213.0,1361.0,1.0,0,1,1,0,0,0,105,35,0,1.72,2101.0,1759.0,1867726,1592414,1448898,353245,63061,60234,229950,8615.0,825.0,749.0,3213.0,1361.0,14817.8,1419.0,1288.28,5526.36,2340.92,20922.08,3024689000.0,2614732000.0,96399.125,8903.0,4780.0,15313.16,8221.601,371.22745,35.54993,32.27503,138.45082,58.64661,524.1568,75776940.0,2415.0686,1579.855,1509.0306,5760.8926,0.7082374,383.6376,205.97415,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,Alabama,Alabama1987,1,9,0,0,0,0,0,.,,.,,.,,1559202000.0,1481298000.0,0.5596929,7085.44,8883.1,8473.0,-1387.56,4468.5,4291.0,4993.0,9284.0,0.158,1,0,0,0,0,12826,7.6,0.1987416,0.1245248,60586,0.0059363,4015264,79.13,711.0,642.0,3191.0,1326.0,0.0,1,0,1,0,0,0,105,35,0,1.66,2347.0,1559.0,1922545,1643859,1498212,359558,64904,61079,233575,8473.0,711.0,642.0,3191.0,1326.0,14065.18,1180.26,1065.72,5297.06,2201.16,21291.16,2588275200.0,2458954800.0,100572.76,9284.0,4993.0,15411.439,8288.38,350.2928,29.394331,26.541716,131.92308,54.819805,530.25555,64460896.0,2504.7607,1616.4316,1521.1702,5817.177,0.6606113,383.82132,206.4218,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,Alabama,Alabama1988,1,10,0,0,0,0,0,.,,.,,.,,1721415000.0,1711228000.0,0.60506237,8022.03,9654.5,9149.0,-1126.97,4682.7,3195.0,5760.0,8955.0,0.158,1,0,0,0,0,13698,6.9,0.1965782,0.1259989,65435,0.0021368,4023844,79.3,849.0,698.0,3518.0,1389.0,0.0,1,0,1,0,0,0,105,35,0,1.6,2795.0,1721.0,1981827,1694630,1550880,366159,64792,60935,240432,9149.0,849.0,698.0,3518.0,1389.0,14638.4,1358.4,1116.8,5628.8003,2222.4001,21916.8,2754264000.0,2737964800.0,104696.0,8955.0,5760.0,14328.0,9216.0,363.79144,33.758766,27.754557,139.88614,55.230774,544.6732,68448580.0,2601.8901,1610.2015,1514.348,5975.182,0.6679077,356.07742,229.03473,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,Alabama,Alabama1989,1,11,0,0,0,0,0,.,,.,,.,,1801588000.0,1764951000.0,0.60506237,8278.47,10065.3,7401.0,877.47,5101.4,3427.0,6406.0,9833.0,0.158,1,0,0,0,0,14865,6.6,0.1935377,0.1277845,67875,0.0015851,4030222,79.42,699.438,774.747,3262.891,738.331,0.0,1,0,1,0,0,0,105,35,0,1.52,3081.0,1802.0,2019228,1733946,1585236,370660,63745,58796,248119,8628.5,782.5,873.5,3449.0,1141.0,11249.52,1063.1458,1177.6155,4959.594,1122.2631,22594.799,2738413800.0,2682725400.0,103170.0,9833.0,6406.0,14946.16,9737.12,279.12903,26.379335,29.219618,123.060074,27.846184,560.6341,67946980.0,2559.9087,1581.6747,1458.8774,6156.46,0.49788094,370.85202,241.60257,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,Alabama,Alabama1990,1,12,0,0,0,0,0,.,,.,,.,,2100764000.0,2060142000.0,0.60506237,9076.56,10988.1,8108.0,968.56,5367.1,3340.0,6828.0,10168.0,0.158,1,0,0,0,0,15723,6.3,0.188412,0.1288486,71085,0.0049211,4050055,79.81,716.0,1049.0,3380.0,893.0,0.0,1,0,1,0,0,0,105,35,0,1.45,3209.0,2101.0,2061101,1764069,1621350,376744,65160,55860,255724,8108.0,716.0,1049.0,3380.0,893.0,11756.601,1038.2001,1521.05,4901.0,1294.8501,22798.352,3046108000.0,2987206000.0,103073.25,10168.0,6828.0,14743.601,9900.601,290.2825,25.634222,37.556282,121.010704,31.971172,562.9146,75211520.0,2544.984,1608.8671,1379.2405,6314.087,0.5156777,364.03458,244.45595,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,Alabama,Alabama1991,1,13,0,0,0,0,0,.,,.,,.,,2347225000.0,2316135000.0,0.60506237,9767.45,11765.6,8855.0,912.45,5577.6,3196.0,7543.0,10739.0,0.158,1,0,0,0,0,16406,6.9,0.1865638,0.1290812,75293,0.0121235,4099156,80.78,679.0,1357.0,3509.0,1049.0,0.0,1,0,1,0,0,0,105,35,0,1.39,3419.0,2347.0,2072812,1769184,1632279,379777,62999,54076,262702,8855.0,679.0,1357.0,3509.0,1049.0,12308.45,943.81,1886.23,4877.51,1458.11,22804.34,3262642700.0,3219427600.0,104657.266,10739.0,7543.0,14927.21,10484.77,300.2679,23.024496,46.015083,118.988144,35.57098,556.31793,79593030.0,2553.1418,1536.8773,1319.1984,6408.685,0.5397416,364.15326,255.77873,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,Alabama,Alabama1992,1,14,0,0,0,0,0,.,,.,,.,,2795311000.0,2707431000.0,0.56786567,10790.6,12980.3,9650.515,1140.085,5973.8,3566.0,7533.0,11099.0,0.158,1,0,0,0,0,17327,6.9,0.184627,0.1293219,80450,0.0133828,4154014,81.86,694.874,1853.436,3570.524,1174.934,0.0,1,0,1,0,0,0,105,35,0,1.35,3325.0,2795.0,2110288,1804401,1664050,386245,61847,55306,269092,9650.515,694.874,1853.436,3570.524,1174.934,13028.195,938.07996,2502.1387,4820.2075,1586.1609,23391.451,3773670000.0,3655031800.0,108607.5,11099.0,7533.0,14983.65,10169.55,313.62906,22.582495,60.234238,116.037346,38.18381,563.1048,90843940.0,2614.5193,1488.8491,1331.387,6477.879,0.5569639,360.70294,244.8126,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,Alabama,Alabama1993,1,15,0,0,0,0,0,.,,.,,.,,3081234000.0,2925893000.0,0.56786567,11389.3,13792.5,10242.37,1146.93,6494.5,3845.199,7556.534,11401.733,0.158,1,0,0,0,0,17764,6.6,0.1827765,0.1293844,83453,0.0144891,4214202,83.05,856.228,2016.935,3663.465,1300.291,1.0,0,1,1,0,0,0,105,35,0,1.31,3483.0,3081.0,2171836,1841991,1721874,388065,58735,53593,275737,10242.37,856.228,2016.935,3663.465,1300.291,13417.504,1121.6587,2642.1848,4799.139,1703.3811,23270.84,4036416300.0,3832919600.0,109323.42,11401.733,7556.5341796875,14936.27,9899.06,318.3878,26.61616,62.697155,113.88014,40.420017,552.2004,95781270.0,2594.1667,1393.7395,1271.7235,6543.042,0.57658017,354.427,234.8976,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,Alabama,Alabama1994,1,16,0,0,0,0,0,.,,.,,.,,3209413000.0,3024323000.0,0.56786567,11599.4,14581.2,10815.22,784.18,6755.3,4310.764,6964.922,11275.686,0.158,1,0,0,0,0,18606,5.4,0.1819222,0.1293475,88581,0.0109219,4260229,83.96,883.852,2167.799,3969.277,1310.238,1.0,0,1,1,0,0,0,105,35,0,1.27,1121.0,3209.0,2193339,1870495,1747414,385596,56425,49756,279415,10815.22,883.852,2167.799,3969.277,1310.238,13735.329,1122.4921,2753.1047,5040.982,1664.0023,23629.62,4075954400.0,3840890000.0,112497.87,11275.686,6964.921875,14320.121,8845.45,322.40823,26.348162,64.6234,118.326546,39.058987,554.65607,95674536.0,2640.653,1324.4594,1167.9185,6558.685,0.58127594,336.135,207.62851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,Alabama,Alabama1995,1,17,0,0,0,0,0,.,,.,,.,,3419085000.0,3194093000.0,0.56786567,12448.7,15428,11541.88,906.82,7285.5,4236.231,6953.565,11189.796,0.158,1,0,0,0,0,19441,5.2,0.1821993,0.1295804,94021,0.0085843,4296800,84.68,924.411,2291.264,4400.912,1303.081,0.0,1,0,1,0,0,0,105,35,0,1.24,1241.0,3419.0,2256073,1917496,1813110,383174,54798,47637,280739,11541.88,924.411,2291.264,4400.912,1303.081,14311.932,1146.2697,2841.1672,5457.131,1615.8206,24106.84,4239665400.0,3960675300.0,116586.04,11189.796,6953.56494140625,13875.347,8622.421,333.0835,26.677286,66.12286,127.00453,37.60521,561.0417,98670296.0,2713.3225,1275.3212,1108.6622,6533.6763,0.5936876,322.9228,200.67075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,Alabama,Alabama1996,1,18,0,0,0,0,0,AA,23.0,Aa,23.0,AA,17.0,3325175000.0,3301279000.0,0.53777134,12741.1,16214.1,12126.59,614.51,7631.7,4304.741,7289.659,11594.4,0.067,1,0,0,0,0,20081,4.5,0.1808046,0.1296365,97941,0.0079831,4331102,85.35,881.381,2325.418,4872.259,1330.078,0.0,1,0,1,0,0,0,105,35,0,1.2,1368.0,3325.0,2289605,1938187,1851716,380608,53225,45455,281928,12126.59,881.381,2325.418,4872.259,1330.078,14551.908,1057.6572,2790.5017,5846.711,1596.0936,24097.201,3990210000.0,3961535000.0,117529.2,11594.4,7289.6591796875,13913.28,8747.592,335.98627,24.42005,64.42937,134.9936,36.851906,556.37573,92129210.0,2713.6096,1228.902,1049.502,6509.383,0.60388374,321.24112,201.9715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,Alabama,Alabama1997,1,19,0,0,0,0,0,AA,23.0,Aa,23.0,AA,17.0,3483041000.0,3503489000.0,0.53777134,14007.9,16965.54,12944.87,1063.03,7958.2,4327.027,8153.645,12480.672,0.067,1,0,0,0,0,20930,4.4,0.1807055,0.12936,102433,0.0085043,4367935,86.08,837.255,2537.627,5175.279,1449.264,0.0,1,0,1,0,0,0,105,35,0,1.18,1584.0,3483.0,2335282,1974089,1893609,382568,53730,44531,284307,12944.87,837.255,2537.627,5175.279,1449.264,15274.946,987.9609,2994.3997,6106.8286,1710.1315,24697.398,4109988000.0,4134116900.0,120870.94,12480.672,8153.64501953125,14727.192,9621.301,349.70636,22.618488,68.55412,139.81042,39.151943,565.42505,94094536.0,2767.233,1230.1007,1019.49774,6508.9565,0.618484,337.16602,220.27115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,Alabama,Alabama1998,1,20,0,0,0,0,0,(I),0.0,(I),0.0,(I),0.0,3859953000.0,3974642000.0,0.53777134,14839.0,18232.72,13728.43,1110.57,8337,4370.921,8835.657,13206.578,0.067,1,0,0,0,0,22025,3.9,0.1776629,0.1287005,106656,0.0084172,4404701,86.8,882.08,3027.12,5362.196,1503.292,0.0,1,0,1,0,0,0,105,35,0,1.16,3814.0,3814.0,2384844,2009232,1940145,385170,53169,42318,289683,13728.43,882.08,3027.12,5362.196,1503.292,15924.978,1023.21277,3511.4592,6220.147,1743.8186,25549.0,4477545500.0,4610584600.0,123720.95,13206.578,8835.6572265625,15319.63,10249.362,361.54504,23.230017,79.72072,141.2161,39.589943,580.03937,101653790.0,2808.8389,1207.0967,960.7463,6576.6777,0.6233112,347.80182,232.69144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,Alabama,Alabama1999,1,21,0,0,0,0,0,AA,23.0,Aa3,22.0,AA,17.0,4167033000.0,4240349000.0,0.53777134,15501.1,19322.38,14701.94,799.16,8770.4,5480.86,8693.524,14174.384,0.067,1,0,0,0,0,22722,4.3,0.1750156,0.1282018,111923,0.0057756,4430141,87.3,921.658,3195.049,5751.997,1615.999,1.0,0,1,1,0,0,0,105,35,0,1.13,4165.0,4165.0,2405277,2025381,1961911,386329,52396,39930,294003,14701.94,921.658,3195.049,5751.997,1615.999,16613.193,1041.4735,3610.4055,6499.757,1826.0789,25675.86,4708747300.0,4791594500.0,126472.99,14174.384,8693.5244140625,16017.054,9823.683,375.00372,23.508812,81.4964,146.7167,41.21943,579.5721,106288880.0,2854.8298,1182.7163,901.3257,6636.4253,0.64703554,361.54727,221.7465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,Alabama,Alabama2000,1,22,0,0,0,0,0,AA,23.0,Aa3,22.0,AA,17.0,4569788000.0,4744633000.0,0.5565895,16856.6,21012.24,15872.59,984.01,9415.1,6072.224,10713.09,16785.314,0.067,1,0,0,0,0,23767,4.1,0.1856908,0.1305054,114576,0.0050188,4452375,87.74,1076.311,3484.564,6224.938,1619.948,1.0,0,1,1,0,0,0,105,35,0,1.1,4570.0,4570.0,2416422,2025925,1974521,385840,52921,38204,294715,15872.59,1076.311,3484.564,6224.938,1619.948,17459.85,1183.9421,3833.0205,6847.432,1781.9429,26143.701,5026767000.0,5219096600.0,126033.6,16785.314,10713.08984375,18463.846,11784.399,392.14688,26.59125,86.08935,153.7928,40.0223,587.18555,112900800.0,2830.705,1188.6016,858.0589,6619.2764,0.6678415,414.69656,264.6767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,Alabama,Alabama2001,1,23,0,0,0,0,0,AA,23.0,Aa3,22.0,AA,17.0,5085099000.0,5244405000.0,0.5565895,17859.9,,16718.15,1141.75,,,,,0.067,1,0,0,0,0,24740,4.7,0.1838362,0.1308912,118682,0.003199,4466618,88.02,1163.889,3776.253,6385.451,1719.137,1.0,0,1,1,0,0,0,105,35,0,1.07,5085.0,5085.0,2392552,2007366,1952516,385122,50086,38123,296913,16718.15,1163.889,3776.253,6385.451,1719.137,17888.422,1245.3613,4040.5908,6832.433,1839.4767,26471.8,5441056300.0,5611514000.0,126989.75,17883.51049999986,11304.63525390625,19135.357,12095.96,400.49142,27.881527,90.461975,152.96658,41.182762,592.6587,121816020.0,2843.085,1121.3406,853.5093,6647.3784,0.6757539,428.4082,270.808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
