"","ward_code","count","trnt","full","loc","year","treat","ward"
"1","E05000026",5,0.3682,"Barking and Dagenham abbey","Barking and Dagenham",2014,0,NA
"2","E05000026",5,0.3,"Barking and Dagenham abbey","Barking and Dagenham",2018,0,NA
"3","E05000026",5,0.581,"Barking and Dagenham abbey","Barking and Dagenham",2010,0,"abbey"
"4","E05000026",5,0.299,"Barking and Dagenham abbey","Barking and Dagenham",2006,0,"abbey"
"5","E05000026",5,0.229,"Barking and Dagenham abbey","Barking and Dagenham",2002,0,"abbey"
"6","E05000027",5,0.3427,"Barking and Dagenham alibon","Barking and Dagenham",2014,0,NA
"7","E05000027",5,0.26,"Barking and Dagenham alibon","Barking and Dagenham",2018,0,NA
"8","E05000027",5,0.592,"Barking and Dagenham alibon","Barking and Dagenham",2010,0,"alibon"
"9","E05000027",5,0.411,"Barking and Dagenham alibon","Barking and Dagenham",2006,0,"alibon"
"10","E05000027",5,0.191,"Barking and Dagenham alibon","Barking and Dagenham",2002,0,"alibon"
"11","E05000028",5,0.3684,"Barking and Dagenham becontree","Barking and Dagenham",2014,0,NA
"12","E05000028",5,0.29,"Barking and Dagenham becontree","Barking and Dagenham",2018,0,NA
"13","E05000028",5,0.602,"Barking and Dagenham becontree","Barking and Dagenham",2010,0,"becontree"
"14","E05000028",5,0.324,"Barking and Dagenham becontree","Barking and Dagenham",2006,0,"becontree"
"15","E05000028",5,0.17,"Barking and Dagenham becontree","Barking and Dagenham",2002,0,"becontree"
"16","E05000029",5,0.365,"Barking and Dagenham chadwellheath","Barking and Dagenham",2014,0,NA
"17","E05000029",5,0.32,"Barking and Dagenham chadwellheath","Barking and Dagenham",2018,0,NA
"18","E05000029",5,0.614,"Barking and Dagenham chadwellheath","Barking and Dagenham",2010,0,"chadwellheath"
"19","E05000029",5,0.362,"Barking and Dagenham chadwellheath","Barking and Dagenham",2006,0,"chadwellheath"
"20","E05000029",5,0.267,"Barking and Dagenham chadwellheath","Barking and Dagenham",2002,0,"chadwellheath"
"21","E05000030",5,0.3652,"Barking and Dagenham eastbrook","Barking and Dagenham",2014,0,NA
"22","E05000030",5,0.34,"Barking and Dagenham eastbrook","Barking and Dagenham",2018,0,NA
"23","E05000030",5,0.63,"Barking and Dagenham eastbrook","Barking and Dagenham",2010,0,"eastbrook"
"24","E05000030",5,0.541,"Barking and Dagenham eastbrook","Barking and Dagenham",2006,0,"eastbrook"
"25","E05000030",5,0.256,"Barking and Dagenham eastbrook","Barking and Dagenham",2002,0,"eastbrook"
"26","E05000031",5,0.3463,"Barking and Dagenham eastbury","Barking and Dagenham",2014,0,NA
"27","E05000031",5,0.29,"Barking and Dagenham eastbury","Barking and Dagenham",2018,0,NA
"28","E05000031",5,0.594,"Barking and Dagenham eastbury","Barking and Dagenham",2010,0,"eastbury"
"29","E05000031",5,0.394,"Barking and Dagenham eastbury","Barking and Dagenham",2006,0,"eastbury"
"30","E05000031",5,0.258,"Barking and Dagenham eastbury","Barking and Dagenham",2002,0,"eastbury"
"31","E05000032",5,0.3757,"Barking and Dagenham gascoigne","Barking and Dagenham",2014,0,NA
"32","E05000032",5,0.3,"Barking and Dagenham gascoigne","Barking and Dagenham",2018,0,NA
"33","E05000032",5,0.584,"Barking and Dagenham gascoigne","Barking and Dagenham",2010,0,"gascoigne"
"34","E05000032",5,0.33,"Barking and Dagenham gascoigne","Barking and Dagenham",2006,0,"gascoigne"
"35","E05000032",5,0.242,"Barking and Dagenham gascoigne","Barking and Dagenham",2002,0,"gascoigne"
"36","E05000033",5,0.3473,"Barking and Dagenham goresbrook","Barking and Dagenham",2014,0,NA
"37","E05000033",5,0.27,"Barking and Dagenham goresbrook","Barking and Dagenham",2018,0,NA
"38","E05000033",5,0.578,"Barking and Dagenham goresbrook","Barking and Dagenham",2010,0,"goresbrook"
"39","E05000033",5,0.414,"Barking and Dagenham goresbrook","Barking and Dagenham",2006,0,"goresbrook"
"40","E05000033",5,0.203,"Barking and Dagenham goresbrook","Barking and Dagenham",2002,0,"goresbrook"
"41","E05000034",5,0.3495,"Barking and Dagenham heath","Barking and Dagenham",2014,0,NA
"42","E05000034",5,0.26,"Barking and Dagenham heath","Barking and Dagenham",2018,0,NA
"43","E05000034",5,0.589,"Barking and Dagenham heath","Barking and Dagenham",2010,0,"heath"
"44","E05000034",5,0.343,"Barking and Dagenham heath","Barking and Dagenham",2006,0,"heath"
"45","E05000034",5,0.218,"Barking and Dagenham heath","Barking and Dagenham",2002,0,"heath"
"46","E05000035",5,0.4369,"Barking and Dagenham longbridge","Barking and Dagenham",2014,0,NA
"47","E05000035",5,0.41,"Barking and Dagenham longbridge","Barking and Dagenham",2018,0,NA
"48","E05000035",5,0.691,"Barking and Dagenham longbridge","Barking and Dagenham",2010,0,"longbridge"
"49","E05000035",5,0.485,"Barking and Dagenham longbridge","Barking and Dagenham",2006,0,"longbridge"
"50","E05000035",5,0.296,"Barking and Dagenham longbridge","Barking and Dagenham",2002,0,"longbridge"
"51","E05000036",5,0.3429,"Barking and Dagenham mayesbrook","Barking and Dagenham",2014,0,NA
"52","E05000036",5,0.27,"Barking and Dagenham mayesbrook","Barking and Dagenham",2018,0,NA
"53","E05000036",5,0.595,"Barking and Dagenham mayesbrook","Barking and Dagenham",2010,0,"mayesbrook"
