province,countyid,community,gender,born_year,level_edu,year_edu,han,party,year_party,urban,inter_income,out_income,elder_brother,elder_sister,young_brother,young_sister,total_income,edu_father,party_father,urban_father,dum_job_father,attr_job_father,edu_mother,party_mother,dum_job_mother,year_nojob_mother,attr_job_mother,sib_brother,sib_sister,sib,non_father,job_father,non_mother,job_mother,period
北京市,110108,425.0,男,1948,专科,12.0,汉,党员,1981.0,城市,34000,不适用,2,0,2,0,100000,小学,群众,直辖市城区户口,全职就业,事业,没有上过学,群众,从未工作过,,,4.0,0.0,4.0,0.0,1.0,0.0,,0.0
北京市,110108,425.0,女,1984,高中或职高,12.0,汉,群众,,6,60000,不知道,0,0,0,0,80000,初中,群众,0.0,临时性就业(无合同、非稳定的工作),私企,初中,群众,从未工作过,,,0.0,0.0,0.0,0.0,,0.0,,1.0
北京市,110108,425.0,女,1984,初中,11.0,其他,群众,,6,19000,不适用,1,1,0,0,30000,初中,群众,0.0,全业务农,,初中,群众,全业务农,,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0
北京市,110108,425.0,男,1983,本科,16.0,汉,群众,,城市,拒绝回答,拒绝回答,0,0,0,0,50000,高中或职高,党员,直辖市城区户口,全职就业,事业,高中或职高,群众,全职就业,,事业,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
北京市,110108,425.0,男,1982,本科,15.0,汉,群众,,5,45000,不适用,0,1,0,0,40000,专科,党员,直辖市城区户口,全职就业,事业,高中或职高,群众,从未工作过,,,0.0,1.0,1.0,0.0,1.0,0.0,,1.0
北京市,110108,425.0,女,1966,高中或职高,13.0,汉,群众,,城市,6000,不适用,0,0,0,0,38000,小学,群众,直辖市城区户口,已去世,,小学,群众,已去世,,,0.0,0.0,0.0,1.0,,1.0,,1.0
北京市,110108,425.0,女,1970,本科,16.0,汉,群众,,城市,48000,不适用,0,2,0,1,70000,初中,党员,直辖市城区户口,全职就业,事业,初中,群众,从未工作过,,,0.0,3.0,3.0,0.0,1.0,0.0,,1.0
北京市,110108,425.0,女,1949,高中或职高,13.0,汉,群众,,城市,13000,0,0,0,3,3,36000,小学,群众,直辖市城区户口,已去世,,没有上过学,群众,从未工作过,,,3.0,3.0,6.0,1.0,,0.0,,0.0
北京市,110108,425.0,女,1936,没有上过学,,其他,党员,1952.0,城市,16000,不适用,0,0,0,0,36000,没有上过学,群众,直辖市城区户口,已去世,,没有上过学,群众,已去世,,,0.0,0.0,0.0,1.0,,1.0,,0.0
北京市,110108,425.0,男,1955,专科,16.0,汉,群众,,城市,18000,不适用,0,3,1,0,39000,初中,群众,直辖市城区户口,全职就业,事业,高中或职高,群众,以前工作过，但当时在家操持家务,在她的第一个孩子出生之后，我母亲,事业,1.0,3.0,4.0,0.0,1.0,0.0,,0.0
北京市,110108,44.0,男,1963,专科,15.0,汉,党员,1993.0,城市,50000,不适用,0,0,1,0,70000,专科,党员,直辖市城区户口,全职就业,私企,高中或职高,党员,全职就业,,事业,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
北京市,110108,44.0,女,1963,专科,14.0,汉,群众,,城市,15000,不适用,2,0,3,0,40000,初中,党员,0.0,全职就业,,没有上过学,群众,从未工作过,,,5.0,0.0,5.0,0.0,1.0,0.0,,1.0
北京市,110108,44.0,女,1981,本科,19.0,汉,群众,,3,10000,不适用,0,0,0,0,拒绝回答,小学,群众,直辖市城区户口,半职就业,私企,小学,群众,全职就业,,事业,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
北京市,110108,44.0,女,1983,本科,16.0,汉,群众,,4,20000,不适用,0,1,0,0,不知道,本科,党员,直辖市城区户口,全职就业,事业,专科,群众,全职就业,,事业,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
