worker_id,post_intervention_period,training_program_participation,current_income,education_years,previous_income,part_time_job,union_membership
0,0,1,46.35286213864964,2,5,0,1
1,0,1,47.43639323224181,2,4,0,1
2,0,1,46.71049167686002,0,5,1,0
3,0,1,49.07205394737713,4,9,0,1
4,0,1,48.73947026281641,0,8,1,0
5,0,0,50.0742208469941,2,6,1,0
6,0,1,48.75705968298654,2,6,1,0
7,0,1,50.07359851344671,5,8,1,0
8,0,0,48.7137687200565,2,7,0,1
9,0,0,49.44261187760959,2,9,0,1
10,0,1,48.40291890669869,4,5,1,1
11,0,0,47.8563111837437,3,5,1,1
12,0,1,48.45358784992735,1,5,0,0
13,0,0,49.67640503596596,4,6,0,1
14,0,1,47.98224142292932,4,7,1,1
15,0,1,49.46462234555976,4,3,1,1
16,0,1,48.95083120294544,3,6,1,1
17,0,1,47.23430668231536,1,4,1,0
18,0,1,49.28472809229166,2,5,0,1
19,0,1,47.80806421421356,3,8,1,0
20,0,1,47.58789623163437,5,7,0,1
21,0,1,47.33369002048757,2,6,1,1
22,0,1,48.840209738418906,4,8,0,0
23,0,1,46.36452724419247,2,6,0,0
24,0,1,48.101301875452144,3,6,0,0
25,0,0,49.25272272374197,2,8,1,1
26,0,1,48.033331606834274,2,4,0,1
27,0,0,49.10841221592612,2,10,0,1
28,0,1,47.59893688817578,2,8,1,0
29,0,1,48.88604546647629,4,1,1,1
30,0,0,49.18747863973474,2,10,0,0
31,0,1,49.02630264050951,1,5,0,1
32,0,0,49.72311576965603,3,9,1,0
33,0,1,47.17414906359246,0,7,0,1
34,0,0,49.08384383818717,2,8,1,0
35,0,1,47.25192141277299,1,6,0,1
36,0,1,48.59636400296174,2,6,1,0
37,0,1,46.62041720229655,1,5,1,1
38,0,1,48.96486160703619,3,7,0,0
39,0,1,48.81275892406189,2,8,1,0
40,0,1,48.11061974279074,3,2,0,0
41,0,1,48.996052433692746,3,10,0,0
42,0,1,48.75599279116167,2,5,1,1
