household_id,post_policy_period,received_subsidy,affordable_housing_availability,years_of_experience,income_level,residential_status,gender
0,0,1,50.27931551289887,1,3,1,0
1,0,1,50.95768978715979,2,8,1,1
2,0,0,51.86408082521245,2,7,1,0
3,0,1,51.85014995115689,2,6,0,1
4,0,1,52.15663698066413,3,5,1,0
5,0,0,52.78868950742643,0,4,0,0
6,0,0,51.89023057091725,3,9,0,0
7,0,1,50.4246921986622,2,6,0,1
8,0,1,51.550381848502695,3,5,1,1
9,0,1,50.387290190285,4,8,1,1
10,0,1,49.34489259373116,2,7,0,1
11,0,1,49.32502122584473,2,7,1,0
12,0,0,51.67916439245687,1,5,0,1
13,0,0,48.48781182664863,2,7,0,0
14,0,0,52.16342169241901,2,6,0,1
15,0,0,51.85843983881536,1,5,1,1
16,0,1,50.86148473853823,3,4,0,1
17,0,1,51.9950495645076,3,5,0,0
18,0,1,49.95732397369054,4,8,0,1
19,0,0,49.81909432746029,2,5,1,1
20,0,1,50.85132472782249,2,4,1,0
21,0,0,51.37577984990504,3,7,0,1
22,0,1,51.10523618554181,2,4,0,1
23,0,0,49.94704777979607,2,9,0,1
24,0,0,53.20156794724412,2,5,0,0
25,0,1,48.96818311602848,3,10,1,0
26,0,0,52.00095360460569,3,7,1,0
27,0,0,50.47153244943021,2,5,1,1
28,0,1,49.36568727520849,2,8,0,1
29,0,1,48.79235938440453,3,9,1,1
30,0,1,49.473032695819576,4,7,0,1
31,0,0,50.21674597438424,2,9,0,0
32,0,1,50.34455838750085,2,4,1,0
33,0,0,49.77041647622103,2,9,1,0
34,0,1,50.914286492502185,2,4,1,0
35,0,0,49.75532697854486,4,8,1,0
36,0,1,49.74297961518279,2,7,1,0
37,0,0,50.2955576138373,3,7,0,1
38,0,1,51.65273213772594,3,7,1,0
39,0,1,49.0114040297677,2,9,0,1
40,0,1,50.74401892365567,3,8,0,0
41,0,0,50.53753049461732,2,8,1,0
42,0,0,48.57744980824549,1,10,1,0
43,0,0,51.05349272909252,3,9,0,0
44,0,0,50.23457298998615,3,6,0,0
45,0,0,49.737637198228576,4,7,1,0
46,0,0,50.6302854169894,2,3,0,0
47,0,1,48.937792545800605,3,8,0,1
48,0,1,52.62143483372223,2,5,0,1
49,0,0,52.13250206758572,2,6,0,0
50,0,1,49.60246781003301,2,6,1,0
51,0,0,49.41560952391737,3,8,0,0
52,0,0,51.11811372540862,2,7,0,1
53,0,1,49.80370426944401,3,8,1,0
54,0,1,51.18711225971403,4,7,0,0
55,0,0,51.011488598383536,3,6,1,0
56,0,1,50.26191553864192,2,4,1,1
57,0,1,50.48396702281504,3,9,0,0
58,0,1,48.82082462244495,3,4,0,1
59,0,0,50.71461019611188,3,6,0,1
60,0,1,50.84793491341916,3,9,1,0
61,0,0,51.508376054448135,3,7,1,1
62,0,0,51.83517783440252,2,8,1,1
63,0,1,47.96259521650107,1,8,0,1
64,0,0,51.691765942178186,3,4,0,1
65,0,1,51.1597183189761,2,7,1,1
66,0,1,50.41723016584168,3,8,1,0
67,0,0,51.0862732615727,2,9,0,0
68,0,1,51.96223599849768,2,5,1,1
69,0,0,51.66048540430683,2,7,0,1
70,0,0,51.47730048310965,4,6,1,1
71,0,0,49.56372383697816,3,10,1,0
72,0,1,50.51390671162245,2,10,1,0
73,0,0,51.522414040201305,2,7,1,0
74,0,1,48.58797432747751,2,6,1,1
75,0,1,50.66201119707021,2,6,1,0
76,0,1,50.544862148736776,2,6,0,0
77,0,0,50.58736532759342,3,6,0,1
78,0,0,51.94365389516428,2,6,1,0
79,0,0,49.60130125347356,1,6,1,1
80,0,1,50.77309068327511,2,9,1,1
81,0,1,49.5621449190918,1,6,0,0
82,0,0,50.81581381036151,2,5,1,0
83,0,0,49.269487962269736,0,4,0,0
84,0,0,50.522020602845046,3,5,0,0
85,0,1,50.87654444343936,4,5,1,0
86,0,0,50.62832726243416,4,8,1,0
87,0,0,49.80630881954532,2,10,1,1
88,0,0,50.52963980131332,2,9,1,0
89,0,1,49.90209817057388,3,7,1,0
90,0,0,51.59962351084082,3,6,1,1
91,0,1,49.95878705922031,3,8,0,1
92,0,1,50.297545262491255,1,10,1,1
93,0,1,51.35025423126537,5,7,0,1
94,0,1,52.41182900790172,2,5,0,0
95,0,0,51.500590716042645,3,4,0,0
96,0,0,50.80865476796446,3,4,0,0
97,0,1,49.23529584028056,2,8,0,0
98,0,0,52.12533675801681,1,7,0,1
99,0,0,51.02349584020185,2,4,0,0
100,0,0,51.78603885913951,1,8,0,0
101,0,0,51.75260807859655,3,7,1,0
102,0,1,49.62721836707812,4,8,0,0
103,0,0,50.78505968889936,4,4,0,0
104,0,1,51.145877600757146,2,8,1,0
105,0,1,51.00897261431935,2,6,0,1
106,0,1,50.54129494536785,3,5,1,1
107,0,1,49.00974575449395,3,9,0,0
108,0,0,51.6349215431956,2,5,0,0
109,0,0,50.96436051664818,3,7,1,1
110,0,1,49.57865411901382,3,5,0,1
111,0,1,48.90423254320196,5,6,0,1
112,0,1,49.34889375719338,4,9,0,0
113,0,1,51.46469340263569,2,4,0,1
114,0,0,50.78720598850773,3,6,0,0
115,0,0,49.70402759664346,4,6,1,1
116,0,0,51.56417275042155,3,7,1,0
117,0,0,50.74643428283332,3,8,0,1
118,0,0,50.89697571657714,3,5,1,1
119,0,1,50.86248157457586,3,6,0,0
120,0,1,48.61715776289149,3,9,0,0
121,0,0,49.244865219857225,4,7,1,1
122,0,1,51.87608217351723,1,3,0,1
123,0,1,50.93626409301039,3,6,0,0
124,0,0,50.513913970916114,3,8,0,0
125,0,1,51.33470006788712,2,3,1,0
126,0,1,50.37461930642861,2,8,0,0
127,0,0,51.15764543467485,1,3,1,0
128,0,1,48.43304713092803,3,9,1,0
129,0,0,51.65940144702741,2,7,1,1
130,0,0,50.64917046856676,2,6,1,1
131,0,1,50.30941759783323,3,6,0,1
132,0,0,51.41558208833106,3,6,0,1
133,0,0,51.14534425554241,0,5,1,1
134,0,0,49.57660844374007,2,7,0,1
135,0,0,51.03725744278133,2,5,1,0
136,0,1,49.20560012653548,2,7,1,1
137,0,0,49.8176724981461,3,8,0,0
138,0,0,49.680019570870975,3,5,0,0
139,0,0,51.20835095133389,2,4,1,0
140,0,0,49.74206661373167,2,8,0,1
141,0,1,49.44316920286229,4,10,1,0
142,0,0,50.8658680585371,1,5,1,0
143,0,0,52.47390281710422,1,7,0,1
144,0,0,50.86802227760351,1,5,1,0
145,0,1,52.30414598030563,3,6,1,1
146,0,0,49.03969815879194,1,6,0,0
147,0,1,50.53034712485443,5,6,1,1
148,0,1,52.09323441714972,1,5,0,1
149,0,0,52.99378723396498,4,7,0,1
150,0,0,51.46335391812562,0,7,1,1
151,0,1,48.89081292243517,3,6,0,1
152,0,0,48.664095360239074,2,7,1,0
153,0,0,50.639644742690216,1,7,0,1
154,0,0,50.14569877745938,2,8,0,0
155,0,0,51.23213471134783,3,5,1,0
156,0,0,50.62205871420954,3,7,0,0
157,0,0,50.58152018921079,0,7,0,1
158,0,1,49.708574721639,3,8,0,0
159,0,1,51.7252531882299,2,4,1,1
160,0,0,52.06958251588759,3,6,0,0
161,0,1,51.13862962303983,3,4,0,1
162,0,0,52.28428316962231,3,7,1,0
163,0,0,49.39989345500782,3,10,1,1
164,0,1,50.959484897912574,4,7,1,0
165,0,1,50.51841301242224,2,7,0,1
166,0,1,50.758957608085545,3,8,0,1
167,0,1,50.63501576369098,2,7,0,0
168,0,0,50.90625520461839,3,5,0,1
169,0,1,51.31573700839487,2,8,0,1
170,0,1,49.78328260384271,2,6,1,1
171,0,0,49.84594826616734,3,9,1,0
172,0,1,50.02337988961961,3,5,1,0
173,0,0,50.25618360931601,2,8,1,0
174,0,0,51.6922193988233,2,5,0,1
175,0,0,50.85816886159317,4,9,1,1
176,0,1,50.69739022723071,3,9,0,0
177,0,0,51.66122654125345,2,5,1,1
178,0,0,50.67968905924708,4,6,0,0
179,0,0,48.97778095022444,1,7,1,1
180,0,0,49.839691540802434,2,6,1,0
181,0,1,51.6773369917016,3,9,1,0
182,0,1,49.64985533062524,3,7,1,0
183,0,0,50.950081122860034,2,6,1,0
184,0,1,51.29700660585674,2,7,1,0
185,0,1,51.32876027547668,2,6,0,0
186,0,1,50.22154670050961,2,6,1,1
187,0,1,50.912141954294775,4,6,0,0
188,0,0,50.96828833312749,4,9,0,0
189,0,0,51.08322446663677,3,6,0,0
190,0,0,51.55293312078736,3,3,0,0
191,0,1,49.90729846858408,3,5,1,0
192,0,0,50.51249559984486,3,5,0,1
193,0,0,49.92231142257041,3,9,0,1
194,0,0,50.94492022549164,3,8,0,0
195,0,1,51.50663197487294,1,5,1,0
196,0,1,50.821129026804144,4,10,1,0
197,0,0,52.145689561370894,4,7,1,0
198,0,1,50.62003260966517,2,6,0,0
199,0,1,50.46014209766384,2,5,1,0
200,0,1,49.257642307664646,2,11,0,1
201,0,1,50.77341760868385,1,9,1,1
202,0,1,50.35430017936871,2,10,0,0
203,0,0,49.71196875568708,3,10,0,1
204,0,1,50.37389477747899,1,7,1,0
205,0,0,51.2453316158592,4,8,1,1
206,0,1,51.880467212130185,2,8,1,1
207,0,0,51.21634447523875,3,6,0,1
208,0,1,50.50928416394032,4,9,0,0
209,0,0,50.36184866189414,2,6,0,0
210,0,1,51.5502508755966,3,4,0,0
211,0,1,51.370068958091096,3,4,1,1
212,0,1,52.02386480082275,2,6,1,1
213,0,1,51.54529178524579,2,7,0,1
214,0,1,51.59033690340138,0,8,0,0
215,0,1,51.73786337391149,3,7,0,0
216,0,0,51.49764649414336,3,8,0,1
217,0,0,50.17589470801224,3,7,1,0
218,0,0,51.44402144509622,3,6,0,0
219,0,1,49.93485433952928,3,8,0,0
220,0,0,51.56464079782452,2,9,0,1
221,0,0,50.60399287377577,2,6,1,0
222,0,0,51.09980798360997,2,4,0,1
223,0,1,52.758786020158766,1,7,0,0
224,0,1,49.71468205269299,2,7,0,1
225,0,1,51.65205449790884,2,7,0,1
226,0,0,51.1317791255195,2,6,0,0
227,0,1,48.416949021165856,3,9,0,1
228,0,1,51.58395861031532,3,6,1,1
229,0,0,49.917975696287726,3,7,1,1
230,0,1,50.62171416318591,2,7,0,0
231,0,1,50.64152758827059,4,7,0,0
232,0,1,51.043740981193295,3,8,0,1
233,0,1,51.321799654390965,4,3,1,0
234,0,1,50.12057600369753,2,6,0,0
235,0,0,51.791383184766346,4,5,0,1
236,0,1,48.042111012706464,2,6,0,0
237,0,0,50.672697714212326,2,8,0,0
238,0,1,51.5452967731859,2,6,0,0
239,0,0,50.06966620658625,3,7,1,1
240,0,0,51.31945816700721,2,6,0,1
241,0,1,50.817549560211305,3,6,1,1
242,0,1,49.43457330871436,3,6,1,1
243,0,1,48.8789440425739,2,7,1,1
244,0,1,51.13823033965089,3,3,0,1
245,0,1,48.42991085061212,5,8,0,1
246,0,1,50.36760835143522,2,5,0,0
247,0,0,52.119184170304656,2,7,0,0
248,0,1,50.2660849491872,4,7,0,0
249,0,0,50.1922618310997,0,7,0,0
250,0,1,50.61602168676878,2,7,0,1
251,0,0,52.11348854005714,3,4,1,1
252,0,1,49.67412723835052,3,7,1,0
253,0,0,51.59854522007337,3,7,1,1
254,0,1,52.40802966743716,4,8,0,1
255,0,0,51.85675820009744,4,5,1,1
256,0,1,49.96424293253134,4,5,1,1
257,0,1,51.04777753032237,2,6,1,1
258,0,0,51.38680967553294,4,7,0,1
259,0,1,48.23438272266334,2,11,1,1
260,0,0,51.39828631270566,3,6,0,1
261,0,1,50.65272948757456,3,5,1,0
262,0,1,48.61551702586545,3,6,1,0
263,0,0,50.87204251361717,1,6,0,1
264,0,1,50.36902144896909,3,6,1,0
265,0,1,50.80125518840987,3,8,1,0
266,0,0,51.441454412865646,2,6,1,0
267,0,0,50.370826591304,2,8,1,0
268,0,1,50.4422632376135,1,7,0,0
269,0,0,50.6618945757093,2,7,1,1
270,0,0,51.00855889224622,2,7,1,1
271,0,0,50.33417953198192,4,6,1,0
272,0,0,50.71690539524006,2,7,0,1
273,0,1,51.198922473779646,3,5,1,0
274,0,1,49.75086660873946,3,8,1,1
275,0,1,52.12444604254975,2,7,0,0
276,0,1,50.87664661216755,3,6,1,0
277,0,1,50.10802712322648,4,8,0,0
278,0,1,50.58858660177877,4,3,0,1
279,0,0,52.452585409164094,1,7,1,1
280,0,0,49.12383501168997,3,4,1,0
281,0,0,51.32672453605272,3,11,1,1
282,0,0,53.44351425414092,2,4,1,1
283,0,0,50.146992676107374,3,6,1,1
284,0,1,50.733765983137495,4,8,1,1
285,0,1,49.06457014316776,2,6,1,1
286,0,1,50.46992901640615,3,11,0,0
287,0,1,50.155617663590654,3,6,1,0
288,0,1,51.250925646396894,3,5,1,1
289,0,1,50.59146109967337,3,7,0,0
290,0,0,50.286226206835245,3,6,1,1
291,0,1,50.260795816511056,4,4,1,1
292,0,1,50.8066639678884,4,6,1,0
293,0,0,48.555935168050034,1,9,1,0
294,0,0,50.32676720475792,1,9,0,0
295,0,0,50.019996969016304,3,6,1,0
296,0,1,49.1240797651572,3,7,1,0
297,0,1,50.38095836144263,2,2,0,0
298,0,0,51.63999732710385,4,5,1,0
299,0,0,52.17136224179098,5,2,0,0
300,0,1,50.59258983968087,2,9,1,0
301,0,1,51.12797014975697,1,7,1,0
302,0,0,51.00967971823256,2,4,1,0
303,0,0,49.536262819156335,2,7,0,0
304,0,0,50.726290586332034,2,6,0,1
305,0,0,51.60267886990484,2,4,1,0
306,0,1,50.88897181706326,3,1,0,0
307,0,1,50.05965420363991,2,5,0,0
308,0,1,49.89952273919444,3,10,0,0
309,0,1,49.16793488861599,4,7,0,0
310,0,0,51.07488853092297,1,7,0,1
311,0,0,49.19170009570871,3,9,0,0
312,0,1,50.401399577687805,3,6,1,0
313,0,0,50.56613647217844,1,8,1,1
314,0,0,50.69599943485062,3,8,1,1
315,0,0,50.9022914668721,3,4,0,0
316,0,1,49.47203490193847,1,5,0,1
317,0,1,49.62872416074068,3,5,1,0
318,0,0,49.92171149313657,2,5,0,0
319,0,0,51.88162825495347,3,7,1,1
320,0,0,51.188472958244695,5,4,0,0
321,0,1,51.71735958978988,1,4,0,1
322,0,1,50.88995327922607,2,6,0,1
323,0,1,49.04399622919409,3,5,1,0
