defendant_id,post_policy,sentencing_policy,trial_outcome,defendant_age,income_level,prior_convictions,legal_representation
0,0,1,48.1888627694041,2,5,0,0
1,0,1,50.42162267396436,4,7,1,0
2,0,0,48.55024379409385,2,6,1,0
3,0,0,46.201249075475744,1,5,1,0
4,0,0,46.31997298525795,3,10,0,0
5,0,1,48.715790875319215,2,6,0,0
6,0,1,48.23254094809652,3,10,0,0
7,0,0,48.031160887330856,2,8,0,1
8,0,0,46.59215332014465,1,6,0,0
9,0,0,47.63026596296226,3,8,0,0
10,0,1,49.55687498508199,3,8,1,0
11,0,1,48.49252564098961,2,5,0,0
12,0,0,46.90849441956233,4,6,1,0
13,0,1,49.73973417305627,3,9,0,0
14,0,1,50.09541437543181,1,3,1,1
15,0,1,50.93203905989984,2,5,1,1
16,0,0,46.99485805029941,2,6,1,0
17,0,1,50.01863645074094,3,7,0,1
18,0,1,48.31430699536644,4,8,0,1
19,0,1,49.36536069058329,2,4,0,1
20,0,1,49.440956950023775,1,5,1,0
21,0,0,45.25373198534994,5,8,0,1
22,0,0,48.51846889073769,1,9,1,0
23,0,1,49.14475541627533,2,8,0,0
24,0,1,47.01633083156052,2,9,0,0
25,0,1,47.26261636597396,2,5,0,1
26,0,1,46.42516079905714,3,7,1,0
27,0,0,48.35184252459216,4,7,1,1
28,0,1,48.62086221824617,4,8,0,1
29,0,1,46.870802678076856,3,7,0,0
30,0,1,49.38914760062336,2,9,0,0
31,0,1,49.674610534412366,1,6,1,1
32,0,0,47.49869957527217,2,8,0,0
33,0,0,46.03931170787683,2,6,0,0
34,0,1,49.8696775108926,3,8,1,0
35,0,0,47.89567064286651,1,9,0,1
36,0,1,47.39288572663166,3,7,1,1
37,0,1,48.74775231422988,2,8,0,1
38,0,0,47.19778423105157,1,6,1,1
39,0,1,48.181467780634016,1,7,1,1
40,0,1,48.69818032863705,0,6,0,0
41,0,0,46.64445077136592,2,5,0,0
42,0,1,48.79192289387575,3,7,0,0
43,0,0,47.80996475256926,3,4,0,0
44,0,1,50.08605411870887,0,5,0,0
45,0,1,49.57703272434015,3,6,1,0
46,0,1,48.28186153441394,2,7,1,0
47,0,1,48.18153651485129,3,7,1,1
48,0,0,46.5438992511772,1,8,0,1
49,0,1,47.68440348495504,3,5,0,0
50,0,1,47.51973876478815,2,7,1,1
