citizen_id,post_policy_period,policy_implementation,voter_turnout,age,income_level,gender,education_level
0,0,0,48.39907268544172,3,8,0,0
1,0,0,48.57565351912323,2,9,1,1
2,0,1,50.36051987002041,2,5,1,1
3,0,1,49.29075161491205,1,7,1,0
4,0,1,50.24098454250324,3,3,1,1
5,0,1,50.11656801771508,3,6,0,1
6,0,1,50.48219634351148,1,8,0,1
7,0,1,50.071034169189694,2,6,0,0
8,0,0,49.62181319808467,3,8,1,1
9,0,1,49.506106253170536,2,4,1,1
10,0,0,50.09954084921608,3,8,0,1
11,0,1,48.79433889248957,0,3,0,1
12,0,1,48.9742354367088,2,9,1,0
13,0,1,50.226166777001296,3,5,0,0
14,0,1,50.03042873464493,3,8,1,1
15,0,1,50.108312775329125,2,7,0,0
16,0,0,47.11216721467053,1,8,1,1
17,0,0,48.70409798604462,3,5,1,1
18,0,0,49.14971949754924,2,7,0,0
19,0,1,48.7234026295319,0,7,0,0
20,0,1,51.30638953353087,2,6,1,0
21,0,1,49.17641900505632,1,6,0,0
22,0,1,50.0629113114869,2,4,0,0
23,0,1,49.260388806269184,3,8,1,1
24,0,1,47.20530802561783,2,8,1,0
25,0,0,51.6054589551866,3,6,0,1
26,0,1,48.65039848088717,2,6,1,0
27,0,1,49.14938558780427,0,7,1,0
28,0,0,48.16331332018579,3,8,0,1
29,0,0,48.14763446131672,0,7,0,1
30,0,0,51.32876236618716,2,3,0,1
31,0,0,50.05523474672009,3,5,1,0
32,0,1,50.05203683550483,3,7,0,0
33,0,1,50.10305617113882,1,6,1,0
34,0,0,47.22658795319997,2,9,0,1
35,0,1,48.7051945696668,2,8,0,1
36,0,1,49.67340374681262,2,8,1,0
37,0,0,50.18574490876775,1,7,0,0
38,0,1,49.808644849416936,1,5,1,1
39,0,0,51.37521320972998,2,7,1,1
40,0,0,48.81458623391445,2,6,1,0
41,0,0,47.52789837662709,3,10,1,1
42,0,1,49.25937530800704,3,7,1,1
43,0,0,49.42697360207757,2,4,1,1
44,0,0,49.1908061790419,4,6,0,1
45,0,1,50.61639445479375,4,6,1,0
46,0,0,49.65368776480951,3,3,0,0
47,0,0,49.31851618140035,3,2,1,1
48,0,1,50.657536084675975,3,8,0,0
49,0,0,49.097201047871415,3,5,0,0
50,0,0,48.42444545901473,2,8,0,1
51,0,1,49.769543116744586,2,6,1,1
52,0,0,49.16962744714384,5,10,0,1
53,0,1,52.35771531286722,3,4,0,1
54,0,1,48.38581772681529,2,8,0,1
55,0,1,51.68026206862991,2,6,1,1
56,0,1,49.473804183159565,3,7,0,0
57,0,1,50.12086183462391,2,8,1,1
58,0,0,48.2817170434284,3,6,0,1
59,0,1,50.10345992597487,2,4,0,1
60,0,1,50.91070278896632,2,9,0,0
61,0,1,49.10230032529775,2,11,1,1
62,0,1,51.53336142327228,3,7,1,1
63,0,0,48.8524291707222,3,6,0,0
64,0,1,50.622581106330585,2,7,1,1
65,0,0,47.81007278298125,2,8,0,0
66,0,0,47.767846348059,2,8,1,0
