employee_id,post_policy_period,minimum_wage_policy,monthly_income,education_years,job_experience,urban_residence,full_time_status
0,0,0,49.0987354266204,3,6,0,1
1,0,1,47.96043765546639,3,8,1,1
2,0,1,47.08331739619141,2,6,0,0
3,0,1,47.463426795617856,2,5,1,0
4,0,1,48.08758782187433,2,6,1,1
5,0,1,48.90211172444774,3,7,1,0
6,0,1,47.612875538562434,4,8,0,1
7,0,1,47.29135586992025,2,5,1,1
8,0,0,50.670110077520384,4,6,1,1
9,0,1,47.88043887963334,2,5,1,0
10,0,0,48.37719506846838,2,5,1,1
11,0,0,47.70441061134692,2,6,0,0
12,0,1,47.38116072936872,4,10,0,0
13,0,1,45.56645888528711,4,11,1,1
14,0,1,47.99757472532244,4,6,1,1
15,0,1,48.25742982656695,3,5,0,1
16,0,1,48.43400010559132,1,5,1,0
17,0,0,48.91268917916834,3,6,0,1
18,0,1,49.839268668043694,3,6,1,1
19,0,0,48.55549865670212,4,7,0,1
20,0,0,49.53521158713063,2,6,0,0
21,0,0,49.71359863384404,2,3,0,1
22,0,0,47.92385298714039,2,6,1,0
23,0,1,47.54870740857691,5,4,0,0
24,0,1,48.442448641372,3,6,1,1
25,0,1,48.06473075140524,4,8,1,1
26,0,0,47.131369099729376,2,5,1,1
27,0,1,47.7737534319438,2,6,1,1
28,0,1,46.75285904864705,2,3,1,1
29,0,1,46.25767115556873,3,8,0,0
30,0,1,47.45884183126705,3,6,1,0
31,0,1,46.44086612101424,2,5,1,0
32,0,0,49.14361827080309,4,2,0,1
33,0,0,46.878549636093176,2,7,0,0
34,0,1,46.976629040447456,4,4,1,0
35,0,1,50.07556120313802,2,6,0,0
36,0,0,48.510395957886935,2,9,1,0
37,0,0,50.98984948656642,1,5,0,1
38,0,1,48.81073826336976,3,8,0,1
39,0,0,49.91529132444216,4,4,0,1
40,0,0,48.62497388199957,2,8,1,1
41,0,0,49.74983372499297,3,9,0,0
42,0,1,47.19036858851053,4,5,0,1
43,0,0,49.288688997727874,2,5,0,0
44,0,0,48.23387325034219,3,7,1,1
45,0,0,49.92322202350359,2,8,0,0
46,0,1,48.77053326454258,2,9,0,1
47,0,0,49.85592117110032,2,7,1,0
48,0,0,49.67305784362657,3,6,1,1
49,0,0,48.85035621194336,3,4,1,0
50,0,1,47.59922022370159,3,8,1,1
51,0,1,48.62303390339031,2,9,0,1
52,0,0,49.3130640770045,1,5,0,0
53,0,0,49.87306402278883,5,5,0,1
54,0,0,50.75550922626892,3,6,0,0
55,0,0,49.59603807129167,2,7,1,0
56,0,1,48.98830847674349,1,7,0,0
57,0,1,46.88655148672802,1,6,1,0
58,0,1,49.12779840207584,3,6,1,0
59,0,0,48.06382572772855,1,6,1,0
60,0,1,48.66502783514993,2,6,0,1
61,0,1,45.52566964320053,3,4,0,0
62,0,1,47.845102863353326,3,6,1,0
63,0,1,47.514747155960976,4,5,1,0
64,0,1,48.02167492512121,0,6,0,1
65,0,0,50.59322223576501,2,5,0,0
66,0,1,49.00836916910004,3,4,1,1
67,0,1,49.398369321926005,2,7,1,0
68,0,1,47.33591329683726,3,8,0,1
69,0,0,49.110643056857086,3,10,1,1
70,0,0,49.44075506898058,3,6,1,1
71,0,0,48.51898599864227,4,7,1,0
72,0,0,48.898661619142885,2,6,0,0
73,0,1,47.69428706142113,2,9,0,1
74,0,1,48.80280317992782,4,7,1,0
