defendant_id,post_policy,new_sentencing_policy,sentence_length,defendant_age,previous_convictions,legal_representation,income_level
0,0,1,51.70598354704599,3,4,0,1
1,0,0,50.18567548362848,3,5,0,1
2,0,0,51.99241361863662,3,6,0,1
3,0,0,49.55737890547329,2,4,0,0
4,0,1,50.038006854758365,1,2,0,0
5,0,0,52.9229454556143,2,8,1,0
6,0,1,51.3958449124898,3,9,1,1
7,0,1,51.32682119292301,2,5,1,0
8,0,0,51.96044159736297,4,6,1,1
9,0,0,49.72864703523829,2,9,0,1
10,0,1,50.72813546019541,0,11,1,0
11,0,0,51.472819524507166,2,6,1,0
12,0,1,51.49144309409745,2,7,1,0
13,0,0,48.49791670330679,2,8,1,0
14,0,0,51.86914302708345,1,5,0,0
15,0,0,51.55808427886535,5,8,1,0
16,0,0,51.72214030615972,2,7,0,1
17,0,0,51.83773660393589,2,5,1,0
18,0,1,52.97509514855864,3,5,0,0
19,0,1,49.88629845081219,3,7,0,1
20,0,1,51.27387513514452,4,4,1,1
21,0,1,51.94009129208551,1,6,0,0
22,0,0,51.873975939561,3,5,0,1
23,0,0,49.8190522568356,3,8,1,1
24,0,1,50.72515733691711,3,4,1,1
25,0,0,50.26780414005887,2,11,1,1
26,0,0,51.78108365128336,3,7,0,0
27,0,0,50.19752311855083,1,8,1,1
28,0,0,52.34709391585413,4,7,1,0
29,0,0,50.38984279414354,2,4,1,1
30,0,1,51.61217941223475,1,8,0,1
31,0,0,50.19401243466824,3,8,0,0
32,0,0,51.05079538623293,2,10,0,1
33,0,1,52.01702667726014,4,4,1,1
34,0,1,52.472355152691456,3,5,0,0
35,0,1,50.32709586370604,1,7,0,0
36,0,0,49.06611049508004,2,8,1,0
37,0,1,51.097174726378135,3,7,0,0
38,0,0,50.55701341880583,4,8,1,1
39,0,0,51.18385900506972,2,7,1,0
40,0,1,51.292815996803455,3,4,0,1
41,0,0,51.34303651276397,1,4,1,0
42,0,0,50.84472426688526,3,6,1,0
43,0,0,51.76708774542546,2,6,0,1
44,0,1,50.69418116026502,2,8,0,1
45,0,0,51.3768611851906,4,4,1,1
46,0,0,51.30086883702855,2,4,1,1
47,0,0,50.76288353247004,2,4,0,0
48,0,0,52.40026165094032,1,9,1,1
49,0,1,50.03795833104077,2,5,0,0
50,0,1,51.31157223197763,2,8,0,1
51,0,0,52.92756747201312,4,8,0,1
52,0,1,49.947449179284106,2,7,0,0
53,0,0,50.9641854631424,2,7,0,1
54,0,0,48.624976155651,2,7,0,1
55,0,1,50.86255189962378,2,1,1,0
56,0,1,51.1418530042507,1,8,0,1
57,0,0,48.83732211268882,2,5,0,0
58,0,1,50.17445254187973,2,8,0,0
59,0,1,49.116810513008,1,6,0,1
60,0,0,52.07737820776762,4,5,1,0
61,0,0,49.80508121047061,3,7,0,0
62,0,1,51.35386013648609,3,7,1,1
63,0,0,49.62733016998576,3,6,1,1
64,0,1,53.26888960770336,3,4,1,1
65,0,1,49.72956139018968,1,6,0,1
66,0,1,49.99382316161798,3,6,0,0
67,0,1,52.4999563756018,1,10,0,0
68,0,0,50.16007997481936,4,6,1,0
69,0,0,52.494333320759374,2,9,1,0
70,0,1,51.22816721939682,3,6,1,0
71,0,1,51.19222123691782,0,4,0,0
