household_id,post_policy,new_subsidy,housing_affordability,age,income_level,gender,previous_subsidy
0,0,1,44.64400286893602,2,6,1,0
1,0,0,43.219476426579945,4,5,0,0
2,0,1,44.51522257546855,1,9,0,1
3,0,1,46.95890887694604,2,5,1,1
4,0,1,45.202132188087056,3,5,1,0
5,0,0,45.10019941023026,2,8,1,1
6,0,1,43.8981691877662,3,10,0,0
7,0,1,45.73773336491777,1,7,1,0
8,0,0,44.056471451938805,3,8,1,1
9,0,0,46.2379602052844,3,8,1,0
10,0,1,43.76846334434089,2,8,0,1
11,0,1,44.82063906440152,3,5,1,1
12,0,1,43.84217607450508,4,3,0,0
13,0,1,45.38242834949064,2,5,1,1
14,0,1,44.31565831566832,1,6,1,0
15,0,1,44.57165352347675,1,8,0,0
16,0,0,46.59980187974907,2,6,0,0
17,0,0,46.06535349469871,3,7,0,1
18,0,1,45.32721628277371,2,9,1,0
19,0,0,46.05263424833829,3,3,0,0
20,0,1,46.663696760937775,3,7,1,0
21,0,1,45.04735649420643,2,7,1,1
22,0,1,46.08836765248444,2,8,1,0
23,0,1,45.79445203561927,1,9,0,0
24,0,1,45.41935727007248,1,6,0,1
25,0,0,46.63567917977493,2,5,1,0
26,0,0,46.614441854288245,3,4,0,1
27,0,1,43.09975628200619,1,7,1,0
28,0,0,44.364092925287714,4,8,0,0
29,0,1,42.35486774733435,3,7,0,1
30,0,0,43.968323113367305,3,11,1,0
31,0,0,45.63045419882103,1,6,0,0
32,0,1,44.41500559172496,4,7,0,1
33,0,0,45.9463676783958,2,6,0,1
34,0,1,44.30994863035253,3,7,1,0
35,0,0,44.22622365587823,4,6,0,0
36,0,0,44.711748667512616,2,8,0,0
37,0,0,45.972322733565306,1,6,1,0
38,0,1,46.86532785656157,2,5,0,1
39,0,1,42.65075071587844,3,9,1,1
40,0,0,43.20057261566949,4,9,1,1
41,0,0,45.31941618804604,2,6,0,1
42,0,0,45.50508862476187,2,7,0,0
43,0,1,45.9198951599102,3,7,0,1
44,0,1,45.42879457845917,3,3,0,0
45,0,1,44.09010142410968,2,3,1,0
46,0,1,45.4908732349734,2,5,1,0
47,0,0,45.38916928368271,2,3,0,1
48,0,1,45.34040917125551,1,8,0,0
49,0,0,46.44033802107281,1,5,0,1
50,0,1,45.33456012276353,1,4,0,0
51,0,1,44.9077195457431,3,8,0,0
52,0,1,42.60813327008446,3,9,0,0
53,0,0,45.089894230709845,3,5,1,1
54,0,1,42.59656951317557,2,10,0,0
55,0,1,44.45138016177479,2,8,1,0
56,0,0,44.62856883866399,4,6,0,1
57,0,1,45.64761638119793,1,6,0,0
58,0,1,45.60726577037147,2,5,0,1
59,0,1,44.76013696613658,5,7,0,0
60,0,0,45.25956641595175,2,4,0,1
61,0,1,45.04939233836855,3,4,1,1
62,0,1,44.9920927740822,4,6,1,0
63,0,1,47.00772231045857,2,8,0,0
64,0,1,43.642793044996736,3,6,0,0
65,0,0,45.72473380713095,2,8,1,0
66,0,0,45.06065991378831,2,6,1,1
67,0,1,45.49195758200303,2,8,1,0
68,0,1,45.98484207397522,4,6,0,1
69,0,1,45.387046071982,3,3,1,0
70,0,1,43.55820279791122,1,9,1,0
71,0,1,43.71310612173445,3,8,0,0
72,0,1,44.25676292625207,3,6,1,0
73,0,0,45.64215648181796,3,4,1,0
74,0,1,45.86355318552593,1,7,0,0
75,0,0,44.416034274537736,4,9,0,1
76,0,1,43.901833723649744,3,7,1,0
77,0,1,46.13800306126714,2,7,1,0
78,0,1,44.91348659545809,3,2,1,1
79,0,0,46.170010791489794,3,5,0,1
80,0,1,45.78852633873169,4,7,0,0
