household_id,post_policy,loan_received,income_growth,household_income,business_experience_years,rural_location,previous_loan_status
0,0,1,45.94823686533864,3,5,0,1
1,0,1,45.03823354791513,2,8,1,1
2,0,0,47.36079220672092,3,5,1,1
3,0,0,46.33790343942272,1,10,1,0
4,0,1,45.919867078980936,2,4,1,0
5,0,1,46.00944684986433,3,5,0,1
6,0,1,47.80318655076845,1,8,1,1
7,0,0,46.42620713430503,4,6,1,1
8,0,1,45.7988698763682,4,4,1,0
9,0,0,47.30375703121853,1,7,1,1
10,0,0,47.96468327456043,3,7,0,1
11,0,1,47.18291305126693,2,5,0,1
12,0,0,48.09970596618519,3,4,1,1
13,0,0,45.06686513574945,2,6,1,1
14,0,0,46.00930948650304,1,7,0,1
15,0,1,45.48929199057483,4,4,0,1
16,0,0,46.95370046537812,4,6,1,0
17,0,0,45.68426075260561,2,9,1,0
18,0,0,45.51004351932453,0,11,1,1
19,0,0,47.42678304002028,2,7,1,1
20,0,0,46.879246947040855,2,6,1,1
21,0,0,45.53601408388,3,8,0,0
22,0,1,46.068359129322445,2,9,1,1
23,0,0,46.70834816498679,3,5,0,0
24,0,0,46.22281144812265,2,6,1,1
25,0,0,46.4132242484919,1,9,1,0
26,0,1,47.28196806406156,2,1,1,0
27,0,0,45.32336780545052,2,7,1,1
28,0,1,45.0600175557354,2,5,1,0
29,0,1,45.70205373766199,1,8,1,1
30,0,1,45.24417777825575,3,8,1,0
31,0,0,47.87385109243202,3,6,1,0
32,0,1,44.38338765548046,3,5,1,0
33,0,0,46.6891860951147,3,8,1,0
34,0,1,46.264641143010365,2,6,0,0
35,0,1,44.33459405380134,2,9,0,0
36,0,0,46.87309657049431,4,7,1,0
37,0,0,45.749812892193525,2,6,0,0
38,0,1,45.92469113627004,2,7,0,1
39,0,0,46.81613971211775,2,8,1,0
40,0,1,46.17300946687548,1,6,1,0
41,0,1,46.3330062667672,1,7,0,0
42,0,0,47.1507921795894,2,7,1,0
43,0,1,45.51076015345807,4,7,1,1
44,0,0,45.92245012993513,3,7,1,1
45,0,1,44.92991872401896,3,7,1,1
46,0,0,47.751395074119294,2,3,1,1
47,0,1,46.39397204054518,1,5,1,1
48,0,1,45.19424352827328,3,7,1,0
49,0,0,45.93653534570732,3,4,0,0
50,0,1,44.9628499559295,2,7,0,1
51,0,0,46.80734677154707,2,9,1,1
52,0,0,45.44059393962068,2,5,1,1
53,0,1,45.5795511558526,3,6,1,1
