unit_id,post_intervention_status,treatment_status,standardized_test_score,student_age,teacher_experience_years,school_type,gender
0,0,1,45.312241169271154,3,6,1,0
1,0,1,44.75275170159958,2,7,0,1
2,0,0,47.10430092118255,4,9,1,0
3,0,1,46.74861367642945,3,5,0,1
4,0,1,45.38981665611495,2,10,1,0
5,0,0,46.29874566583276,3,4,1,0
6,0,0,49.673307946667066,3,7,1,0
7,0,1,45.3144300165156,3,8,1,1
8,0,1,46.12490048582092,3,8,0,0
9,0,1,45.770144826989664,2,8,1,1
10,0,1,45.24975550351439,3,5,1,0
11,0,1,47.31423836337113,3,9,1,0
12,0,0,49.23040279947224,4,9,1,1
13,0,1,43.91408018749954,3,5,1,1
14,0,1,46.68462303103233,2,2,0,1
15,0,0,46.79109786296983,3,5,1,0
16,0,0,48.34550576398652,3,8,1,0
17,0,1,48.31333689931021,3,11,1,0
18,0,1,46.5414547188408,3,6,0,0
19,0,0,47.15301913962583,0,6,1,0
20,0,0,46.306678285337945,2,7,0,1
21,0,1,45.98374220655662,1,10,0,1
22,0,1,46.70042747239905,2,9,1,0
23,0,1,46.09965266977797,0,8,0,1
24,0,0,46.1069786745222,3,7,0,1
25,0,1,46.28062261913956,3,6,1,1
26,0,1,44.70584148605194,2,6,1,1
27,0,1,47.76746578120731,4,10,1,0
28,0,0,48.97377659754619,2,8,0,1
29,0,0,48.02110217451557,4,8,1,1
30,0,1,45.01914964163899,3,6,1,1
31,0,0,48.80302875942777,2,10,1,1
32,0,1,44.879134982029406,3,5,0,1
33,0,1,46.16170887494806,3,8,0,1
34,0,1,46.54558914207123,0,7,1,0
35,0,0,46.82412286485008,2,8,1,1
36,0,1,44.59443069809124,3,4,1,1
37,0,1,46.70378908307063,1,8,0,1
38,0,1,44.154335004356845,2,5,1,1
39,0,1,46.95216405847742,2,7,1,0
40,0,1,46.67002697066002,2,6,1,1
41,0,1,46.12282701748664,1,8,1,1
42,0,1,44.63206174593015,2,5,0,0
43,0,1,44.10828101450844,2,7,1,1
44,0,1,45.99490277735164,2,5,1,1
45,0,1,42.99057282184613,4,5,0,0
46,0,1,46.43707093613742,2,5,0,1
47,0,0,49.16231740510808,1,5,1,1
48,0,1,45.11751820291435,1,5,0,1
49,0,0,49.27149903001857,1,8,0,0
50,0,1,44.87628044201736,4,7,0,0
51,0,1,44.23511294464223,3,6,1,0
52,0,0,47.80132702244126,1,7,0,0
53,0,1,45.61570499682142,4,7,1,1
54,0,1,43.97930076463842,2,5,0,0
55,0,1,45.14105308774456,3,7,1,0
56,0,1,45.85972427261923,2,9,0,1
57,0,0,49.30122416284584,3,6,1,0
58,0,0,48.05804789289226,2,5,0,1
59,0,1,47.2687817601023,1,8,1,1
60,0,1,46.91622785952458,2,5,1,0
61,0,1,45.298580305783965,3,8,0,1
62,0,1,47.59349995513912,2,5,1,1
63,0,0,50.25771446222317,4,4,1,0
64,0,0,48.0295226896858,0,7,1,1
65,0,0,46.35041440037303,2,6,0,1
66,0,1,45.27155315022349,3,4,1,0
67,0,1,44.868761355294055,3,8,0,1
68,0,1,45.445311406560265,3,5,1,1
69,0,1,44.462003332289214,2,6,0,1
70,0,1,43.61443657978728,4,2,0,0
71,0,0,47.37286146090164,3,6,0,0
72,0,1,44.10666099332794,4,2,1,0
73,0,0,48.485002140365125,2,7,1,0
74,0,1,46.44412709422745,3,5,1,0
75,0,0,48.17354925286588,3,7,1,0
76,0,1,45.23477554365827,2,6,0,0
77,0,1,46.34955357343248,2,7,0,1
78,0,1,46.28114231874689,2,6,1,0
79,0,1,47.44832755726824,2,5,1,0
80,0,0,47.204969135463415,2,7,1,1
81,0,0,48.64687041832364,4,7,0,1
82,0,1,44.65667569823187,4,7,1,1
83,0,0,46.18500019723634,4,9,1,0
84,0,1,44.14611648607005,1,8,0,1
85,0,1,46.95289238474695,2,7,1,1
86,0,1,46.06453491229524,3,5,1,0
87,0,0,46.69973979426548,3,6,1,0
88,0,0,46.72943584744774,4,4,0,1
89,0,1,47.32371800915085,4,4,0,0
90,0,0,47.42825320496513,1,9,0,1
91,0,1,44.16555528563229,3,5,1,1
92,0,1,44.29495695403133,3,7,1,0
93,0,1,45.23810816094496,3,8,1,1
94,0,1,46.81332450259683,4,5,0,1
95,0,1,46.462843744587936,3,8,0,1
96,0,0,45.53286454653814,4,7,1,1
97,0,1,44.35720181407758,4,8,0,1
98,0,1,45.68502157247793,3,6,1,1
99,0,0,47.04622496044012,3,4,1,1
100,0,1,45.460499215947536,4,5,1,1
101,0,0,47.745263828798194,2,7,0,1
102,0,1,47.79054281310447,3,6,1,0
103,0,1,44.75721329555692,4,6,1,1
104,0,0,47.17592747702052,2,7,1,1
