unit_id,post_intervention_period,microloan_policy,business_growth_rate,household_income,job_experience_years,rural_residence,previous_loan_status
0,0,1,47.719739873528525,2,5,1,1
1,0,0,45.32635686327989,2,8,1,0
2,0,0,46.966946039405066,4,5,1,1
3,0,1,49.15360963756578,2,7,0,0
4,0,0,45.93298954083503,3,6,0,0
5,0,1,46.82566559367431,2,8,1,0
6,0,1,47.46390751554847,2,3,0,1
7,0,0,47.150032513821,4,7,0,0
8,0,0,46.19446011042285,4,7,1,0
9,0,1,46.8651153699647,2,6,1,0
10,0,1,46.269794629555946,2,8,0,0
11,0,0,46.422502297003184,2,9,0,1
12,0,0,45.811344364877485,2,7,0,0
13,0,0,46.60777676227232,2,5,1,1
14,0,1,46.48335086707648,2,6,1,1
15,0,1,46.7839276536732,2,7,0,0
16,0,0,44.99250923925324,2,8,1,1
17,0,0,45.15335150488539,4,5,1,1
18,0,0,43.54224380058756,4,10,0,1
19,0,0,47.59672278559177,2,7,0,0
20,0,0,47.59662830355559,1,5,0,1
21,0,0,46.78340851925911,5,4,1,0
22,0,0,44.63871082466547,3,7,0,1
23,0,1,46.746651722801325,3,10,1,1
24,0,1,46.96050748815601,4,10,1,0
25,0,0,44.14982184329333,1,9,0,0
26,0,1,47.34302117766019,3,6,0,1
27,0,0,46.390815601753694,3,5,1,1
28,0,0,46.92852644133343,3,4,0,0
29,0,1,47.683749768376,4,6,1,0
30,0,0,45.47060921017484,3,5,0,1
31,0,0,43.12985654133667,5,10,0,0
32,0,1,47.14812321982407,4,6,0,0
33,0,0,45.03576812586513,3,8,1,0
34,0,0,46.97782814288644,3,7,1,0
35,0,0,47.43571681492607,2,5,1,1
36,0,1,49.28164942154663,4,7,0,0
37,0,1,45.42781507616898,2,8,0,0
38,0,1,46.31159022412864,2,7,1,1
39,0,0,45.27243126160026,2,6,0,0
40,0,0,48.563266646563285,3,3,1,0
41,0,0,47.03370073374423,2,4,1,0
42,0,0,46.32243227947264,4,6,1,0
43,0,0,43.67536959835962,2,7,0,1
44,0,0,47.16527356003678,2,8,0,0
45,0,1,46.63502764477637,3,8,1,1
46,0,1,48.6948368799773,3,7,1,0
47,0,0,45.48154716691781,4,8,0,1
48,0,1,46.49523417951602,3,5,0,1
49,0,0,46.95211167965731,2,5,0,0
50,0,1,46.76627182340447,4,7,0,0
51,0,1,48.10777902371549,2,5,0,1
52,0,1,49.21402916842071,5,4,0,1
53,0,0,43.951784689094566,3,8,1,0
54,0,0,47.38781518819774,4,6,0,1
55,0,1,47.7076346291696,2,7,0,1
56,0,1,47.74126541897882,3,4,0,0
57,0,0,45.1379498735496,3,7,0,1
58,0,1,48.61346145415322,3,6,0,0
59,0,1,46.90442439133327,3,6,1,0
60,0,1,48.72115296101497,3,5,1,0
61,0,0,46.11290260776411,2,7,0,1
62,0,0,44.6651912405221,2,8,0,1
63,0,0,45.67566707924575,3,8,1,1
64,0,0,44.77309878700905,2,5,0,0
65,0,0,48.19281074481732,2,3,1,0
66,0,1,48.01201560464388,4,9,1,1
67,0,1,48.76022224308877,1,5,1,0
68,0,0,45.25296093639918,3,5,0,1
69,0,1,48.95327194810803,2,6,1,0
70,0,1,46.92220137498707,3,6,1,1
71,0,1,47.49785967431145,3,5,0,0
72,0,1,49.54569343840258,3,5,1,1
73,0,0,44.31812388995921,3,6,0,1
74,0,0,45.633905651981856,3,4,1,1
75,0,1,48.50805027159292,3,7,0,1
76,0,1,49.22613947135654,1,6,0,0
77,0,1,47.13210199992662,2,9,0,1
78,0,1,48.35341307506943,2,7,1,1
79,0,0,47.22111921693923,2,2,0,1
80,0,0,47.07787449388533,3,6,0,1
81,0,0,45.45118471392195,2,8,1,0
82,0,1,47.33379657923348,2,5,0,0
83,0,0,45.47769124883433,5,9,0,0
84,0,0,46.720355789252864,2,6,1,0
85,0,1,48.37207634952727,2,3,0,0
86,0,0,45.78869442981284,2,6,0,1
87,0,1,45.41442061860765,3,9,1,0
88,0,0,43.95896470761042,1,9,1,1
89,0,1,45.747691123654526,0,7,0,0
90,0,0,46.95564904058162,4,6,0,0
91,0,0,46.56672733127989,2,6,0,1
92,0,0,46.6655346940324,4,7,0,1
93,0,0,44.76979628773285,3,9,0,1
94,0,0,45.9512322557602,3,4,0,1
95,0,1,48.7436595566046,1,4,1,1
96,0,0,46.31934329392388,3,7,0,0
97,0,1,47.28934379070485,3,8,1,0
98,0,1,46.35401358433037,3,6,0,0
99,0,1,48.4954433551478,3,4,0,1
100,0,0,46.504597737358274,4,10,0,0
101,0,1,47.26199818341574,4,8,0,0
102,0,0,47.10685943094961,2,8,0,0
103,0,0,46.467221107645294,2,6,0,0
104,0,0,46.32055835274725,0,8,0,0
105,0,1,49.05668591812692,3,6,0,0
106,0,0,44.34011686782384,3,8,1,1
107,0,0,45.30254425996948,3,4,0,1
108,0,0,45.53390786996314,3,5,0,0
109,0,0,45.56184192480976,4,7,0,0
110,0,1,48.96679751019092,0,6,1,1
111,0,0,46.23603415076605,2,5,0,1
112,0,1,45.65029764174471,2,9,0,0
113,0,0,47.68667428808653,3,4,0,0
114,0,1,48.1021576503119,3,6,1,0
115,0,1,46.10025760745916,1,5,0,1
116,0,1,46.46548461003452,4,8,1,0
117,0,1,47.55459584867145,2,4,0,1
118,0,1,48.87179861169084,4,5,0,1
119,0,1,47.43235406612747,2,7,1,0
120,0,1,47.192616118807095,2,6,1,0
121,0,0,43.770502035642,1,12,0,0
122,0,1,46.79965686668584,1,8,0,0
123,0,1,48.01127840660061,3,4,1,0
124,0,1,47.97974198052775,0,6,0,1
125,0,0,47.56539510621702,1,5,1,1
126,0,1,46.963138633411845,1,5,0,0
127,0,1,46.67916753626775,3,9,0,1
128,0,0,45.40679873065778,1,8,1,0
129,0,0,44.4824086307015,5,9,1,1
130,0,0,46.672569484309086,2,10,1,1
131,0,1,47.3326034710876,3,5,1,0
132,0,0,46.795248249988,4,10,1,1
133,0,0,46.41299961585064,3,6,0,0
134,0,0,43.81250318219732,3,5,0,0
135,0,1,46.88274291039662,3,5,1,0
136,0,1,46.27255911941357,1,6,1,1
137,0,0,46.20296865824691,2,6,0,0
138,0,1,46.54427941388423,2,8,0,0
139,0,1,46.291063382884666,2,2,0,1
140,0,0,45.00607406172488,3,8,0,0
141,0,0,46.44323754376986,2,5,1,0
142,0,0,45.42200952774138,2,6,1,1
143,0,1,46.4496540533567,1,5,0,1
144,0,1,48.86861029069727,3,5,1,0
145,0,0,45.929237859525166,1,6,1,1
146,0,1,47.08647136426706,2,5,1,1
147,0,0,45.21619791577114,3,7,0,1
148,0,0,46.76954664244521,2,6,0,1
149,0,1,47.47684843474933,3,6,0,0
150,0,1,47.59594825199526,2,5,0,1
151,0,0,49.123408742958375,4,9,1,1
152,0,1,47.327680955569214,4,4,0,1
153,0,1,46.90331702422714,1,9,0,0
154,0,1,48.47487374853465,2,3,0,0
155,0,0,46.71679437882756,3,7,0,0
156,0,1,46.42590707122136,3,8,0,1
157,0,0,45.98190891214846,3,7,0,0
158,0,0,47.46816420721565,3,6,1,0
159,0,0,46.19309865064373,2,7,0,1
160,0,0,42.79066895416235,3,8,0,1
161,0,0,44.44140944082054,3,7,1,0
162,0,1,45.69459990577319,1,8,0,1
163,0,0,44.28789184770172,4,8,0,0
164,0,0,46.85469008706531,1,9,1,1
165,0,1,46.15951339851067,3,9,0,1
166,0,0,48.32475239004094,3,4,0,0
167,0,0,45.573247256265006,2,10,1,0
168,0,1,49.072348865368895,4,6,0,0
169,0,0,47.178922439396366,5,5,1,0
170,0,1,45.42474231792316,4,7,1,1
171,0,0,46.47239453968376,4,5,1,0
172,0,1,48.0104268336868,1,2,0,0
173,0,1,48.19558681249732,2,4,0,0
174,0,1,47.07192788941848,0,6,0,0
175,0,1,47.683985601283936,2,6,0,1
176,0,1,46.11041481728158,3,9,1,1
177,0,0,47.56570732489655,2,2,0,1
178,0,0,45.57967964947228,2,7,0,1
179,0,1,46.46908959130761,3,7,1,1
180,0,0,45.82863249446908,1,7,0,0
181,0,0,45.66724935832701,4,7,0,0
182,0,1,46.86485895826305,2,5,0,0
183,0,0,45.19579230948828,4,9,1,0
184,0,1,46.63440401649876,2,8,0,0
185,0,0,46.28310731460118,2,7,0,0
186,0,0,45.95179077095353,3,6,0,0
187,0,1,45.27093280184016,2,8,0,1
188,0,1,48.40802861940356,2,7,1,0
189,0,0,45.91684343726945,2,6,0,0
