student_id,post_intervention_period,online_resources_usage,student_performance,teacher_experience,student_income_quartile,rural_school,gender
0,0,1,45.50498633808885,2,9,0,0
1,0,0,46.49674034664093,0,7,0,1
2,0,0,47.01281056880685,3,6,0,0
3,0,1,45.75555956165004,2,6,1,1
4,0,0,46.93588235960699,3,6,0,0
5,0,1,45.44189487867034,3,7,0,1
6,0,1,45.98269477783624,2,8,0,0
7,0,0,47.17689685638764,2,7,1,0
8,0,0,42.79758934080713,2,6,0,1
9,0,1,45.29221001456877,1,6,0,0
10,0,1,45.6539629080595,2,9,0,1
11,0,1,44.83946416876992,2,8,1,0
12,0,0,45.81558818191836,1,9,0,0
13,0,0,46.26703282024672,3,5,0,1
14,0,0,44.06007601019748,2,8,0,1
15,0,0,43.59346631174213,2,8,0,0
16,0,1,45.40732525176484,2,9,1,1
17,0,1,45.63622724506653,1,8,1,0
18,0,0,45.51212377847008,2,4,0,1
19,0,0,45.72364252699835,2,7,1,0
20,0,0,47.745998618459154,3,8,1,0
21,0,1,46.14957888391967,3,6,0,0
22,0,0,45.56772404585256,0,7,1,0
23,0,0,46.58079402528714,2,6,1,0
24,0,0,45.07287679835487,3,5,0,0
25,0,0,44.93957015820157,3,5,0,0
26,0,1,45.352146583332605,3,5,0,1
27,0,0,47.11066464992016,2,8,0,1
28,0,0,44.204540146691606,3,7,1,1
29,0,0,44.214063994851664,3,6,0,1
30,0,1,46.29162931092083,3,6,0,0
31,0,1,44.5028931073704,3,7,1,1
32,0,0,45.15073108207438,2,6,0,1
33,0,0,47.38309811909894,3,7,1,1
34,0,0,46.19723055091682,2,5,0,1
35,0,1,44.94645687006486,2,6,0,0
36,0,0,45.75993323684584,3,4,1,0
37,0,1,44.36419538896502,3,6,1,0
38,0,0,45.4887434210954,3,7,0,0
39,0,0,46.11629210080338,2,6,1,1
40,0,1,44.43964795550141,3,7,1,1
41,0,0,44.85680247595269,3,7,0,1
42,0,0,44.97009164538937,1,4,0,0
43,0,0,45.14157512947242,2,5,0,0
44,0,0,45.60563724345625,3,6,0,0
45,0,0,44.48251110604906,3,5,0,1
46,0,0,45.73151624864026,4,8,0,0
47,0,0,43.392925931228106,1,7,0,1
48,0,0,45.83293865249119,1,3,1,1
49,0,0,45.22647069226805,2,4,0,1
50,0,0,43.941597345370944,3,6,1,1
51,0,1,45.5947334792106,4,5,0,0
52,0,1,46.24193016072557,4,8,0,0
53,0,0,45.69741657471019,3,5,1,1
54,0,0,45.15544792256176,3,8,0,0
55,0,0,47.10456484682174,2,6,0,1
56,0,0,45.71006897494824,3,11,0,0
57,0,0,44.8670448982789,5,7,0,0
58,0,0,46.38242988066261,4,5,1,0
59,0,0,45.739735540392296,3,5,0,0
60,0,0,45.82585351860162,1,1,1,0
61,0,1,45.85331259036552,4,8,0,0
62,0,0,44.94976201904367,3,7,1,0
63,0,1,45.656932539108006,3,8,0,1
64,0,0,46.61714560389261,3,7,0,1
65,0,1,45.9960967436797,3,8,1,1
66,0,0,45.09459013587988,2,7,0,0
67,0,1,44.41408150114079,1,6,1,0
68,0,1,44.85319620244721,1,7,0,1
69,0,1,45.16721425131146,1,3,1,1
70,0,1,43.02632813226442,5,11,0,0
71,0,1,45.43765561072387,5,9,1,0
72,0,0,45.89652989980091,4,5,0,1
73,0,0,44.87027146824162,3,5,0,0
74,0,0,44.47773121972245,5,6,0,0
75,0,0,47.300700090466414,4,7,1,1
76,0,1,46.34529433770304,1,8,0,1
77,0,0,47.08208013638185,2,7,0,0
78,0,0,46.378134939564696,1,6,1,0
79,0,1,45.512556371734114,3,6,0,0
80,0,0,46.60480255350702,2,6,1,1
81,0,0,46.68133958359789,3,6,1,0
82,0,1,45.31836006688674,3,5,1,0
83,0,1,45.22861261780812,3,7,1,0
84,0,1,45.38862895695574,1,3,1,0
85,0,0,47.57313164001869,5,4,0,1
86,0,0,44.639672763648825,1,3,1,1
87,0,0,46.020924910307336,4,7,0,1
88,0,0,46.93479239382685,2,10,0,1
89,0,0,45.6833814281737,5,4,1,1
90,0,1,45.2827543425126,4,4,0,0
91,0,1,47.21387414238828,2,6,0,0
92,0,1,45.40707821460554,2,4,0,0
93,0,1,46.71426340563298,1,4,1,1
94,0,0,45.67896371681981,4,5,1,1
95,0,1,45.198923770331895,1,7,1,1
96,0,0,46.67906306995507,2,8,0,0
97,0,0,47.25306570008953,3,5,0,0
98,0,0,48.00603863750625,0,8,0,0
99,0,0,45.76666034157659,4,6,1,0
100,0,0,46.94258755176133,1,6,0,1
101,0,1,44.91174204341218,2,8,1,1
102,0,1,46.33905823346773,1,3,0,1
103,0,0,45.27186145331208,3,8,0,1
104,0,0,46.93178160271131,2,7,0,1
105,0,0,44.40822882135869,0,5,1,1
106,0,0,46.49806097650596,3,10,1,1
107,0,0,46.19267430514107,2,10,0,0
108,0,1,43.99504356354623,2,9,0,1
109,0,0,47.25254708271965,3,8,0,0
110,0,1,45.86604059498608,3,6,0,0
111,0,1,45.412827671838414,3,6,0,1
112,0,0,43.72483533429114,3,5,0,1
113,0,1,44.07095842921204,0,8,0,0
114,0,0,46.67105357266634,1,6,0,0
115,0,0,46.47963594565133,3,7,0,0
116,0,0,46.54259140675386,3,8,1,0
117,0,0,44.83447595239119,3,8,1,0
118,0,1,44.73804166742736,3,6,0,0
119,0,1,46.313544662593394,1,9,0,0
120,0,1,45.73574824114734,3,6,0,1
121,0,0,44.31093597363032,1,8,0,1
122,0,1,43.2954541677075,2,6,1,0
123,0,0,46.04530790451613,2,5,1,0
124,0,0,46.509560252419966,2,4,1,0
125,0,0,44.940654466332255,1,8,0,1
126,0,0,45.39816464904597,2,7,0,1
127,0,1,44.84555109160597,2,9,0,1
128,0,1,44.64903248945384,2,7,0,0
129,0,1,44.73460569695285,0,8,0,1
130,0,1,44.979205845898456,2,7,0,1
131,0,0,45.32943193458445,1,9,1,0
132,0,0,48.14824094838509,2,8,0,0
133,0,0,46.097705046375,3,9,0,0
134,0,1,47.04217626690836,3,7,1,1
135,0,1,47.13844072292744,3,3,0,0
136,0,1,45.18657567097923,3,6,0,0
137,0,0,47.73626898714394,2,5,0,1
138,0,0,43.96145007289228,3,7,1,0
