employee_id,post_policy_period,salary_increase_policy,current_salary,years_experience,previous_salary,union_membership,gender
0,0,0,53.95813457981947,4,6,1,0
1,0,1,54.08254646024157,2,6,0,0
2,0,0,54.35475981012942,2,5,0,1
3,0,0,52.9145657985709,0,6,0,0
4,0,1,54.457383350839166,2,7,0,0
5,0,1,52.7919493647415,3,8,0,0
6,0,1,55.86109446568008,2,6,1,0
7,0,1,51.85683517087388,3,8,0,0
8,0,1,55.08375781309499,3,7,0,0
9,0,1,53.11149103067768,1,4,1,0
10,0,0,53.12753539229273,2,11,0,0
11,0,0,53.64088961716128,3,6,1,0
12,0,1,55.63419691876209,3,6,1,1
13,0,1,55.18448370051483,2,7,0,1
14,0,1,54.14205593107873,2,6,0,0
15,0,1,55.48602635484072,4,8,0,0
16,0,1,55.18987434438675,1,11,1,1
17,0,1,53.91176277645162,1,7,1,1
18,0,1,54.550575465804506,1,4,1,0
19,0,1,54.7203829481784,1,6,0,1
20,0,0,55.189416883520856,2,8,0,1
21,0,1,54.17442751831568,3,6,1,0
22,0,1,54.06938968416226,3,5,0,0
23,0,0,54.675241860675314,4,7,0,0
24,0,0,53.19775282653816,2,6,0,1
25,0,0,53.88252190907891,3,8,1,0
26,0,0,54.04845013726204,3,5,0,0
27,0,1,54.33827645378069,1,7,1,0
28,0,1,52.58930962116498,3,6,0,0
29,0,1,53.86891325157546,3,9,0,1
30,0,1,55.37013791211535,3,9,0,0
31,0,1,54.942901177227895,3,7,0,1
32,0,1,52.60141738711089,1,7,0,0
33,0,1,53.80594263066615,3,4,0,0
34,0,1,55.3817711322393,2,7,0,0
35,0,1,54.14213302886108,3,3,0,0
36,0,1,56.00707914051195,3,2,1,0
37,0,0,54.17912281028912,3,4,0,0
38,0,0,54.6587243239806,3,9,1,0
39,0,0,54.80191433794764,3,4,0,1
40,0,1,53.13976982501291,4,5,1,0
41,0,1,53.90478860159352,5,7,0,0
42,0,0,53.37460042232188,4,7,0,0
43,0,0,54.12241850396588,1,4,0,0
44,0,1,53.913838773172735,2,6,1,0
45,0,0,53.28060842608919,2,8,0,1
46,0,1,53.15399324302805,3,8,1,1
47,0,1,52.98481223803656,3,8,1,1
48,0,0,53.19325944406485,0,6,1,0
49,0,1,52.959977205576735,3,5,1,1
50,0,1,54.20588163936743,4,8,0,1
51,0,1,53.42928955396382,2,5,0,1
52,0,1,54.01764588567807,2,4,0,0
53,0,1,54.39290493311163,4,6,0,0
54,0,1,53.28424166227055,1,7,0,0
55,0,1,54.32216591300766,3,9,0,1
56,0,1,54.025647121812014,3,5,1,1
57,0,0,53.62776599033327,3,7,0,0
58,0,0,55.29736926329623,4,6,1,1
59,0,0,55.17784362272464,3,9,0,0
60,0,1,55.3800609803893,3,9,0,0
61,0,1,53.42675591361205,2,5,1,0
62,0,1,54.97145158948835,2,6,1,0
63,0,0,52.04232674022876,3,6,1,0
64,0,0,54.98456257382314,2,6,1,0
65,0,1,53.885191935962354,2,11,1,0
66,0,0,52.81299195595547,1,9,0,0
67,0,0,54.84074365948708,3,6,0,1
68,0,1,54.550928229809976,3,7,0,1
69,0,0,54.8572943289502,4,6,1,0
70,0,1,54.59682141179578,2,6,1,0
71,0,0,53.25181739837785,3,4,1,0
72,0,1,52.05872389030391,0,6,0,1
73,0,1,53.36165647198421,4,7,0,0
74,0,1,53.8268122462034,3,4,1,1
75,0,0,54.585899550891725,1,3,1,1
76,0,1,55.287580194886864,2,6,0,0
77,0,0,52.74994065574428,2,7,0,0
78,0,1,53.02097425774821,2,5,1,1
