household_id,post_policy_period,subsidy_policy,affordable_housing_availability,income_level,job_experience_years,rural_residence,previous_subsidy_status
0,0,1,44.99738275503292,1,8,0,1
1,0,1,46.295809795232046,3,8,1,0
2,0,0,46.51498759613013,3,3,1,0
3,0,1,44.65582907998616,2,6,1,0
4,0,1,44.16287497830527,1,7,0,0
5,0,1,44.60745366587197,0,5,0,0
6,0,1,45.71115298325093,1,7,1,1
7,0,1,46.11612787523467,4,6,0,1
8,0,1,45.19429562684261,2,9,0,1
9,0,0,43.51088053994111,4,7,0,1
10,0,1,43.89150783139907,1,5,0,0
11,0,1,45.23336308518854,3,7,0,0
12,0,1,45.206984347576345,3,5,0,1
13,0,0,46.73564034859774,2,8,0,1
14,0,1,46.2621018451983,2,7,0,1
15,0,1,45.65500917423866,2,9,0,1
16,0,0,45.5693463507706,4,7,1,0
17,0,1,46.71269910583029,2,6,0,1
18,0,0,46.58969294405343,3,8,0,0
19,0,0,44.88917282315348,3,7,0,0
20,0,1,46.07578201428726,3,7,0,0
21,0,0,45.05658632945352,3,8,0,0
22,0,0,45.91008816158204,4,7,1,1
23,0,1,45.948102972870366,2,7,0,1
24,0,1,47.59721837819081,3,6,0,1
25,0,1,45.16282978402666,3,5,1,1
26,0,0,45.53022773578406,2,4,1,0
27,0,1,44.71385787912877,1,6,1,0
28,0,0,45.915868632705546,3,6,0,0
29,0,0,44.5888553020304,2,7,0,0
30,0,0,46.92046099804514,3,7,1,1
31,0,0,44.08432159539789,4,6,1,0
32,0,1,46.06665949923961,4,7,0,0
33,0,1,43.47302898807209,4,3,1,0
34,0,1,45.2680983338376,4,9,0,0
35,0,0,44.85592311736452,2,6,0,0
36,0,1,44.486403340157146,4,6,0,1
37,0,0,45.39359802170302,3,10,0,0
38,0,0,43.15895317846014,3,6,0,0
39,0,1,45.38709701274888,2,6,1,1
40,0,0,47.12952205767548,1,5,0,0
41,0,0,47.205750119810645,3,7,0,0
42,0,0,45.023132833311365,1,6,0,0
43,0,0,44.039930867708215,2,7,0,0
44,0,0,48.43188683589123,1,5,0,1
45,0,0,45.27412324542395,3,6,0,0
46,0,0,45.29856989039224,3,4,0,0
47,0,0,46.54519992719492,1,7,0,0
48,0,1,44.56609744255756,3,5,0,0
49,0,1,46.05067049595522,1,6,1,1
50,0,1,46.23246828593931,3,7,1,0
51,0,0,44.68796537504418,2,7,1,0
52,0,1,44.083573169321575,4,10,0,1
53,0,1,45.65698424375877,4,3,0,0
54,0,0,47.12721800326756,4,5,0,0
55,0,1,46.99872601876981,4,5,0,0
56,0,0,46.27994865924437,6,9,0,1
57,0,0,44.987784507353744,2,10,0,1
58,0,0,44.67002339522402,1,6,1,1
59,0,1,45.75897008551792,3,3,0,0
60,0,1,44.14989326053329,3,4,0,1
61,0,1,46.31203369533107,4,4,0,0
62,0,0,45.728696659665374,3,5,1,0
63,0,1,43.85256843127991,2,9,0,0
64,0,1,45.61650827938487,3,5,0,1
65,0,0,46.89332930918896,5,10,1,1
66,0,1,44.92001006604068,3,8,0,1
67,0,0,45.44127542596393,2,7,0,0
68,0,0,44.64361583475467,3,6,0,0
69,0,1,44.914476297028166,2,7,1,0
70,0,1,44.59435048776383,2,8,0,0
71,0,0,45.7059189499818,3,8,1,1
72,0,1,44.12153734982344,2,6,0,0
73,0,0,46.86521248512173,2,11,0,1
74,0,0,45.60500704243144,1,5,1,0
75,0,0,44.4596583670938,3,6,1,1
76,0,1,46.79194559687311,2,8,0,1
77,0,1,46.57390423208872,1,5,1,0
78,0,1,45.12798733629167,4,6,0,0
79,0,0,47.04418507525381,2,5,1,0
80,0,1,44.42036665105008,4,7,0,0
81,0,0,45.78148060664299,2,8,0,1
82,0,1,42.89236736907183,2,7,0,0
83,0,0,45.50536005007952,4,5,1,0
84,0,0,46.49879009918028,0,9,0,1
85,0,1,46.61084463653162,3,6,0,0
86,0,1,43.40264874568225,2,8,0,1
87,0,1,43.65807749456191,4,7,0,0
88,0,0,46.160606559078126,3,5,1,0
89,0,0,45.22999574544603,3,4,0,1
90,0,0,44.14115102002153,3,4,0,0
91,0,0,44.46609498711909,2,6,0,0
92,0,0,43.448576350165,3,7,0,0
93,0,1,46.05099389037054,2,8,0,0
94,0,1,44.56190576744704,3,4,1,0
95,0,1,45.13532260929719,3,4,1,1
96,0,0,46.15449798079925,3,4,1,0
97,0,1,46.1019446680143,3,6,0,0
98,0,0,45.49009920260232,3,7,0,0
99,0,1,47.87883251511179,4,6,0,0
100,0,1,44.96289963120673,4,7,1,1
101,0,0,45.64862325676472,2,6,0,0
102,0,0,44.68449555552397,1,9,0,0
103,0,0,47.49858702375034,3,7,1,0
104,0,1,43.17651854905175,1,1,0,1
105,0,1,45.64580510724248,3,6,1,1
106,0,1,45.06925136532467,4,4,0,1
107,0,1,44.214695089628144,1,6,0,0
108,0,1,45.53624540176541,3,8,0,1
109,0,1,46.25888514893848,2,9,1,0
110,0,1,45.20183187694956,4,4,1,0
111,0,0,45.05584085601135,2,7,0,1
112,0,1,46.41974162567405,3,6,1,1
113,0,1,45.5745002768381,1,7,1,0
114,0,1,45.82150044148568,4,6,0,0
115,0,0,44.85857332478942,3,5,1,1
116,0,0,46.08872043570866,3,7,0,1
117,0,0,45.96571806451954,3,11,0,1
118,0,1,46.99133325050354,2,6,1,1
119,0,1,45.35687300163846,3,4,1,0
120,0,1,45.43083978030792,3,7,1,0
121,0,0,45.29897548073911,4,7,1,1
122,0,0,46.056939232928606,3,9,0,1
123,0,1,45.625128528502295,1,7,1,0
124,0,0,44.61377703548829,2,8,0,1
125,0,1,44.12275793805584,2,5,0,0
126,0,0,44.68875817772783,5,3,0,0
127,0,1,46.31902820267576,2,9,0,0
128,0,1,46.19557662571816,3,6,0,0
129,0,1,46.3677940581122,1,7,0,0
130,0,1,45.92397304090754,3,9,0,0
131,0,0,44.411012343018285,1,3,0,1
132,0,1,45.49660366713972,4,1,0,0
133,0,0,44.7911385784554,4,7,1,0
134,0,0,44.590491194588765,1,6,0,0
135,0,0,44.63892522459072,2,4,0,0
136,0,1,44.95193719630443,3,5,1,0
137,0,0,43.46811935367229,3,7,0,0
138,0,0,45.7786022548576,2,6,1,0
139,0,0,44.66974010849487,3,4,0,0
140,0,1,43.74313458590209,1,4,0,0
141,0,1,46.61268183878741,3,7,0,1
142,0,1,44.05889313612878,2,4,1,1
143,0,0,45.74536015755057,3,10,0,1
144,0,0,44.44199945915906,4,7,0,0
145,0,0,44.52916182950185,3,4,1,1
146,0,1,47.12259194324085,2,7,0,0
147,0,0,47.08742678630187,3,5,0,1
148,0,0,45.66665367854139,3,7,0,0
149,0,1,43.739867880743375,3,6,0,0
150,0,1,45.29137867281304,3,9,0,1
151,0,0,46.99919790934981,4,8,0,0
152,0,0,45.29290508535325,3,4,0,0
153,0,0,45.958429289200666,2,6,1,1
154,0,0,44.154289641589216,2,6,1,1
155,0,1,44.701199131889815,3,6,0,0
156,0,0,45.981456643142295,1,6,1,0
157,0,0,45.47895074145478,3,10,0,0
158,0,1,44.019734657081344,3,5,0,0
159,0,1,44.29942045151516,1,6,0,0
160,0,1,45.53249358101474,2,7,1,0
161,0,0,45.784742285615245,1,6,1,0
162,0,0,46.617863114927694,3,10,1,1
163,0,0,46.4279821999094,4,7,1,0
164,0,1,44.92450222830962,3,6,0,0
165,0,1,46.85774921473103,2,6,1,0
166,0,1,46.852604839060646,2,7,0,1
167,0,0,44.44662638810288,2,4,1,1
168,0,0,43.83655251560396,3,5,0,0
169,0,0,43.520976586212775,2,5,0,1
170,0,0,44.01091169545674,1,6,1,1
171,0,1,47.036849445756616,2,8,0,0
172,0,0,45.90024993442321,1,7,1,0
173,0,0,45.45417029565046,1,8,1,1
