defendant_id,post_policy_period,new_sentencing_policy,sentence_length,defendant_age,previous_convictions,legal_representation,income_level
0,0,1,42.61586194785262,3,8,1,1
1,0,1,42.698404801956016,2,9,1,1
2,0,1,43.11166611800426,1,2,1,0
3,0,0,45.229035764824445,2,10,0,0
4,0,1,44.97011994273152,3,5,1,1
5,0,0,45.08437970437511,2,7,1,0
6,0,0,43.87228124686448,3,7,1,0
7,0,1,43.08847544332605,2,6,1,1
8,0,1,42.55617414214397,1,5,0,0
9,0,1,41.44454506019406,3,9,1,0
10,0,0,44.90440302458842,2,7,1,0
11,0,0,45.54327802937251,1,5,1,0
12,0,1,44.73401978298044,1,10,1,0
13,0,1,45.171758743878826,4,6,0,0
14,0,1,43.19331331069954,1,5,0,1
15,0,0,44.435435998243385,3,7,1,0
16,0,1,44.51133425863031,1,3,0,0
17,0,0,47.586233955956565,1,6,1,0
18,0,0,44.99898744651848,2,8,1,0
19,0,1,42.8715963564286,3,7,1,1
20,0,0,46.20249748228963,1,6,0,1
21,0,0,45.95416592839085,2,5,0,1
22,0,1,44.4812118611146,1,6,1,1
23,0,0,44.71835798120047,3,9,1,0
24,0,1,41.58332389444497,3,7,0,0
25,0,1,43.18499251409765,3,3,1,0
26,0,1,44.683296867063454,1,7,1,0
27,0,0,43.935152463866096,3,8,1,1
28,0,1,43.05681082446697,2,7,0,1
29,0,0,44.41067510431569,3,7,1,1
30,0,1,44.51660036898563,3,4,0,1
31,0,0,45.60064411610821,3,7,0,0
32,0,0,45.01265823426659,2,9,0,1
33,0,0,43.9180604538337,0,3,0,1
34,0,1,43.768200017432704,1,6,1,1
35,0,1,43.263776770969066,2,7,1,1
36,0,0,44.535860475088384,2,7,1,0
37,0,0,45.82608244199161,3,7,1,0
38,0,1,42.409352791858616,3,8,1,1
39,0,1,42.30170921480967,4,6,1,1
40,0,0,43.60845642043553,2,6,0,0
41,0,1,42.10545288953905,4,3,1,1
42,0,0,45.53360068263861,3,6,1,1
43,0,1,42.41135889169418,4,7,1,0
44,0,1,43.67183765694299,2,7,1,0
45,0,1,44.91149270700588,1,8,1,0
46,0,1,45.65383999742692,1,7,1,1
47,0,0,44.92666861396509,2,5,1,1
48,0,0,45.252275825312594,2,9,0,0
49,0,1,43.440645923404205,3,6,0,1
50,0,0,41.90583987205941,3,6,0,1
51,0,0,44.34945817903638,2,8,0,1
52,0,0,43.596777385486725,2,6,0,0
53,0,1,43.73443531185091,2,4,0,0
54,0,1,42.88431927413656,2,6,0,0
55,0,0,46.10811156258443,2,6,1,1
56,0,0,43.22622586585453,1,6,1,0
57,0,1,42.86016466244494,4,6,1,1
58,0,0,43.25673960882719,2,5,1,0
59,0,1,42.66512562442211,2,6,0,0
60,0,0,46.67947557672591,3,6,0,1
61,0,0,46.13461079927416,2,5,0,0
62,0,0,45.98831610727819,1,6,0,1
63,0,0,44.37478097934602,3,9,0,0
64,0,1,42.43316965215124,3,8,1,1
65,0,0,43.468584986041336,2,4,0,1
66,0,1,42.38225886440306,3,8,0,1
67,0,0,45.07858333845246,4,4,0,1
68,0,1,42.62367750670767,3,8,1,1
69,0,0,45.10730948471346,3,9,0,1
70,0,0,43.75653868748898,2,8,1,0
71,0,1,43.946799694779145,1,4,0,1
72,0,0,44.17439615646858,3,9,0,0
73,0,1,42.10789259716462,2,6,0,0
74,0,0,44.74146669712935,1,8,0,1
75,0,1,41.26582252094326,4,5,1,1
76,0,0,44.10619171054329,3,6,0,0
77,0,1,43.28795721490908,2,7,1,0
78,0,1,43.69507001147655,3,6,1,0
79,0,0,43.89058028705897,3,7,1,0
80,0,0,44.69568187777326,4,4,1,1
81,0,1,43.037876055821336,3,8,0,0
82,0,0,43.71504027726791,3,5,0,0
83,0,0,45.84631497211382,3,6,0,1
84,0,0,44.27446876687474,4,6,1,1
85,0,1,43.19786634962411,2,6,0,1
86,0,1,44.24817042605931,2,8,1,0
87,0,1,43.07906133393151,2,8,1,1
88,0,1,43.34555893645143,3,6,1,1
89,0,0,44.26907064625316,3,5,0,0
90,0,1,43.445058779764615,3,5,0,1
91,0,1,43.78450671218144,5,7,1,1
92,0,1,43.49733691123516,3,6,1,1
93,0,1,42.848149071725565,2,8,0,0
94,0,0,45.206829149730005,0,5,1,1
95,0,0,46.18360277122501,2,6,1,1
96,0,1,44.58326808467668,2,7,0,1
97,0,0,43.99104095081475,3,5,0,0
98,0,1,43.79079062710822,3,7,1,1
99,0,1,41.738815876278565,2,5,1,1
100,0,1,44.04179191003336,2,3,1,1
101,0,0,43.828656416396335,1,7,0,0
102,0,0,43.2066786116591,4,4,0,0
103,0,0,45.96877469114706,2,6,1,1
104,0,1,43.50828564587472,4,7,0,0
105,0,1,44.137552050857806,3,5,1,1
106,0,1,45.2119558081348,3,6,1,0
107,0,1,44.69952413028781,1,6,1,1
108,0,1,42.82501881041693,5,5,0,0
109,0,1,43.84195056741658,4,10,1,1
110,0,1,42.88621824035209,3,4,0,0
111,0,0,46.88269680697783,1,6,1,1
112,0,1,45.17496776376954,3,8,1,1
113,0,0,44.48965381958629,3,6,0,0
114,0,1,43.148573447727166,2,7,1,0
115,0,0,43.54973823035786,1,9,1,0
116,0,0,44.063084345353154,2,6,0,1
117,0,1,41.658042813594086,4,6,1,1
118,0,1,45.58487366140079,2,7,1,0
119,0,0,44.16700481715131,3,6,1,1
120,0,0,44.6776307335971,2,6,1,1
121,0,1,43.56560951939505,2,10,0,1
122,0,0,46.059386239057005,4,9,0,1
123,0,0,44.3861753034854,3,6,1,1
124,0,1,42.54814254882851,2,7,0,1
125,0,1,43.47085784788825,3,6,1,1
126,0,0,45.50353500377449,2,6,1,1
127,0,0,45.26208682580528,2,6,0,0
128,0,0,43.62583504792831,2,8,0,0
129,0,1,43.04332715113849,3,5,1,0
130,0,0,45.00070986781571,5,7,1,1
131,0,0,44.37452702009762,2,10,1,1
132,0,0,43.50615068851241,4,7,1,1
133,0,1,44.10783955279685,3,6,1,0
134,0,0,44.31043088607307,2,7,1,1
135,0,0,43.65559900839641,2,6,0,1
136,0,0,43.80670656098437,4,11,0,1
137,0,1,44.3662249868057,3,9,0,1
138,0,1,42.36396677006931,4,7,0,0
139,0,0,46.41547497047219,3,7,0,1
140,0,1,44.05631519514003,3,7,0,1
141,0,0,44.93040797717693,3,7,0,1
142,0,0,43.49518524002931,4,8,1,1
143,0,1,42.68785643085924,4,7,0,0
144,0,1,41.73542197154302,3,6,1,1
145,0,0,43.40653521771166,4,8,1,1
146,0,0,42.8906870279082,1,5,1,0
147,0,0,44.60980922588717,2,8,0,0
148,0,1,44.6187320777243,2,9,0,0
149,0,1,42.69966217637329,2,5,1,0
150,0,1,44.62232469764389,3,4,1,0
151,0,0,45.1473395671388,0,5,0,1
152,0,0,42.55737260684329,2,5,0,1
153,0,1,43.31828743008974,3,4,0,0
154,0,1,44.89109139928811,3,6,0,1
155,0,0,44.00994842572008,4,4,0,0
156,0,0,44.5088510030868,2,6,0,1
157,0,0,45.32409588965876,2,5,0,1
