household_id,post_policy_period,microloan_policy,business_growth_rate,income_level,job_experience_years,rural_residence,previous_loan_status
0,0,0,49.49908932627905,4,7,1,0
1,0,0,48.36410549881433,2,10,0,1
2,0,1,46.90045836807269,4,6,0,1
3,0,1,47.15561870074783,2,5,0,1
4,0,1,47.968494529761045,3,10,0,0
5,0,1,49.50120114274095,2,7,0,1
6,0,0,46.88100810523593,2,5,0,0
7,0,0,49.62680840876191,2,8,0,1
8,0,1,48.79305306552934,3,11,0,0
9,0,1,48.26009525841685,3,7,0,0
10,0,1,49.00246313306164,2,6,0,0
11,0,1,46.56881447964896,1,7,1,0
12,0,1,47.12209554973,2,8,0,0
13,0,0,45.3238061348712,2,5,0,0
14,0,0,50.05891134737591,1,4,0,1
15,0,0,48.73925831582788,2,8,1,0
16,0,1,48.66079695391124,3,4,1,0
17,0,0,48.76777018160078,3,8,1,1
18,0,0,49.48527651514445,4,9,0,0
19,0,1,48.268023189763525,3,4,0,1
20,0,1,49.28533102342141,3,7,0,1
21,0,0,49.11214322468233,4,10,1,1
22,0,1,47.665184289755416,2,7,1,0
23,0,1,48.93839995242884,3,5,0,0
24,0,1,48.39267848470671,3,7,0,0
25,0,1,47.75578004594264,2,4,1,0
26,0,1,46.49490513863764,3,9,0,0
27,0,1,47.37504066405042,2,7,1,1
28,0,0,49.00555360068743,1,7,0,1
29,0,0,48.58062215719021,2,4,1,1
30,0,1,46.64721514041964,4,6,1,0
31,0,0,49.420495596079526,2,7,0,1
32,0,0,48.31378331390627,2,5,1,1
33,0,1,49.36101670430346,2,5,0,0
34,0,1,47.45299123638766,2,3,0,0
35,0,1,47.31741567579255,2,6,1,1
36,0,0,47.541857425124576,2,7,1,1
37,0,1,48.24791878549592,3,3,0,0
38,0,0,47.814266760792144,4,9,1,0
39,0,0,48.67216868281481,4,7,1,0
40,0,0,48.17964344654513,2,7,1,0
41,0,1,49.59735750396953,2,6,1,1
42,0,1,48.1404710163535,3,9,0,0
43,0,1,47.51226486701607,2,6,1,1
44,0,1,46.29091966369271,3,4,0,1
45,0,0,48.0602318010458,3,6,0,1
46,0,0,50.225081978767165,3,3,1,0
47,0,0,49.87025224149208,0,4,0,1
48,0,0,48.22717008937904,2,7,0,1
49,0,1,47.902689863520656,2,6,1,0
50,0,0,50.91825900595416,1,5,0,0
51,0,0,47.01526815594957,4,6,1,0
52,0,0,49.21579075670071,3,6,1,0
53,0,0,49.22554413819076,1,5,0,0
