student_id,post_intervention,digital_learning_tool_usage,standardized_test_score,teacher_experience_years,school_quality_score,rural_school,low_income_student
0,0,1,50.3583312170487,4,6,1,1
1,0,1,51.31938398216587,4,4,0,1
2,0,1,52.50251234227563,2,6,1,1
3,0,1,51.36660703326515,3,5,1,0
4,0,1,50.7462677161043,3,7,0,0
5,0,1,51.75719541009113,2,6,0,0
6,0,1,51.19582082213926,3,6,0,1
7,0,0,53.56405526665971,2,7,1,1
8,0,1,50.71548053651338,4,3,1,1
9,0,1,50.88982947395994,6,6,0,0
10,0,1,53.324697319782565,4,8,0,1
11,0,1,52.06452954174717,1,5,1,1
12,0,0,52.22640190725766,4,6,0,0
13,0,1,50.05283915503241,3,7,1,0
14,0,0,50.84475506333671,2,8,1,1
15,0,1,53.13908317038848,2,9,1,0
16,0,1,50.88111715829507,1,6,1,0
17,0,0,51.22214291944869,2,4,1,0
18,0,0,50.65629639106325,2,6,0,0
19,0,1,52.25826256161196,2,7,1,1
20,0,1,50.97213048703303,1,4,1,1
21,0,0,51.86116050504914,4,4,0,1
22,0,0,50.869716000811685,2,4,1,0
23,0,1,53.16368409705187,2,7,0,1
24,0,1,51.51423310524531,3,8,0,1
25,0,0,51.6590920921733,2,7,1,0
26,0,0,52.66428684292491,3,5,0,1
27,0,1,51.681859162561246,3,3,1,1
28,0,1,49.81049468455704,2,4,1,0
29,0,1,50.84934218110933,2,6,0,0
30,0,1,52.272659035690886,3,8,0,1
31,0,1,52.42215057303696,3,6,0,1
32,0,1,50.60613530025024,3,8,1,0
33,0,0,52.66968226705156,4,5,0,0
34,0,1,51.76187391078091,2,8,1,0
35,0,1,52.11758704601896,2,5,0,1
36,0,0,51.20995144029747,2,8,0,0
37,0,0,51.43870046479206,3,4,0,1
38,0,1,52.50757761892579,3,5,1,1
39,0,0,52.05045079402831,3,9,1,1
40,0,1,51.43887805836526,1,4,1,1
41,0,0,53.09533358159137,1,5,1,0
42,0,0,51.56084602220802,3,7,1,1
43,0,1,48.78850116301879,1,7,0,0
44,0,1,52.57896206529578,2,10,0,1
45,0,1,49.57837474804667,3,4,0,1
46,0,1,51.40949666108927,1,3,1,0
47,0,0,52.6141363169721,2,11,1,1
48,0,1,51.35188703401454,5,5,0,1
49,0,1,52.14811407009449,3,7,0,1
50,0,1,49.87297677784212,3,5,1,1
51,0,0,52.18892373543584,4,7,0,1
52,0,0,50.96282816019311,0,7,1,0
53,0,1,51.85772442913262,2,8,1,0
54,0,1,52.32599799365538,1,6,0,0
55,0,1,53.47256207550756,3,11,0,1
56,0,1,50.481127483238254,2,7,1,1
57,0,1,52.12509334039081,4,8,1,1
58,0,1,51.53256228545506,4,4,1,0
59,0,1,51.01987033399429,4,7,0,1
60,0,0,50.79778287204783,4,6,0,1
61,0,0,51.93869260447847,2,8,1,1
62,0,1,53.429245549070906,1,7,0,1
63,0,1,52.024015900756034,4,9,1,0
64,0,0,53.60948504834901,2,5,0,0
65,0,0,52.78297008307068,2,8,1,1
66,0,0,53.04653558607376,2,6,0,1
67,0,1,51.96855300039132,3,7,0,1
68,0,1,51.6420875944148,3,5,1,1
