worker_id,post_policy,minimum_wage_policy,current_monthly_income,previous_monthly_income,work_experience_years,gender,union_membership
0,0,1,51.92317296060766,1,8,0,1
1,0,1,51.05465910958157,1,4,1,0
2,0,0,53.0854936378275,3,6,0,0
3,0,1,51.66994059549371,2,6,1,0
4,0,1,50.59515991328145,1,9,0,1
5,0,1,51.46061693473246,4,6,1,1
6,0,1,51.37740411572364,3,5,1,1
7,0,0,50.06977434005722,1,8,0,1
8,0,0,50.79789011040722,3,8,1,1
9,0,1,50.68284476407414,1,8,0,0
10,0,0,49.69772038336891,3,6,1,0
11,0,1,49.04111585150632,3,10,0,0
12,0,1,51.543728149241744,3,8,1,0
13,0,1,50.24806795952537,3,10,0,1
14,0,0,51.4569053303176,3,7,1,1
15,0,1,50.85689286589927,2,6,1,1
16,0,1,51.07942850040357,3,8,1,0
17,0,0,48.759475292886506,2,7,0,0
18,0,1,51.294014489392296,2,7,1,0
19,0,0,49.688320549794,4,6,1,0
20,0,0,51.953898769599874,4,9,1,0
21,0,1,52.14588969188016,1,4,0,0
22,0,0,47.90470772963366,4,5,0,1
23,0,0,51.59036171346976,3,6,0,1
24,0,1,51.28754956708264,2,3,0,1
25,0,1,49.47086662547152,4,5,0,1
26,0,1,50.84748780211052,4,5,0,1
27,0,0,49.43828833545842,2,6,0,1
28,0,0,52.103702515871774,4,7,0,1
29,0,1,50.29207579520294,1,5,1,0
30,0,1,51.7648109570988,1,4,1,0
31,0,1,50.592000973462426,2,9,0,0
32,0,0,50.960342373516205,2,5,0,0
33,0,0,50.20076619964715,4,5,0,0
34,0,1,49.87224745513166,1,6,1,0
35,0,1,50.137023115289495,2,5,0,1
36,0,1,50.6572364973548,1,7,1,1
37,0,0,49.27818364420484,1,7,0,1
38,0,1,51.31285574713926,3,7,1,1
39,0,1,50.16297684964277,2,5,0,0
40,0,1,50.29091403680896,4,7,1,1
41,0,0,51.76260227193122,2,6,1,1
42,0,1,51.80186663252693,1,4,0,0
43,0,1,49.18586021304975,2,6,0,1
44,0,0,49.79063769047286,1,7,1,1
45,0,0,49.462528899695286,2,6,0,0
46,0,0,51.13092052347927,2,7,0,0
47,0,0,50.844689483926615,2,5,0,1
48,0,1,50.90455154003274,2,9,0,1
49,0,1,51.94376634490519,1,10,0,1
50,0,1,52.431777775663534,3,5,1,0
51,0,0,51.29141353680415,1,9,1,0
52,0,0,50.633659258202655,3,2,0,0
53,0,1,51.67495392284086,2,5,1,1
54,0,1,50.50059996304349,3,5,0,1
55,0,1,49.88053970989136,2,3,0,0
56,0,0,50.49615467769856,2,4,0,1
57,0,1,50.1092814901944,3,8,1,0
58,0,0,50.254708788547305,5,9,0,0
59,0,1,51.45907633608957,2,7,1,0
60,0,1,52.95837842949079,3,4,0,1
61,0,1,48.72135674959378,3,10,1,1
62,0,1,51.18440922525625,2,6,1,1
63,0,1,48.49658811685396,2,6,0,1
64,0,1,50.4584016372484,2,3,0,1
65,0,1,49.20032895327776,4,8,1,0
66,0,1,51.51259493152113,2,7,0,0
67,0,1,51.08533194074776,2,8,1,1
68,0,1,50.74020098962104,2,8,0,1
69,0,0,50.85028057563509,5,7,1,1
70,0,1,51.66854902873967,3,7,0,1
71,0,0,49.76502249614686,1,7,1,0
72,0,1,52.6555234206432,3,7,0,0
73,0,1,52.9947717568124,3,4,1,0
74,0,0,49.45845791489425,2,6,0,1
75,0,1,50.934799845122726,3,5,1,1
76,0,1,52.32998844159871,2,5,0,0
77,0,0,49.73362002767452,3,6,0,1
78,0,1,51.21298066331016,3,5,0,0
79,0,1,50.537753679329526,3,8,1,0
80,0,1,51.86696873542808,2,6,1,0
81,0,1,49.23387604132985,2,6,0,1
82,0,1,51.8191013862469,5,8,1,1
83,0,0,50.670834790238025,1,5,1,0
84,0,0,50.682292688520256,2,6,1,0
85,0,1,50.79013857292117,1,8,0,0
86,0,1,50.75791618478557,3,6,1,1
87,0,0,50.27116998920573,1,6,0,0
88,0,1,50.926993507381134,3,4,1,1
89,0,0,50.15372183073453,3,5,0,1
90,0,0,49.32206836225412,3,3,0,1
91,0,1,50.79452722171923,3,11,0,1
92,0,1,52.0453769475035,1,6,0,1
93,0,0,49.633115207245865,3,5,1,0
94,0,0,50.2615771200618,3,4,1,0
95,0,1,51.646623121900426,2,6,0,0
96,0,0,51.47022984456822,4,6,0,1
97,0,0,50.11297923241093,2,4,0,1
98,0,1,52.6238338545496,2,8,1,1
99,0,0,51.79554250947205,4,5,1,0
100,0,1,53.90694730524013,3,3,0,1
101,0,1,50.81145474599102,4,5,0,0
102,0,1,53.05585907714044,2,7,0,1
103,0,1,51.585146043053605,3,8,1,0
104,0,1,52.34209009536433,0,8,0,1
105,0,0,52.393209872221,3,4,1,0
106,0,0,49.43638118597123,2,6,0,1
107,0,1,51.33432415998524,2,6,0,0
108,0,0,51.64902655526387,4,8,0,1
109,0,1,51.61136232499548,2,8,1,0
110,0,1,49.71475250582658,2,9,0,0
111,0,1,50.06091364486665,3,5,0,1
112,0,1,53.02379972217511,0,10,0,0
113,0,0,52.36931217166044,2,3,1,0
114,0,1,50.778643697496975,3,5,1,1
115,0,1,51.83736328368487,3,5,0,0
116,0,0,50.44209668658171,5,8,0,0
117,0,1,51.0445050625146,4,7,1,0
118,0,1,50.16693910634423,3,4,1,0
119,0,0,50.74878047660607,1,9,1,1
120,0,1,50.02076123915404,2,5,0,0
121,0,1,49.313377328547176,2,6,1,0
122,0,0,50.846137917000064,2,6,0,1
123,0,0,49.14698820065071,2,8,1,1
124,0,1,51.14006579914778,4,8,1,1
125,0,1,51.83976982858241,2,9,0,0
126,0,1,51.6250246347886,2,5,0,1
127,0,1,52.86295529064523,3,4,1,1
128,0,1,50.68232063046087,3,7,0,1
129,0,0,52.13029044823418,3,8,1,0
130,0,1,52.25236967679831,3,9,0,1
131,0,0,51.22898494654661,3,4,1,0
132,0,1,51.33420819872861,3,6,1,1
133,0,1,51.09071306381078,1,10,0,1
134,0,1,50.198465689510016,1,6,1,0
135,0,1,51.93918409825304,2,4,0,0
136,0,1,50.51709719293648,2,6,1,0
137,0,0,48.96598508199546,3,7,0,0
138,0,1,52.09413313210557,2,6,1,1
139,0,1,50.204020810539575,4,4,1,0
140,0,1,51.57347361693978,3,6,1,0
141,0,0,50.24467399367942,4,5,1,0
142,0,0,51.06003799351928,2,6,0,0
143,0,1,51.32738710059618,2,6,1,1
144,0,0,49.929366820519206,3,3,1,0
145,0,1,52.06356595329917,1,8,1,0
146,0,1,52.20667968288368,4,6,1,0
147,0,1,49.560633005734495,2,9,0,0
148,0,1,49.24428015869113,2,9,0,1
149,0,1,49.81855388159632,5,4,1,1
150,0,0,49.39724474151406,0,5,0,0
151,0,0,49.28299293159496,1,6,1,0
152,0,1,52.336220266678616,2,9,0,0
153,0,1,52.3054843747169,2,2,0,1
154,0,1,52.22164733856886,4,7,1,0
155,0,0,51.31297533592628,3,2,0,0
156,0,1,49.95470249356433,4,4,1,1
157,0,1,50.57821229871603,3,7,0,0
158,0,1,51.09766740708887,2,4,1,1
159,0,1,51.89428645490676,3,9,0,1
160,0,0,49.73438290152404,3,11,1,0
161,0,1,51.88301339183282,2,10,0,1
162,0,1,53.01617281407198,4,8,1,0
163,0,1,51.53589011551436,3,9,0,1
164,0,1,49.60913460796026,4,3,0,0
165,0,1,52.15358899337516,2,5,0,0
166,0,0,52.62248896216262,0,6,1,0
167,0,0,49.5500085802824,1,7,1,0
168,0,1,49.85592636725521,3,5,1,0
169,0,1,51.47690408773392,3,8,0,0
170,0,1,49.95693190018967,1,8,0,0
171,0,1,51.74725000739242,4,6,0,0
172,0,0,49.25741150466924,1,5,1,1
173,0,0,50.46280433677738,3,8,0,1
174,0,0,51.67129592753317,2,9,0,0
175,0,0,50.55699841302619,2,8,0,1
176,0,0,51.56254989925004,2,9,1,0
177,0,1,52.369209657471245,2,6,0,1
178,0,1,50.721466779360384,4,9,0,1
179,0,1,50.78482348164377,2,6,1,1
180,0,0,51.29892313298491,2,6,0,0
181,0,1,50.049975933317526,2,4,0,0
182,0,1,51.57212604355097,3,9,1,1
183,0,1,51.77949710830049,2,8,1,0
184,0,1,50.70016993416109,5,5,1,1
185,0,0,49.99837601702095,2,5,1,1
186,0,0,50.92842758493664,2,5,1,0
187,0,1,48.88464546871184,3,9,1,1
188,0,0,49.66865005049382,2,7,0,0
189,0,1,49.13378850003443,3,7,0,1
190,0,0,49.72874816044266,3,8,0,0
191,0,1,51.053481632996,2,6,0,1
192,0,1,50.33784483620688,2,4,0,0
193,0,0,50.61336907168632,2,4,0,0
194,0,1,50.85044296627908,3,6,0,1
195,0,1,50.44983223148343,2,6,0,0
196,0,0,51.53554545728228,3,8,0,1
197,0,0,50.45824376360778,4,5,1,0
198,0,1,51.75305869788055,3,5,0,1
199,0,0,51.98794194148215,2,4,1,1
200,0,1,50.52130041148862,4,7,1,1
201,0,1,52.38934195056043,5,9,0,1
202,0,1,50.96424035760848,3,7,0,1
203,0,1,51.735804938856894,4,6,0,1
204,0,0,50.65778436021843,2,6,1,1
205,0,1,50.40241916203821,3,7,1,1
206,0,1,49.71479906769627,2,8,0,0
207,0,0,51.053138031935966,1,7,1,0
208,0,0,51.10222139171904,3,6,0,1
