household_id,after_policy,received_subsidy,housing_affordability,annual_income,job_experience_years,rural_residence,previous_subsidy
0,0,1,48.810673003047455,3,8,1,1
1,0,0,51.98021863138559,4,6,1,1
2,0,0,50.46525250201368,4,6,0,1
3,0,1,50.38645354345316,2,6,1,1
4,0,1,49.239534239885,3,6,1,1
5,0,1,49.816167105008965,4,3,1,1
6,0,0,48.58785474064923,3,6,1,1
7,0,1,48.0348190190885,2,7,1,1
8,0,0,49.79728665704954,3,6,1,0
9,0,0,49.50423729565843,3,7,0,1
10,0,0,49.84152679676469,3,7,0,1
11,0,0,51.607767845513536,3,6,0,1
12,0,1,50.36843362977593,2,6,0,1
13,0,1,50.12305044919898,2,6,0,1
14,0,0,51.33414343399463,1,4,1,1
15,0,1,50.37655692044911,4,7,1,0
16,0,1,49.26264706623119,4,7,1,1
17,0,1,49.06149022855574,2,6,1,1
18,0,0,50.27514125810836,3,6,1,0
19,0,1,49.23429844809812,2,7,1,1
20,0,0,49.26990965441095,4,7,0,1
21,0,0,49.88585464359251,2,6,1,1
22,0,0,49.8662155339759,3,6,0,0
23,0,1,48.873275588256256,2,7,1,0
24,0,1,51.40162217213178,3,5,1,0
25,0,0,50.51859725721495,2,6,1,1
26,0,1,53.03020590306611,1,4,1,1
27,0,1,50.35259893580779,2,7,0,1
28,0,1,50.64877132882626,2,7,0,0
29,0,1,49.355298742864086,4,7,0,0
30,0,1,50.95552082901181,2,9,1,1
31,0,0,50.6097750524838,2,8,1,1
32,0,0,52.301134721787285,1,6,0,1
33,0,0,48.62820544325458,1,9,1,1
34,0,1,50.27331179908151,2,5,0,1
35,0,1,50.70528149715605,3,8,0,1
36,0,1,50.89053686446291,2,7,0,0
37,0,1,48.11815964191035,2,7,0,1
38,0,1,48.81016894626797,2,8,0,0
39,0,1,48.13158363690906,2,8,0,0
40,0,1,50.73055913305022,3,6,0,1
41,0,1,49.64749442208897,1,7,1,1
42,0,0,51.96317414392588,1,5,1,1
43,0,0,51.62866083924705,0,8,1,0
44,0,1,48.922446108499614,3,5,1,0
45,0,0,51.14654743582917,4,7,1,0
46,0,0,51.58168243962046,3,5,0,1
47,0,1,47.27951399080697,3,6,0,1
48,0,1,49.365633629414745,2,5,0,0
49,0,1,49.6103338957348,2,7,1,0
