worker_id,post_policy_period,minimum_wage_policy,current_monthly_income,total_experience_years,previous_monthly_income,gender,union_membership
0,0,1,46.31410719328607,3,7,0,1
1,0,1,47.29426509916391,3,5,1,0
2,0,0,46.10702594618876,3,8,1,1
3,0,1,44.10968817747065,1,6,0,1
4,0,0,46.80801203248944,4,8,1,1
5,0,1,44.524920032162754,4,4,0,0
6,0,1,47.64318665855591,3,6,1,1
7,0,1,46.56231281793517,2,7,1,1
8,0,1,45.893003244809634,2,3,1,0
9,0,1,47.70507676073968,3,7,1,0
10,0,0,45.56941017859702,3,5,1,0
11,0,1,46.63089396502855,3,3,1,1
12,0,1,45.345721896074224,1,8,0,1
13,0,0,47.03515189406343,3,2,1,1
14,0,0,45.132397105492885,3,7,0,1
15,0,1,45.53235104287868,3,7,1,1
16,0,1,44.72719741954903,3,9,0,1
17,0,1,45.18576974081617,4,10,1,0
18,0,1,46.9287948327832,1,5,1,1
19,0,1,46.64558652084784,2,5,1,1
20,0,1,46.492351576071016,3,9,1,0
21,0,1,45.80617281003091,3,5,1,0
22,0,1,47.18885685498253,1,7,0,1
23,0,0,45.022356526217926,3,8,1,0
24,0,1,48.20265714977922,3,4,1,1
25,0,0,46.323964991383065,3,6,1,1
26,0,1,47.14270876181549,1,7,1,1
27,0,1,44.99688701360102,2,6,1,1
28,0,1,45.35052358473812,1,6,1,0
29,0,0,45.17393656319566,4,6,0,0
30,0,1,46.28037909742972,2,5,1,0
31,0,1,46.92422280116789,3,7,0,0
32,0,1,45.2347932121342,3,6,1,1
33,0,0,47.37108788588323,2,7,1,0
34,0,1,45.39744037019517,2,5,0,0
35,0,1,47.12365648318765,2,3,1,1
36,0,1,46.53203042689949,2,4,1,1
37,0,0,45.64891762871218,1,7,0,0
38,0,0,46.57495822791482,2,4,0,0
39,0,1,46.32418846736282,4,7,1,0
40,0,1,46.19319911286265,2,7,1,1
41,0,0,46.76287004568173,3,7,1,0
42,0,1,45.94740897599162,1,5,1,1
43,0,1,46.39761447887869,3,6,1,0
44,0,0,45.50925808748848,2,8,0,1
45,0,0,44.88869111544266,2,8,1,1
46,0,0,47.32898604910825,2,8,1,1
47,0,1,45.6673552326661,4,8,1,1
48,0,0,45.9901357567589,3,9,1,0
49,0,1,45.66354741038856,1,8,1,0
50,0,1,45.98971795772724,4,6,0,1
51,0,0,46.33206529394162,4,7,1,0
52,0,1,44.4504332574226,2,8,0,1
53,0,1,47.2345039092241,4,7,1,1
54,0,1,47.44664036478984,3,7,1,1
55,0,0,46.74691708756669,1,8,0,1
56,0,0,45.64538752797951,3,10,1,0
57,0,0,46.1861204664032,1,9,1,0
58,0,1,46.366052334937095,3,8,1,0
59,0,1,46.10397083060541,3,9,0,1
60,0,1,44.9623666220433,2,9,0,0
61,0,0,45.096281055391074,2,9,1,1
62,0,1,46.88449137038282,1,7,1,1
63,0,1,45.07380900134092,2,6,0,1
