defendant_id,post_intervention,rehabilitation_program,reoffending_rate,defendant_age,previous_convictions,legal_representation,financial_status
0,0,0,52.138985531854566,3,5,0,1
1,0,1,51.60145368341647,1,10,1,0
2,0,1,52.75331522699171,3,6,0,0
3,0,1,50.35019568432974,5,5,1,1
4,0,0,52.15392797541942,2,7,0,0
5,0,0,51.456307086614935,1,7,0,1
6,0,1,50.95813261065128,1,6,1,0
7,0,0,52.15059965088692,3,6,0,0
8,0,0,52.43362883809622,2,7,1,0
9,0,1,52.15718444189829,3,8,0,0
10,0,1,51.43403407827613,3,7,1,0
11,0,0,50.548406466227945,2,5,1,0
12,0,0,53.68841729920231,1,7,0,0
13,0,1,53.8094375191638,2,6,1,0
14,0,0,52.93624376286202,2,6,1,0
15,0,0,53.72880849069549,3,4,0,0
16,0,1,49.8932859426819,3,6,0,0
17,0,1,50.6555567470057,4,7,0,0
18,0,0,51.18974743107889,3,8,1,0
19,0,1,51.09497147265745,0,2,0,1
20,0,0,51.53811478333009,2,8,1,1
21,0,1,53.693282935375066,3,7,0,0
22,0,0,51.50264723368657,4,9,0,0
23,0,1,51.25553422303415,1,7,0,1
24,0,0,52.30673748749288,1,6,0,0
25,0,1,51.31279430663797,4,6,0,1
26,0,1,49.79810172196569,2,11,0,0
27,0,1,51.45057233913,2,8,0,0
28,0,1,49.97911984452172,1,7,1,0
29,0,0,53.04882364621951,2,8,0,0
30,0,0,53.525859387143576,5,7,0,0
31,0,1,50.168984681056486,4,8,1,0
32,0,1,52.28111793521053,5,8,0,0
33,0,1,50.71534985897284,1,7,1,0
34,0,1,50.64096184295163,3,8,1,1
35,0,0,52.91347206396226,2,6,0,0
36,0,1,52.21838455168108,3,9,1,0
37,0,1,51.14562906746204,2,4,0,0
38,0,0,52.159055236770406,5,5,0,1
39,0,0,51.554366458883095,4,3,0,0
40,0,1,51.22895320023819,3,7,0,0
41,0,0,52.52534099016008,2,8,0,0
42,0,0,52.3237980677316,2,5,0,1
43,0,0,52.17093437537904,0,6,0,0
44,0,0,52.59805554188598,1,10,1,0
45,0,1,50.18681704119521,1,10,1,0
46,0,0,52.69706471137862,4,7,0,0
47,0,0,51.12169630585574,3,10,0,1
48,0,0,53.30479654940584,1,4,1,1
49,0,1,51.14806027798682,3,5,1,0
50,0,1,50.50494134435499,4,5,1,0
51,0,1,51.58340151194915,3,4,0,0
52,0,1,50.17062806611487,2,7,1,0
53,0,0,53.37782820209501,1,4,1,1
54,0,1,51.948053024648296,3,5,1,1
55,0,0,51.46768643640733,2,6,1,0
56,0,1,51.53893122999635,0,9,0,0
57,0,0,51.59209817218244,2,7,1,0
58,0,0,52.47618267033801,2,7,1,1
59,0,1,54.71400741534715,1,6,0,1
60,0,1,52.154273844383326,2,7,1,0
61,0,0,53.00714424482531,2,7,0,0
62,0,0,51.16224448063982,3,6,1,1
63,0,1,51.205885730016455,3,7,1,0
64,0,1,49.57255166242682,2,7,0,0
65,0,1,53.13456089412237,4,6,0,0
66,0,1,52.09186823408252,3,5,0,0
67,0,0,50.22755037667069,2,8,0,0
68,0,0,51.63586418815394,4,5,0,0
69,0,1,49.65686507876886,4,5,0,1
70,0,1,52.48576165350264,3,5,1,0
71,0,1,50.951892112252665,1,3,1,0
72,0,0,54.60313908090963,2,5,1,1
73,0,1,50.77162205207845,2,5,1,1
74,0,0,51.391936846071474,3,4,1,0
75,0,0,51.61029218141153,3,10,1,1
76,0,1,51.479831069483446,3,5,0,0
77,0,1,51.9365203973669,2,7,0,0
78,0,1,52.4601399394639,4,9,1,0
79,0,1,51.06502702408165,3,9,1,0
80,0,1,51.243048496177245,1,6,0,1
81,0,1,53.33596554502349,3,5,0,1
82,0,0,51.14676361919889,1,7,0,0
83,0,0,52.28135082341214,4,5,0,0
84,0,0,52.994536644506304,4,6,1,1
85,0,1,51.91794694250253,3,6,0,0
86,0,0,51.41257221785095,4,5,1,0
87,0,1,50.792878975089074,2,8,0,0
88,0,0,53.00275767974638,4,7,0,1
89,0,1,49.67955325468254,2,7,0,0
90,0,1,51.87962326102299,3,8,0,1
91,0,0,52.73604023138724,4,6,1,0
92,0,1,50.63987879940739,3,9,1,0
93,0,0,52.68976111661083,3,6,0,1
94,0,0,53.04686009262615,3,7,1,0
95,0,0,52.32773456740538,2,6,0,0
96,0,1,50.25621037545575,4,5,0,0
97,0,1,51.66901297681934,3,6,1,0
98,0,0,51.90332145017553,2,5,1,1
99,0,1,50.21730633761909,3,7,1,0
100,0,1,49.68176432276391,4,6,1,0
101,0,0,51.07128491707294,2,6,1,0
102,0,0,51.91211343354745,2,7,0,0
103,0,1,50.428991052313215,2,7,0,0
104,0,1,51.18315483117703,2,7,0,0
105,0,0,51.74036914758364,3,7,0,0
106,0,0,53.432570819886514,3,5,0,0
107,0,0,53.17496394760232,3,7,0,0
108,0,0,51.40971198104335,4,6,0,0
109,0,1,51.86573563303197,3,5,1,1
110,0,1,50.23303315788815,4,7,0,0
111,0,0,50.0474271050666,3,6,0,0
112,0,0,52.22580780686755,3,7,0,0
113,0,1,52.95674108419727,3,6,1,0
114,0,0,52.11971157392834,2,8,0,0
115,0,1,52.94890376900019,3,7,1,0
116,0,1,51.08149096563118,2,2,0,0
117,0,1,51.58412794148243,3,6,1,1
118,0,1,51.55544685758221,3,11,0,1
119,0,0,53.919513203375615,3,7,0,0
120,0,1,51.803279226371885,2,7,0,1
121,0,0,52.8318398599864,3,7,1,0
122,0,0,53.9529164041414,2,7,0,0
123,0,0,52.82277447649265,2,7,1,0
124,0,0,50.96898765236073,1,4,0,0
125,0,1,51.80048345096919,3,7,0,0
126,0,1,52.06943502899489,1,8,1,1
127,0,1,53.78613221912356,1,9,0,1
128,0,0,52.00594595008032,3,9,1,0
129,0,0,49.85488694367753,3,7,0,1
130,0,1,49.61906015713079,2,6,0,0
131,0,1,51.561320892586345,2,8,0,0
132,0,1,50.68898677116525,4,8,0,0
133,0,1,50.67582676932897,3,7,0,0
134,0,1,51.15997914521717,3,7,0,0
135,0,1,52.74263290397178,3,9,0,1
136,0,0,52.98403475338864,2,6,0,0
137,0,1,50.917659803102445,3,10,1,0
138,0,1,52.06483506322585,2,4,0,1
139,0,1,51.5779412782352,4,6,0,0
140,0,1,51.38248135026067,3,5,1,0
141,0,1,50.27649741946322,3,7,0,0
142,0,0,52.52101693807876,2,3,1,0
143,0,1,52.29643758956337,2,6,0,0
144,0,1,51.21176617382232,0,5,0,0
145,0,1,51.19105624676223,5,8,0,0
146,0,0,53.10851635990716,1,10,1,1
147,0,1,52.26735031945267,2,7,0,0
148,0,1,51.820201577997416,3,7,0,0
149,0,0,53.01592770509808,3,5,0,0
150,0,0,52.19584350098293,3,7,0,0
151,0,1,50.752778369975005,2,5,0,0
152,0,0,51.68120384091651,2,8,1,1
153,0,1,53.854802542319874,3,6,0,0
154,0,0,53.241712148548935,1,8,0,1
155,0,1,52.47370541654362,1,6,0,1
156,0,1,52.24070686092039,0,6,0,0
157,0,1,52.35602785646267,4,9,0,0
158,0,0,52.60330559336229,3,9,0,1
159,0,1,50.71924064898843,4,6,0,0
160,0,1,53.15132938605026,4,10,1,0
161,0,1,52.19361279247367,3,6,0,0
162,0,0,52.77788026984757,2,6,0,1
163,0,1,49.93276953598805,1,4,0,0
164,0,0,51.41836250370051,0,6,0,0
165,0,0,50.791597212852594,4,7,0,0
166,0,1,51.7390970384476,2,6,0,0
167,0,1,51.40205075549739,4,8,0,0
168,0,0,51.70131368465448,3,8,0,0
169,0,0,50.85795698114462,2,7,0,0
170,0,0,51.58836404042923,4,6,0,0
171,0,1,52.86139697934357,2,4,1,0
172,0,0,50.65598389573354,2,9,0,1
173,0,0,54.29061179455461,4,9,0,0
174,0,0,52.13194272401471,2,6,0,0
175,0,1,51.78998568406833,2,5,0,1
176,0,0,51.82257804877537,3,3,0,0
177,0,0,52.5372342193741,3,6,1,1
178,0,0,52.00150482118816,1,6,0,1
179,0,1,52.23166566526352,4,6,0,0
180,0,1,49.66634851814273,3,6,1,0
181,0,1,51.51243041556415,4,7,0,1
182,0,1,53.98991652308799,1,5,0,0
183,0,0,48.70907826206104,1,8,0,0
184,0,0,52.81050500797679,4,7,1,0
185,0,1,50.54263328370977,3,6,0,0
186,0,1,50.32921167823851,4,6,0,0
187,0,1,51.38259049982404,2,3,1,0
188,0,1,51.02440972599181,4,5,0,0
189,0,1,52.203001920948005,2,7,0,1
190,0,0,51.49589711359405,2,4,0,0
