state,survey_year,rehabilitation_program,recidivism_rate,unemployment_rate,average_income,urban_state,private_prison_presence
1,0,0,49.313697210311496,5,4,0,1
1,1,0,49.11596286794804,5,4,0,1
1,2,0,49.730503308552144,5,4,0,1
1,3,0,48.16870908827583,5,4,0,1
1,4,0,47.47232073748663,5,4,0,1
1,5,0,48.03828089715777,5,4,0,1
1,6,0,48.478548753595874,5,4,0,1
1,7,0,48.00929971578727,5,4,0,1
1,8,0,48.83211710508128,5,4,0,1
1,9,0,49.11534176487064,5,4,0,1
2,0,0,50.578164384239095,2,6,1,0
2,1,0,49.34497759692205,2,6,1,0
2,2,0,50.5802260584503,2,6,1,0
2,3,0,48.419623016831615,2,6,1,0
2,4,1,55.36948374163265,2,6,1,0
2,5,1,54.468814055304165,2,6,1,0
2,6,1,56.81335576786998,2,6,1,0
2,7,1,51.5624655819983,2,6,1,0
2,8,1,53.541694052425896,2,6,1,0
2,9,1,54.315165100362734,2,6,1,0
3,0,0,49.08819155836314,4,9,1,1
3,1,0,49.63231732947057,4,9,1,1
3,2,0,51.24289151075418,4,9,1,1
3,3,0,48.90198741881535,4,9,1,1
3,4,0,51.10063179134461,4,9,1,1
3,5,0,52.92983388470379,4,9,1,1
3,6,0,49.55029000212787,4,9,1,1
3,7,0,48.99229834649762,4,9,1,1
3,8,0,51.08292253659731,4,9,1,1
3,9,0,50.95981552219455,4,9,1,1
4,0,0,48.03641783729383,5,8,0,1
4,1,0,46.74977916449058,5,8,0,1
4,2,0,47.4772867376223,5,8,0,1
4,3,0,46.32475489429404,5,8,0,1
4,4,0,48.19291666382919,5,8,0,1
4,5,0,50.00861149365352,5,8,0,1
4,6,0,47.79839848585595,5,8,0,1
4,7,0,46.43018317972972,5,8,0,1
4,8,0,45.4125875331154,5,8,0,1
4,9,0,48.52096986233089,5,8,0,1
5,0,0,50.98828632663356,4,5,0,1
5,1,0,47.34038913919811,4,5,0,1
5,2,0,51.62300626958508,4,5,0,1
5,3,0,48.379295471238215,4,5,0,1
5,4,0,50.17662120408177,4,5,0,1
5,5,0,51.55525314725605,4,5,0,1
5,6,0,49.95683808117696,4,5,0,1
5,7,0,47.62186879752916,4,5,0,1
5,8,0,50.2988241663878,4,5,0,1
5,9,0,49.95794354385585,4,5,0,1
6,0,0,53.65626205060294,4,10,0,0
6,1,0,49.83233590929426,4,10,0,0
6,2,1,58.210386083426,4,10,0,0
6,3,1,54.92367518899072,4,10,0,0
6,4,1,56.80551071987236,4,10,0,0
6,5,1,56.49951360438583,4,10,0,0
6,6,1,57.405773758437775,4,10,0,0
6,7,1,56.322037683521096,4,10,0,0
6,8,1,54.72663276338405,4,10,0,0
6,9,1,55.51163779896227,4,10,0,0
7,0,0,47.85623676088117,2,10,1,0
7,1,0,46.18835830074696,2,10,1,0
7,2,0,49.87196365935441,2,10,1,0
7,3,0,47.544967373902345,2,10,1,0
7,4,0,49.65178971534497,2,10,1,0
7,5,0,51.999468233406,2,10,1,0
7,6,0,49.10212260620318,2,10,1,0
7,7,0,49.179923820436855,2,10,1,0
7,8,0,49.02834304595019,2,10,1,0
7,9,1,53.796518895504974,2,10,1,0
8,0,0,51.194156192717706,6,12,0,1
8,1,0,49.481468346264805,6,12,0,1
8,2,0,52.84689282894006,6,12,0,1
8,3,0,48.984691728122286,6,12,0,1
8,4,0,51.511384016323696,6,12,0,1
8,5,0,51.31579524380464,6,12,0,1
8,6,0,50.64307000343563,6,12,0,1
8,7,0,46.49230819856689,6,12,0,1
8,8,0,50.87651296827819,6,12,0,1
8,9,0,49.39625242118952,6,12,0,1
9,0,0,51.43454307431097,5,9,0,1
9,1,0,50.58477201101552,5,9,0,1
9,2,0,52.11414594368085,5,9,0,1
9,3,0,49.10645743588283,5,9,0,1
9,4,0,52.84223239135743,5,9,0,1
9,5,0,52.57770826571953,5,9,0,1
9,6,0,53.35049321067867,5,9,0,1
9,7,0,50.06827041603695,5,9,0,1
9,8,0,50.91743754920255,5,9,0,1
9,9,0,50.72618154376203,5,9,0,1
10,0,0,51.82332224047518,4,7,0,0
10,1,0,50.06473409262273,4,7,0,0
10,2,0,50.97723852382807,4,7,0,0
10,3,0,48.65616346390544,4,7,0,0
10,4,0,49.39470268444912,4,7,0,0
10,5,0,51.00404359933022,4,7,0,0
10,6,1,56.13441116389964,4,7,0,0
10,7,1,52.68321021789579,4,7,0,0
10,8,1,56.04103889655194,4,7,0,0
10,9,1,56.57648533690292,4,7,0,0
11,0,0,48.29359484780674,3,9,1,1
11,1,0,47.74706412600413,3,9,1,1
11,2,0,49.34359905445548,3,9,1,1
11,3,0,49.45462518787391,3,9,1,1
11,4,0,49.27066911656461,3,9,1,1
11,5,0,48.51616413926909,3,9,1,1
11,6,0,49.30328701012952,3,9,1,1
11,7,0,43.94162060009501,3,9,1,1
11,8,0,46.85749648999588,3,9,1,1
11,9,0,49.016601317225344,3,9,1,1
12,0,0,50.166614823711015,5,11,0,1
12,1,0,48.78175159335458,5,11,0,1
12,2,0,51.761155082889736,5,11,0,1
12,3,0,51.36909931796103,5,11,0,1
12,4,0,50.2762445441286,5,11,0,1
12,5,0,51.19955075811272,5,11,0,1
12,6,0,52.81173966015287,5,11,0,1
12,7,0,50.10147948759731,5,11,0,1
12,8,0,49.87028311168803,5,11,0,1
12,9,0,51.67038227159994,5,11,0,1
13,0,0,51.58436005863928,3,3,1,0
13,1,0,50.67196662264757,3,3,1,0
13,2,0,52.0182303342262,3,3,1,0
13,3,0,49.882758823836966,3,3,1,0
13,4,1,56.94562003025519,3,3,1,0
13,5,1,57.8426400629442,3,3,1,0
13,6,1,57.82046425848261,3,3,1,0
13,7,1,57.82715448705316,3,3,1,0
13,8,1,54.01653327205013,3,3,1,0
13,9,1,57.0202101533993,3,3,1,0
14,0,0,51.612933622951005,3,7,1,1
14,1,0,48.03569721484171,3,7,1,1
14,2,0,50.12093847222309,3,7,1,1
14,3,0,48.80501678381143,3,7,1,1
14,4,0,48.58517894199879,3,7,1,1
14,5,0,49.76560380562893,3,7,1,1
14,6,0,50.5969316645433,3,7,1,1
14,7,0,47.85802481395122,3,7,1,1
14,8,0,48.30667452478904,3,7,1,1
14,9,0,49.57826434320018,3,7,1,1
15,0,0,51.67664915823799,1,7,1,1
15,1,0,49.18110020525386,1,7,1,1
15,2,0,52.97641160477107,1,7,1,1
15,3,0,48.747191858421935,1,7,1,1
15,4,0,50.72984185316495,1,7,1,1
15,5,0,53.0703832876773,1,7,1,1
15,6,0,50.863028202905554,1,7,1,1
15,7,0,47.82641364617422,1,7,1,1
15,8,0,52.07261220459444,1,7,1,1
15,9,1,57.73592648180502,1,7,1,1
16,0,0,51.18925915893579,2,7,1,1
16,1,0,47.45996825547579,2,7,1,1
16,2,0,50.93992770675857,2,7,1,1
16,3,0,48.54103310974343,2,7,1,1
16,4,1,56.410555611014566,2,7,1,1
16,5,1,56.03526864204878,2,7,1,1
16,6,1,58.47782299206962,2,7,1,1
16,7,1,54.26296910778868,2,7,1,1
16,8,1,56.27831902979088,2,7,1,1
16,9,1,58.10462265541212,2,7,1,1
17,0,0,51.18128527719478,1,8,1,1
17,1,1,53.62476578221612,1,8,1,1
17,2,1,56.65794309233428,1,8,1,1
17,3,1,55.180760706984586,1,8,1,1
17,4,1,55.951872890129714,1,8,1,1
17,5,1,57.83620645012092,1,8,1,1
17,6,1,58.054821721052186,1,8,1,1
17,7,1,55.18162047810066,1,8,1,1
17,8,1,56.96651660493235,1,8,1,1
17,9,1,57.31238404336396,1,8,1,1
18,0,0,50.616104780445646,2,2,0,0
18,1,0,48.61989383385198,2,2,0,0
18,2,0,51.78499758753489,2,2,0,0
18,3,0,49.4120862046477,2,2,0,0
18,4,0,48.95653853090036,2,2,0,0
18,5,0,51.92162855820835,2,2,0,0
18,6,0,51.62820883127687,2,2,0,0
18,7,0,48.78891117882048,2,2,0,0
18,8,0,50.28885383339578,2,2,0,0
18,9,0,50.707121531883466,2,2,0,0
19,0,0,49.59358635437164,2,7,0,1
19,1,0,50.35627390717103,2,7,0,1
19,2,0,51.16148034439923,2,7,0,1
19,3,0,48.53624171286038,2,7,0,1
19,4,0,49.59326237279617,2,7,0,1
19,5,0,51.11986116860005,2,7,0,1
19,6,0,47.6466191319774,2,7,0,1
19,7,0,46.923311368191634,2,7,0,1
19,8,0,47.71929350471236,2,7,0,1
19,9,0,48.11911399924698,2,7,0,1
20,0,0,53.723879587517885,1,9,0,1
20,1,0,51.9348938933329,1,9,0,1
20,2,0,52.19208875624655,1,9,0,1
20,3,0,50.23351967016672,1,9,0,1
20,4,0,50.23727638390816,1,9,0,1
20,5,0,53.318048243909615,1,9,0,1
20,6,0,53.99596510968051,1,9,0,1
20,7,0,49.6424207975785,1,9,0,1
20,8,0,50.87006470239113,1,9,0,1
20,9,0,52.08481175732423,1,9,0,1
21,0,0,50.61754841813935,2,9,1,1
21,1,0,47.916176074220246,2,9,1,1
21,2,0,50.88158491289664,2,9,1,1
21,3,0,48.05216316458306,2,9,1,1
21,4,0,50.83015003532841,2,9,1,1
21,5,0,50.15921646876929,2,9,1,1
21,6,0,50.50172557795181,2,9,1,1
21,7,0,46.72556044216139,2,9,1,1
21,8,0,48.35213994260846,2,9,1,1
21,9,1,55.519998373296005,2,9,1,1
22,0,0,51.16370584186822,3,7,1,1
22,1,0,49.47006783585129,3,7,1,1
22,2,0,51.28439458945064,3,7,1,1
22,3,0,47.71497467862841,3,7,1,1
22,4,0,51.37047718955209,3,7,1,1
22,5,1,54.91378807037546,3,7,1,1
22,6,1,53.05493610483608,3,7,1,1
22,7,1,54.15871019311648,3,7,1,1
22,8,1,53.99334312921425,3,7,1,1
22,9,1,55.19525579938765,3,7,1,1
23,0,0,47.52171537919909,2,11,0,0
23,1,0,45.09783262358714,2,11,0,0
23,2,1,53.41371893326665,2,11,0,0
23,3,1,53.14038165459213,2,11,0,0
23,4,1,52.77108958856736,2,11,0,0
23,5,1,54.74578150688464,2,11,0,0
23,6,1,53.38487762199629,2,11,0,0
23,7,1,52.050562799037415,2,11,0,0
23,8,1,51.93155339800999,2,11,0,0
23,9,1,54.08903531631295,2,11,0,0
24,0,0,49.429566786007,1,5,1,0
24,1,0,50.030529716769735,1,5,1,0
24,2,0,49.49338915596785,1,5,1,0
24,3,0,46.28236933375708,1,5,1,0
24,4,0,48.45968015051969,1,5,1,0
24,5,0,48.79836957892232,1,5,1,0
24,6,0,50.394546780956006,1,5,1,0
24,7,0,47.66749651585442,1,5,1,0
24,8,0,47.02912473386152,1,5,1,0
24,9,0,47.82198241528075,1,5,1,0
25,0,0,51.31646327775879,6,11,1,1
25,1,0,48.31650764184059,6,11,1,1
25,2,0,51.62791422814365,6,11,1,1
25,3,0,47.44477588000349,6,11,1,1
25,4,0,49.35910103127591,6,11,1,1
25,5,0,50.66748906878747,6,11,1,1
25,6,0,49.6566558342383,6,11,1,1
25,7,0,48.93199190508879,6,11,1,1
25,8,0,51.75982184670772,6,11,1,1
25,9,0,49.25060450755152,6,11,1,1
26,0,0,53.09774521356915,4,10,0,1
26,1,0,51.34923890342673,4,10,0,1
26,2,0,50.79940443523934,4,10,0,1
26,3,0,49.13194420298778,4,10,0,1
26,4,0,50.91419966573369,4,10,0,1
26,5,0,50.93143116740371,4,10,0,1
26,6,0,52.69988541471361,4,10,0,1
26,7,0,48.48746144662584,4,10,0,1
26,8,0,50.096237812725576,4,10,0,1
26,9,0,51.65730968012691,4,10,0,1
27,0,0,51.08263239234036,2,9,0,1
27,1,0,46.84560384117817,2,9,0,1
27,2,0,49.726280358898144,2,9,0,1
27,3,0,46.52263050090799,2,9,0,1
27,4,0,49.93880036580432,2,9,0,1
27,5,0,50.38453309950388,2,9,0,1
27,6,0,49.9754185453056,2,9,0,1
27,7,0,45.982476635776514,2,9,0,1
27,8,0,49.45129257194308,2,9,0,1
27,9,0,48.3528122509485,2,9,0,1
28,0,0,52.42789650830942,2,11,1,0
28,1,0,49.40601297976218,2,11,1,0
28,2,0,50.22414884180531,2,11,1,0
28,3,1,55.99204414549671,2,11,1,0
28,4,1,55.17581039273835,2,11,1,0
28,5,1,55.22350782637573,2,11,1,0
28,6,1,56.09455387041852,2,11,1,0
28,7,1,52.617822945427655,2,11,1,0
28,8,1,54.22704576460968,2,11,1,0
28,9,1,57.18062564273579,2,11,1,0
29,0,0,50.362043423548286,2,8,1,0
29,1,0,48.48309854346497,2,8,1,0
29,2,0,51.137737461762825,2,8,1,0
29,3,0,52.29668237038285,2,8,1,0
29,4,0,50.13896127666967,2,8,1,0
29,5,0,51.57217144553268,2,8,1,0
29,6,0,52.00972091833384,2,8,1,0
29,7,0,50.81713787828013,2,8,1,0
29,8,0,47.78355476196106,2,8,1,0
29,9,0,50.27902003995314,2,8,1,0
30,0,0,49.499993120720255,3,9,1,1
30,1,1,54.66159126379376,3,9,1,1
30,2,1,54.357745256572045,3,9,1,1
30,3,1,51.89996123881192,3,9,1,1
30,4,1,55.385104412971536,3,9,1,1
30,5,1,57.61769380219534,3,9,1,1
30,6,1,56.765184802925496,3,9,1,1
30,7,1,53.54020480511827,3,9,1,1
30,8,1,53.54400531398598,3,9,1,1
