age,education_years,gender,union_membership,job_training,job_satisfaction,annual_income
29,15,1,0,1,62.76203519786831,229.66423230234247
25,6,1,0,1,43.33023792199455,178.15224330564482
34,22,1,0,1,79.75346883403729,280.57863861618296
38,12,0,1,1,71.18818635960358,255.4151114369016
17,16,1,0,1,46.60130815670103,183.9328374533257
43,24,1,0,1,94.90314607414535,322.43916890624223
37,14,0,1,1,71.25473006736529,255.96149042383695
40,19,0,0,1,80.73163563949794,284.4115246653943
30,28,0,1,1,82.46069725555141,285.0375191740599
7,19,1,0,1,37.166510058244405,154.70151635416605
48,12,0,0,1,83.4859923435729,290.41832633497165
24,20,1,1,1,62.97807296380208,230.7689510434441
21,21,0,1,1,59.563304472654586,222.4846907970528
28,36,0,1,1,90.54014634593456,307.13816646749177
34,11,0,0,1,63.07222524860822,231.37154594008615
31,25,1,1,1,79.82878321793117,279.4809215701864
12,17,1,0,1,40.29952384995158,166.2470162101989
19,22,1,0,1,59.75042485902376,220.5700046297879
38,11,0,0,1,67.09722309772576,243.79038526869724
25,20,0,1,1,62.79116624235724,231.3022618874194
31,18,1,1,1,70.20164781706424,252.01388329569497
58,27,1,1,1,118.24626706399278,391.80453025650354
12,30,0,1,1,61.64463223756854,225.4106528657824
42,21,0,1,1,85.25603389108176,298.8789363604558
22,24,0,1,1,65.98992674488102,239.04093707501252
35,25,0,1,1,84.47895759786144,293.8324193788789
35,14,0,1,1,69.26852152271192,251.1597100321201
26,14,1,0,1,59.7438321837206,222.04135188117417
35,8,0,0,1,60.39314468782935,224.32022702885263
34,19,1,0,1,75.66708384931421,269.6055721659551
38,10,0,0,1,64.83566156168382,240.9395704495933
26,17,1,0,1,61.32630995508567,228.74075735246552
27,28,0,1,1,77.56379424362481,269.1818207404024
30,3,1,0,1,47.69032964910679,190.5995725998681
35,21,1,0,1,78.32321354403827,275.61472318905857
18,15,1,0,1,46.79924362840772,185.842611263972
34,16,1,1,1,72.5749563613976,259.26388794544425
27,17,0,0,1,61.42713677592872,226.4579758161749
49,17,1,0,1,91.69323662151956,318.8208800071588
33,17,0,0,1,70.87065004661169,250.12435728781324
