individual_age,income_level,gender,rural_residence,job_training_program,job_satisfaction_level,post_program_income
29,15,1,1,1,51.00486598168577,195.65160879123584
34,15,1,1,1,58.65136847735217,212.56521372180805
39,14,0,1,1,61.99577080892093,222.4059914290136
28,22,0,0,1,54.69663265291607,207.5417322086618
24,24,0,1,1,52.40768264088727,200.34608728118417
27,20,0,1,1,50.61694268232264,196.13796043613613
28,26,1,0,1,57.21414065865277,218.94654019975
29,26,1,1,1,61.825687585594565,226.32516391651765
40,24,1,1,1,73.81229954031879,254.65791706456477
27,23,0,0,1,53.63155528887106,204.15664564652863
22,18,0,0,1,44.04425919471921,172.11750198003742
40,17,1,0,1,66.28284499802659,231.9790090955968
31,22,0,1,1,59.25455840419215,216.83533226303547
28,13,0,1,1,48.0875068146421,182.91056653423124
28,19,0,0,1,52.41190506443089,197.75879458324525
49,16,0,1,1,78.7943812480379,261.8945294782463
29,18,1,1,1,53.31935553545088,201.1630323422842
16,15,0,0,1,33.13249727635233,145.71435435407798
31,17,0,1,1,54.57192405001702,202.45183977980432
28,15,1,0,1,49.62081778363896,189.9863206384365
16,18,1,0,1,36.074787543068624,156.61112599606014
24,13,0,1,1,43.36668741146846,171.418911657344
37,20,1,0,1,65.08879286235356,232.6546704794308
35,27,1,1,1,67.54493610889203,243.6832671871435
27,19,1,1,1,52.112997564238185,198.7928868133641
34,8,0,1,1,52.02270048469724,187.8078659871356
19,23,1,1,1,45.7463245393906,183.6399479939485
23,22,1,0,1,49.16346935093394,191.1762591499863
34,28,1,1,1,67.74232237562948,245.3876323718847
30,22,0,1,1,56.48270992750649,215.3463144671387
20,11,0,1,1,36.759295789997445,152.7135760712084
45,12,1,0,1,67.42379290298103,234.35724477908977
43,25,0,1,1,75.39675510927952,262.23109873472214
30,23,1,0,1,58.63029912648742,218.42517039982656
32,22,0,1,1,60.32468635135426,219.8852946231632
35,10,0,0,1,53.43642891856405,195.57514828442535
28,20,0,1,1,52.74144542795072,197.80876382366424
43,16,0,0,1,68.3033830586691,238.65482330441344
30,15,1,1,1,51.57380271733914,196.1671340371392
27,33,0,1,1,63.614962062932975,235.41656115514627
32,16,1,1,1,55.76276424768861,208.1370830543084
34,14,1,1,1,56.13795511371855,207.1546579147669
13,16,1,1,1,34.24159113270941,151.9085595451204
29,21,1,0,1,55.956871733996586,211.1556684918141
33,25,1,0,1,64.0421495057382,231.677263536884
20,18,1,0,1,41.21474106723876,170.0011872738885
22,21,1,0,1,47.61665942214539,187.4815280135109
35,19,1,0,1,61.738348181468965,221.12451568404487
17,18,0,1,1,38.0107545351567,159.79927798795083
28,16,1,0,1,50.36975060263429,191.21580888233643
33,30,1,0,1,67.71655320025869,246.22489577718613
13,19,1,1,1,33.37702158296256,149.94240738399048
36,31,0,0,1,71.63469221536565,256.8196341040443
34,23,0,1,1,63.04911363547307,231.60928630113173
17,23,1,0,1,41.857635068570055,174.40317133700322
31,25,1,1,1,62.63354989409052,230.74233168269225
33,20,1,1,1,60.547049770616624,219.4544133810953
29,31,0,1,1,62.49663385209065,233.60293497746832
18,17,0,1,1,38.3330927337439,163.3038499013403
41,21,1,0,1,68.34354534960718,242.45480891256867
18,13,1,1,1,36.96113226112052,154.47115646465284
26,7,0,1,1,40.440391501657615,158.4478369362569
30,23,1,0,1,59.1491210832184,216.3954549880152
37,24,1,1,1,69.17968439290003,245.216159111558
23,23,1,1,1,50.83613452733954,195.04179303301103
29,31,1,0,1,64.90383307360665,237.3818895998912
20,25,0,0,1,45.38445916925701,185.02314486862025
28,16,1,1,1,52.07435075937527,195.6330955801882
24,12,0,0,1,41.82654960702303,163.4576382885226
