student_age,parent_education_level,low_income_status,private_tutoring,online_program_enrollment,study_hours_per_week,student_performance_index
30,13,0,0,1,56.3113985516614,208.2511837908005
32,11,1,1,1,55.12403029898818,211.5337188910336
30,11,0,1,1,52.63039181185026,200.0100872720819
32,18,0,0,1,63.69552950294999,229.0632628956249
29,24,0,1,1,67.95108984778705,241.03226235904705
31,24,1,1,1,70.39142536689265,251.3079296442673
35,26,1,1,1,79.51927787806704,274.7553975115113
27,18,1,1,1,59.0890618288265,217.584368847669
42,15,1,0,1,71.9947638780475,259.67965827515854
37,14,1,1,1,66.08781445933741,240.2699239691061
22,19,1,1,1,54.18584173609448,204.1711980332375
25,22,1,0,1,59.89645152300746,217.95647395937425
32,21,0,1,1,69.08658631836349,242.81712710445933
28,16,1,1,1,55.97712606358997,210.21283053703695
31,23,1,1,1,70.04944968656672,250.1673299891664
20,22,0,0,1,54.23408748012117,200.61561791155503
31,28,0,1,1,75.81332543204334,262.8978509854722
22,20,1,1,1,55.55437743730495,204.8902050669691
34,15,0,1,1,59.83032233278316,224.6729582010497
36,15,1,0,1,65.43909236032354,237.62840884963225
40,28,1,1,1,87.0213853785338,299.7947663128767
27,27,1,1,1,70.91021976843722,250.485052995623
23,11,0,0,1,45.12228526016132,175.38298226100744
40,13,1,1,1,67.1524150589001,243.82071823562205
36,18,1,1,1,68.99308968406127,247.1117923964125
38,16,1,1,1,68.09507654115727,248.18783463848612
24,25,1,1,1,65.02440213960779,229.89494945941735
37,26,1,1,1,82.11015111943033,282.92812175659867
34,27,1,1,1,80.69317791420065,276.84664913861707
23,28,0,1,1,66.89817956744821,235.529293925896
37,38,1,0,1,97.5853568515734,322.4303174986665
26,19,1,0,1,57.82519811133175,217.25171313350543
41,19,1,1,1,78.05765097207258,273.442030543736
33,15,1,1,1,61.70211033971237,228.1301756442821
28,27,1,1,1,72.95215155408576,254.78165292600275
13,25,0,1,1,51.74243816466685,194.30512430759185
42,24,1,1,1,84.2416017404742,292.5913537996758
14,38,0,1,1,69.84818310701739,240.22428518141476
30,17,1,1,1,61.26971027357777,228.2490797514845
31,30,1,0,1,80.67122760209469,278.810776566927
29,13,1,0,1,53.49730627133688,204.43201777456144
25,15,0,0,1,49.579494207744574,192.3129641588588
16,16,0,1,1,41.83716363609695,166.66338443072073
33,28,1,1,1,80.83621582783957,277.23275140972027
20,16,0,0,1,46.51108567839999,180.26564720780408
30,18,1,0,1,60.05003490704116,224.66840683322533
38,21,1,1,1,76.20805090257714,267.3596980765396
37,24,0,1,1,77.333012913708,270.6622800435681
33,29,1,1,1,81.3161912096515,276.9095289175217
39,13,1,0,1,64.25023263116232,239.11671956519208
24,21,1,0,1,57.29086625715447,212.6692655609768
20,19,1,1,1,53.99594678951315,202.0758105962927
31,21,0,1,1,65.0181201458947,236.21252021236947
23,19,1,1,1,58.09479793017397,212.80303148005845
25,26,1,1,1,66.06929557164095,238.31610390990488
30,27,1,1,1,74.35169793384387,260.6220084408318
28,14,1,0,1,54.73205887011208,206.2720944133117
33,26,1,1,1,76.47602243847238,266.6829083340793
29,19,1,0,1,59.00006197331758,220.2018145221537
29,23,0,0,1,65.55218077810669,236.57164947857163
33,27,1,0,1,74.85471510751115,263.2803403220866
47,19,1,0,1,80.37219231037454,284.58424777098344
36,26,1,0,1,79.5811609805364,276.8594712658088
29,24,1,1,1,68.30418767155703,243.2546215750502
28,26,1,1,1,71.82766007848346,251.38346985625955
37,15,0,0,1,65.48705375411738,237.03941926103244
37,24,1,1,1,78.54970209759455,275.173823057759
21,23,1,1,1,58.56048984032222,214.7572270434601
42,27,0,0,1,84.9693313993109,292.87691690701644
32,23,1,1,1,73.04225334563992,257.6238679940975
41,15,0,0,1,70.21044631506592,252.4323796169876
43,19,1,0,1,77.31722067096283,276.44752669512525
33,23,0,1,1,71.29014669723726,251.34333454983576
38,14,0,1,1,65.96217561749435,241.4362076321353
28,28,1,0,1,72.79509666698651,254.54700984015344
25,19,0,1,1,58.656754110898646,211.75236621498604
38,20,1,1,1,74.84947331460597,265.3868612386092
26,16,0,1,1,54.53147434478089,204.68746270121304
29,24,1,1,1,68.84219426666118,242.9717997258753
20,19,0,1,1,49.66639331797252,190.53864146158256
33,20,1,1,1,68.30100634364626,245.3436643723119
