age,income,gender,rural_residence,party_affiliation,policy_exposure,political_engagement_index,voting_rate
29,11,1,0,0,1,41.85014144421651,176.56429850108094
24,27,0,0,0,1,46.025956457483296,193.64996722995656
30,23,0,1,0,1,50.8449481042331,208.98739206603292
35,31,1,1,0,1,62.14862564308845,242.88342673119683
39,27,1,1,1,1,65.48384906095188,251.7702080108361
36,11,1,1,0,1,52.38055049647597,208.759084964731
29,12,0,1,1,1,43.64862906299565,182.1476930171412
30,25,1,1,0,1,53.73601598433292,213.1217278936095
31,9,1,1,0,1,44.42794208246976,183.6532150042779
24,11,0,1,0,1,35.94990713244385,158.9207337150053
26,22,0,1,0,1,44.95861967722424,188.5168184808405
31,20,1,0,1,1,50.471195460387385,204.14509704490052
22,18,1,1,0,1,40.0625173294105,170.8791058262589
23,15,0,1,0,1,38.54721950589693,166.39010201238344
17,23,0,0,1,1,37.50436979036443,164.49754235534974
23,29,0,0,1,1,45.20271736458465,193.95031718552724
23,28,1,1,0,1,46.61782019043018,193.3223445621564
47,18,1,1,0,1,68.67201026726335,255.52038233966329
29,19,1,1,1,1,51.0945427157354,207.0007831307445
40,19,0,0,0,1,57.34901339211343,226.7887745079481
42,17,1,0,0,1,61.0438650599442,232.9591354645416
29,20,0,1,0,1,46.799911037338354,194.99241689421595
28,12,1,1,0,1,42.22392209699984,180.0512948472046
31,23,0,0,0,1,50.7550568951695,206.47204804689005
30,24,1,0,1,1,52.20948042099956,210.7906830913383
27,17,1,1,1,1,46.639771570070046,192.23644583597263
34,18,1,1,1,1,54.2947767000716,216.93433307688565
18,16,0,1,1,1,34.473477178725304,158.2265630026882
24,17,0,1,1,1,40.54989800977569,173.07457560708778
35,18,0,0,1,1,53.80377472688123,215.82203974935533
31,32,0,1,1,1,57.38697008116527,228.97721062732836
27,26,1,1,0,1,48.64492624478604,200.0533347118828
27,26,1,1,1,1,51.715812312808,210.15427732694408
32,29,1,1,1,1,56.55687469712658,229.3008171826422
38,24,0,1,1,1,60.20190506384854,238.9779784775781
26,16,0,0,1,1,43.43929943625614,183.2254009484253
23,19,1,1,0,1,40.753365874810825,174.17609249959523
21,16,1,1,0,1,36.20170406562485,162.25286018062693
20,15,0,1,1,1,36.89775979481966,160.3594373640016
26,18,0,0,0,1,42.14203735268295,177.75752738548084
25,28,0,1,1,1,48.89162450596761,203.58991502866556
26,22,1,0,1,1,46.49566111332453,194.56703443365265
41,10,0,0,1,1,55.93711974659115,218.29566540566543
25,8,1,1,1,1,38.118312691187946,163.30723834217002
28,11,1,1,0,1,43.24454107196152,180.0242072029595
39,27,1,1,0,1,64.79730213974152,248.9957112291539
35,21,1,1,0,1,55.12898812198227,218.61057008630613
26,13,1,1,1,1,41.2379211109985,176.28426588562942
14,24,1,1,1,1,34.90553518596547,158.66136989991574
15,19,1,0,0,1,28.71554423547708,142.38090977859233
11,18,1,0,1,1,27.255975715452475,135.60456683210282
44,18,0,1,1,1,66.53946911949583,251.586779736546
25,22,1,1,1,1,45.58644289243193,191.16792372752903
27,19,1,0,0,1,44.22203983089654,186.6532164528184
28,31,0,1,0,1,52.57191559059821,213.53435144862925
28,17,0,0,0,1,43.68284833391901,186.3195056937252
34,20,0,0,1,1,52.76160121550281,211.11423592832983
29,14,0,0,0,1,43.21756220371476,180.01819721149928
26,23,1,1,1,1,48.71324692391402,200.7036255220133
7,25,1,0,1,1,26.641120824150168,135.5397930222597
32,24,1,1,0,1,54.67675759800736,217.56503106240612
16,26,0,1,1,1,37.22031695660718,166.79419851403807
22,20,0,1,1,1,41.37188462059533,173.5621731550383
41,22,0,0,0,1,61.88254424345703,238.48823072735624
29,8,0,1,0,1,40.75189141541966,173.38595538611548
19,18,1,1,0,1,34.88634423858785,158.49127736539504
33,21,1,1,0,1,54.11477417434677,217.6534619147413
24,19,0,0,1,1,41.37758258615118,179.22492118713572
32,18,1,1,1,1,52.36522018988959,210.37321464245736
39,17,0,1,0,1,56.54996438834048,221.06349964417691
23,23,1,1,1,1,45.18152137348518,187.4845848733624
36,23,1,1,0,1,56.896528576208745,226.71046142015376
27,26,1,1,0,1,48.8362031520021,204.4155800794815
24,17,0,0,1,1,41.38159910371692,174.47735398597317
48,21,1,0,1,1,70.26663563030922,265.545777144621
45,14,1,1,0,1,63.66874490168428,240.1468719614161
30,21,1,1,0,1,49.7764776523314,202.71381397598745
31,9,1,1,0,1,44.1074863988118,185.24439532334952
28,11,1,1,0,1,43.03900640042638,176.60258308559492
22,21,0,1,0,1,38.87391627846024,172.06741093601636
19,17,1,1,1,1,37.38077271635324,166.27302301993063
45,31,0,1,0,1,71.99650596670921,273.0643830769479
32,14,1,1,1,1,51.31235938228075,205.6556437391149
27,8,1,1,1,1,38.73368907705,167.99592538937867
17,21,1,1,1,1,35.974125806740595,162.81862066422886
46,21,1,0,0,1,65.7464677004544,251.5925819807113
25,24,1,1,1,1,48.109107261257336,198.89807434845176
32,31,1,0,0,1,55.59895985482153,225.76840780023733
31,17,1,1,0,1,49.90805846386225,201.02764497660297
22,8,1,1,1,1,35.14167446610012,154.34496701607242
40,15,1,0,0,1,56.45679306297831,221.1797216419756
28,27,0,0,0,1,48.24139822617227,199.7879853578116
25,13,1,0,1,1,39.58474329511239,171.27344687577695
32,22,1,0,1,1,53.81836117525667,216.93082959544697
30,23,0,1,1,1,51.104870646342576,208.56232262238737
16,24,0,1,1,1,37.15339722378423,168.13323107912402
32,16,1,0,1,1,50.78480476706151,202.52965892068391
38,16,1,1,1,1,57.63502058206871,226.80144047238085
23,23,1,1,1,1,45.210400182059935,190.86414196208503
