teacher_age,teacher_experience_years,average_class_size,teacher_gender,rural_location,use_of_teaching_assistants,student_engagement_score,student_performance_score
28,8,7,0,0,1,55.45080357380598,210.2701869930871
44,16,8,1,0,1,88.43969084812902,304.40802812404127
32,16,14,1,1,1,75.43104246042915,268.71253089002005
21,21,14,1,1,1,62.73479747611768,238.23393297774703
35,18,13,0,1,1,81.63429403,287.1346718
8,18,12,0,1,1,40.79516978786626,171.68826107607867
40,25,4,0,1,1,86.51617844870042,301.7814059763707
18,24,13,1,1,1,62.52012882008351,232.88497268258905
26,21,12,0,0,1,67.71219815021945,246.72259128093285
24,15,9,1,1,1,57.86083970183012,219.80635741329644
23,26,2,1,1,1,62.35287862759838,232.45150908985457
18,20,10,1,0,1,55.93474217382315,215.73268890872063
28,33,8,0,1,1,78.84509787,284.2205390161604
32,18,6,0,0,1,69.87622192429322,251.91114364415145
36,18,12,1,1,1,81.61180937357851,285.9538625075061
25,27,9,0,1,1,72.38142731953425,261.81305650018373
28,33,10,0,1,1,82.32301077,290.80383979300444
31,15,12,1,1,1,71.27443083699734,255.04342549931897
33,20,11,1,0,1,77.32328208713167,276.3805886
16,32,11,0,1,1,64.69465730458126,241.95610799695928
26,19,5,1,1,1,63.91260463,231.96429861419733
31,17,7,1,0,1,68.71692875858653,248.29865160071407
30,21,7,1,1,1,71.50678057980393,259.32788968759706
39,11,8,1,1,1,76.68510893563273,269.9284735135964
39,14,7,1,0,1,76.92427216964764,270.4618166254853
8,24,12,1,1,1,46.53131844460218,190.6628391966304
14,20,9,0,1,1,49.02666554,192.82950391593477
29,16,9,0,1,1,67.66638132568904,246.34205857064148
19,12,11,0,1,1,50.68733023281022,196.56759555560143
43,18,11,1,0,1,93.28113651769104,316.2969546
30,21,4,0,1,1,68.24856426391696,248.01911594180228
29,17,6,1,1,1,66.66403822,243.96606216810096
24,26,7,0,0,1,68.11853716,250.01247241475937
22,20,12,0,1,1,63.47638817918053,234.36961087757663
3,23,12,0,0,1,37.52409076242895,162.36527612883103
21,34,9,0,1,1,74.11946370784159,269.91025916108634
31,11,10,1,1,1,67.03703061109152,244.72951021877748
18,28,16,1,0,1,66.29627126027727,245.46343962562696
27,11,8,1,1,1,59.83644589377584,221.22989043372445
28,11,10,1,1,1,62.23244512162746,227.8937641669809
29,24,8,1,1,1,75.45817298650172,267.77942744081616
35,33,12,0,0,1,93.95222129351336,324.25640055039315
17,21,2,0,0,1,49.36681132789785,193.34254591546468
26,29,13,1,0,1,77.78187408398001,279.8403911
37,14,10,1,1,1,77.12199309859571,271.97503162195136
27,23,9,1,0,1,70.90186970401936,255.7285521784709
28,5,7,0,1,1,52.69405573525019,202.3682065419188
35,21,7,1,0,1,79.00617658632181,277.6690635576908
28,16,9,1,0,1,65.71351021390167,239.04736353621436
17,15,2,1,1,1,42.83853692383732,174.8927853962164
24,16,11,1,0,1,60.24828096540936,227.24508170571863
35,23,14,1,1,1,87.14791104973003,304.26641016976333
38,24,16,0,1,1,93.86593292761914,320.9503264
26,15,10,0,0,1,60.379778321491145,224.2586463331676
26,10,13,1,0,1,60.21809191993034,224.35572365322463
23,14,7,1,0,1,55.46420987804503,210.49146259501003
44,16,12,0,1,1,91.77522945128445,312.73954661905844
39,16,8,0,1,1,80.55765242635576,280.5726123876175
21,26,9,1,1,1,64.53210863069498,241.6558580663283
34,22,7,0,0,1,78.77602417295402,273.7361842679505
27,23,7,1,1,1,68.97469134,251.15608064069147
25,21,18,1,1,1,72.7214785,265.056885
25,22,5,1,0,1,63.84774705350204,234.67142086104175
39,31,10,1,0,1,96.92682374185794,333.32628788663084
36,22,7,0,1,1,81.91950255161818,288.70560214360165
33,24,10,1,0,1,82.61114017013229,287.05063100949417
33,19,14,1,1,1,81.17434823184192,283.90102827383026
44,20,13,1,1,1,96.97423352842766,329.85747806804306
29,26,8,1,0,1,75.28201260016394,268.76753934687326
36,20,3,1,0,1,76.90422436532675,272.14018610705125
28,31,7,1,1,1,78.73547566854167,279.63365647510983
24,21,11,1,1,1,65.23767342501596,241.92118719359237
26,10,4,1,1,1,52.81805242214359,202.2514945537325
21,17,5,0,1,1,54.34710372072345,207.1089678546552
39,11,7,0,0,1,73.53560165277098,260.8991559543026
39,28,6,0,0,1,89.81859469674582,311.2022361375936
44,19,9,0,1,1,92.38273852621074,317.4779720357331
40,10,11,0,0,1,78.25558131521262,274.60880692463786
18,10,7,0,1,1,41.91246353712122,171.68565001453143
31,15,9,0,1,1,70.10772263547042,250.19241076685063
23,17,10,0,0,1,58.559733766896194,222.0035896246316
22,19,13,0,1,1,61.03009271447261,227.1608729535864
39,23,14,0,1,1,92.64052717110935,316.7023186574143
30,30,6,1,0,1,79.06010645,281.1607701550678
40,26,1,0,1,1,86.98961691159758,301.45494107379983
29,21,5,0,0,1,68.14977208739887,245.98459544271648
24,33,7,1,1,1,75.47502629196389,272.4315821229336
30,15,7,0,0,1,63.51238921498611,234.44841399050657
37,12,8,1,1,1,74.89485988371648,262.8963396820101
35,16,14,1,1,1,80.70847762296447,280.42322630911985
32,29,9,1,0,1,84.27795509834839,295.29701638638613
24,26,8,0,1,1,69.80367861859109,253.5337104396569
16,22,9,1,1,1,53.91069509597402,208.83425122734388
13,11,6,1,0,1,36.54858330360888,156.44452048332994
35,18,8,1,1,1,76.15249915859712,271.66967690051354
31,29,9,1,0,1,83.84554063,292.0750773677633
26,17,13,0,0,1,64.71875245036185,236.28198511396985
34,24,12,1,1,1,84.05324437091544,295.18603655724183
38,20,11,1,1,1,87.45368317374897,301.8697969293446
15,18,15,0,0,1,52.64938253901063,204.40936669190603
31,22,9,0,1,1,77.07195984766328,272.8553091015984
30,7,14,0,0,1,64.42527058861064,233.34280994654745
25,23,7,0,0,1,64.34384176,236.63516417547496
32,23,6,0,1,1,76.18725815581632,273.119452
31,23,11,0,0,1,77.723683,273.71684277151496
38,26,9,0,1,1,90.10844765239644,312.5211444039396
32,17,8,0,0,1,69.38710074953788,251.85164977141716
35,24,9,1,1,1,85.77266226337414,297.78477022354616
29,20,7,1,1,1,69.70314945,251.41246837404304
27,27,7,0,0,1,72.08860569805653,261.3897382079281
36,25,9,0,0,1,83.62809703743845,293.5274099658537
20,17,11,0,1,1,55.98804439303233,212.7143328893464
30,14,7,0,0,1,64.23004086953905,234.77581203935813
27,20,8,0,1,1,65.81711485308979,243.55261483515537
34,21,8,0,1,1,78.81332297865154,276.9365773435732
45,22,7,0,0,1,94.26569878511263,319.10871154740084
21,24,8,0,0,1,61.85959382466263,232.4796539883443
24,9,10,1,1,1,53.96589554956742,204.0681456278862
24,26,9,1,1,1,69.72181690059372,253.1391388283032
17,6,8,0,0,1,38.50591050271218,158.69781920532034
39,8,13,0,0,1,76.77913200461732,268.5409574642292
28,14,2,1,0,1,58.150318881269854,217.3457903395828
29,24,9,1,1,1,75.17891609808716,270.9923955685099
37,21,11,1,0,1,84.70279675367043,293.22870927001253
22,36,14,1,0,1,79.13308375,283.5048531948736
27,26,10,0,0,1,73.80497465999728,264.66139249663456
40,24,9,1,0,1,91.73331898642388,313.59412734006264
33,34,12,1,0,1,93.41028169,320.71268313989293
34,21,3,1,1,1,77.66841472016064,272.3470356
29,21,12,1,1,1,73.62640980448859,263.6039850579281
36,22,8,0,1,1,82.26110806728963,289.6890803037309
40,26,3,0,0,1,85.58845627092053,300.0337776066677
34,16,6,1,1,1,72.16200060827063,257.6900747428939
46,24,14,0,0,1,101.87941213528852,347.0020225
