participant_age,hours_of_screen_time,number_of_friends,smoking_status,physical_activity_status,social_media_usage,self_esteem_score,mental_health_score
24,12,8,0,1,1,43.24707318414776,193.8519789683061
18,25,4,0,1,1,50.96252123013512,214.84936646878975
47,31,13,0,1,1,88.8122383238404,342.847337345707
23,25,14,1,1,1,59.72591030229531,252.9485644816188
32,28,13,0,1,1,68.8948853677877,281.9541953145946
27,15,10,1,1,1,49.172440091223415,216.13811505740068
45,19,12,1,1,1,70.98794615676194,290.40996903504794
32,16,10,1,0,1,53.5635353020172,233.44661058919857
33,25,7,1,1,1,65.28163657996457,266.3181465985255
37,25,11,0,1,1,69.83488630450172,284.7466602637415
27,5,9,1,0,1,36.167917264703135,176.16978365334245
36,27,16,1,1,1,75.09672698817096,301.80713962240304
13,38,11,1,1,1,62.84317016243815,259.34376645752855
28,28,6,1,1,1,63.354295280998485,257.6788217201964
35,16,13,1,1,1,60.76512129295405,252.4454019074098
22,22,12,1,1,1,57.36159928072707,237.56515572415927
34,25,10,1,1,1,65.71427710131489,269.68732851472384
39,12,9,0,1,1,55.02232600188266,237.9631411524688
34,18,9,0,0,1,57.26597333186693,239.46136591355616
14,23,14,0,1,1,48.28883113490983,208.72710158875677
33,18,6,1,1,1,57.06087582797275,238.7773514761225
45,25,7,1,1,1,76.07454082648059,301.9369704384424
37,25,12,0,0,1,69.1206044766176,283.25289200892195
21,20,7,0,1,1,48.81056809658735,210.20543685291904
31,23,7,1,1,1,60.16022510960832,249.2878524079252
32,22,10,0,1,1,62.27050094967694,257.9036674974786
32,40,7,0,1,1,77.21996812727866,307.9281762025435
27,20,10,1,0,1,55.70427668016905,234.1591866141036
36,19,13,1,1,1,64.02931906967385,267.1538220250315
30,19,9,0,1,1,56.79305163535472,238.5717054375223
29,25,10,1,0,1,61.14814202553589,252.67138165119093
31,20,12,1,1,1,60.28080476600713,252.04620391529613
8,24,8,0,0,1,38.06538866030344,176.21756747452548
33,18,16,1,1,1,63.82103037912296,264.1938936408968
36,18,12,1,1,1,61.3637984407238,258.17353755833733
