defendant_age,previous_convictions,charge_severity,legal_representation,diversion_program_enrollment,sentencing_length,recidivism_within_five_years
21,19,0,0,1,39.12231555191206,176.4201129924456
37,36,0,0,1,65.23779629379877,269.9692417150882
32,22,1,0,1,54.41607903327705,226.5561246702555
29,26,1,1,1,53.34862570863925,224.90345872954575
24,6,0,1,1,36.82332835361643,161.09058773292412
27,27,1,1,1,51.244954174293554,218.9726844824885
39,12,0,0,1,56.93819988652562,225.89502351770625
33,18,1,0,1,55.82776841121781,225.7103135282388
19,26,1,1,1,42.23502445750946,192.27466286342496
30,15,0,0,1,47.589466159076736,201.5943935782641
28,32,0,1,1,55.86721935446644,238.7159588019852
36,14,1,1,1,56.87035671412576,225.57671200585872
43,21,0,0,1,67.9319940656885,264.0716762521532
34,7,1,1,1,49.17021224779606,198.98831412964995
24,17,0,0,1,41.83377971850593,180.66128432435497
23,21,0,1,1,43.2500682081298,192.33387844875452
38,20,1,1,1,63.08138553720306,247.95549429550908
34,17,0,1,1,56.00928480075246,226.42701185926205
37,27,1,1,1,65.5645460096648,261.37801102049514
33,14,0,1,1,52.30560654982161,212.2095246161753
26,20,1,1,1,47.92074808609525,204.7074290660348
34,18,1,0,1,52.90529342659656,221.75498685729116
36,10,1,0,1,54.049737960032346,215.02223548473137
35,22,1,0,1,58.58935825863147,238.0948138484262
32,17,1,1,1,52.63050064956602,216.33562986774663
13,27,0,1,1,34.49438127755902,171.03813241618442
39,20,0,1,1,64.11180443303111,252.51396356374076
37,21,0,0,1,60.23263052724116,242.3340637867975
17,16,0,1,1,32.313708991524926,157.70273449142425
32,14,1,1,1,51.81124026227352,209.3059236862276
56,17,0,0,1,82.95960538523074,305.3622851001746
40,20,0,1,1,64.19260132155938,255.15779308370787
36,28,0,0,1,60.66322774145446,248.845238575684
17,23,0,0,1,37.43667661371977,173.70500882652857
30,17,0,0,1,47.17663623467125,203.8173389863607
32,20,0,0,1,52.200067570500686,218.3229992422051
28,10,1,0,1,43.65640990807324,185.0258279012334
36,15,1,1,1,58.3473298591671,230.13491140887945
32,22,1,1,1,56.38519557144007,231.33485430845477
23,30,0,1,1,46.9961118096826,209.5470972859781
35,36,0,1,1,65.3541665503888,266.9316978504472
27,23,1,0,1,49.85848942401896,211.83050283003368
27,23,1,0,1,49.87803014015366,210.03817952718356
24,17,1,0,1,42.27922682628801,185.51827540132905
33,5,1,0,1,45.64672318926144,187.360599247454
37,16,0,1,1,58.74336111472551,232.616089702241
14,35,1,1,1,39.22928698482727,188.97658958094632
29,22,0,0,1,48.49483821477765,208.18005526059284
20,21,1,1,1,40.88446848633502,184.34461349436805
37,21,0,0,1,59.76749006544939,239.18149934956728
33,22,1,0,1,54.8901298160383,228.58322568731637
18,6,1,1,1,27.78570783837096,137.0419388257007
23,14,1,1,1,39.622807535513374,176.95722391982378
28,13,1,1,1,46.818491408774136,194.92380666240533
15,18,1,0,1,31.07767733740532,152.1936508935979
32,20,1,0,1,53.725420081801815,221.35835947471568
18,28,0,1,1,38.60491912915739,184.33427111089432
32,22,0,1,1,55.89054560537491,230.6647455694531
33,24,0,0,1,58.59948898991637,237.4539168930288
11,24,0,1,1,30.28886651264281,156.6626903814473
23,5,1,0,1,33.32292389360273,153.47441081290657
32,15,0,1,1,50.50930229658439,209.46721177964196
39,25,1,1,1,66.59068052159824,260.82921329962386
16,29,0,0,1,36.68570309097629,177.6699764458477
23,21,1,1,1,43.838254659598775,191.36702823922516
23,13,1,0,1,40.2256680000171,173.47214840870896
15,24,1,1,1,37.197493059101625,174.68454010429988
20,21,1,0,1,38.02348933150408,179.1316692248378
35,12,0,1,1,53.94062347095154,214.80047766255817
38,25,0,1,1,65.38258717090206,259.46585600719925
20,15,1,0,1,37.96136659418116,168.94456194521743
22,25,1,1,1,45.16043411166582,199.4468335638058
25,23,0,0,1,46.24579414631824,201.09197049480747
20,27,1,0,1,42.23131988562501,193.11354614148203
34,27,0,0,1,57.36709621705762,237.9347165027065
34,19,0,0,1,54.73601877752655,224.39072020154555
41,25,0,1,1,66.89216714898916,264.276570971673
22,31,0,1,1,47.82965857640935,212.08166397792488
27,15,0,0,1,42.35054925655497,185.2423390915134
15,19,1,0,1,32.08041923201799,153.8757704302104
26,16,1,1,1,44.07048620947376,194.0455282267885
27,19,0,0,1,45.88931827399328,198.2396452985398
18,24,1,1,1,37.5849695129893,178.83331715277708
47,16,0,1,1,70.65986466931307,269.56208554539137
26,17,1,1,1,46.40150573357554,197.1617781863016
33,20,1,0,1,55.527179897039446,227.59151087095196
45,24,1,1,1,75.17625217442269,283.3970491441132
34,18,1,1,1,58.8254538735164,233.388978011132
31,20,1,1,1,54.20334712516166,221.6596606357088
18,23,0,1,1,37.94648201948618,179.85095473465023
40,15,0,1,1,62.2071838029692,242.13507369603067
33,27,1,1,1,60.399212342006486,245.55535586008665
43,17,1,0,1,67.0288676190282,259.776646822182
30,26,0,1,1,54.232073436957485,230.24021054414996
17,30,1,1,1,40.297407457424015,190.94153051914213
33,19,1,0,1,56.32611138044354,224.268741502461
34,21,0,1,1,57.88040779853216,234.02293461519395
26,21,1,0,1,46.12728587610736,199.67305875590785
36,23,1,0,1,61.00275364839428,244.543344230598
28,11,0,0,1,44.847865445234135,189.7101023563145
31,31,0,1,1,58.29740858549626,242.50323292639956
38,8,0,1,1,54.18816633336199,214.82473982991277
17,23,1,0,1,36.76353891841667,172.46156400072903
40,18,1,0,1,63.99655160159509,246.6082377909742
30,15,0,1,1,48.20848898835264,205.23592937567568
29,19,1,0,1,48.13893699092761,205.17629771015064
29,12,1,0,1,45.53632295519867,191.1125839500839
35,18,1,0,1,54.838206523609735,225.06165758681155
44,21,0,1,1,69.10553485505666,268.65239073699604
29,23,1,0,1,53.488450858911015,219.81158453520143
33,21,1,1,1,55.94501688453522,231.8366009073547
33,22,0,1,1,56.04733904720965,229.4010617784693
32,10,1,0,1,50.08882155845989,202.8241755549153
39,24,1,1,1,65.86912989570348,261.3484456677985
27,16,1,1,1,46.044156091520456,196.4520658584357
38,25,1,1,1,66.4904653541112,260.08447458492265
25,36,1,0,1,52.701774991376766,231.8542412002805
35,24,0,1,1,57.341257347883065,237.70972373416447
13,20,1,1,1,31.952707195888195,158.47093079946848
26,23,1,1,1,50.14498557656546,212.4834872031116
23,14,1,0,1,41.33385769415566,177.89013268777651
27,14,1,1,1,44.67019974969565,191.4939295214548
22,12,0,1,1,37.54602471476919,164.1369583207211
19,20,1,1,1,39.40639807099723,177.41430578682602
42,25,0,1,1,70.04851514552513,274.00133810180847
27,14,0,1,1,45.71330900827873,191.945448091384
21,12,1,1,1,38.9575148254413,170.5790069223558
25,16,1,1,1,43.62185666586253,186.13429482167297
44,20,0,0,1,69.57342376607225,267.42014842808885
26,21,1,1,1,47.80990075454536,205.83662987026665
34,25,0,1,1,60.20853343372578,244.69127951156904
29,33,0,1,1,57.02138699926142,241.58720761550708
30,28,0,0,1,53.15400134082428,226.03681345830225
45,26,0,1,1,72.73069895439403,282.59118997361145
40,22,0,0,1,63.59026151103895,255.01256146483647
35,13,0,1,1,53.2058542431835,216.8215395197662
32,15,1,1,1,52.45083037077217,213.3899390709476
33,19,0,0,1,55.12114307521284,222.2408871773874
32,20,0,1,1,54.30869200408258,223.20623707980351
41,11,0,1,1,59.806478195858205,235.48036581421368
31,25,1,0,1,54.40008396631772,227.0187119272104
20,25,1,0,1,40.9289468329059,187.32860080191224
46,10,0,0,1,64.83338179595299,248.3954522134244
13,19,1,1,1,30.315915654505197,151.4994488738693
33,13,1,0,1,52.86858335728312,213.84590241005824
46,19,1,0,1,70.30454710827162,270.4014156660757
28,11,0,0,1,41.27521367767027,180.2112952067844
19,19,0,1,1,36.03205448622148,168.7121511223755
26,25,1,1,1,49.55448514784834,213.0359059804599
22,24,0,1,1,43.91265494095576,197.85572422352976
20,22,0,0,1,40.25410506813223,181.43931386860896
29,27,1,1,1,56.30709803239469,231.6565306471882
30,8,0,0,1,45.3572399899674,185.83641947545087
27,16,0,0,1,45.104824668850426,191.104830738188
29,11,0,1,1,45.34046208258152,189.3496209296524
32,17,0,0,1,50.25700270754389,211.44208714897093
18,19,1,0,1,35.51330769062404,166.0097307861064
18,13,0,1,1,33.300341389037804,153.21020619286554
30,21,1,1,1,51.2964375848976,219.4230290480945
17,10,1,1,1,31.347329570537823,145.31173545241043
33,20,1,1,1,57.29998110753638,231.27242848447304
28,26,0,1,1,52.23245541409846,220.7976010704615
20,16,1,0,1,35.43302366327335,168.11862292306256
46,16,0,1,1,70.92468168638867,269.440218570484
37,15,1,1,1,57.47540023240184,232.4886875456509
33,10,1,1,1,49.25961413336374,202.27692073726396
22,23,0,0,1,41.05243313682908,187.02298563786064
18,20,0,1,1,37.28467391136671,170.1166311558895
25,17,0,1,1,41.81758411893803,187.67792011873803
15,30,1,1,1,38.759317004149935,185.4874641921404
31,20,1,0,1,52.81046334851723,217.6234993097929
42,26,1,0,1,70.26945929927655,274.1950879475204
17,27,0,1,1,38.30553024356625,180.40824654110008
33,18,1,0,1,54.86233585356196,224.6125506226692
25,19,1,1,1,47.228158133394125,197.1857328745525
29,22,0,0,1,49.2551980038594,211.2894166312996
35,26,1,0,1,62.59211301970228,251.17422342014947
16,25,1,1,1,38.553856611135856,179.03526570747556
34,15,1,0,1,54.851979762131,220.20453097073252
17,13,1,1,1,32.27451629476594,153.04134416254624
36,19,0,0,1,57.27955661901747,232.00093947337345
27,15,1,0,1,43.92462925141216,190.9706330615696
29,23,1,1,1,51.74630418495212,219.93367083087057
19,9,1,1,1,32.18691766444115,150.5159856545683
39,15,0,1,1,60.91255969837784,239.13635314686397
43,14,1,1,1,64.90852903692895,251.32918108158268
27,14,0,1,1,43.11702895552084,186.88897168686347
44,7,1,1,1,62.68048956440857,240.78239248051645
17,19,1,0,1,32.77580333087504,159.166802914435
34,19,1,0,1,56.80431145238132,229.01714112198223
16,24,0,1,1,36.31430250233864,172.23294475648183
29,14,0,0,1,46.52636927832691,195.8773962946923
36,23,1,1,1,62.84842491699263,251.7886987757383
40,18,1,0,1,63.719245519084936,249.17703855540705
25,18,1,0,1,44.297565549903815,194.08939963119587
23,15,1,0,1,38.95387878882746,174.1387405581946
35,28,1,0,1,63.51179875070345,254.54642129068085
31,19,0,1,1,52.64028069465012,217.72398626855025
23,32,1,1,1,47.75284121536882,214.23425655297316
40,13,0,1,1,60.42085170305993,238.01909439726865
30,28,1,0,1,57.032934391373296,234.8687358295756
28,18,0,0,1,46.56705362049894,201.86430087187225
27,17,0,0,1,45.866162141952834,194.07025667986213
24,25,1,1,1,48.677342886195966,209.1761910265668
35,19,1,1,1,56.91299253134935,233.10357780490105
27,16,1,0,1,44.435518887543054,192.39214945820856
19,19,1,1,1,38.33621790581385,174.2810761067077
38,18,1,0,1,61.0212815981182,243.6377914552966
31,16,1,0,1,53.58872595731936,212.292216609289
21,18,0,0,1,37.98378221348514,173.49897106028527
35,14,1,1,1,54.53890010855858,222.74615920275403
24,23,1,1,1,47.46947628703426,204.6675882360085
32,19,0,0,1,51.4749704976818,215.7975082217313
21,26,0,1,1,41.43279621882261,190.97969545313927
32,19,1,0,1,53.24956370869567,219.73942112436455
34,20,1,1,1,58.08571148248249,234.997588174397
28,19,1,1,1,49.99511258191934,209.81176123350875
31,14,1,0,1,49.780205250693925,204.93018579634037
41,27,1,0,1,68.48899454534954,267.9184526940812
30,16,0,1,1,49.16730045404936,204.53800125014703
40,22,0,0,1,63.73220107865845,253.39591448800755
29,24,1,0,1,52.74825997414517,220.80493590169465
28,27,1,1,1,51.95008969733616,223.16266788982648
30,21,1,1,1,53.9495280336043,221.72996334588808
42,16,1,0,1,64.78904612872854,252.105824597096
29,20,1,1,1,50.52623500876394,215.92858562470184
36,21,1,0,1,59.54988853727619,239.2406544955756
31,31,1,0,1,57.40690063080456,240.8389424162409
35,23,0,0,1,58.6964806182515,240.5388772239565
16,12,0,0,1,28.212757760490167,142.80268335152138
