student_age,parent_education_level,low_income_status,private_tutoring,enrolled_in_online_program,study_hours_per_week,student_performance_index
20,22,1,1,1,61.43020781747048,210.5249214032206
32,23,1,0,1,79.46872334237904,254.79937100616027
37,23,1,1,1,87.83782806887254,277.04199253210373
26,11,1,1,1,53.40344526624776,188.26668147894495
30,14,1,1,1,65.12993042423395,218.8362650679188
32,26,1,0,1,84.05251395296332,268.64809160935
23,21,1,0,1,63.68689397953565,215.3507829393194
40,15,1,1,1,81.17320814252892,258.4501023501689
35,14,1,1,1,74.06164309269705,237.42848599972365
25,9,1,1,1,52.71244402715718,186.19869253227623
29,15,1,0,1,64.25100556976138,212.69252259507653
31,19,1,0,1,73.429092990667,239.1194098418371
21,20,0,1,1,61.377278535424566,206.6061459988438
41,26,1,1,1,98.25045669164312,303.666152970112
15,20,1,0,1,51.946555715896224,185.9284352146284
39,31,1,1,1,100.8863879134298,312.1388016627568
44,9,1,0,1,75.09666102470372,244.6666183108215
48,12,0,1,1,85.4854248525583,269.25027221608326
29,4,0,1,1,47.81596985131437,169.516327291143
39,26,1,1,1,93.2072189999779,293.62833294627194
24,24,1,1,1,69.177770546326,230.50473563372464
34,15,1,1,1,71.92907991158235,232.58300169943664
19,29,0,1,1,70.81816837263787,237.11505421704445
37,15,1,1,1,74.88230755216318,242.61034293853112
35,12,1,1,1,68.51580986554666,226.42632992349985
19,21,1,0,1,57.36270818410944,198.88429848484552
17,11,1,1,1,39.84491308586251,154.9721230989603
30,8,1,0,1,55.290910107289776,191.01678274614244
28,25,1,0,1,74.78246512887004,245.19404501815157
23,28,1,1,1,74.30961166703902,245.59018475055336
41,18,1,1,1,84.14224653373086,267.6113604515684
22,30,0,1,1,76.2278862046562,249.20136408705105
29,30,1,1,1,85.6458552627872,274.93393583110054
32,23,0,0,1,77.37580907895891,252.5908503889606
17,16,1,1,1,49.9359539632953,178.08185222210065
26,12,1,0,1,53.786330255043886,186.47629466449897
15,7,1,1,1,34.73628114928423,136.82801042123046
23,16,1,1,1,56.96202825106053,199.4586357367784
25,22,0,0,1,65.64249218110359,224.7658373371605
24,10,1,0,1,51.33228547144129,182.9867657889894
28,18,1,0,1,65.16928114536387,219.60376683671944
40,22,1,1,1,90.97416662083936,282.86022012650875
22,13,1,1,1,53.67790641193479,183.8092678338033
31,17,1,0,1,67.72174643022451,227.30101512016813
20,23,1,0,1,61.51140535194714,210.79553108429
15,15,1,1,1,44.8486526209653,165.3970586480258
25,14,1,1,1,57.82582860386652,197.95485856398523
39,24,1,1,1,90.5302094083369,283.3836197971905
22,17,1,1,1,57.834885798658185,197.03005558362767
34,19,1,1,1,79.77812789836726,253.49844532361476
36,23,0,1,1,83.57528975163063,267.4911023972296
28,23,1,1,1,74.51309982943727,245.1639236721803
35,18,1,0,1,76.3315604606526,246.20811294744044
46,12,0,1,1,83.85760824021861,264.60694803614376
23,14,1,1,1,56.103624527853285,194.25615256247843
31,14,0,1,1,64.9135921229459,216.04335186350744
28,25,0,1,1,76.44487352927895,249.28808250136908
37,21,1,1,1,84.21309920537884,269.64345502766554
39,28,1,1,1,97.29045674088556,302.3478058545392
28,14,0,0,1,59.455064490383954,202.8858175304909
22,18,1,1,1,59.92202715476241,205.5408544660285
42,22,0,1,1,92.43352680292983,287.47977070802347
34,34,0,0,1,96.33264209392468,301.9486291363797
21,29,1,0,1,70.66629143329342,233.5715812023364
36,26,1,0,1,88.16158107278518,279.999456459273
42,20,1,1,1,91.43971732425474,282.8153979962944
24,21,1,1,1,66.20144017587815,224.14000018314607
33,23,1,0,1,79.43281027085474,256.7413107310074
28,18,1,1,1,67.6836742813918,223.3956028435159
42,22,1,0,1,91.38505348846884,283.7849062968954
22,25,1,1,1,68.89565128755977,230.06853134729627
36,18,0,0,1,75.82318387394236,244.9948259454823
46,19,1,1,1,94.8709010930673,293.9525290289532
34,22,0,0,1,79.07189479278486,252.8687672046889
20,21,1,1,1,61.18296922256084,207.71425699721496
38,28,1,0,1,93.76115000171416,294.8577098338251
21,17,0,0,1,55.00725977137069,191.17674120985453
