age,income_level,gender,rural_residence,campaign_exposure,political_engagement,voting_turnout
12,11,1,0,1,29.086982294641217,131.41276043861302
32,17,1,1,1,55.94351546078873,210.94397767169968
26,30,0,1,1,67.20532381542218,239.17161608888176
29,21,1,0,1,57.89143804307976,216.9078838308114
31,26,1,1,1,68.41030090023396,242.39074289685283
48,23,0,1,1,77.9606355381252,272.75716906066305
10,19,1,1,1,39.22936002981269,162.2046657456699
30,20,1,1,1,57.52741139084715,216.70560028129117
29,17,1,0,1,51.398223218281856,196.13257318075435
24,24,1,1,1,58.71615779634998,215.3300178096168
13,20,1,0,1,43.01850660056294,171.061965964539
26,17,0,1,1,49.06696114672356,187.661450525404
38,28,1,1,1,76.56130849240219,265.19877722516924
28,32,1,0,1,71.90685438264636,254.20151182610428
24,16,1,1,1,48.19826248169655,185.78980481502416
21,20,1,1,1,50.629864701793096,191.7177924319933
26,13,1,1,1,44.67321607841311,174.7330183301037
31,27,1,0,1,66.03095670810404,238.33130205042983
20,21,0,1,1,49.32260543962085,188.71544205439596
16,20,1,1,1,46.44757318096768,178.6505961390139
23,26,1,0,1,59.96688214289548,217.75358312178443
18,5,1,1,1,26.04678266081781,127.12216953311284
29,12,0,1,1,45.154032209620944,177.7707049299465
34,5,0,1,1,40.10539742444693,165.35930564858677
36,19,0,1,1,62.536744199328695,225.5849201519244
15,26,0,0,1,49.959754372651865,192.2867456316009
34,19,0,0,1,57.6556061142556,214.1652348718711
33,22,1,1,1,62.964190225896346,230.23170837792264
27,37,0,1,1,77.18627311712405,268.296101530731
29,17,0,0,1,50.325897374212566,191.6971393081166
27,22,1,0,1,57.822555882523794,213.21512017578672
41,17,0,1,1,64.37149616824583,228.9136487061172
53,14,1,1,1,71.18905046381077,255.11525577445695
22,10,1,1,1,37.44508560768299,158.80356057107176
27,22,1,0,1,57.151051252751046,213.01366394459143
32,18,1,0,1,56.04071363352266,207.2247835887577
47,25,1,0,1,78.82596033707317,275.7684885335672
21,16,1,0,1,45.44629419580656,178.91267211449093
37,17,1,0,1,60.36832353247471,221.7292059780156
41,7,0,1,1,49.27221596133813,190.36153891301456
37,17,1,1,1,61.21881990371555,222.3794082302713
28,19,0,0,1,53.61977324990589,200.86876825175096
23,18,1,1,1,48.35174974499226,186.84528253907112
34,20,0,1,1,59.11355949319603,219.7864576483139
25,23,1,0,1,56.93250855598518,208.73974182776877
46,25,0,1,1,79.18037223663457,275.1557347519454
36,13,1,0,1,51.374482924943415,197.17394065740905
32,10,1,0,1,45.04109766875976,176.66590819818444
28,27,1,1,1,65.35768136262493,235.36568754087224
40,21,1,1,1,67.1036669606624,241.21856739636695
38,21,0,0,1,66.01601223895142,237.4062175298642
27,13,0,1,1,44.212367314208734,177.3963296633458
43,15,1,1,1,62.27250255318958,228.18811711381213
18,24,1,0,1,52.174451797135376,197.0873313709326
29,8,1,0,1,39.420647197041575,162.23401044256826
24,16,0,1,1,44.265732768658815,178.91617176974327
30,23,1,1,1,60.84418314666613,224.8071735387688
18,12,1,0,1,33.65093981510907,147.47392590112352
29,14,1,0,1,48.18633086950749,187.78442346010016
31,17,1,1,1,54.944343835610525,204.24676487807236
44,21,0,1,1,70.71834597822493,253.41199577761583
26,24,0,0,1,59.99462134859554,217.4933715699422
33,17,0,1,1,53.94639547713823,205.33648068305172
18,15,0,0,1,39.21948358759003,162.0776520981227
31,18,0,1,1,55.38756868460717,208.22715252967853
15,24,1,1,1,50.97328837989731,194.19671730691343
43,25,1,1,1,77.05040320125372,269.0328237719052
34,11,1,1,1,47.25544822217214,185.24355009129525
30,20,0,1,1,58.83813956645128,216.93583570919932
28,20,0,0,1,53.467938207600895,202.0354234958334
31,28,1,1,1,70.78304233330061,247.759407130496
23,17,0,0,1,45.65897146136084,179.29565770656785
33,12,1,1,1,50.3772983240196,190.81549320227245
21,15,1,1,1,43.98356172083776,172.58011084357875
31,17,0,1,1,53.53665856401881,201.62639948869855
24,11,1,1,1,39.30614785583884,163.69833543219136
20,17,1,0,1,43.066171974169535,174.467112325588
44,26,1,0,1,79.31161408649025,271.6517068017545
22,5,0,0,1,27.42320544461086,129.5403734118374
30,19,1,1,1,57.56634034427384,213.95509180899245
23,17,1,0,1,46.70429961873063,183.13553101200145
26,17,0,0,1,48.3772033146286,187.982683204482
24,31,0,1,1,66.04123496921936,236.93721400596388
29,18,1,1,1,53.39495246877591,202.275947037174
22,27,0,0,1,57.67402889042135,213.87479989447797
21,25,0,1,1,55.207417097939775,204.4737354562285
39,21,0,1,1,67.45734811906665,240.0227142957641
29,32,1,0,1,73.33869269143582,258.0597459668376
23,21,1,0,1,52.61677376679816,198.55315056064856
30,19,0,0,1,54.85709465580458,204.98538972729563
29,23,0,1,1,60.871662094835706,220.55934098580823
41,23,0,1,1,71.31123660803765,252.677316611622
26,26,1,0,1,62.853986690456544,225.47151758688827
16,21,0,0,1,45.02498623417184,175.52920647254214
30,19,1,0,1,56.573347004943045,210.59395061395745
34,18,0,0,1,56.51387953796083,212.7185071598712
18,31,1,1,1,63.92087718772292,227.41537287513864
19,21,1,0,1,48.146498133949486,185.9961061828641
23,15,0,1,1,43.55262296561366,174.2712701979127
31,13,0,1,1,48.71669385272587,188.43477957724457
26,22,0,1,1,57.535831102216726,210.0742826139924
36,12,0,1,1,50.59726122498286,194.44088436752213
46,20,0,0,1,72.10850073959388,253.86927716915548
30,22,1,1,1,60.33521963352592,220.7177633885933
18,25,0,0,1,52.81505617651924,200.17330784297909
18,28,1,0,1,59.13817989283968,215.23438900987844
38,18,0,1,1,61.17969993240157,223.62336169638976
40,24,0,0,1,70.68050046229996,246.9811503767924
45,22,1,0,1,73.93364993462714,259.9219246904666
44,22,1,1,1,72.46245897299775,258.9350015868119
35,11,1,1,1,48.9316304467096,189.89912392080427
25,16,1,1,1,47.62040407171243,185.15565654407777
25,29,1,1,1,65.43993191283188,235.7073643872338
33,27,0,1,1,68.02938279504328,243.5707976049936
25,28,1,1,1,64.53267824814371,230.0601006456527
44,19,1,1,1,69.24876344593729,246.20800558871957
37,12,1,1,1,54.44254079577024,206.30049673680531
38,18,0,1,1,61.82866962381017,225.89572823992592
43,13,0,1,1,58.45299780528258,216.15962113313483
36,28,0,1,1,73.9300837038027,259.7583473877527
32,16,0,0,1,51.810066139715055,197.46441853616565
39,26,1,1,1,73.58371514315076,261.2207431141397
30,20,0,1,1,58.37643783271205,214.66299834067493
20,15,0,1,1,42.89840260545374,171.3863053990546
22,28,0,1,1,62.35116253795383,224.6913070813709
22,25,1,0,1,55.65792772049005,206.71909289626785
25,11,1,1,1,42.91546177974086,169.56943730750672
30,27,1,1,1,69.51926529429512,244.9987223712936
42,25,0,1,1,75.06707793299823,264.5624758188584
18,20,1,1,1,46.95448102113657,183.87068091397825
33,13,1,0,1,50.98951085607816,195.51877894927884
30,19,0,1,1,55.63294794550644,207.96920730953173
35,24,0,0,1,66.6190806145413,239.0429054711081
20,23,1,0,1,52.45200670476529,198.3262008515644
29,22,0,0,1,58.24003428993575,214.82004819630436
28,24,1,1,1,62.84073210731915,225.35242853106396
31,16,1,0,1,52.885767064526746,199.9603382648933
39,22,0,1,1,69.03729264207509,244.9393551113331
24,17,1,0,1,46.85344345667581,183.09594807512585
36,22,0,1,1,62.99782458939846,232.1262161671008
18,9,1,0,1,31.539335860419538,138.6922204681962
20,24,1,0,1,53.30851496869656,201.64817137590168
21,17,0,1,1,46.2441978777446,179.36524161758612
39,13,1,0,1,56.000771560143306,208.7867216505821
27,21,0,0,1,54.686950033550616,206.28169575440845
23,20,0,0,1,50.34325967008642,191.30270449633147
20,22,0,1,1,51.60897699194679,194.5421840774698
22,17,0,0,1,45.10164954675019,177.08948173853543
35,24,1,1,1,69.75165860303655,245.36667184268725
24,8,1,0,1,33.57916764026516,145.97046357940224
34,20,1,0,1,60.17906767545169,221.89803719817425
35,25,1,1,1,70.14842120242095,247.90046717272247
23,19,1,1,1,49.7313182857152,190.514023083648
24,22,0,1,1,55.3323380020793,203.59150324908623
42,12,1,0,1,57.89298751922363,215.13494869841747
33,24,1,1,1,66.42828567698592,239.3813540332659
29,13,1,0,1,47.2851015970984,184.23860377769984
26,16,1,0,1,48.83491846725816,185.39455006197028
51,25,1,1,1,83.07826196323781,287.4632344533269
22,24,1,1,1,56.11399095442968,210.04805487013263
21,24,0,1,1,54.79059127296669,206.25913290399927
33,20,1,1,1,61.03947368908571,222.14704586616648
38,9,0,0,1,48.11082536088696,186.18566878807255
51,13,1,1,1,68.00831463599167,243.86375630419076
43,16,0,1,1,63.28473909522023,229.1098510521943
8,26,0,1,1,45.21663426010812,175.52335634254274
21,25,0,1,1,56.3778802291885,210.8065649452105
33,5,1,0,1,37.18547037517136,156.9945650031623
24,26,1,0,1,60.14240391144852,219.82000405512983
15,9,0,1,1,28.734420933532206,130.85113755767722
33,25,0,0,1,65.8660374011309,238.03410500564763
30,25,1,1,1,65.54479954042539,236.22606018805104
28,12,1,0,1,42.69309224641628,174.16324429449375
43,36,1,0,1,91.4948629569453,309.5904427745177
14,7,0,1,1,23.36927242065985,115.74417960749572
25,17,0,1,1,45.93979301003939,182.3348773131268
51,25,1,0,1,81.26154728650334,280.6972984784116
23,22,1,1,1,54.97177050753056,206.69304876802585
30,20,1,1,1,56.18549385013255,212.34023063299225
28,22,1,1,1,59.82294556880517,219.53614889106345
26,16,1,1,1,47.84499628473269,184.6709440177228
36,12,0,1,1,49.91934734335705,193.9391757614628
23,-1,1,1,1,20.99065886519778,111.82722804538668
37,20,0,1,1,62.89717713158344,228.7157457874885
21,21,1,0,1,50.84089809196773,193.2090713854114
32,15,1,1,1,52.83644804106694,202.23262489141476
33,20,0,1,1,59.35666480167791,220.83423497656597
36,20,0,0,1,62.63032595593836,224.81754888872877
32,21,0,1,1,60.66139865069517,221.17642304093536
27,21,0,0,1,53.86193397406425,204.33083007248956
33,21,0,1,1,61.48822187474151,225.29517794103984
31,27,0,0,1,68.38339817293186,240.21115339132032
20,15,1,1,1,41.85375741189526,170.57110980795707
26,22,0,1,1,55.97967170498876,207.83788123874453
21,23,1,1,1,54.31209907438186,201.94674796092067
28,10,0,1,1,40.58735993757405,167.42072334168375
35,12,0,1,1,50.50440588395385,194.9598343691887
30,28,0,1,1,68.99987340517126,244.75055972046192
28,13,1,0,1,46.63845583266814,180.9192700236568
31,23,1,0,1,62.2373744763898,225.8976093763756
28,32,0,0,1,70.24678791950583,249.4708589611337
29,35,1,1,1,79.04885590990344,270.80707111588623
27,19,0,1,1,54.33229655297771,202.4119650007763
36,21,1,1,1,65.42516473781951,232.64799362630163
28,20,0,0,1,54.27622240184276,202.54316295829892
42,26,0,0,1,74.42571739172206,260.2394275337672
32,28,0,0,1,67.4987282501388,241.47765777142885
41,19,0,1,1,65.61968475878538,236.3107299863868
35,29,1,0,1,76.43445453912817,266.5888643245732
21,16,0,1,1,43.431440514754,174.0819615658982
42,9,0,1,1,52.02965355349479,199.56971783187345
27,26,0,1,1,62.5616050856604,227.5172945143062
33,19,1,1,1,58.8603559300275,217.30643261527956
32,25,1,1,1,66.38342351015088,237.29166704472416
23,19,0,1,1,50.23785665961462,192.96576545890383
34,13,0,1,1,48.96345261070645,190.89440159805295
34,23,0,0,1,64.37553379643431,230.89687551523417
41,32,1,1,1,83.28085492238394,290.16848379682875
38,14,1,1,1,56.24120963449998,210.2625504603361
28,22,1,1,1,58.33663196837408,217.06886905397928
20,27,1,1,1,60.33956858665267,216.42729351373384
39,21,0,1,1,67.96036265184378,239.53851451968828
20,15,0,0,1,40.10337941302664,164.34376728157451
20,20,0,0,1,48.17616105099879,183.9989620992488
18,5,0,0,1,25.563620073336068,118.90104270378076
22,23,0,0,1,53.658701409083854,201.5915741041161
23,5,1,0,1,29.88832434149075,135.9767049131867
41,23,1,1,1,71.74292657877008,255.64927380698188
22,23,1,1,1,56.04239447201584,204.74634788215363
32,9,1,0,1,43.00763395897987,172.4673274853829
24,17,1,0,1,47.29111701434503,185.5630119840912
33,14,1,1,1,51.97765059258586,196.29196075915715
34,15,0,1,1,52.51180460834706,199.2880637101385
27,21,1,1,1,57.05620272610751,209.45724631807488
23,23,0,1,1,55.06984455577276,206.346514766692
18,26,1,0,1,54.71644042846924,203.9497483100415
33,13,1,0,1,50.16149501798146,191.094211626882
30,22,0,1,1,58.61109096850893,214.58328237952384
10,25,1,0,1,48.45718252695905,184.6938866314229
20,19,0,1,1,47.43527400545327,184.224265983871
29,27,0,0,1,64.28979221212943,232.449203085815
31,24,1,0,1,64.50418963983275,231.45056352372063
29,13,1,0,1,48.20821601100993,185.5741645361036
30,27,1,0,1,65.95096144252255,236.65647898731368
33,13,0,0,1,46.99725434618586,184.27528313805115
21,8,0,0,1,33.54718642568869,141.8001428440341
41,22,0,1,1,69.31209307282734,248.0213093308265
29,12,1,1,1,44.70984329286188,178.51983825506645
29,17,1,0,1,53.220631490707966,198.9787889393552
23,29,1,0,1,64.60185824975817,231.4159761822804
34,29,1,1,1,72.70827124306466,257.5691881612024
28,13,0,1,1,44.49966025414842,179.9318557892331
42,11,0,0,1,53.36742143554277,201.99051912971632
44,18,1,1,1,68.02324109404073,244.5827348931188
26,23,1,1,1,58.38330565536046,215.1193106315813
20,20,0,0,1,47.21175767132812,183.6230444858605
29,12,1,1,1,46.44590387069902,182.28010610427376
30,21,1,1,1,58.77537350033155,217.32194575197437
