age_of_head,income,rural_residence,previous_beneficiary_status,underemployment_status,cash_transfer_enrollment,consumption,household_wellbeing
37,16,1,0,1,1,65.08662887349652,228.98392220965076
24,19,0,1,0,1,46.84925044286864,185.03206968506385
34,14,1,1,1,1,59.86193503602485,212.3014276720728
35,28,1,1,0,1,68.87890324667802,243.8129054302108
31,16,1,1,0,1,55.92337739521527,203.7440976955085
47,22,1,1,1,1,82.92740844666015,277.66092755592257
26,15,1,1,1,1,48.88296033059582,185.267991520226
22,16,1,0,0,1,41.14184924667856,167.80309310528185
19,28,1,1,1,1,46.46306071330764,189.36822975156284
24,28,1,1,0,1,53.62849896693451,206.1370233034068
13,22,1,0,0,1,32.68843702978293,149.78141763609105
40,23,1,1,0,1,73.98464695742015,252.75617364754072
31,16,0,0,1,1,53.718936183757386,197.27681204541943
26,21,1,1,0,1,50.28535338478022,194.91223831163836
23,29,0,0,1,1,50.34331476141137,199.1563183557486
19,18,0,1,0,1,41.18907014453329,169.22491468090791
25,21,1,1,0,1,48.46877867658015,189.9399546410875
23,25,1,1,1,1,51.02548488028409,200.20358187683087
29,28,0,1,1,1,59.41162293309272,223.1876283648236
28,29,1,1,1,1,59.430621922436224,224.28044258466736
22,22,1,0,1,1,45.93736017855861,182.2038295657489
41,16,0,1,1,1,70.02048132340295,239.3354181601784
37,23,1,1,0,1,67.56451916067101,240.4551683704846
11,18,1,1,1,1,29.729803536646056,138.1434079859516
33,16,0,0,1,1,57.72352626071049,207.4392267441567
22,21,1,0,1,1,44.60947238123743,177.20671944414627
39,11,0,1,0,1,64.14052125156476,222.72160904677455
20,18,1,0,0,1,42.76264254359972,170.2799839048027
15,24,1,1,1,1,38.0516590909492,163.32990659308714
38,24,0,1,1,1,69.78875581401805,245.03678846863764
21,22,1,1,0,1,44.107456284029496,177.79116337034125
22,30,1,1,1,1,50.19839062430144,202.90035291484344
28,20,1,1,1,1,55.309965673263534,204.52774639390205
27,20,0,1,0,1,51.66569442231575,196.06391638078287
51,17,0,1,0,1,85.08486803424404,277.2596998914479
37,16,1,1,0,1,64.26042238557808,226.61488216440688
29,14,1,1,1,1,52.60886626946315,193.00811172967556
23,24,1,0,1,1,47.978024074119816,190.22208098390237
31,13,1,1,0,1,54.87762669089712,196.5909464516509
32,22,1,1,0,1,61.85582522945439,224.69292942410115
15,15,1,1,0,1,34.137330345872094,147.11913713642406
