age,years_in_current_job,gender,rural_residence,skills_training_participation,new_skills_acquired,annual_income
29,21,0,1,1,39.48254937106241,184.24847811234557
41,20,0,0,1,40.24853442435699,199.93081300827893
19,27,0,1,1,36.528370587986096,178.58568395605025
44,13,0,0,1,37.00895445744856,183.3380695996612
32,21,0,1,1,39.09396062856764,184.61824069213228
28,20,1,0,1,34.76042022743748,176.01629971144118
18,13,0,0,1,23.42135751505576,133.4836776682081
18,14,1,0,1,25.319795544389425,139.37412236555625
20,14,1,0,1,25.61139839389057,141.1149080226364
41,27,0,0,1,47.93446390780844,222.42161503434437
28,26,0,0,1,40.63736716936701,194.802122755533
27,23,1,0,1,36.75697681447169,179.97040038422546
36,20,0,0,1,38.96397597180383,188.03655841955197
16,18,0,0,1,27.04333007160617,145.23514138498095
27,22,1,0,1,36.326654770596,178.731115827669
26,19,1,0,1,32.286531585155046,165.98849244316247
14,19,0,0,1,25.523161862382388,140.12027907909726
21,25,0,0,1,36.59181115984093,176.14538056464727
32,15,0,0,1,31.15849097269624,162.34724917132866
42,21,0,0,1,44.79857494057043,208.50668970899068
29,25,0,0,1,40.38185506205477,193.1423600146072
32,26,0,0,1,42.023646370431294,199.06922359149723
30,21,1,1,1,39.62568943464895,187.44553305927147
32,26,0,1,1,44.24507151360492,205.44170843356093
25,15,1,1,1,31.8412946280704,161.05487908847687
19,22,1,0,1,32.23829996528324,163.67033173893225
32,15,0,0,1,30.964935328880003,163.00394363910877
30,28,0,0,1,42.54396316130849,198.96551609604845
37,16,0,0,1,36.52420564166079,181.31792602242692
23,27,0,1,1,37.1167887434863,182.43811033707115
25,39,0,1,1,51.03522230911151,227.99065405759828
15,22,0,0,1,28.86663221991825,151.85699959734774
31,25,1,0,1,39.8323028982644,191.7419953239081
30,13,1,1,1,32.253979707102005,163.89821861302744
22,25,1,1,1,38.36706581184984,182.27235358124963
34,17,0,1,1,34.482844821679954,175.3235090636382
20,21,1,1,1,32.15638230656005,162.6162313757563
28,30,0,0,1,43.87569787344665,204.4483104640183
24,22,0,0,1,32.53874341353673,164.67050199642804
43,17,0,0,1,39.56577188690742,194.13580689154244
