age,income,rural_residence,previous_beneficiary_status,underemployment_status,cash_transfer_program_enrollment,household_consumption,quality_of_life_index
34,13,0,0,1,1,61.67270662057596,227.8592577132152
33,24,1,0,0,1,78.91714080240187,270.2657686749216
27,20,0,0,1,1,63.60987657263316,229.12930164414416
34,18,1,0,1,1,69.31006577288296,248.3832990630224
38,10,1,1,1,1,63.63527115191152,242.6034953407084
15,21,1,1,0,1,53.4032924990044,192.9986298722221
32,11,1,0,1,1,58.94572042549545,221.9781666808658
32,10,1,1,1,1,56.85751389871111,219.1977392082362
32,19,0,1,0,1,70.17338206068186,246.87383190555343
22,11,1,1,1,1,47.71570581397128,186.16189503099503
34,22,1,0,0,1,74.70613907157471,261.4236798349602
25,18,0,0,0,1,58.76718804957584,213.42439774828725
26,13,0,1,0,1,55.25356528831216,206.6852363001003
17,21,1,1,0,1,56.256302924344446,198.84836640055607
16,23,0,0,0,1,54.12788425333953,192.3960610079993
33,11,0,1,1,1,58.90137700363053,225.3755819343781
31,5,1,0,0,1,46.99637263235384,194.13870721877265
29,18,0,1,0,1,65.90074305458768,232.7484253506505
47,21,1,0,1,1,90.46808865290616,313.8812367005539
38,25,1,0,1,1,83.82897558207546,290.6817458700812
28,22,1,0,0,1,68.19648816832645,241.29461196519927
25,16,0,1,0,1,57.3722527449901,213.09531187803145
15,21,1,1,1,1,52.35515832800422,192.7196361278879
31,16,0,0,1,1,61.69893103203097,228.74951097978223
28,15,1,0,1,1,58.357928085150085,219.0262223264524
23,13,1,1,1,1,51.57108272396986,194.31705889017908
27,26,0,0,0,1,72.6359150894654,247.82901774218425
19,18,0,1,1,1,53.02415616179065,195.6814652504989
21,26,0,1,1,1,67.14509751354137,228.56742737549808
20,15,1,0,0,1,47.430491363424906,182.7486549578038
39,21,0,1,1,1,81.32883434366902,285.1845820693431
27,12,1,0,1,1,52.57354844243371,202.55845242023204
28,24,0,1,0,1,71.85210463062619,248.80162945809468
21,19,1,1,0,1,59.01245143885377,207.4733498807057
24,28,0,1,0,1,72.35561766772419,246.48687726614747
16,22,1,0,0,1,54.19964286454926,193.87481692822692
37,18,1,0,0,1,73.09586802382623,259.44150525045563
20,23,0,1,1,1,61.5045652551517,220.8708767768404
36,13,1,0,1,1,65.61106621726998,243.3859502249956
24,21,0,1,1,1,63.56290429334023,223.8221041028418
39,19,0,0,1,1,76.12344264050833,269.59087702026494
17,16,1,1,0,1,48.46488401831877,182.9164051313868
37,14,1,1,1,1,70.20414114571274,258.77534333354487
37,15,0,0,0,1,67.3718820690545,245.2011386576781
37,8,1,1,0,1,59.15396724356131,225.4865147800126
27,24,1,0,0,1,69.49252962012831,241.20138176739985
19,21,0,0,0,1,54.57612707596933,195.06259511418364
18,31,0,1,0,1,69.86744189416638,235.54192754252384
25,17,0,1,1,1,59.200040786213066,218.5125288698827
34,26,1,0,1,1,81.17395581111782,277.73606033599185
42,21,0,0,1,1,81.23982139350058,284.6156903604578
29,21,0,1,1,1,68.21269690261504,242.17314096979663
51,17,1,0,0,1,88.58335639678894,310.64334835003143
34,15,1,1,1,1,67.14102924498413,248.5191623692061
26,26,1,1,0,1,72.25564710471201,248.96513476742615
26,8,0,1,0,1,46.57634262751535,186.8255015179788
36,17,1,1,1,1,73.23437391496539,260.8625653344491
25,15,0,1,1,1,55.33761521162283,206.6593033672629
43,33,1,0,1,1,103.3433288613251,339.7013148560679
18,18,0,0,0,1,50.15519673847884,185.56671674952352
32,20,0,1,0,1,72.58089580076081,253.0933614908965
17,25,0,0,1,1,59.2379006045707,208.31165882629043
23,16,1,1,1,1,55.38448429594885,209.71136474054185
10,22,0,0,1,1,47.81817335823827,172.1098035491684
30,24,0,0,0,1,72.82377760240517,252.20473038535283
27,18,1,1,1,1,63.4184440553778,230.23630480962467
29,22,0,0,0,1,68.52515043910071,240.97934915613484
42,21,1,0,0,1,82.95348172824833,291.6402699147817
19,26,1,1,0,1,64.92566381497163,224.43194417090533
24,18,1,0,1,1,57.93069417169677,213.8243003280369
24,19,1,0,1,1,61.26973956309575,220.6480450000999
19,13,1,0,1,1,44.577955009616375,176.15095006492948
37,26,1,1,1,1,86.70686612390772,295.34274512953425
27,26,0,0,1,1,75.52722560730199,257.0159745175346
19,23,0,0,0,1,57.92200455502135,203.3519748769889
23,32,0,0,1,1,76.35185492175543,254.76425254287508
28,8,1,0,0,1,49.42260505694484,195.1593361345584
31,21,0,0,1,1,69.42894862551535,248.10840846634213
29,21,1,0,0,1,68.35296795741557,237.8250028649697
19,28,1,0,0,1,66.56186140059575,226.95827511244124
33,15,1,1,0,1,64.68996703996706,239.18534450113413
27,22,1,0,1,1,68.26599961046256,239.5959396719985
22,21,1,1,1,1,61.23630905452568,220.18783381944075
32,19,1,1,1,1,70.54736531434281,251.32266047116823
40,23,1,1,0,1,85.27965410599225,293.4698368933786
