defendant_age,prior_convictions,charge_severity,legal_representation,bail_status,diversion_program_enrollment,sentencing_length,recidivism
28,10,6,1,0,1,36.84364092996288,156.61239036008826
25,18,12,0,1,1,50.32077360438072,192.05992888073376
32,20,9,1,0,1,53.11351404365372,200.88406438483256
24,21,4,1,0,1,41.25917109335394,169.44931414639905
43,10,11,1,0,1,51.35045918486617,197.1300301233252
31,31,8,1,1,1,62.30951289371208,225.9280884299192
29,28,6,0,1,1,54.09770258090651,202.03521429100456
27,17,9,1,0,1,44.77576831051381,179.45659576116128
40,21,8,1,1,1,58.297134926714826,216.4085762069205
31,18,13,1,0,1,55.63220438775196,203.6711496023464
22,19,8,1,0,1,45.2370431187631,176.9140690308633
46,28,13,1,0,1,72.96600593154237,258.67700884457463
38,17,10,1,1,1,56.06269616071668,208.09139774967045
30,21,9,1,1,1,53.40952621147158,202.61458330600385
15,21,6,0,0,1,39.658321277458825,158.96218025441405
25,18,9,1,1,1,47.481413109112346,182.229395181686
21,27,14,0,1,1,59.722623754036505,217.93139231087093
28,8,7,1,0,1,36.220698687205534,154.13409118172515
26,15,7,1,0,1,40.38578296145472,166.78189624718536
30,32,5,1,0,1,56.63006757617451,211.7813406954228
17,26,5,0,1,1,45.5840397962112,177.98799216340618
40,32,13,1,1,1,74.28249933048743,263.18730418150784
46,21,11,1,0,1,65.76017153604441,236.16823176289225
40,20,13,0,1,1,63.76965945463139,229.29667168352188
23,23,11,1,0,1,53.87483735167325,196.6900532379281
22,32,11,1,1,1,63.60171482504428,227.635054738277
19,16,9,1,1,1,43.29041687438473,169.11837712950242
27,30,13,1,1,1,66.02928788340868,235.87917195939468
37,27,4,0,0,1,55.8765564624554,210.2240174204056
44,12,10,0,1,1,54.44664129108456,205.8339162879816
35,24,10,1,0,1,59.59217048433296,219.27487567047413
24,30,5,0,1,1,52.16596158324074,198.60417844596304
34,18,6,1,0,1,47.54858422094612,187.33193491110436
12,14,9,0,0,1,35.12653404387338,145.10777899436715
