student_age,hours_study_per_week,low_income_status,private_tutoring,parental_education,enrollment_in_elearning,intermediate_test_score,final_exam_score
23,11,1,1,0,1,32.347014512179655,142.23446796414456
30,15,0,1,1,1,40.84343260260782,168.2787024769302
19,24,1,0,0,1,39.07416927379253,162.10083512146176
24,30,0,0,1,1,50.2532141432306,192.46632681519137
36,15,0,0,0,1,44.59775190390847,181.28603912016547
23,3,1,1,1,1,26.605579890726396,128.45734365993607
18,18,0,0,1,1,31.789316209640404,142.52355354434687
37,20,0,0,0,1,50.14333995506762,197.9673031950485
40,11,0,0,0,1,45.04655930269227,180.1411460204557
31,31,0,1,1,1,56.150584968933785,211.64416583626905
23,28,0,0,0,1,45.21955420738263,176.61303398390908
27,25,0,0,1,1,46.22355173767455,185.36937401532816
21,10,0,0,0,1,28.55739860643575,128.61784672771216
24,14,0,0,0,1,34.08492834379803,148.09078453406963
30,21,1,1,1,1,48.98921819828944,191.3633395680536
24,24,0,0,0,1,43.44162848856435,176.28629171084475
21,23,0,1,0,1,40.47969786829354,166.27410896773293
36,19,0,0,0,1,48.352186096549474,193.2066810122564
27,28,0,0,0,1,50.625181485674034,193.95363413516085
49,20,1,0,1,1,61.73632078007811,232.16593073668403
30,22,0,0,0,1,48.91413668350385,190.14908295300336
22,15,1,0,0,1,33.58001592626835,146.63199065072118
45,12,0,0,0,1,49.71738560304181,196.71752041729303
31,12,0,0,0,1,40.87162924387952,167.2007682287566
40,24,1,0,1,1,59.61788343288924,222.0286773513827
25,14,1,1,0,1,35.884098001346544,152.45165470966882
45,17,0,0,1,1,56.08510203105442,210.2661827124705
27,31,1,0,1,1,55.81378760709303,208.60444755765204
33,21,1,1,0,1,50.57930929356942,194.88811099018247
35,12,0,0,0,1,42.71494626041796,172.59643132513065
32,20,0,0,0,1,46.11877845052063,179.76060788498424
18,8,0,1,0,1,25.68880924908604,122.79395518604804
27,12,0,1,1,1,37.38381575860767,159.6386071588161
45,26,1,1,1,1,65.08588053097856,239.97093337022216
32,30,0,0,0,1,56.1989675396049,210.9569461482468
37,19,0,1,0,1,49.47869708065411,193.1609089299215
25,6,1,0,0,1,28.08252196805885,132.89582664676527
46,17,1,0,0,1,56.31720209976412,212.86771206360496
26,27,1,0,0,1,48.16972824962216,189.1959673695449
24,12,0,1,0,1,32.48710310740534,146.34671735810994
25,18,0,1,0,1,41.281471765580896,168.77313922202492
22,17,1,0,0,1,37.6266665912081,156.27869892679513
45,18,1,1,0,1,57.98013297351726,220.7140009269194
18,29,1,0,0,1,43.02640671694881,174.76142269406165
28,21,0,0,0,1,44.117116316203735,178.38801802919554
32,22,0,0,0,1,48.38007668450314,188.65099438118807
34,19,1,1,0,1,49.11922649537721,190.3363712253956
26,18,0,0,1,1,41.7948667898668,171.95996493607203
28,9,0,1,0,1,33.1263281039986,145.48908181704414
35,13,0,1,0,1,44.66663607906335,178.11050675962844
14,23,0,0,0,1,34.320142980604054,148.1452343877908
23,17,1,0,1,1,38.44870579134757,159.22692151488033
25,22,1,0,0,1,43.37992858700401,171.1101384428169
37,13,0,0,1,1,43.9955006511472,181.1409851601937
19,16,0,0,1,1,31.712894191610378,143.08650262832165
43,24,0,1,0,1,60.79799722196656,225.936576049538
27,14,1,1,1,1,40.76594824677924,164.84661141870512
26,31,1,0,0,1,52.75490898141174,202.43407969198145
31,20,0,0,0,1,43.20332517790246,176.39700558873486
6,14,1,0,0,1,19.09415838948942,105.09941805751954
40,22,1,0,1,1,57.01317786744806,214.4975660595776
33,18,0,0,1,1,43.25448618137322,175.99800069311902
26,14,0,0,0,1,35.966034999752054,154.35233434802916
38,16,0,1,1,1,48.709425852701294,195.61448372210623
29,25,0,1,0,1,48.69222138805089,193.38299781020584
35,20,0,0,0,1,48.44013907610273,193.5761835567505
28,28,1,0,0,1,50.55839038857663,198.0381995537745
23,28,0,1,1,1,47.89285246295002,187.69628014653517
34,18,1,0,1,1,48.81999582792164,193.9843890413064
30,13,1,1,0,1,40.3512371047214,167.30711393244783
18,20,0,0,1,1,35.405062524809914,150.62060497983305
39,21,0,0,0,1,51.42757524623667,202.57867622214263
34,26,1,0,0,1,55.44762668558376,208.52916825315864
28,34,1,0,1,1,58.33247159436808,214.68461224046428
36,27,0,1,1,1,59.50524319529947,220.83754551865184
40,21,1,0,0,1,55.55627825827225,211.7974766337046
27,20,0,1,1,1,43.067356023176686,175.67029308430526
37,32,0,0,0,1,62.37776250906706,233.66854325069747
34,20,1,0,1,1,49.15972822923398,195.4204698512741
31,27,0,0,1,1,51.30414800825008,199.14356186418925
15,23,1,0,0,1,36.532029585471015,150.3114922744694
30,18,0,0,1,1,42.40079859294779,174.92026890800108
9,3,0,1,0,1,13.282357957897156,87.3642815909231
23,25,0,0,0,1,44.373533124975054,176.05313746367847
37,24,1,0,0,1,55.34917311890998,210.07361629887217
27,21,0,1,0,1,44.2277016837752,178.05182136558489
27,23,0,0,1,1,45.6252640185058,182.98029077185345
27,23,0,0,1,1,45.14847110840772,179.10026678710838
41,18,0,0,0,1,50.5138272601485,200.9373946007764
23,16,1,0,0,1,37.860076430971176,157.8289774048121
11,14,1,0,0,1,24.931991981691137,119.86844537098104
48,8,0,0,1,1,48.05039611593081,193.88806674417933
23,17,1,0,0,1,38.40328528567026,160.53438885272263
35,34,1,0,1,1,63.28468000835709,231.89093418806277
34,16,0,0,1,1,44.78820196071054,180.8139947543786
38,18,0,0,1,1,52.33664758158877,201.0379150964823
