defendant_age,prior_convictions,charge_severity,legal_representation,bail_status,diversion_program,sentencing_length,time_in_custody,recidivism
40,9,11,1,1,0,1,78.35646963182322,253.12762033085855
40,13,9,1,0,0,1,79.01787503390327,257.12274158656885
33,21,10,1,0,1,1,82.01,269.90497780745164
32,20,6,0,1,1,1,75.42365941202577,254.64956946234807
33,16,10,1,0,1,1,75.48225962103784,251.9320029185192
16,29,6,1,1,1,1,65.05390341686795,235.1595136635429
34,17,11,1,0,1,1,79.56477157370827,264.7986362719331
29,21,7,1,1,1,1,75.97672450888061,256.7605554745198
9,14,8,0,1,1,1,36.634746897646856,158.10144475698405
32,21,8,1,1,1,1,79.08715124000048,267.8498729946967
22,13,10,0,1,1,1,55.850997771152464,204.0192774699161
25,18,5,1,1,1,1,66.10645872350479,229.34119014502585
38,22,7,0,0,1,1,87.41715828697166,283.5544503358637
32,20,9,1,0,0,1,78.08671207541886,258.5759150538785
33,25,12,0,0,1,1,85.72122667890048,286.6066280742691
29,18,7,1,0,0,1,69.52087622208859,234.9293760201119
38,17,8,0,1,1,1,83.45401643560659,266.9168505291724
31,34,6,0,0,1,1,89.08854175086307,297.5946531893626
20,23,10,1,1,1,1,62.14232649117385,229.7253992338514
23,16,8,1,1,1,1,61.764275734653616,217.33947293017687
28,11,11,1,1,1,1,64.91490880978257,222.9013664606609
33,14,12,0,1,0,1,74.87060613589746,252.99165486203623
19,11,13,1,0,0,1,51.25996146950714,191.99049251434369
26,29,10,1,1,1,1,80.89980723037246,277.40379501737647
27,13,8,1,1,0,1,62.72,218.10805323659625
19,11,10,1,0,1,1,49.16094965570413,183.9226235655481
34,9,10,0,1,0,1,68.79405828627272,230.75478543063275
37,20,9,1,0,1,1,85.53627443881695,280.36498293438035
28,19,7,1,1,0,1,67.38785779218396,231.03632726637872
24,22,5,1,1,0,1,64.71442316293857,232.09218132972237
39,20,9,1,0,0,1,85.94687007910949,278.86006027211846
26,18,8,1,1,1,1,67.36536489581134,233.04217643743905
33,19,9,0,1,0,1,78.31926243819689,264.39056943996223
29,11,8,0,0,1,1,61.13475908430778,214.07317591693916
34,27,8,0,1,0,1,84.94062275583885,281.8798395885762
44,19,14,1,1,0,1,97.04071823156694,310.8466982382334
17,19,11,0,1,0,1,55.698825091298254,209.73878837383612
19,18,6,1,0,0,1,54.70,200.38447583153928
12,15,11,1,1,1,1,44.76659434917706,179.81894296130412
40,13,5,0,0,0,1,76.51022659218208,247.95805819523915
33,23,8,1,0,1,1,81.66694487375928,272.5927830459542
36,25,11,1,1,0,1,89.55650149903722,295.31895305354874
28,6,12,1,0,0,1,58.707850226167714,205.59748859834212
31,23,12,0,0,1,1,81.00364883414176,271.1802199034997
23,21,11,1,1,1,1,69.79,245.1770525186513
30,21,9,1,0,0,1,74.77077246069103,253.99171681669196
14,28,9,1,1,1,1,61.93727577972896,229.7435084954631
23,19,13,0,1,1,1,65.20562154760536,233.39615243739112
28,18,10,1,0,0,1,70.86243724356265,244.44189981206077
31,28,6,0,1,1,1,84.20411754848729,279.87964651475903
42,21,6,0,1,1,1,90.80010703207851,288.71856270005384
35,19,9,1,0,0,1,80.21951505912386,264.39518678398946
26,16,10,1,1,1,1,65.62,229.37222481123308
32,19,7,0,1,1,1,73.90471601105898,251.43963652676536
46,20,11,0,1,1,1,99.96,313.4215458794232
40,21,12,1,1,0,1,91.44589492206492,297.56033239525874
35,30,9,0,0,0,1,93.35785003218176,301.4625690169639
38,10,5,1,1,1,1,73.28333121693142,239.2616015
49,14,14,1,1,1,1,100.05955726490384,312.5208684262398
21,20,14,0,1,0,1,63.14118718389555,231.6167986500696
18,15,6,1,0,0,1,47.919552353729415,181.1627547905099
34,13,10,1,1,0,1,72.18093668335139,242.31405465321387
28,20,9,0,1,1,1,71.08979543338423,247.29762724639983
37,14,12,1,1,1,1,80.10606371299386,264.34556803321266
30,36,14,0,0,0,1,94.09013704374276,317.9459654594036
26,22,10,1,1,0,1,71.96304370844743,250.5033802774921
6,18,10,1,0,0,1,37.82809227543122,165.2898335904022
30,13,7,0,1,1,1,63.299464696640094,218.3708419037584
35,8,8,1,1,1,1,71.52552096314436,233.8850517231257
34,22,12,1,1,1,1,87.03912271014318,287.4463802313423
25,21,10,0,1,0,1,67.52447220322361,239.3884510421794
21,18,9,0,0,1,1,59.32394825850543,215.42960788492096
28,16,5,0,0,0,1,63.13244493827116,216.19039493666315
27,13,10,0,0,1,1,63.45207121521379,220.87900235015547
23,16,9,0,1,1,1,61.06922362227697,214.9642440751556
19,19,8,1,1,1,1,57.47680424349149,210.17972639907205
33,23,11,1,0,1,1,83.87408824372554,279.35478179045936
27,13,14,1,1,0,1,65.53864802670462,228.98364817860048
28,19,8,1,0,1,1,70.13603792461643,242.60075320799027
32,21,9,1,1,0,1,77.96134530560477,262.27832809209923
20,17,16,0,0,0,1,59.33486345934947,218.96521395561788
31,27,12,1,0,0,1,83.63943324062701,283.6382545354965
25,6,12,1,1,0,1,53.08398183678039,192.6495332
30,15,12,0,1,1,1,71.21,245.29695107294063
39,15,16,0,0,1,1,86.89768782519964,280.9413758045368
37,17,5,1,1,1,1,81.34437977819648,262.8517917325383
22,26,11,1,1,0,1,71.00251960336684,250.2993326918992
29,28,8,0,0,1,1,79.07659189888548,270.1929946042381
34,14,8,1,0,1,1,72.47892765107038,241.8907566480444
16,21,12,0,0,1,1,57.47938102974444,217.40041712181497
35,17,9,1,1,0,1,80.92572520854421,264.72277160945845
37,14,9,1,0,0,1,77.51017775669499,254.0046650399108
28,19,15,0,1,1,1,74.22,258.62947405167625
29,18,11,1,1,0,1,71.89252043638135,248.5469688078709
19,27,10,1,1,0,1,68.01452517602918,246.277757
32,25,6,0,0,0,1,78.40514789030358,266.30024832295794
16,23,8,0,0,1,1,54.86566643426474,208.4208600634124
18,21,12,0,1,1,1,61.01835702790718,226.2047684142647
28,17,8,0,0,1,1,67.08622473141509,231.04524266716552
14,29,3,1,1,0,1,58.49499213087313,215.4853409610692
35,11,13,0,0,0,1,72.27560141296185,243.0944182530069
17,17,8,1,0,0,1,51.46301821918225,194.2200687207594
16,22,13,1,0,1,1,60.977051062244406,224.3102812894381
36,20,11,0,0,0,1,82.19547644273624,272.3856593498098
35,17,15,1,0,1,1,83.90098721045551,278.4433556
42,19,15,1,0,0,1,94.80990581739994,303.6659625715031
41,24,12,1,0,1,1,96.71254110769432,309.8659923626807
32,20,6,1,1,0,1,75.07937322214747,250.8314818
27,30,14,1,1,1,1,85.73456239243697,292.6544751330933
32,15,7,1,0,1,1,72.35603557774681,240.67373078201493
31,13,2,0,0,1,1,64.12686223291306,216.36112810817284
49,17,8,0,1,0,1,98.77990153339162,306.8716680807688
29,13,8,1,1,1,1,65.58,223.56266769323517
28,22,11,0,0,0,1,73.19236519352533,254.23043844752615
32,19,8,0,0,1,1,75.26856240332401,253.51181829667956
34,20,13,0,1,1,1,82.56698342758786,276.03607130768506
33,27,4,0,0,0,1,83.33603850990536,273.8869633979957
28,21,5,0,0,1,1,71.32789384271742,240.9090183
26,19,10,1,0,1,1,69.82852674397839,242.0841916
37,18,9,0,0,1,1,83.07,271.1487486797683
33,17,8,0,0,0,1,73.01058171383167,245.80224830529863
25,21,7,1,0,1,1,69.13274292568042,239.83852595663723
26,15,10,1,0,0,1,64.13710578804053,223.98418016315756
27,23,9,1,1,0,1,73.73662789170865,256.5676421242313
30,23,12,0,1,1,1,80.70402553587701,272.4020968306619
41,19,11,0,1,0,1,92.18767903354755,293.29118125586706
34,23,9,0,1,1,1,82.31525705382151,275.7822197606197
24,22,7,0,1,0,1,65.84677627961393,232.9805996958596
19,12,4,1,1,0,1,47.22898840695834,176.68220453290834
28,22,11,0,0,1,1,74.69927072930666,253.45065507278628
38,33,14,1,1,1,1,106.85072621492664,344.77990360135806
26,29,6,1,1,0,1,76.74,263.1344882658239
38,19,11,1,0,1,1,87.61516933336917,285.9602257051183
20,23,10,1,0,0,1,66.03228063113798,236.19932883694705
21,23,8,0,1,1,1,65.81159017867462,230.9329817435344
33,16,10,1,0,1,1,75.45763937823786,251.07533124267525
22,27,4,1,1,1,1,69.65767524650991,245.3590171
27,16,11,1,1,0,1,66.18774881900319,234.6730800900633
33,20,11,0,0,1,1,80.36065746554694,268.112027
27,11,11,1,0,0,1,63.48356456661809,218.43840620478832
34,24,9,0,0,1,1,83.06587121956989,275.1719474236685
42,12,11,0,0,0,1,83.39305738048294,268.1247151345235
27,20,7,0,0,1,1,69.08,237.12524693707624
23,30,11,1,1,0,1,78.78,273.4109899391128
34,19,12,1,1,1,1,84.38237569725113,280.9340433342372
31,27,13,0,0,0,1,82.27912709657858,282.6861677215618
31,14,10,0,1,1,1,70.06274133027537,236.1821553677852
22,20,7,1,1,1,1,62.72424163999852,224.2550374877332
24,18,9,1,1,0,1,64.95758883324466,228.02878694885308
44,21,11,0,1,0,1,96.41107147559588,309.7257024226457
35,19,10,1,1,1,1,83.40744555923531,274.82937976472283
31,21,12,0,1,1,1,80.96817345231274,272.84000375270136
21,18,9,1,1,1,1,60.53693954459887,218.29162298755853
27,15,12,1,0,0,1,65.61801487777021,228.3424188579582
27,27,10,1,0,0,1,77.51251250512284,265.59785914100496
29,25,12,1,0,1,1,82.17,275.1798405304777
37,14,7,1,1,0,1,77.13435361126191,254.3546147598825
28,21,8,1,1,0,1,72.88,248.2430280832017
35,27,7,0,1,1,1,88.61118555720272,290.03828147118713
27,41,10,1,1,0,1,95.53309776503018,320.8623128960977
33,18,8,0,1,1,1,75.94066290067988,253.4511734626892
33,19,10,0,1,1,1,78.63,263.29912310498486
24,30,7,0,0,0,1,75.61115907544865,262.3811995454186
33,17,12,1,1,0,1,77.44671859911445,259.44464621310937
38,13,7,1,0,1,1,78.35112948820883,254.40677820310256
26,12,13,1,1,1,1,65.85,229.62840960440755
19,10,9,1,1,0,1,46.93395959538819,179.3118569141532
32,23,9,0,0,0,1,78.29711369642799,265.43890354086363
34,19,6,0,1,0,1,76.22960659136915,254.1914460114345
22,29,7,1,1,0,1,71.22817788761193,252.9753884187265
31,26,15,0,1,1,1,87.43728608410086,294.56091037842606
29,28,8,0,1,1,1,81.96519803342913,274.7929094704654
39,16,11,0,0,1,1,85.01695105183352,274.9037385688498
22,16,7,1,1,0,1,58.68743624412746,206.9797400689161
39,24,10,0,1,1,1,94.02,304.3061861899467
16,21,7,0,1,0,1,50.52016802370998,196.39387203570035
22,25,8,1,1,1,1,66.84,241.2900495926564
17,15,10,0,1,0,1,52.37,196.3579727168832
17,24,8,1,1,0,1,58.665437672001325,219.6506538398484
26,20,12,1,0,0,1,71.82962560821122,247.64374149277612
43,13,13,1,1,0,1,88.49,285.47731619051314
23,19,11,1,0,1,1,66.61912626819675,235.1776937942472
17,29,9,0,1,0,1,65.32,238.38941107791004
23,23,9,0,1,1,1,68.51791829365295,241.1714859320645
36,15,13,0,0,1,1,80.93458892259358,267.2592770630023
28,24,6,0,1,0,1,72.53608321055073,251.4767902304161
31,17,12,1,1,0,1,74.12556153158911,253.52986576818955
29,12,9,0,1,1,1,65.32122642965936,225.1979177692804
29,21,11,0,1,1,1,77.09328811421784,259.7230376902732
24,29,8,1,1,1,1,76.51,265.70436879179664
31,14,7,1,0,1,1,68.33810044495418,229.2159907767713
37,18,6,1,0,1,1,82.60875740941835,265.3778805089264
29,29,12,0,0,0,1,82.83526417424939,285.4387921736485
32,27,10,0,0,1,1,85.94856179294868,288.9170391287006
16,21,15,1,0,0,1,58.94826015760005,220.18417678741704
31,22,9,1,1,1,1,78.69590134784215,267.1787796921993
42,21,12,0,1,1,1,97.15216848538913,309.4804422057702
25,13,10,1,1,1,1,61.67830358233231,217.76154996457595
37,17,4,1,1,1,1,80.81039663875367,262.95986826625364
29,18,13,0,0,0,1,70.42753215072074,243.8308075511677
24,19,14,0,1,0,1,66.23897970685472,236.63140488133192
32,29,6,1,1,0,1,85.36959493538251,284.61490969709746
33,12,7,0,1,1,1,68.30489593424817,229.5309747979861
24,16,9,1,1,0,1,62.36138575009311,219.7795833020348
21,11,14,0,0,0,1,53.78,196.7006577282991
33,26,14,1,1,0,1,89.16859810610184,298.0877119499693
24,9,8,1,0,0,1,53.66484492370149,188.60641645668304
39,15,9,0,1,0,1,81.49,267.0746909957764
34,15,11,0,1,0,1,76.44106615725731,255.49503922391327
35,17,12,1,1,0,1,81.59851224162306,266.39292059139257
36,23,6,0,1,0,1,84.06,276.76228843765887
33,28,8,1,1,1,1,90.25223910062893,296.1200676812612
34,18,5,1,0,0,1,74.67213567418224,247.90021777776124
