age,education_years,work_hours_week,household_income,female,urban_residency,city_housing_budget,housing_voucher,housing_quality
12,33,9,14,0,1,11,24,301.16773069176094
11,31,6,16,0,0,10,25,310.58134628866964
11,32,6,11,0,1,14,29,348.83058533170646
9,29,7,14,0,1,10,27,330.7191397138648
11,28,2,12,0,0,13,29,344.30622403009943
9,30,9,11,1,0,13,27,333.8948770117792
9,30,7,15,1,1,12,25,309.7257410759712
10,30,9,9,1,1,10,24,299.0492489732854
11,31,7,18,1,1,10,22,279.21922481608016
8,35,4,14,1,1,9,26,320.09345752783844
8,29,10,12,0,0,9,23,293.8621480849775
5,33,7,11,1,0,11,30,364.11816235249273
9,31,6,16,1,1,11,24,301.10055884127974
10,26,13,14,1,1,12,24,306.3265300444229
6,27,5,12,1,0,11,30,363.6388054786165
15,30,7,13,0,1,15,24,299.6045024411227
8,29,10,10,1,1,10,26,323.0170057668984
9,32,3,11,1,0,10,29,348.3664323361898
8,26,7,17,1,0,10,24,303.5864593720438
6,30,3,15,1,0,10,28,339.05621690187985
8,28,9,19,1,1,10,23,294.3554092989111
17,35,6,16,0,0,8,19,242.81967802374675
14,33,1,10,0,1,9,28,334.9887797133336
6,28,6,14,0,1,14,27,330.02403530207727
10,27,7,8,1,1,10,28,336.9813196176978
8,31,5,12,0,0,11,29,348.3711120917313
10,30,8,13,0,1,12,26,321.6925264169607
11,29,3,14,0,1,12,25,304.72391858126355
7,29,1,17,0,0,12,28,338.6385215248032
10,27,6,13,1,1,15,27,329.8124573398186
8,29,7,12,1,1,15,30,361.9284735844788
11,29,11,15,1,1,13,24,303.9741400220776
11,29,9,14,1,0,12,24,302.0526427775616
12,29,7,17,1,1,10,20,256.74412611875954
12,28,12,14,0,1,14,24,300.55102690470767
11,29,8,13,0,1,13,25,308.4545672680472
5,28,10,7,1,1,13,29,353.6721460597007
6,28,8,10,0,1,15,33,394.4618278493746
5,28,8,14,1,1,11,26,324.5633238033452
8,31,11,12,1,0,12,26,325.6726262639445
4,31,5,13,1,1,12,29,352.2031142514961
10,30,7,9,1,1,12,26,317.37385799684546
9,28,8,18,1,1,12,22,283.4376064753143
10,32,12,13,1,0,13,25,315.2893493442209
8,31,12,17,0,1,8,22,287.0801290350455
8,31,7,14,0,0,11,26,322.05855428771883
7,35,2,14,1,0,12,29,350.4201920421983
11,28,14,19,1,1,13,20,265.8558325114206
13,26,8,13,0,1,14,25,310.8033852521471
11,26,-1,9,0,0,11,32,370.5574076654625
6,31,4,17,1,1,13,26,320.5031951894428
9,30,11,15,1,1,12,22,285.8128710446568
7,32,8,12,0,1,8,27,336.1888296838786
9,29,6,10,1,0,14,29,349.97908976463776
10,30,9,16,0,0,12,25,316.2237524466317
11,35,5,11,1,0,9,29,353.4119788562998
8,34,4,13,0,0,12,29,350.14388001195266
15,25,6,13,1,0,12,20,254.3551611055518
10,30,14,10,0,1,13,28,347.3576633600261
13,24,4,12,1,0,7,23,284.0159661589235
11,29,6,13,0,1,15,25,304.93475111077447
7,28,8,10,0,1,10,27,329.44097414842275
8,29,13,16,0,1,10,20,265.1876137946871
10,30,14,11,1,1,9,24,306.972593059202
14,29,8,14,0,1,10,20,257.9246960862818
12,29,5,17,0,0,12,24,299.48875853279435
10,31,7,14,1,0,16,29,348.5840214344168
13,30,7,20,1,0,8,19,247.38344229549645
12,26,7,12,0,1,12,25,310.2388078438546
5,32,5,11,1,0,13,31,370.8324312639144
6,29,6,17,0,1,8,24,301.30392274889863
13,30,6,14,1,0,13,26,319.08799891913054
7,29,5,13,1,0,12,30,364.481718872916
9,27,8,17,1,0,11,24,303.5935505544231
14,25,6,12,1,1,13,26,314.9942439749779
9,32,3,12,1,1,10,27,329.7685288375264
7,27,9,11,0,1,13,27,330.70412759015755
8,28,9,15,1,0,11,26,324.695723249193
10,31,8,13,1,0,10,25,311.399368030869
12,26,8,15,0,0,12,24,298.2161527500979
11,27,11,14,1,1,15,22,278.5356514213622
8,30,9,12,0,0,16,27,331.4351409176108
10,27,13,12,1,0,8,20,260.4683483913311
10,32,1,12,0,1,9,27,325.6706200544715
7,26,3,18,1,0,12,24,295.71442800696354
4,30,9,11,0,1,12,30,366.08516094810005
11,30,4,18,1,1,13,24,298.2162459024271
10,27,6,11,1,1,14,29,349.33830112222824
8,33,8,14,0,0,12,26,325.40679607168
9,31,7,15,0,1,12,25,308.56758974096414
5,33,5,10,0,1,10,31,373.2463379240952
10,33,6,18,1,0,13,22,279.60183725090866
8,35,8,8,0,1,14,35,414.0870452500809
8,26,6,12,1,1,9,26,320.4264561693882
11,29,4,13,0,0,11,27,328.4996049229286
8,29,9,15,1,0,14,27,335.5702771593063
12,33,4,13,1,0,12,26,314.58800561653857
10,27,11,19,1,0,11,21,277.2814279475874
9,31,9,17,0,1,9,24,305.0555275063639
11,29,9,12,0,0,12,24,300.3559814272667
10,31,9,12,1,0,14,29,354.59594262619186
11,23,7,15,1,0,11,22,279.5171508981911
9,35,7,12,1,1,12,26,320.39605353762386
11,30,10,15,1,1,14,26,323.13917683192324
4,27,7,13,0,0,14,31,372.8822798179356
