age,previous_convictions,income,gender,minority_status,judge_experience_years,legal_representation,sentencing_length
9,31,12,0,0,13,58,372.79444829351286
12,30,11,0,0,11,53,344.0178196698268
17,26,9,1,0,12,51,330.207976382066
13,27,4,0,0,12,50,326.1505894558431
6,29,7,0,0,12,55,356.72581973093963
10,31,8,0,1,12,55,358.25377761437187
10,33,2,1,0,10,55,359.48950212099754
5,30,13,0,0,14,57,367.1057492540032
2,29,5,0,0,14,56,367.67497058562833
10,25,7,1,1,14,54,351.72608987924986
5,29,7,0,0,14,53,345.938621919756
3,33,4,0,1,10,57,372.3493560156461
16,30,3,1,1,12,53,346.0461409713945
9,27,8,0,1,13,52,340.41322665302334
6,31,13,0,0,13,57,368.3951901360117
8,29,7,1,0,14,55,355.8526446865073
16,28,9,1,0,10,53,345.5887712004083
8,31,6,0,1,7,53,347.23841660767806
10,28,11,1,0,13,53,345.38375261456525
11,29,12,0,0,14,55,355.0675917587398
8,31,4,1,0,12,56,364.3388579344489
10,24,5,0,1,13,49,320.6358647456196
15,27,3,1,1,9,50,327.92645655342926
6,32,9,0,0,9,56,365.66352409305046
5,29,6,0,0,7,53,346.9205277716202
7,31,2,1,1,10,56,367.8228805482438
12,34,9,0,1,14,57,368.21278243970727
9,31,14,0,0,12,56,361.1736727273758
9,31,9,0,0,12,51,336.0543716909498
7,31,5,0,1,11,56,364.9190031457077
4,29,2,0,0,11,53,347.1257370171569
9,30,8,0,0,13,57,367.768662802845
11,26,9,0,0,10,50,325.23201770502385
10,32,10,0,0,12,55,356.47941136515647
13,29,12,0,1,10,52,339.18557875494304
11,31,8,0,1,12,58,375.7677411100261
13,30,4,1,1,10,52,337.9639125980691
11,34,15,0,0,9,57,369.9096303486184
9,28,3,1,1,14,56,364.23769098707055
12,27,4,1,0,11,55,357.51275061825663
6,27,0,0,1,12,52,341.68541560902884
15,27,3,1,0,8,48,315.55367509265886
6,30,9,0,1,13,57,370.9201040573525
8,29,6,0,1,13,54,352.14259928804705
13,24,4,0,0,16,52,337.35991975425554
10,32,6,0,1,10,55,359.0572132487561
12,26,6,0,1,10,52,342.1401154999553
10,30,3,1,0,10,56,363.7592442174417
8,30,6,0,0,12,54,351.9612629924511
8,31,6,1,1,13,57,368.13481650177687
10,31,10,1,0,10,55,357.29472254050467
10,31,8,1,0,11,56,366.78617136919456
10,26,10,0,1,12,51,334.8215703992236
12,27,9,1,1,13,52,336.7664212610049
7,27,11,0,1,10,53,345.42402741074704
8,30,5,0,0,13,55,359.84050671928395
15,28,4,0,0,8,50,325.6900011078854
10,34,11,0,0,9,56,365.41622371094405
9,30,7,1,0,10,54,352.39275224434954
9,29,11,1,0,13,55,356.5735231898132
9,30,11,0,1,9,52,341.9840349983182
8,30,10,0,1,12,57,369.7026608219516
8,30,9,1,1,10,55,357.92587716163547
8,28,5,0,0,10,54,354.47406989230103
4,30,8,0,0,10,56,366.7020991898871
10,30,3,0,0,8,55,359.9050648815953
6,30,7,0,0,11,57,370.5810522992671
11,32,8,0,0,11,55,358.4498669873938
12,29,4,0,0,13,53,342.7582128002129
11,27,8,1,0,14,52,337.3120565200563
9,33,8,0,0,10,55,356.8000492561571
7,32,2,1,0,11,57,372.7256690172778
5,30,5,0,0,10,54,352.579500912649
12,30,8,0,1,14,57,371.3733414500621
7,27,8,0,0,11,53,344.0328952471785
6,32,7,1,0,11,58,377.3348559293246
5,28,9,0,0,12,56,362.2511122531703
7,30,8,1,1,14,57,369.0892137866989
6,30,6,0,0,10,54,354.3833547876794
11,34,18,0,1,12,58,372.6157068334735
9,29,7,0,0,10,53,347.636350573821
7,35,5,1,0,8,56,364.5589819051983
7,29,10,1,0,8,53,347.69517593061
10,29,10,1,0,14,55,356.0173452212712
9,32,10,1,0,10,55,359.7370216788904
6,32,10,0,0,13,59,382.0203289035161
11,29,6,1,1,13,57,372.300537987656
8,31,6,0,0,12,57,371.6078126676262
8,28,6,1,1,15,55,358.1647046396876
8,29,10,1,1,11,53,346.3247448952991
8,30,8,1,0,11,56,362.82295936255366
11,30,8,1,1,11,55,359.43923960908063
9,30,7,0,0,14,53,343.49019670954783
7,30,4,1,0,12,55,357.5969989676721
6,31,13,0,0,11,57,371.9381750556957
12,30,4,1,1,13,57,370.9078621571355
11,30,3,0,0,14,57,367.7122124816809
11,29,9,1,0,12,57,368.25182511981245
9,30,2,0,0,12,51,331.58617956054064
6,28,7,0,1,13,56,364.4287691252185
12,28,9,0,0,12,52,338.9385770184291
10,27,11,0,0,14,52,334.5198450062396
10,25,7,0,0,12,53,344.6663459860025
6,32,6,0,1,12,55,358.6324650497688
9,29,8,0,1,10,53,346.80743172452327
7,34,2,0,0,12,60,390.6696086425339
5,29,2,1,0,10,57,373.21045056222766
9,30,10,0,0,9,52,339.7383660024954
10,30,13,0,0,11,54,352.35392453937766
8,30,7,0,1,10,54,353.51257351121177
5,26,10,0,0,12,50,324.9327826601121
7,31,4,1,1,12,59,383.782366084628
8,31,13,1,0,8,53,343.05163333596863
11,30,10,1,1,14,54,350.41694702483767
12,31,14,1,0,14,56,361.172938365696
6,31,7,0,0,8,54,353.8572024297922
9,29,9,0,0,9,53,347.6581446450149
12,32,9,1,1,9,53,346.66792360191147
14,33,6,0,0,10,55,359.35330651216015
6,28,8,0,0,13,54,352.3912883488469
10,34,12,0,0,8,57,369.2904764620848
9,27,4,0,1,9,50,325.7118059192026
11,30,11,0,1,11,52,340.81734075967194
5,27,1,0,1,11,53,349.99539715779383
8,30,11,1,0,11,54,349.1787366960603
8,29,11,1,0,11,54,352.6594834566773
