age_of_candidate,candidate_education_years,previous_campaigns,political_party_affiliation,gender,incumbent,minority_status,population_wealth,campaign_funding,election_result
14,32,9,7,0,1,0,14,35,298.0243366512355
10,34,4,13,1,1,0,11,31,273.7503780308688
12,27,9,11,1,1,1,9,25,226.64121957084265
9,27,2,16,0,1,1,12,30,273.90521455120233
6,29,5,11,1,1,1,10,27,246.05357366649997
8,29,7,12,0,1,1,9,24,217.1309502559284
4,31,6,12,0,0,0,11,24,221.24997188152471
9,30,8,13,1,0,1,11,25,229.56620242544489
9,29,9,13,1,1,0,12,27,245.27777464215708
9,29,8,11,1,0,0,12,26,235.40748567928637
12,30,12,12,0,0,1,10,22,201.1404828563376
11,26,9,13,1,1,1,13,25,231.2915450301386
14,33,7,12,0,0,1,10,29,252.6344944568625
2,28,2,13,1,0,1,12,24,222.8933719242844
12,25,10,13,0,1,0,13,25,229.27700496689548
11,31,9,15,0,1,0,9,22,201.81069971770583
13,28,6,14,0,0,0,11,27,244.62374775588648
12,30,2,16,0,1,1,8,29,263.20011253354795
8,30,13,15,1,0,0,9,14,141.3510617747068
7,24,5,14,1,0,0,10,25,232.00047716145417
15,30,15,15,1,1,0,15,21,193.4551002908894
6,31,8,12,1,0,1,10,23,215.8288470378376
14,29,8,16,1,1,1,11,25,231.80988539203804
12,26,2,12,1,0,1,14,36,317.62522907308147
10,31,6,15,1,1,0,14,30,270.3720869386848
13,29,11,13,0,1,0,9,22,202.49239152705184
10,32,6,15,1,0,1,13,26,236.130406239686
8,30,7,14,1,0,1,9,23,215.99664440185384
10,33,8,18,1,0,0,12,23,214.14836739210972
9,29,14,16,0,1,1,13,16,156.67685701248644
8,30,7,15,1,1,0,11,22,204.82405874593883
10,31,1,15,1,0,0,15,35,310.900084112603
7,28,11,15,1,0,1,14,20,193.5556327005568
7,31,1,12,0,1,0,12,32,283.2867109873813
6,28,6,10,1,0,0,13,29,260.3468847691244
8,31,8,12,0,0,0,9,24,218.33814243293747
11,26,6,12,1,1,0,14,32,286.0062187243312
9,31,4,15,0,1,1,15,31,277.6590910387717
9,29,9,12,0,1,1,12,27,244.8855767983077
12,35,5,14,1,0,1,12,28,249.63858596102344
9,25,7,10,0,1,0,12,26,232.29298031832
2,27,9,15,0,1,1,13,17,171.56268388852962
7,27,8,13,1,1,1,11,24,225.86208545143083
8,30,5,15,0,0,1,17,29,264.04195550811346
13,27,4,8,0,0,0,10,36,311.09205882050856
11,29,8,13,0,0,0,10,25,226.50186391781452
10,27,6,14,0,1,1,15,30,272.8228633297443
6,27,11,9,1,0,1,10,21,196.1615622129087
10,33,5,19,0,0,0,12,24,221.48560172830173
7,29,1,11,1,0,0,11,35,311.37225519549
13,25,7,9,1,0,1,12,28,245.67471092155355
11,31,11,13,1,1,1,16,26,234.9949639025092
5,30,5,10,0,1,0,10,29,259.805124245604
5,32,5,8,1,0,1,10,30,268.7454515601418
5,26,7,10,1,0,1,16,28,257.45789990581954
13,28,2,13,0,0,1,16,37,324.1700374640459
12,30,10,16,0,0,0,11,19,179.27097168717094
9,25,6,11,0,0,1,12,29,262.0570381724994
10,30,5,14,0,1,0,11,29,263.10702098085704
11,31,8,11,0,1,1,13,30,267.94392214981553
8,27,3,14,0,1,0,10,28,255.2237856639932
13,30,14,13,0,0,0,15,22,196.99820352983292
9,34,0,19,1,1,0,10,29,263.0090381896062
6,31,8,17,1,1,1,11,19,185.57478816426485
8,31,5,16,0,1,0,8,25,231.0633766679064
8,32,9,18,1,1,1,13,19,182.9222367117191
10,26,0,16,0,0,1,8,29,264.93158936492034
10,32,11,12,1,1,1,12,24,217.8198735677016
6,29,9,12,0,0,1,11,21,194.4428302887657
13,33,8,12,1,1,1,12,28,249.17561473244
11,29,10,14,1,0,1,15,24,218.9347652769124
13,31,7,13,1,0,0,11,29,257.87305648046384
12,30,3,11,1,1,0,13,37,322.2315259589767
15,28,11,13,1,0,1,14,25,223.60555786777357
5,28,5,8,1,1,1,16,33,295.6110344047126
9,32,6,20,1,1,0,12,20,193.0447489156649
10,31,6,14,1,0,1,11,25,226.43389795420072
14,31,6,15,1,0,0,11,29,260.82822194973727
9,25,4,13,0,1,0,8,26,235.556886776987
9,29,2,9,1,0,0,15,38,331.8077088366912
5,29,11,13,0,1,0,17,19,179.03328282432062
14,35,5,14,1,1,1,12,31,271.3264546350641
13,30,13,16,0,1,1,10,20,185.67452014978863
12,30,0,12,1,0,1,12,38,333.6005123873573
4,29,10,13,1,0,1,9,16,159.31897213690425
6,30,7,11,0,1,0,14,29,259.1989212807173
9,27,12,15,0,1,0,7,17,165.53749321846172
9,29,8,12,0,0,1,16,27,242.0376069965
12,28,7,16,1,1,1,6,23,215.9412943514732
10,28,14,18,1,1,1,14,15,151.45486302699894
8,31,5,13,1,1,1,14,27,243.3738474402865
14,33,8,20,1,0,1,12,23,214.2118475368375
6,30,6,10,1,1,0,11,30,268.4253698650421
8,32,10,14,0,0,1,14,20,185.91012712020512
5,32,5,14,1,1,0,13,25,227.4010828604118
8,27,10,19,1,0,1,12,17,169.2566215145913
10,26,11,13,0,1,0,14,19,178.0578197054501
10,28,4,14,0,1,0,13,29,261.4575018281275
9,27,7,17,0,0,1,12,19,184.8417847995914
9,27,16,13,1,0,1,15,17,161.21150845937242
12,30,4,16,1,0,0,15,30,270.9625739945285
8,31,6,16,0,1,0,14,26,236.3208739991212
13,33,9,10,0,1,1,11,30,261.7909589260403
11,33,7,13,1,0,0,9,29,260.9108174091068
9,29,3,15,1,1,0,11,27,245.9627317066577
11,30,9,11,1,1,1,11,25,228.03280178248423
7,33,5,11,1,0,1,8,27,244.4404569160292
9,32,6,13,0,1,1,14,30,264.8296365580079
7,28,3,13,0,0,0,11,30,271.77440441779163
13,30,10,15,1,0,0,14,25,227.8945379957692
11,27,15,11,0,0,1,9,16,151.7919484943006
8,31,8,6,0,0,1,6,27,239.41556679362176
9,30,4,12,1,0,1,12,28,251.6008807322728
13,29,9,17,0,0,1,13,26,238.42794395039243
11,30,6,14,1,1,0,11,28,251.87280363165425
6,32,2,13,1,1,1,8,27,247.73504675498023
9,30,9,7,0,1,0,12,29,254.449141585576
5,32,14,14,1,0,1,10,14,143.26268268142329
6,32,10,13,0,1,1,13,22,201.89859153122137
10,31,3,17,0,0,1,12,27,244.4622729537402
10,28,13,15,1,1,0,16,22,204.1814123749513
3,32,9,16,1,1,1,13,20,192.3517897794624
10,33,8,12,0,0,1,15,29,254.5289937047764
12,27,3,11,1,1,1,14,32,283.6883275175832
6,28,11,11,0,1,1,13,22,203.47462613743997
10,27,13,13,0,0,0,10,19,179.2504547655732
5,28,6,14,1,0,0,12,25,232.55524508836845
10,30,4,9,0,1,1,12,33,289.50527077886363
8,33,11,16,1,1,1,11,20,190.6468125622552
9,31,11,10,0,1,0,15,26,230.8898591668301
10,31,6,13,1,1,0,11,27,243.54184529682408
11,31,3,9,1,1,1,14,35,304.91873341338294
4,29,7,16,1,1,1,12,20,192.99488903271384
7,31,9,13,0,1,1,10,22,203.5069275689712
14,28,12,14,1,1,1,12,23,213.38511970600885
12,30,4,13,1,1,0,13,34,300.24191002421884
10,28,12,14,0,0,1,11,20,188.91177502982077
12,32,3,16,1,1,0,12,30,267.25531582757736
12,29,5,14,1,0,0,12,31,278.5614637702404
7,30,11,9,0,1,0,10,22,202.23396034848685
9,27,10,16,1,1,1,10,21,199.50333547294125
11,28,13,12,0,1,0,12,24,218.91877766326303
9,36,7,12,0,0,1,12,27,239.12170402268887
9,32,11,13,1,1,0,10,20,187.35156413304375
12,25,11,16,0,1,1,12,18,174.15417669604068
9,30,8,16,0,0,0,10,21,196.767228775044
9,27,10,11,0,1,1,14,25,226.6069513742357
4,33,0,15,1,0,1,12,30,272.5156835831185
9,33,12,15,1,1,1,11,20,190.6904913278412
14,31,4,16,1,1,1,13,29,256.6349775911778
10,27,9,12,0,1,1,13,27,245.67611623145305
13,33,8,11,0,0,1,12,31,271.42209923848816
10,32,5,17,1,1,1,14,26,240.0327364925649
11,26,6,12,0,0,1,12,29,258.4824199476456
12,27,3,10,1,1,1,11,35,307.6622538927555
9,33,6,12,1,1,1,11,28,252.46163594231328
11,26,8,13,1,0,1,6,24,221.78824800980647
11,30,6,10,1,0,0,11,33,291.26200814424124
10,27,8,13,0,0,1,8,22,205.48487453137443
6,30,7,16,0,0,1,10,22,206.85157776165175
11,34,5,11,1,1,0,15,35,304.9829638739937
10,33,5,14,1,0,0,15,31,273.5518054433992
10,28,1,18,1,0,0,14,29,262.59227321386646
6,25,8,15,1,1,1,10,21,200.4715068479846
8,25,11,13,0,1,1,15,21,198.2128321480712
10,29,14,14,1,1,0,9,16,158.17345728592815
8,30,7,15,0,0,0,13,24,223.2987128904601
11,31,6,14,1,1,1,15,29,257.74620130231
10,31,3,15,0,0,1,9,26,234.64580116148025
6,31,1,13,0,1,0,11,31,278.8242527081049
10,31,3,17,1,0,1,9,24,220.3230307181968
14,33,11,12,0,0,1,13,27,239.25695496268168
11,26,6,15,1,1,0,14,27,246.8507338540784
12,32,6,18,1,1,1,13,25,229.55113063117295
7,24,9,13,1,0,1,14,24,224.6482416304229
7,30,5,13,1,1,1,9,29,262.62259962182856
12,34,6,14,1,0,1,12,31,276.1895597291769
8,29,12,16,1,1,1,14,20,189.158492786142
14,25,11,14,0,1,1,11,21,193.6927665101425
4,29,7,15,0,0,0,11,23,220.7176175833189
11,28,10,11,0,0,0,12,26,232.25936363551745
11,28,4,14,1,0,1,10,29,261.7088761978192
13,31,11,14,0,1,0,11,24,218.78742756069911
11,30,3,11,1,1,0,13,38,330.3082865360566
11,26,4,14,1,1,1,11,29,262.27708542414854
19,30,11,15,1,0,1,13,24,217.0926947975454
10,35,6,13,1,1,0,15,31,271.83519372591303
10,32,15,18,1,0,1,15,13,131.40619814740367
8,24,6,14,1,0,0,13,28,258.23813012766783
11,26,9,7,1,0,0,9,30,264.39836831692827
8,31,10,10,1,0,1,13,27,244.77009696243184
12,28,6,14,1,0,1,16,28,254.624128104808
7,29,8,19,1,0,0,10,17,171.324851301027
13,30,7,13,1,0,1,10,26,232.71901507873915
14,28,7,13,1,0,0,16,33,291.9989923348753
15,30,5,13,1,0,1,10,30,266.1180075871223
6,24,6,14,0,0,1,12,23,217.41850625713812
8,26,4,14,0,0,1,13,26,238.6233245810247
10,32,9,15,1,1,0,11,24,222.9212613496819
6,30,9,13,0,1,0,15,24,220.23823022934096
8,30,11,16,0,1,1,9,17,164.36370540514525
10,27,7,13,1,1,1,13,29,263.55121615448206
14,29,8,14,1,1,0,11,27,243.35642950552895
11,32,7,10,1,1,1,12,31,273.36917292296835
7,35,0,10,0,0,1,11,37,322.8573259258454
8,29,10,16,0,1,0,13,19,180.1184179687218
6,29,3,13,1,1,1,13,28,251.5920065249733
10,26,8,15,0,1,1,9,21,198.41198006342773
15,32,6,14,1,1,1,10,29,257.94372450013645
4,28,6,14,1,1,1,9,20,190.57683425996
11,30,6,13,1,0,1,11,28,252.6910076054264
11,28,11,19,0,0,1,11,15,150.50201910981696
8,31,4,12,1,0,1,13,32,285.3585398000563
7,31,2,11,1,0,1,14,32,282.75489606484325
7,25,7,11,0,1,0,13,29,260.1949966421563
3,28,4,16,0,1,1,15,23,213.942457880618
13,31,6,9,0,0,0,11,34,296.676366132244
7,30,5,17,0,1,1,14,23,212.9807136052092
11,32,8,13,0,1,1,13,28,248.89665465954116
9,32,8,9,1,0,0,10,29,256.54505774811844
11,28,6,13,0,1,1,10,25,227.82161464471463
14,27,7,15,1,1,0,11,26,235.79786811821967
8,27,9,11,0,1,1,14,24,218.79063558064615
11,32,3,13,0,1,0,10,31,274.4795261997716
5,34,7,13,1,1,1,12,24,220.73517638098
10,26,8,10,1,0,1,16,31,277.862577858995
8,28,1,11,1,1,1,9,32,286.3202438810348
8,31,11,12,0,1,1,14,21,194.29082700718425
12,30,9,16,0,1,1,12,22,203.18396810706636
10,33,10,5,1,0,0,7,28,244.260598168268
9,29,11,16,0,0,1,9,16,157.29470727552203
6,32,2,13,0,1,0,12,30,266.7693702833907
10,28,5,14,1,1,0,11,29,262.7444781592268
10,33,9,12,0,1,1,13,28,249.6406307431184
12,30,3,18,1,0,0,14,27,248.21430976506792
11,31,5,15,0,0,1,11,28,250.80259762916785
13,28,7,11,1,1,1,11,29,255.4277652471893
8,31,6,10,1,1,1,10,28,250.44223924769685
14,31,7,15,1,0,1,12,26,235.50714050941895
9,31,6,16,0,1,0,11,25,228.80789629546507
6,34,13,14,0,0,1,14,17,162.22134882903055
15,26,7,16,1,0,0,8,26,243.16254557881223
11,28,2,14,0,0,1,12,31,274.2414900819673
3,31,0,18,0,0,1,9,21,198.5486838911353
12,31,5,9,1,1,0,11,34,295.4219882211638
14,27,7,18,1,0,1,10,23,213.0465481069012
7,29,9,18,1,0,1,13,17,171.992851237928
8,32,5,15,0,1,1,11,25,227.68333884728605
14,32,5,10,1,1,0,7,31,271.2794190930577
10,33,12,12,1,0,1,11,25,226.53063501294528
10,28,7,15,1,1,1,9,24,221.67686055385263
8,29,6,8,1,0,1,12,33,290.4662498029877
8,27,12,11,1,0,0,13,24,221.13238548719343
8,30,7,13,0,1,1,13,25,227.20461379236997
9,30,12,13,1,1,0,14,20,186.5501432565523
15,28,7,10,1,1,1,14,33,286.6499097739296
10,29,11,15,1,0,1,14,22,203.23924744696583
